DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,16.9,2.56,678.0,,54949,730,694.1,694.1,660.0
2026-05-07,6.9,1.05,661.1,,47335,633,650.0,662.0,650.0
2026-05-06,-1.2,-0.18,654.2,,48547,665,688.0,688.0,640.4
2026-05-05,-4.6,-0.7,655.4,,77067,1045,627.0,669.5,627.0
2026-05-04,-11.1,-1.65,660.0,,93369,1245,671.1,678.9,655.0
2026-04-30,-8.1,-1.19,671.1,,104696,1044,677.0,679.0,666.0
2026-04-29,-6.3,-0.92,679.2,,74867,900,685.0,685.0,676.1
2026-04-28,8.4,1.24,685.5,,87233,1260,677.0,691.0,677.0
2026-04-27,-5.9,-0.86,677.1,,90198,1301,683.0,687.0,675.0
2026-04-24,-2.0,-0.29,683.0,,123903,1326,680.0,690.0,665.1
2026-04-23,-10.2,-1.47,685.0,,97271,1398,670.0,709.0,670.0
2026-04-22,-7.8,-1.11,695.2,,237378,2662,738.0,738.0,679.0
2026-04-21,-2.0,-0.28,703.0,,86062,1184,680.0,715.0,680.0
2026-04-20,-10.2,-1.43,705.0,,123104,1529,715.0,716.0,701.0
2026-04-17,2.2,0.31,715.2,,190793,2158,705.0,720.0,701.0
2026-04-16,-19.1,-2.61,713.0,,256498,2758,730.0,730.0,712.0
2026-04-15,-9.9,-1.33,732.1,,270193,2663,740.0,747.0,725.2
2026-04-13,-14.0,-1.85,742.0,,154179,1658,750.0,756.0,739.9
2026-04-10,-13.9,-1.81,756.0,,222552,2205,769.0,782.2,750.8
2026-04-09,53.9,7.53,769.9,,531040,4451,720.0,784.0,720.0
2026-04-08,-11.0,-1.51,716.0,,230400,2158,740.0,740.0,710.0
2026-04-07,7.0,0.97,727.0,,244100,2176,728.0,744.0,720.0
2026-04-06,15.3,2.17,720.0,,788078,6635,691.0,747.0,665.0
2026-04-05,-78.3,-10.0,704.7,,811186,7380,767.4,767.4,704.7
2026-04-02,-3.9,-0.5,783.0,,380411,3550,786.9,798.9,745.0
2026-04-01,-48.1,-5.76,786.9,,889897,7230,819.0,827.0,785.0
2026-03-31,-11.9,-1.41,835.0,,361889,2742,850.0,850.0,818.3
2026-03-30,-9.1,-1.06,846.9,,183555,1649,855.0,866.9,842.0
2026-03-29,-26.0,-2.95,856.0,,365880,2446,885.0,885.0,851.0
2026-03-26,5.8,0.66,882.0,,151387,1405,858.7,888.4,858.7
2026-03-25,-21.9,-2.44,876.2,,209679,1699,900.0,902.0,876.2
2026-03-24,-6.9,-0.76,898.1,,155496,1389,923.0,923.0,892.0
2026-03-23,-5.0,-0.55,905.0,,157192,1434,928.0,928.0,895.0
2026-03-22,22.1,2.49,910.0,,261691,2357,887.9,920.0,887.9
2026-03-19,17.9,2.06,887.9,,201643,1817,887.0,894.9,870.0
2026-03-17,-8.0,-0.91,870.0,,104162,995,895.5,895.5,869.1
2026-03-16,-4.0,-0.45,878.0,,112801,853,899.0,899.0,875.0
2026-03-15,-6.0,-0.68,882.0,,119343,1052,890.0,899.1,880.0
2026-03-12,2.0,0.23,888.0,,128475,1176,903.7,903.7,876.0
2026-03-11,-20.0,-2.21,886.0,,189772,1452,906.0,909.0,885.1
2026-03-10,-38.7,-4.1,906.0,,506231,3376,950.0,950.0,885.0
2026-03-09,85.8,9.99,944.7,80.23,8620,80,876.0,944.7,876.0
2026-03-03,13.9,1.64,858.9,,106558,759,861.9,861.9,830.0
2026-03-01,6.1,0.73,845.0,,61655,654,822.2,850.0,822.2
2026-02-26,1.9,0.23,838.9,,71368,667,853.7,853.7,837.0
2026-02-25,4.0,0.48,837.0,,32452,533,833.0,846.0,830.0
2026-02-24,6.0,0.73,833.0,,52083,641,827.0,835.9,827.0
2026-02-23,-0.9,-0.11,827.0,,61825,747,825.1,832.0,825.1
2026-02-22,-8.1,-0.97,827.9,,105641,1065,835.0,837.0,827.0
2026-02-17,-3.6,-0.43,836.0,,113608,1008,840.0,848.0,833.0
2026-02-16,-3.7,-0.44,839.6,,71745,895,860.1,860.1,839.0
2026-02-12,3.3,0.39,843.3,,122931,1071,856.8,856.8,840.0
2026-02-11,-6.0,-0.71,840.0,,113689,1002,846.0,861.0,838.0
2026-02-10,-3.0,-0.35,846.0,,113805,1073,850.0,865.5,842.0
2026-02-09,-8.0,-0.93,849.0,,117445,1052,874.1,874.1,847.0
2026-02-08,-13.0,-1.49,857.0,,241328,1720,887.3,887.3,857.0
2026-02-05,23.0,2.72,870.0,,191837,1624,854.0,874.0,848.0
2026-02-04,1.0,0.12,847.0,,108005,995,846.0,860.0,845.5
2026-02-03,-0.2,-0.02,846.0,,156814,1363,863.1,863.1,845.0
2026-02-02,-6.8,-0.8,846.2,,142544,1269,836.0,865.0,836.0
2026-02-01,-13.0,-1.5,853.0,,135423,1252,866.0,873.9,850.0
2026-01-29,-11.2,-1.28,866.0,,136022,1312,885.9,886.0,865.1
2026-01-28,4.2,0.48,877.2,,161861,1630,873.0,885.0,864.0
2026-01-27,-23.1,-2.58,873.0,,254686,2018,900.0,900.0,872.1
2026-01-26,-13.8,-1.52,896.1,,240244,2038,928.0,928.0,891.9
2026-01-25,15.0,1.68,909.9,,295352,2212,899.0,920.0,899.0
2026-01-22,5.0,0.56,894.9,,145601,1363,873.0,899.9,873.0
2026-01-21,12.4,1.41,889.9,,372212,2727,895.0,909.5,870.6
2026-01-20,26.7,3.14,877.5,,274826,2110,850.8,880.0,850.8
2026-01-18,10.3,1.23,850.8,,125287,1285,835.0,852.0,835.0
2026-01-14,-1.5,-0.18,840.5,,115863,1127,825.2,855.0,825.2
2026-01-13,4.0,0.48,842.0,,131035,969,821.3,850.0,821.3
2026-01-12,0.0,0.0,838.0,,106238,1091,838.0,846.0,833.0
2026-01-08,4.0,0.48,838.0,,59321,755,830.0,839.8,830.0
2026-01-07,-11.0,-1.3,834.0,,59371,784,861.9,861.9,833.0
2026-01-06,5.5,0.66,845.0,,146436,1171,856.2,856.2,839.0
2026-01-05,8.4,1.01,839.5,,116151,1145,840.0,845.0,825.0
2026-01-04,-7.6,-0.91,831.1,,79995,834,822.0,855.0,822.0
2026-01-01,-7.4,-0.87,838.7,,114531,998,863.0,863.0,838.1
2025-12-31,10.1,1.21,846.1,,152430,1356,836.0,854.0,830.1
2025-12-29,-6.0,-0.71,836.0,,129486,1149,842.0,865.0,831.0
2025-12-28,25.0,3.06,842.0,,166848,1469,820.0,845.0,820.0
2025-12-24,0.9,0.11,817.0,,66894,711,810.0,828.5,810.0
2025-12-23,2.1,0.26,816.1,,60158,821,800.0,832.0,800.0
2025-12-22,-4.0,-0.49,814.0,,71060,912,801.7,835.0,801.7
2025-12-21,-13.0,-1.56,818.0,,103517,1060,815.3,847.0,815.0
2025-12-18,-10.9,-1.29,831.0,,83823,1097,855.0,855.0,830.0
2025-12-17,3.9,0.47,841.9,,125526,1357,830.0,849.0,830.0
2025-12-16,13.1,1.59,838.0,,114875,1334,841.0,841.0,825.0
2025-12-15,1.9,0.23,824.9,,92023,1010,822.0,832.0,817.4
2025-12-14,-5.7,-0.69,823.0,,65169,893,838.1,838.1,821.1
2025-12-11,3.7,0.45,828.7,,73622,852,820.0,840.0,820.0
2025-12-10,-3.0,-0.36,825.0,,79909,987,844.5,844.5,820.0
2025-12-09,2.0,0.24,828.0,,99970,1059,822.0,838.0,811.0
2025-12-08,3.0,0.36,826.0,,69824,1126,816.3,837.0,816.3
