DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.5,2.22,253.0,,67475,170,250.0,253.0,247.6
2026-05-07,0.6,0.24,247.5,85.05,34333,142,249.0,249.4,246.0
2026-05-06,-3.1,-1.24,246.9,,53115,188,253.0,253.0,246.0
2026-05-05,3.1,1.26,250.0,,93338,283,245.1,254.9,245.1
2026-05-04,-8.1,-3.18,246.9,,132765,406,253.0,255.0,246.0
2026-04-30,0.1,0.04,255.0,,90951,320,242.2,257.8,242.2
2026-04-29,-5.1,-1.96,254.9,,104043,320,260.0,260.0,252.2
2026-04-28,-2.9,-1.1,260.0,,182035,417,262.9,264.8,255.0
2026-04-27,0.9,0.34,262.9,,71965,256,262.0,264.0,260.5
2026-04-24,-2.4,-0.91,262.0,,103513,285,263.0,263.9,257.0
2026-04-23,-6.6,-2.44,264.4,,174063,463,257.5,272.0,257.5
2026-04-22,7.0,2.65,271.0,,196862,552,262.0,275.0,258.0
2026-04-21,-8.0,-2.94,264.0,,189362,530,258.4,276.9,258.4
2026-04-20,-7.5,-2.68,272.0,,130566,388,280.0,280.0,270.1
2026-04-17,-0.5,-0.18,279.5,,209037,547,279.1,283.9,273.0
2026-04-16,-10.9,-3.75,280.0,,470931,960,296.7,296.7,275.0
2026-04-15,3.9,1.36,290.9,,502919,1031,292.0,294.6,284.0
2026-04-13,8.0,2.87,287.0,,385970,712,275.1,287.8,275.1
2026-04-10,-1.0,-0.36,279.0,,306144,653,274.4,285.0,274.4
2026-04-09,1.0,0.36,280.0,,269791,779,282.8,286.0,275.0
2026-04-08,5.0,1.82,279.0,,175801,524,276.9,281.5,272.6
2026-04-07,-1.6,-0.58,274.0,,185614,654,270.1,286.0,268.1
2026-04-06,19.1,7.45,275.6,,380753,1022,261.0,276.8,256.1
2026-04-05,-17.5,-6.39,256.5,,520171,992,270.0,270.0,255.3
2026-04-02,-3.0,-1.08,274.0,,295047,744,274.0,285.0,268.8
2026-04-01,-18.9,-6.39,277.0,,503961,1025,296.0,296.0,276.1
2026-03-31,1.4,0.48,295.9,,910465,1570,300.0,301.0,291.2
2026-03-30,8.5,2.97,294.5,,1065534,2269,287.0,302.0,285.0
2026-03-29,-8.0,-2.72,286.0,,329041,754,294.0,295.0,284.2
2026-03-26,1.0,0.34,294.0,,158119,498,294.0,294.7,289.0
2026-03-25,-3.0,-1.01,293.0,,289733,747,294.1,298.0,290.0
2026-03-24,1.1,0.37,296.0,,335627,747,299.9,300.0,292.1
2026-03-23,-4.1,-1.37,294.9,,263231,835,299.0,300.3,291.0
2026-03-22,-6.0,-1.97,299.0,,887634,1785,305.0,311.0,295.0
2026-03-19,2.3,0.76,305.0,,619385,1582,297.0,312.1,297.0
2026-03-17,8.4,2.85,302.7,,471775,1067,290.0,305.0,290.0
2026-03-16,-10.4,-3.41,294.3,,450009,1146,299.0,306.2,293.0
