DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,11.0,1.76,635.0,52.53,8380,57,623.0,635.0,622.0
2026-05-07,1.0,0.16,624.0,22.34,3591,30,620.0,627.7,620.0
2026-05-06,5.0,0.81,623.0,35.39,5651,31,618.0,628.9,618.0
2026-05-05,-1.5,-0.24,618.0,50.54,8204,57,619.5,620.0,610.0
2026-05-04,-2.6,-0.42,619.5,20.14,3269,41,610.1,620.0,610.1
2026-04-30,-1.4,-0.22,622.1,33.94,5496,58,618.0,628.5,615.0
2026-04-29,-1.5,-0.24,623.5,34.75,5578,38,642.0,642.0,620.1
2026-04-28,-0.8,-0.13,625.0,41.65,6653,62,625.8,630.0,625.0
2026-04-27,3.8,0.61,625.8,19.83,3170,37,622.0,630.0,622.0
2026-04-24,-7.5,-1.19,622.0,51.92,8339,62,629.5,626.5,621.2
2026-04-23,-4.5,-0.71,629.5,30.69,4905,43,620.2,633.0,620.0
2026-04-22,12.0,1.93,634.0,67.15,10832,98,625.1,638.0,616.2
2026-04-21,-3.0,-0.48,622.0,55.71,8915,73,639.9,639.9,622.0
2026-04-20,-10.0,-1.57,625.0,72.7,11608,75,622.1,635.0,622.1
2026-04-17,-7.0,-1.09,635.0,,18836,110,650.0,654.0,626.3
2026-04-16,-7.9,-1.22,642.0,70.63,11043,64,640.0,649.0,635.1
2026-04-15,0.9,0.14,649.9,,19781,88,649.0,658.0,648.1
2026-04-13,-0.9,-0.14,649.0,32.47,5015,48,650.0,654.8,644.5
2026-04-10,-1.3,-0.2,649.9,97.48,15070,72,659.0,659.0,644.2
2026-04-09,14.2,2.23,651.2,,24183,133,632.5,661.0,631.0
2026-04-08,13.0,2.08,637.0,59.59,9414,78,631.0,643.5,629.0
2026-04-07,-3.9,-0.62,624.0,62.33,9955,93,635.0,635.0,619.8
2026-04-06,16.9,2.77,627.9,,18395,140,620.0,630.0,615.0
2026-04-05,-25.0,-3.93,611.0,,35709,227,635.0,635.0,607.0
2026-04-02,-6.0,-0.93,636.0,,32671,179,631.1,644.0,622.3
2026-04-01,-12.0,-1.83,642.0,,22068,143,654.2,654.6,633.1
2026-03-31,7.1,1.1,654.0,71.33,11045,106,650.0,655.0,637.0
2026-03-30,-10.1,-1.54,646.9,,25020,173,655.0,665.0,644.3
2026-03-29,-21.0,-3.1,657.0,,19267,154,678.0,678.0,655.0
2026-03-26,-5.0,-0.73,678.0,,32176,124,675.0,684.9,670.0
2026-03-25,-7.0,-1.01,683.0,,20944,145,690.0,690.0,676.0
2026-03-24,0.1,0.01,690.0,,25961,143,690.0,693.0,677.0
2026-03-23,2.9,0.42,689.9,,26720,203,691.0,695.0,681.1
2026-03-22,12.0,1.78,687.0,,32298,222,687.0,690.0,676.2
2026-03-19,12.1,1.83,675.0,,34873,169,668.0,680.0,658.1
2026-03-17,-7.0,-1.04,662.9,,19197,109,670.0,670.0,655.0
2026-03-16,-2.3,-0.34,669.9,,20313,124,663.0,674.2,661.0
2026-03-15,-2.8,-0.41,672.2,,14914,109,667.3,680.0,667.3
2026-03-12,5.0,0.75,675.0,,21870,113,660.1,680.0,657.0
2026-03-11,-9.9,-1.46,670.0,,28013,165,680.0,684.0,670.0
2026-03-10,-11.2,-1.62,679.9,,51856,352,704.0,704.0,670.0
2026-03-09,26.7,4.02,691.1,,40,4,677.6,691.1,677.6
2026-03-03,10.3,1.57,664.4,84.0,12682,103,652.0,666.0,652.0
2026-03-01,4.1,0.63,654.1,78.05,12001,88,638.0,660.0,633.0
2026-02-26,5.0,0.78,650.0,40.11,6214,55,650.0,650.0,640.0
2026-02-25,-3.0,-0.46,645.0,38.32,5923,65,644.0,652.0,640.0
2026-02-24,17.4,2.76,648.0,31.66,4963,56,635.0,649.0,631.0
2026-02-23,5.6,0.9,630.6,66.11,10469,88,630.0,638.0,620.4
2026-02-22,-15.2,-2.37,625.0,,18672,125,650.0,650.9,625.0
2026-02-17,-14.7,-2.24,640.2,,20215,128,655.0,656.0,640.2
2026-02-16,3.7,0.57,654.9,92.43,14242,90,646.5,664.2,645.1
2026-02-12,2.2,0.34,651.2,88.59,13587,97,650.0,658.9,645.0
2026-02-11,3.7,0.57,649.0,86.39,13256,97,658.2,658.2,647.0
2026-02-10,-9.2,-1.41,645.3,,15514,131,655.0,664.7,645.0
2026-02-09,-10.4,-1.56,654.5,,20240,126,675.0,675.0,653.0
2026-02-08,3.9,0.59,664.9,,26210,160,665.0,676.0,660.2
2026-02-05,2.9,0.44,661.0,,24109,161,658.0,667.0,657.0
2026-02-04,3.1,0.47,658.1,,21428,135,651.2,668.0,651.2
2026-02-03,-5.0,-0.76,655.0,,16290,112,671.0,672.0,653.0
2026-02-02,-10.0,-1.49,660.0,,20854,157,671.1,674.0,660.0
2026-02-01,-2.0,-0.3,670.0,,45603,226,679.0,683.0,665.0
2026-01-29,-13.6,-1.98,672.0,,36291,228,680.0,688.9,670.0
2026-01-28,1.5,0.22,685.6,,47133,276,684.1,693.8,670.0
2026-01-27,-15.9,-2.27,684.1,,56524,252,695.0,700.0,684.0
2026-01-26,-2.9,-0.41,700.0,,74157,423,700.1,707.0,685.0
2026-01-25,7.9,1.14,702.9,,126730,535,705.0,714.0,697.0
2026-01-22,4.0,0.58,695.0,,103245,404,690.0,703.0,680.2
2026-01-21,-7.4,-1.06,691.0,,52858,297,699.0,700.0,680.0
2026-01-20,2.4,0.34,698.4,,147123,672,709.8,715.0,695.0
2026-01-18,36.0,5.45,696.0,,141531,759,671.9,700.1,661.1
2026-01-14,17.2,2.68,660.0,,82524,423,642.2,667.0,640.1
2026-01-13,-1.2,-0.19,642.8,,21173,102,651.0,651.0,642.6
2026-01-12,-5.0,-0.77,644.0,,26321,140,656.0,656.0,641.9
2026-01-08,-2.9,-0.44,649.0,,17446,112,648.1,652.8,648.0
2026-01-07,0.9,0.14,651.9,,71798,371,658.9,665.0,645.0
2026-01-06,21.8,3.46,651.0,,78242,328,629.2,652.0,629.2
2026-01-05,-0.8,-0.13,629.2,,23087,91,639.0,640.0,628.2
2026-01-04,3.0,0.48,630.0,69.31,10986,78,634.9,635.0,627.0
2026-01-01,-8.0,-1.26,627.0,,50782,101,633.0,635.0,625.0
2025-12-31,-1.5,-0.24,635.0,,27004,110,640.0,646.9,630.0
2025-12-29,-3.5,-0.55,636.5,,28969,154,641.0,650.0,636.0
2025-12-28,20.0,3.23,640.0,,29989,183,620.0,640.0,620.0
2025-12-24,-1.0,-0.16,620.0,87.88,14173,73,629.0,629.0,618.1
2025-12-23,1.0,0.16,621.0,,19627,99,628.9,628.9,611.0
2025-12-22,-4.0,-0.64,620.0,80.63,12930,68,629.9,636.0,617.6
2025-12-21,0.0,0.0,624.0,,20301,98,617.0,624.0,616.1
2025-12-18,-9.0,-1.42,624.0,,23554,122,629.1,640.0,622.1
2025-12-17,13.3,2.15,633.0,,21119,152,619.0,635.0,618.0
2025-12-16,-0.3,-0.05,619.7,,20058,117,630.0,630.0,615.0
2025-12-15,0.0,0.0,620.0,37.7,6091,58,620.0,623.9,616.0
2025-12-14,3.0,0.49,620.0,56.55,9140,56,610.0,624.9,610.0
2025-12-11,-8.0,-1.28,617.0,55.96,9058,79,630.0,630.0,612.0
2025-12-10,-2.0,-0.32,625.0,36.55,5871,48,639.0,639.0,614.5
2025-12-09,-3.0,-0.48,627.0,30.19,4844,61,635.0,635.0,618.0
2025-12-08,0.0,0.0,630.0,90.15,14428,80,630.0,633.0,620.0
2025-12-07,-23.7,-3.63,630.0,,25688,165,640.7,640.8,626.3
2025-12-03,6.9,1.07,653.7,,126954,385,654.0,665.0,642.0
2025-12-02,1.9,0.29,646.8,31.57,4898,49,638.0,649.9,638.0
2025-12-01,5.9,0.92,644.9,57.32,8942,76,638.0,645.0,636.0
2025-11-30,-4.0,-0.62,639.0,,22531,120,652.9,654.0,635.0
2025-11-27,-2.0,-0.31,643.0,33.57,5242,49,641.0,644.0,640.0
2025-11-26,0.0,0.0,645.0,73.82,11571,93,640.5,649.8,631.0
2025-11-25,2.0,0.31,645.0,58.21,9045,70,647.0,650.5,640.0
2025-11-24,9.1,1.44,643.0,91.11,14217,98,635.1,644.9,635.0
2025-11-23,9.9,1.59,633.9,26.51,4194,52,634.0,634.9,627.0
2025-11-20,3.0,0.48,624.0,23.22,3737,31,618.0,627.4,618.0
2025-11-19,-9.0,-1.43,621.0,15.43,2475,36,640.0,640.0,620.2
2025-11-18,13.0,2.11,630.0,41.96,6682,60,624.0,634.0,620.0
