DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.0,0.47,427.0,36.45,8599,53,421.2,428.0,419.0
2026-05-07,0.5,0.12,425.0,24.32,5736,43,422.5,430.0,422.0
2026-05-06,-0.4,-0.09,424.5,13.05,3079,18,434.9,434.9,422.2
2026-05-05,0.4,0.09,424.9,38.34,9111,72,421.0,425.0,418.0
2026-05-04,-4.4,-1.03,424.5,70.9,16867,93,428.0,428.0,418.0
2026-04-30,4.9,1.16,428.9,70.24,16627,97,421.0,429.0,418.0
2026-04-29,-6.0,-1.4,424.0,40.43,9495,65,430.0,430.0,424.0
2026-04-28,-4.0,-0.92,430.0,42.24,9844,70,434.0,440.3,427.3
2026-04-27,4.0,0.93,434.0,14.68,3406,36,430.0,437.5,425.1
2026-04-24,-5.0,-1.15,430.0,,24970,82,430.0,432.0,422.5
2026-04-23,-7.0,-1.58,435.0,52.2,11954,58,449.9,449.9,433.0
2026-04-22,0.9,0.2,442.0,,36818,125,441.1,445.0,433.1
2026-04-21,-6.7,-1.5,441.1,61.06,13706,49,439.1,450.0,439.0
2026-04-20,7.8,1.77,447.8,31.14,7041,35,450.0,450.0,438.2
2026-04-17,-2.1,-0.48,440.0,35.95,8197,68,437.0,445.7,436.2
2026-04-16,-6.9,-1.54,442.1,,26128,76,453.5,453.5,440.1
2026-04-15,6.0,1.35,449.0,,22656,113,445.0,456.0,445.0
2026-04-13,-6.8,-1.51,443.0,29.61,6693,70,450.0,450.0,440.0
2026-04-10,-3.2,-0.71,449.8,,28697,123,446.0,451.0,437.0
2026-04-09,14.6,3.33,453.0,,29426,133,440.0,455.0,436.0
2026-04-08,3.9,0.9,438.4,,29291,101,443.0,445.0,435.1
2026-04-07,-0.5,-0.11,434.5,,26514,117,437.0,448.0,432.0
2026-04-06,13.9,3.3,435.0,83.47,19379,129,422.0,439.0,422.0
2026-04-05,-23.9,-5.37,421.1,,25776,191,437.0,449.9,421.1
2026-04-02,-3.0,-0.67,445.0,78.55,17783,154,441.0,449.9,437.1
2026-04-01,-12.0,-2.61,448.0,,33732,195,451.1,457.8,443.0
2026-03-31,0.1,0.02,460.0,,25838,133,465.0,465.0,446.9
2026-03-30,-10.1,-2.15,459.9,,25568,191,461.3,470.0,454.0
2026-03-29,-16.0,-3.29,470.0,,27836,195,486.0,486.0,466.0
2026-03-26,8.0,1.67,486.0,,31932,156,471.0,492.0,470.0
2026-03-25,-12.9,-2.63,478.0,,42668,246,490.9,490.9,475.0
2026-03-24,-1.1,-0.22,490.9,95.69,19564,147,501.0,501.0,484.9
2026-03-23,-1.0,-0.2,492.0,,55743,294,498.0,498.0,485.0
2026-03-22,31.7,6.87,493.0,,94034,566,470.0,494.0,470.0
2026-03-19,7.3,1.61,461.3,,65623,268,453.0,468.2,447.0
2026-03-17,0.0,0.0,454.0,79.42,17386,116,447.0,462.9,447.0
2026-03-16,-3.0,-0.66,454.0,,35012,153,459.0,459.0,448.0
2026-03-15,1.9,0.42,457.0,,22992,144,457.0,460.0,449.0
2026-03-12,-4.9,-1.07,455.1,,28820,150,469.2,469.2,445.0
2026-03-11,-3.0,-0.65,460.0,,33160,184,471.0,471.0,451.0
2026-03-10,-7.0,-1.49,463.0,,54813,398,479.0,479.0,450.0
2026-03-09,35.1,8.07,470.0,1.91,430,4,443.5,470.0,443.5
2026-03-03,7.0,1.64,434.9,68.2,15814,99,436.4,436.4,427.7
2026-03-01,-0.6,-0.14,427.9,62.08,14659,79,422.0,428.0,422.0
2026-02-26,8.5,2.02,428.5,92.84,21859,100,418.0,430.0,418.0
2026-02-25,1.0,0.24,420.0,25.12,5994,56,422.0,422.0,415.1
2026-02-24,0.0,0.0,419.0,60.62,14501,56,421.9,421.9,415.0
2026-02-23,3.0,0.72,419.0,33.85,8103,54,412.0,420.0,412.0
2026-02-22,-3.7,-0.88,416.0,90.59,21807,132,419.0,420.0,410.0
2026-02-17,-4.9,-1.15,419.7,,39014,170,420.5,427.4,412.2
