DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-3.8,-0.95,394.2,37.48,9482,71,390.0,400.0,390.0
2026-05-07,0.2,0.05,398.0,9.15,2314,40,390.0,399.9,390.0
2026-05-06,-12.1,-2.95,397.8,10.23,2555,55,406.9,406.9,395.0
2026-05-05,12.9,3.25,409.9,17.62,4339,71,390.0,421.2,388.1
2026-05-04,2.0,0.51,397.0,21.63,5482,94,391.0,401.5,390.1
2026-04-30,-15.0,-3.66,395.0,52.27,13138,115,406.0,406.0,395.0
2026-04-29,-16.1,-3.78,410.0,18.06,4341,83,426.5,426.5,410.0
2026-04-28,-10.9,-2.49,426.1,39.04,9114,93,437.0,448.0,426.1
2026-04-27,-3.6,-0.82,437.0,20.88,4771,98,440.6,466.1,430.0
2026-04-24,-9.5,-2.11,440.6,35.33,7989,69,450.0,451.0,439.1
2026-04-23,-11.9,-2.58,450.1,25.75,5678,73,462.0,471.0,448.3
2026-04-22,-10.0,-2.12,462.0,20.12,4358,60,458.5,465.0,458.4
2026-04-21,-2.0,-0.42,472.0,30.64,6530,99,472.0,475.0,461.0
2026-04-20,-0.5,-0.11,474.0,13.63,2893,40,470.1,475.0,470.1
2026-04-17,-0.5,-0.11,474.5,33.31,7059,61,475.0,476.0,470.0
2026-04-16,-5.0,-1.04,475.0,17.73,3715,52,477.0,480.0,472.0
2026-04-15,7.6,1.61,480.0,50.52,10566,108,473.0,480.0,473.0
2026-04-13,-0.8,-0.17,472.4,44.19,9295,70,479.0,479.5,472.4
2026-04-10,-6.7,-1.4,473.2,26.06,5475,61,471.1,480.0,471.1
2026-04-09,0.9,0.19,479.9,62.61,13203,125,470.1,486.9,470.0
2026-04-08,7.2,1.53,479.0,10.79,2262,50,480.0,480.0,471.1
2026-04-07,-7.1,-1.48,471.8,16.38,3446,54,488.0,497.0,469.4
2026-04-06,18.9,4.11,478.9,39.6,8394,92,468.9,480.0,458.1
2026-04-05,-36.9,-7.43,460.0,58.74,12562,151,490.4,490.4,452.0
2026-04-02,-2.7,-0.54,496.9,11.23,2252,60,492.6,504.0,492.6
2026-04-01,-8.3,-1.63,499.6,36.02,7197,85,500.0,507.9,499.4
2026-03-31,9.2,1.84,507.9,73.86,14740,148,508.6,508.6,492.3
2026-03-30,-15.9,-3.09,498.7,69.04,13654,134,509.0,517.9,498.7
2026-03-29,-4.4,-0.85,514.6,36.19,7044,96,520.0,521.0,511.0
2026-03-26,-2.0,-0.38,519.0,66.67,12866,105,518.0,522.0,515.2
2026-03-25,-3.0,-0.57,521.0,72.84,13943,104,524.0,527.0,520.0
2026-03-24,0.0,0.0,524.0,48.25,9232,89,529.9,530.0,520.0
2026-03-23,0.0,0.0,524.0,38.77,7369,107,534.0,534.0,523.5
2026-03-22,-6.0,-1.13,524.0,,20607,190,531.0,531.0,521.3
2026-03-19,6.5,1.24,530.0,,19052,213,525.0,544.0,520.5
2026-03-17,-1.5,-0.29,523.5,52.56,10143,97,522.0,524.9,515.0
2026-03-16,-11.0,-2.05,525.0,46.5,8845,98,530.0,534.9,524.3
2026-03-15,-2.9,-0.54,536.0,80.31,15004,129,538.9,542.5,530.0
2026-03-12,-1.1,-0.2,538.9,70.26,13227,125,541.1,550.0,526.3
2026-03-11,10.0,1.89,540.0,51.94,9708,114,525.0,540.6,525.0
2026-03-10,-17.2,-3.14,530.0,,19805,226,558.1,569.2,526.0
2026-03-09,21.2,4.03,547.2,,20,2,536.5,547.2,536.5
2026-03-03,16.1,3.16,526.0,33.76,6457,91,510.0,528.8,510.0
2026-03-01,2.3,0.45,509.9,30.57,6026,52,499.0,514.0,499.0
2026-02-26,-7.4,-1.44,507.6,39.83,7857,57,510.0,514.5,505.0
2026-02-25,-4.0,-0.77,515.0,45.33,8870,95,517.0,521.0,509.5
2026-02-24,4.0,0.78,519.0,30.2,5884,67,508.0,522.7,507.2
2026-02-23,-5.0,-0.96,515.0,11.95,2319,39,530.4,530.4,512.0
2026-02-22,14.0,2.77,520.0,,37292,277,504.0,522.2,496.0
2026-02-17,-4.0,-0.78,506.0,49.24,9678,107,506.6,514.7,505.0
2026-02-16,-1.0,-0.2,510.0,62.37,12245,124,511.0,520.5,504.0
2026-02-12,-6.1,-1.18,511.0,,24005,205,527.4,530.0,508.0
2026-02-11,-17.9,-3.35,517.1,90.59,17291,134,537.0,538.9,517.1
2026-02-10,-9.0,-1.65,535.0,29.77,5552,80,533.2,544.3,533.2
2026-02-09,-3.0,-0.55,544.0,56.89,10564,113,540.2,545.0,534.1
2026-02-08,-4.4,-0.8,547.0,,24328,140,554.0,559.0,541.0
2026-02-05,-0.7,-0.13,551.4,,22227,146,563.0,569.0,547.0
2026-02-04,-6.7,-1.2,552.1,,20288,157,547.8,569.0,547.8
2026-02-03,2.2,0.4,558.8,52.8,9506,100,545.5,564.8,545.5
2026-02-02,-11.4,-2.01,556.6,88.38,15766,142,556.9,569.0,555.0
2026-02-01,-19.0,-3.24,568.0,,22199,172,575.3,586.9,567.1
2026-01-29,12.0,2.09,587.0,,35796,339,563.6,594.0,563.6
2026-01-28,14.0,2.5,575.0,,48767,333,550.0,575.0,550.0
2026-01-27,3.0,0.54,561.0,,23057,202,555.0,566.0,551.4
2026-01-26,-4.0,-0.71,558.0,,29472,225,562.0,573.2,555.0
2026-01-25,17.0,3.12,562.0,,28072,253,546.0,568.0,540.0
2026-01-22,-3.0,-0.55,545.0,,18513,163,538.0,550.0,538.0
2026-01-21,1.0,0.18,548.0,81.0,14851,162,549.0,555.0,540.0
2026-01-20,6.0,1.11,547.0,93.45,17118,146,551.7,551.8,542.4
2026-01-18,-6.0,-1.1,541.0,68.95,12684,173,553.8,553.8,540.0
2026-01-14,13.2,2.47,547.0,,21955,204,544.0,554.3,529.2
2026-01-13,-1.2,-0.22,533.8,,27288,243,543.9,543.9,524.3
2026-01-12,-13.7,-2.5,535.0,,26772,248,559.0,559.0,530.0
2026-01-08,-15.3,-2.71,548.7,,34045,238,554.0,562.0,543.0
2026-01-07,-14.7,-2.54,564.0,50.09,8909,102,578.7,588.9,558.0
2026-01-06,-10.8,-1.83,578.7,,21669,159,577.8,588.9,562.1
2026-01-05,24.5,4.34,589.5,,27507,240,560.0,595.0,553.7
2026-01-04,-0.2,-0.04,565.0,,26136,172,557.0,574.0,545.0
2026-01-01,5.2,0.93,565.2,88.19,15551,184,548.8,579.0,548.8
2025-12-31,-21.0,-3.61,560.0,,26572,194,590.9,604.0,555.1
2025-12-29,-12.0,-2.02,581.0,50.43,8714,123,600.0,600.0,575.0
2025-12-28,3.1,0.53,593.0,,20662,191,589.0,599.9,575.1
2025-12-24,-5.1,-0.86,589.9,79.53,13567,173,584.0,619.0,575.4
2025-12-23,-9.0,-1.49,595.0,,19649,164,592.1,612.0,580.2
2025-12-22,-1.0,-0.17,604.0,,30945,281,592.9,628.0,588.0
2025-12-21,-17.9,-2.87,605.0,,40395,359,611.1,619.8,594.5
2025-12-18,9.8,1.6,622.9,,41113,407,615.0,638.0,610.0
2025-12-17,10.1,1.67,613.1,,50499,492,591.0,624.0,591.0
2025-12-16,21.8,3.75,603.0,,45247,385,592.0,617.0,581.0
2025-12-15,22.2,3.97,581.2,,39465,372,547.9,585.8,547.9
2025-12-14,7.0,1.27,559.0,72.38,12907,150,555.0,573.7,546.0
2025-12-11,-17.2,-3.02,552.0,81.03,14470,140,580.5,580.5,550.2
2025-12-10,-20.8,-3.53,569.2,,20041,161,598.0,598.0,568.4
2025-12-09,15.4,2.68,590.0,,36245,278,577.0,596.0,563.5
2025-12-08,47.6,9.03,574.6,,53163,394,521.0,579.5,521.0
2025-12-07,-23.0,-4.18,527.0,43.55,8200,75,539.0,542.0,527.0
2025-12-03,-2.9,-0.52,550.0,34.2,6196,75,545.0,560.0,540.0
2025-12-02,-4.1,-0.74,552.9,17.48,3164,57,546.0,557.9,546.0
2025-12-01,7.9,1.44,557.0,50.29,9196,44,549.0,557.0,541.0
2025-11-30,-10.9,-1.95,549.1,45.93,8393,98,548.9,564.0,538.3
2025-11-27,-1.0,-0.18,560.0,40.31,7297,84,551.0,561.8,548.0
2025-11-26,4.0,0.72,561.0,34.77,6232,111,567.0,567.1,550.0
2025-11-25,2.9,0.52,557.0,18.93,3422,60,550.0,564.0,549.1
2025-11-24,-7.9,-1.41,554.1,54.15,9700,121,570.0,570.0,550.0
2025-11-23,1.0,0.18,562.0,32.02,5692,86,550.1,568.0,550.1
2025-11-20,20.0,3.7,561.0,,23117,255,530.2,580.0,520.3
2025-11-19,8.6,1.62,541.0,43.51,8145,109,530.0,546.8,520.0
2025-11-18,12.3,2.36,532.4,13.73,2608,61,510.0,559.0,509.7
2025-11-17,-7.4,-1.4,520.1,4.83,925,25,526.0,526.0,517.0
2025-11-16,-0.3,-0.06,527.5,13.56,2593,51,520.3,530.0,517.3
2025-11-13,7.8,1.5,527.8,37.27,7092,71,510.2,527.8,510.2
2025-11-12,-4.0,-0.76,520.0,6.71,1300,20,513.6,520.0,513.1
2025-11-11,14.9,2.93,524.0,13.31,2590,35,506.0,524.0,506.0
2025-11-10,-6.5,-1.26,509.1,24.4,4765,59,510.0,519.4,502.0
2025-11-09,-10.4,-1.98,515.6,5.78,1120,23,517.0,521.0,515.0
2025-11-06,8.0,1.54,526.0,23.3,4492,60,515.0,527.0,508.0
2025-11-05,0.7,0.14,518.0,40.49,7817,56,510.8,523.0,510.7
2025-11-04,-10.0,-1.9,517.3,40.24,7743,80,534.0,537.8,517.0
2025-11-03,-2.7,-0.51,527.3,43.07,8052,76,539.0,546.9,524.0
2025-11-02,10.0,1.92,530.0,43.42,8267,69,513.0,534.0,513.0
2025-10-30,6.0,1.17,520.0,19.85,3850,34,518.0,523.9,510.4
2025-10-29,-2.0,-0.39,514.0,62.37,12179,86,516.0,523.0,506.0
2025-10-28,16.1,3.22,516.0,37.11,7303,71,502.0,523.0,502.0
2025-10-26,-7.6,-1.5,499.9,16.89,3436,34,515.0,515.0,490.0
2025-10-19,-7.5,-1.46,507.5,6.18,1225,22,505.0,519.0,495.0
2025-10-16,4.7,0.92,515.0,25.07,4944,52,502.9,515.0,502.9
2025-10-15,-17.7,-3.35,510.3,15.33,2968,36,517.6,526.0,510.3
2025-10-14,-20.7,-3.77,528.0,15.18,2877,31,537.8,537.8,521.0
2025-10-13,27.8,5.34,548.7,25.28,4888,70,510.5,548.7,500.8
2025-10-12,-19.1,-3.54,520.9,25.39,4985,56,535.0,535.0,496.6
2025-10-09,-2.7,-0.5,540.0,26.03,4805,53,553.5,575.7,533.0
2025-10-08,-12.8,-2.3,542.7,37.88,7054,64,550.0,555.3,530.1
2025-10-07,-13.5,-2.37,555.5,36.34,6625,59,560.0,560.0,539.0
2025-09-28,-6.0,-1.04,569.0,14.8,2606,42,565.1,575.0,564.0
2025-09-25,0.6,0.1,575.0,25.37,4452,59,570.0,580.0,560.0
2025-09-24,12.4,2.21,574.4,74.95,13039,137,551.0,584.0,543.1
2025-09-23,28.3,5.3,562.0,41.7,7553,81,527.1,562.0,527.0
2025-09-21,13.7,2.63,533.7,63.49,11975,126,513.0,550.9,510.0
2025-09-18,-20.23,-3.74,520.0,2.69,510,5,540.23,540.23,520.0
2025-09-08,-0.84,-0.16,540.23,30.43,5764,71,533.5,550.4,512.6
2025-09-07,-12.67,-2.29,541.07,10.96,2024,55,543.0,551.0,540.0
2025-09-04,1.62,0.29,553.74,18.39,3353,75,542.0,559.0,536.0
2025-09-03,2.52,0.46,552.12,39.43,7242,98,541.0,556.0,532.1
2025-09-02,-1.82,-0.33,549.6,7.12,1299,48,544.0,554.9,544.0
2025-09-01,-7.28,-1.3,551.42,30.02,5446,68,551.3,556.0,549.1
2025-08-31,-4.64,-0.82,558.7,46.81,8363,77,560.0,573.9,552.7
2025-08-28,-4.18,-0.74,563.34,14.77,2619,74,562.0,572.0,558.2
2025-08-27,1.92,0.34,567.52,78.94,13920,81,563.0,576.0,561.0
2025-08-26,-9.4,-1.63,565.6,18.41,3242,51,566.2,575.0,565.0
2025-08-25,5.7,1.0,575.0,6.98,1239,44,566.0,575.0,559.2
2025-08-24,-13.9,-2.38,569.3,29.32,5079,66,594.8,598.9,568.5
2025-08-21,-1.95,-0.33,583.2,24.72,4251,72,585.0,590.0,579.0
2025-08-20,-9.92,-1.67,585.15,24.12,4105,61,594.0,601.0,582.0
2025-08-19,-9.34,-1.55,595.07,36.79,6115,93,615.0,615.0,595.0
2025-08-18,25.17,4.35,604.41,,19595,220,579.0,607.0,568.4
2025-08-17,2.41,0.42,579.24,47.28,8120,136,570.0,598.5,565.3
2025-08-14,15.16,2.7,576.83,62.69,10963,130,551.0,582.9,551.0
2025-08-13,9.05,1.64,561.67,23.98,4299,85,543.1,565.4,543.1
2025-08-12,-3.78,-0.68,552.62,10.75,1945,57,555.0,560.0,549.0
2025-08-11,-14.14,-2.48,556.4,25.79,4618,72,560.0,589.9,548.8
2025-08-07,1.19,0.21,570.54,35.32,6196,111,569.0,577.9,565.0
2025-08-06,-4.94,-0.86,569.35,26.61,4661,122,570.0,593.0,563.5
2025-08-05,-4.79,-0.83,574.29,13.81,2403,76,575.0,585.9,573.0
2025-08-04,1.92,0.33,579.08,31.95,5556,112,570.0,582.0,569.4
2025-08-03,-15.53,-2.62,577.16,40.77,7013,157,581.0,592.6,575.1
2025-07-31,-3.68,-0.62,592.69,67.68,11380,196,596.0,605.9,585.2
2025-07-30,-13.1,-2.15,596.37,49.08,8183,117,600.0,621.6,594.6
2025-07-29,6.14,1.02,609.47,47.45,7802,143,592.0,616.0,592.0
2025-07-28,-12.0,-1.95,603.33,80.82,13435,165,610.0,610.0,595.0
2025-07-27,-6.38,-1.03,615.33,86.74,13919,222,610.0,640.0,610.0
2025-07-24,20.15,3.35,621.71,,21874,234,590.0,633.0,590.0
2025-07-23,0.82,0.14,601.56,77.53,12912,181,590.0,609.9,590.0
2025-07-22,5.9,0.99,600.74,77.78,12822,179,594.0,616.0,594.0
2025-07-21,-2.47,-0.41,594.84,47.44,7935,100,609.0,609.0,587.0
2025-07-20,16.02,2.76,597.31,,23727,252,570.0,638.0,570.0
2025-07-17,14.45,2.55,581.29,62.98,10808,160,560.0,590.0,560.0
2025-07-16,16.17,2.94,566.84,41.32,7344,131,545.0,569.9,545.0
