DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.0,0.11,945.0,7.9,841,36,954.0,969.9,926.5
2026-05-07,18.0,1.94,944.0,31.27,3326,37,952.9,952.9,931.0
2026-05-06,-10.9,-1.16,926.0,30.13,3206,38,944.0,944.0,922.0
2026-05-05,0.0,0.0,936.9,16.23,1753,37,949.0,949.0,925.0
2026-05-04,-7.1,-0.75,936.9,14.5,1568,26,920.0,944.5,920.0
2026-04-30,2.0,0.21,944.0,9.05,967,35,894.9,966.0,894.9
2026-04-29,0.0,0.0,942.0,89.17,8908,59,923.0,1030.0,923.0
2026-04-28,-23.9,-2.47,942.0,31.44,3318,59,965.9,985.0,940.0
2026-04-27,8.9,0.93,965.9,85.57,8996,51,957.0,984.0,940.0
2026-04-24,5.0,0.53,957.0,91.75,9268,74,904.4,1028.0,904.4
2026-04-23,-7.0,-0.73,952.0,45.74,4826,46,911.1,1020.0,911.1
2026-04-22,0.1,0.01,959.0,92.54,9817,79,935.0,959.0,935.0
2026-04-21,10.9,1.15,958.9,15.39,1629,47,960.0,960.0,936.4
2026-04-20,-24.0,-2.47,948.0,37.07,3897,54,951.0,973.0,948.0
2026-04-17,2.1,0.22,972.0,76.41,7971,50,969.0,985.0,952.0
2026-04-16,-1.1,-0.11,969.9,14.82,1530,34,971.0,980.0,962.0
2026-04-15,3.0,0.31,971.0,25.4,2600,39,985.0,1005.0,953.0
2026-04-13,-1.3,-0.13,968.0,22.71,2363,45,954.0,979.9,954.0
2026-04-10,-23.7,-2.39,969.3,43.32,4429,69,1012.0,1012.8,956.0
2026-04-09,14.0,1.43,993.0,69.08,7066,97,992.0,999.0,947.0
2026-04-08,6.0,0.62,979.0,20.11,2058,49,986.6,999.0,956.6
2026-04-07,-14.0,-1.42,973.0,50.5,5155,69,998.0,1000.0,955.0
2026-04-06,49.0,5.22,987.0,37.82,3906,82,956.0,989.0,951.0
2026-04-05,-37.0,-3.79,938.0,92.4,9837,106,975.0,975.0,920.0
2026-04-02,-14.0,-1.42,975.0,36.0,3649,83,989.0,1000.0,975.0
2026-04-01,-36.0,-3.51,989.0,47.02,4766,73,1005.0,1020.0,972.0
2026-03-31,31.0,3.12,1025.0,83.5,8368,91,995.0,1025.0,977.0
2026-03-30,-4.0,-0.4,994.0,72.11,7163,96,990.0,1029.9,990.0
2026-03-29,-37.0,-3.57,998.0,,10473,165,1015.0,1082.5,994.7
2026-03-26,-14.0,-1.33,1035.0,77.03,7429,100,1057.0,1057.0,1026.1
2026-03-25,-26.0,-2.42,1049.0,,11378,170,1055.0,1065.0,1029.0
2026-03-24,-5.0,-0.46,1075.0,,10103,112,1060.0,1100.0,1060.0
2026-03-23,42.0,4.05,1080.0,,25407,329,1018.0,1090.0,1018.0
2026-03-22,66.9,6.89,1038.0,,44498,513,955.0,1050.0,955.0
2026-03-19,1.2,0.12,971.1,69.36,7155,109,952.0,986.0,952.0
2026-03-17,-0.6,-0.06,969.9,39.11,4069,72,951.1,985.0,951.1
2026-03-16,0.5,0.05,970.5,40.1,4147,59,952.0,980.0,951.6
