DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,0.69,437.5,33.31,7597,206,434.0,440.8,434.0
2026-05-07,1.5,0.35,434.5,20.59,4757,197,432.0,435.9,430.0
2026-05-06,1.0,0.23,433.0,17.83,4130,192,442.0,442.0,427.1
2026-05-05,1.0,0.23,432.0,23.77,5517,192,436.0,439.9,426.1
2026-05-04,-2.5,-0.58,431.0,41.76,9614,257,431.2,440.0,431.0
2026-04-30,-0.5,-0.12,433.5,75.51,17474,225,431.1,439.0,429.0
2026-04-29,-1.7,-0.39,434.0,,23573,278,431.1,437.0,431.1
2026-04-28,-0.3,-0.07,435.7,43.31,9926,384,436.0,440.0,432.1
2026-04-27,-1.8,-0.41,436.0,49.02,11235,348,437.8,438.0,435.0
2026-04-24,1.4,0.32,437.8,36.58,8418,220,432.0,438.0,430.1
2026-04-23,-1.6,-0.37,436.4,37.26,8556,216,435.1,438.0,432.4
2026-04-22,1.0,0.23,438.0,94.91,21872,387,435.0,440.0,430.0
2026-04-21,-2.5,-0.57,437.0,32.83,7489,274,437.0,442.0,435.2
2026-04-20,-2.5,-0.57,439.5,63.6,14504,333,440.0,444.0,435.0
2026-04-17,-3.0,-0.67,442.0,57.46,13039,257,442.0,446.0,439.0
2026-04-16,-5.0,-1.11,445.0,36.88,8284,230,453.0,453.0,444.0
2026-04-15,4.0,0.9,450.0,82.76,18445,466,442.0,451.0,442.0
2026-04-13,1.0,0.22,446.0,83.24,18643,315,451.0,453.9,442.8
2026-04-10,-6.0,-1.33,445.0,,22493,300,443.0,451.0,443.0
2026-04-09,4.0,0.89,451.0,97.57,21809,408,449.0,451.5,441.0
2026-04-08,7.0,1.59,447.0,65.91,14768,312,440.0,450.0,440.0
2026-04-07,-5.0,-1.12,440.0,57.98,13093,269,448.0,449.9,437.0
2026-04-06,11.0,2.53,445.0,74.95,16990,331,430.1,446.0,430.0
2026-04-05,-12.0,-2.69,434.0,,35434,486,442.0,442.0,433.0
2026-04-02,2.8,0.63,446.0,92.98,20977,399,442.0,448.0,436.4
2026-04-01,-10.5,-2.31,443.2,,22514,321,453.8,453.8,443.0
2026-03-31,3.0,0.67,453.7,,28333,470,450.1,455.5,443.0
2026-03-30,-7.3,-1.59,450.7,99.23,21873,392,453.3,459.8,450.3
2026-03-29,-10.0,-2.14,458.0,,27644,407,468.0,468.0,455.2
2026-03-26,1.0,0.21,468.0,,24419,384,460.1,469.0,460.1
2026-03-25,-7.6,-1.6,467.0,,28857,452,475.0,475.0,466.0
2026-03-24,-2.4,-0.5,474.6,,22247,441,475.0,477.0,470.5
2026-03-23,-3.0,-0.62,477.0,,57744,664,483.0,483.0,470.0
2026-03-22,16.1,3.47,480.0,,112150,1123,466.0,483.0,465.0
2026-03-19,11.9,2.63,463.9,,44887,787,455.0,465.1,451.0
2026-03-17,-1.0,-0.22,452.0,67.59,15015,333,453.0,454.0,448.0
2026-03-16,-5.0,-1.09,453.0,99.95,22016,306,454.0,458.0,451.6
2026-03-15,-3.0,-0.65,458.0,85.18,18521,343,468.0,469.8,456.5
2026-03-12,4.7,1.03,461.0,,24078,466,451.0,462.0,451.0
2026-03-11,-5.9,-1.28,456.3,,35020,408,458.1,466.0,456.3
2026-03-10,-2.8,-0.6,462.2,,83945,831,470.0,474.0,456.0
2026-03-09,18.0,4.03,465.0,10.01,2164,8,447.0,474.3,447.0
2026-03-03,5.0,1.13,447.0,90.89,20483,254,450.8,450.8,439.0
2026-03-01,0.5,0.11,442.0,60.79,13801,213,436.0,444.9,435.0
2026-02-26,-1.2,-0.27,441.5,62.26,14112,195,442.0,443.9,436.6
2026-02-25,7.7,1.77,442.7,51.35,11690,298,435.0,442.8,435.0
2026-02-24,1.9,0.44,435.0,50.13,11527,252,433.1,437.0,430.4
2026-02-23,0.0,0.0,433.1,41.44,9557,255,430.2,437.0,430.2
2026-02-22,-1.4,-0.32,433.1,52.56,12131,302,434.0,442.6,431.0
2026-02-17,-1.7,-0.39,434.5,74.62,17162,328,436.0,438.0,434.0
2026-02-16,-1.1,-0.25,436.2,50.58,11578,304,436.2,440.0,436.2
2026-02-12,-2.5,-0.57,437.3,63.52,14488,324,436.0,443.9,436.0
2026-02-11,4.1,0.94,439.8,89.95,20575,350,437.0,443.0,435.3
2026-02-10,-1.7,-0.39,435.7,62.77,14373,336,435.5,440.0,435.5
2026-02-09,-3.6,-0.82,437.4,55.77,12729,310,441.5,443.0,437.3
2026-02-08,0.3,0.07,441.0,69.51,15706,443,442.0,445.9,441.0
2026-02-05,3.2,0.73,440.7,81.42,18569,421,433.0,441.0,433.0
2026-02-04,-3.5,-0.79,437.5,,53066,536,444.0,444.0,431.0
2026-02-03,-1.2,-0.27,441.0,59.14,13390,334,442.2,445.0,440.6
2026-02-02,-2.8,-0.63,442.2,97.62,22047,360,445.0,446.0,441.2
2026-02-01,-2.1,-0.47,445.0,70.57,15822,404,447.1,449.0,444.4
2026-01-29,-4.9,-1.08,447.1,62.71,13933,396,460.0,460.0,446.3
2026-01-28,0.0,0.0,452.0,,28301,450,450.0,452.0,445.0
2026-01-27,-5.7,-1.25,452.0,,37020,463,452.3,459.7,451.1
2026-01-26,-0.7,-0.15,457.7,,29993,456,453.2,461.8,453.2
2026-01-25,7.4,1.64,458.4,,29917,586,451.0,460.9,451.0
2026-01-22,-2.0,-0.44,451.0,65.02,14404,314,445.0,453.9,445.0
2026-01-21,-4.2,-0.92,453.0,,26284,342,464.6,464.6,451.0
2026-01-20,5.7,1.26,457.2,,39315,541,453.0,463.0,453.0
2026-01-18,6.4,1.44,451.5,,29163,544,440.5,451.5,440.5
2026-01-14,5.6,1.27,445.1,83.21,18724,414,438.2,449.8,438.2
2026-01-13,-1.5,-0.34,439.5,87.18,19811,343,440.0,443.0,439.3
2026-01-12,-1.0,-0.23,441.0,44.62,10113,348,440.0,444.0,440.0
2026-01-08,1.8,0.41,442.0,88.98,20254,357,441.0,443.8,437.2
2026-01-07,-1.1,-0.25,440.2,34.76,7889,312,435.2,443.0,435.2
2026-01-06,3.0,0.68,441.3,,25297,370,445.0,445.0,438.3
2026-01-05,1.7,0.39,438.3,52.52,11990,365,436.0,440.0,435.6
2026-01-04,-3.4,-0.77,436.6,56.34,12888,349,438.0,439.5,436.5
2026-01-01,-1.2,-0.27,440.0,60.74,13774,258,440.0,443.0,440.0
2025-12-31,0.3,0.07,441.2,76.01,17192,362,440.9,445.0,440.0
