DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.2,1.18,359.1,70.11,19535,130,353.0,362.0,352.1
2026-05-07,2.2,0.62,354.9,95.8,27042,100,356.0,356.1,352.5
2026-05-06,-1.3,-0.37,352.7,,68359,143,351.0,359.8,351.0
2026-05-05,0.2,0.06,354.0,,30959,154,350.0,360.0,345.2
2026-05-04,-6.3,-1.75,353.8,,46360,222,360.1,366.7,350.0
2026-04-30,-1.9,-0.52,360.1,,73257,203,380.1,380.1,357.0
2026-04-29,-4.0,-1.09,362.0,,266481,248,360.0,369.7,360.0
2026-04-28,-5.8,-1.56,366.0,,72064,264,371.8,372.7,362.0
2026-04-27,-0.2,-0.05,371.8,,119030,294,380.0,380.0,368.0
2026-04-24,6.0,1.64,372.0,,219984,327,360.2,375.0,358.0
2026-04-23,-4.3,-1.16,366.0,,29307,141,367.0,373.9,365.0
2026-04-22,-1.7,-0.46,370.3,,145991,427,369.0,376.8,361.1
2026-04-21,-6.0,-1.59,372.0,,55721,215,378.0,380.0,370.0
2026-04-20,-7.0,-1.82,378.0,,94652,297,386.0,386.0,378.0
2026-04-17,5.0,1.32,385.0,,154018,588,380.0,386.9,376.1
2026-04-16,0.1,0.03,380.0,,236826,600,379.0,384.9,377.0
2026-04-15,8.9,2.4,379.9,,139062,443,372.0,383.0,371.1
2026-04-13,-3.0,-0.8,371.0,,56117,230,370.0,378.5,370.0
2026-04-10,-4.5,-1.19,374.0,,104348,366,378.0,378.0,366.0
2026-04-09,9.0,2.44,378.5,,175117,500,369.5,378.9,368.0
2026-04-08,13.5,3.79,369.5,,108329,351,360.0,369.8,356.1
2026-04-07,-6.0,-1.66,356.0,,57825,228,355.9,374.0,355.0
2026-04-06,13.9,3.99,362.0,,99118,359,345.0,364.3,335.0
2026-04-05,-15.9,-4.37,348.1,,152006,520,356.8,360.0,343.0
2026-04-02,3.0,0.83,364.0,,188154,552,363.0,370.1,356.2
2026-04-01,-13.9,-3.71,361.0,,152348,534,375.0,375.0,356.8
2026-03-31,4.9,1.32,374.9,,194185,561,370.0,380.0,361.0
2026-03-30,-0.1,-0.03,370.0,,306207,927,372.0,381.0,366.7
2026-03-29,-14.8,-3.85,370.1,,271941,613,380.0,389.0,370.0
2026-03-26,6.9,1.83,384.9,,142213,421,374.0,385.0,374.0
2026-03-25,-13.0,-3.32,378.0,,222192,548,389.0,390.0,377.3
2026-03-24,1.0,0.26,391.0,,164064,553,391.0,394.0,386.5
2026-03-23,0.2,0.05,390.0,,296498,879,390.0,393.7,381.3
2026-03-22,14.8,3.95,389.8,,488161,1527,378.0,395.0,378.0
2026-03-19,15.9,4.43,375.0,,394005,1197,359.1,378.0,359.1
2026-03-17,2.2,0.62,359.1,,72564,206,352.0,362.0,352.0
2026-03-16,-6.1,-1.68,356.9,,130577,379,370.0,370.0,350.0
2026-03-15,7.0,1.97,363.0,,205012,600,360.0,365.0,355.0
2026-03-12,9.0,2.59,356.0,,70066,335,345.1,359.0,345.1
2026-03-11,-12.0,-3.34,347.0,,94163,401,354.0,360.0,344.0
