DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-6.0,-0.46,1309.0,52.2,3969,136,1330.0,1334.0,1305.0
2026-05-07,16.0,1.23,1315.0,,9221,192,1300.0,1319.0,1295.0
2026-05-06,17.0,1.33,1299.0,53.66,4150,146,1282.0,1299.9,1282.0
2026-05-05,27.0,2.15,1282.0,91.81,7246,188,1275.0,1282.0,1248.0
2026-05-04,-13.0,-1.03,1255.0,81.46,6475,176,1255.0,1285.0,1255.0
2026-04-30,-2.1,-0.17,1268.0,57.03,4483,152,1280.0,1280.9,1265.0
2026-04-29,-6.9,-0.54,1270.1,62.52,4917,144,1280.0,1280.0,1270.0
2026-04-28,-1.0,-0.08,1277.0,66.62,5198,146,1278.0,1290.0,1277.0
2026-04-27,5.0,0.39,1278.0,28.02,2192,106,1273.0,1285.0,1273.0
2026-04-24,-2.7,-0.21,1273.0,47.17,3709,123,1219.9,1285.0,1219.9
2026-04-23,-4.3,-0.34,1275.7,46.54,3643,123,1285.0,1290.0,1271.0
2026-04-22,-8.0,-0.62,1280.0,85.52,6682,213,1280.6,1290.0,1276.1
2026-04-21,-1.9,-0.15,1288.0,67.36,5204,139,1289.9,1303.1,1282.2
2026-04-20,-5.1,-0.39,1289.9,51.16,3969,114,1300.0,1300.0,1281.5
2026-04-17,-1.0,-0.08,1295.0,88.47,6864,167,1300.0,1300.0,1280.0
2026-04-16,-9.0,-0.69,1296.0,87.67,6741,191,1305.0,1310.0,1293.3
2026-04-15,-2.0,-0.15,1305.0,,8253,203,1280.9,1332.0,1280.9
2026-04-13,-10.0,-0.76,1307.0,,9513,215,1301.0,1328.0,1301.0
2026-04-10,-22.0,-1.64,1317.0,,8367,153,1339.0,1339.0,1310.0
2026-04-09,24.0,1.83,1339.0,78.87,5940,164,1341.0,1341.0,1315.1
2026-04-08,20.0,1.54,1315.0,67.12,5118,161,1320.9,1338.0,1300.0
2026-04-07,-12.0,-0.92,1295.0,86.17,6572,182,1285.0,1331.0,1285.0
2026-04-06,34.0,2.67,1307.0,,12132,245,1248.0,1312.9,1248.0
2026-04-05,-40.0,-3.05,1273.0,,22084,444,1295.0,1305.0,1270.0
2026-04-02,-2.0,-0.15,1313.0,,10006,264,1300.1,1325.0,1290.0
2026-04-01,-30.0,-2.23,1315.0,,11983,267,1346.0,1347.1,1304.0
2026-03-31,5.9,0.44,1345.0,,11973,307,1339.1,1346.0,1316.0
2026-03-30,-25.9,-1.9,1339.1,,11568,315,1370.0,1374.1,1338.0
2026-03-29,-17.5,-1.27,1365.0,,19838,381,1410.1,1410.1,1360.3
2026-03-26,-1.5,-0.11,1382.5,,9718,288,1385.0,1390.0,1375.0
2026-03-25,-14.9,-1.07,1384.0,,10449,238,1395.0,1395.0,1380.1
2026-03-24,-11.2,-0.79,1398.9,,12592,278,1434.0,1434.0,1391.1
2026-03-23,-5.9,-0.42,1410.1,,8305,158,1435.0,1439.9,1404.0
2026-03-22,44.5,3.24,1416.0,,22181,383,1379.0,1425.9,1379.0
2026-03-19,5.5,0.4,1371.5,,9794,229,1380.0,1390.0,1366.0
2026-03-17,1.0,0.07,1366.0,77.1,5658,123,1370.0,1370.0,1360.0
2026-03-16,-12.0,-0.87,1365.0,55.71,4070,101,1377.1,1379.0,1365.0
2026-03-15,7.0,0.51,1377.0,,8744,226,1375.0,1390.1,1370.0
2026-03-12,4.5,0.33,1370.0,94.25,6908,158,1366.0,1370.0,1340.0
2026-03-11,-27.5,-1.97,1365.5,,12256,183,1372.0,1390.0,1365.0
