DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,7.0,1.73,412.0,5.18,1267,21,407.0,413.0,406.2
2026-05-07,-3.0,-0.74,405.0,26.09,6433,64,406.0,408.0,403.2
2026-05-06,-4.1,-0.99,408.0,13.22,3235,38,416.0,416.0,405.0
2026-05-05,-0.7,-0.17,412.1,10.72,2606,36,406.0,415.0,406.0
2026-05-04,3.8,0.93,412.8,29.35,7132,61,421.2,446.8,410.0
2026-04-30,-2.5,-0.61,409.0,23.94,5862,56,409.0,411.5,406.0
2026-04-29,-5.5,-1.32,411.5,17.74,4307,42,419.0,419.0,410.0
2026-04-28,-0.4,-0.1,417.0,27.32,6565,50,417.4,418.0,415.0
2026-04-27,4.3,1.04,417.4,9.5,2295,20,413.1,417.4,413.0
2026-04-24,-1.9,-0.46,413.1,17.17,4147,39,415.0,418.5,413.0
2026-04-23,-3.0,-0.72,415.0,17.28,4129,61,429.0,430.0,415.0
2026-04-22,0.5,0.12,418.0,59.92,14504,97,410.0,423.0,405.0
2026-04-21,-1.5,-0.36,417.5,26.62,6366,51,429.0,429.0,416.3
2026-04-20,-6.0,-1.41,419.0,34.84,8297,52,425.0,425.0,419.0
2026-04-17,3.0,0.71,425.0,45.41,10800,66,422.0,425.0,419.0
2026-04-16,-9.0,-2.09,422.0,36.12,8551,67,426.0,431.6,420.0
2026-04-15,6.0,1.41,431.0,30.15,6980,73,433.5,439.9,425.0
2026-04-13,2.4,0.57,425.0,23.56,5527,45,425.0,432.9,425.0
2026-04-10,-7.4,-1.72,422.6,23.69,5585,57,431.0,431.0,422.0
2026-04-09,7.0,1.65,430.0,36.18,8401,66,415.7,434.0,415.7
2026-04-08,4.0,0.95,423.0,15.92,3775,43,427.0,427.0,420.0
2026-04-07,-7.0,-1.64,419.0,36.97,8712,72,426.0,437.0,419.0
2026-04-06,19.8,4.87,426.0,63.18,15098,105,407.0,426.0,407.0
