DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,45.0,2.51,1840.0,,51604,574,1705.3,1860.0,1705.3
2026-05-07,3.0,0.17,1795.0,,43094,515,1790.0,1810.0,1690.0
2026-05-06,22.0,1.24,1792.0,,41486,477,1681.5,1835.4,1681.5
2026-05-05,81.0,4.8,1770.0,,34283,841,1605.0,1800.0,1605.0
2026-05-04,125.0,7.99,1689.0,,45429,730,1564.0,1689.0,1551.1
2026-04-30,-66.0,-4.05,1564.0,,38447,494,1700.0,1700.0,1483.0
2026-04-29,-101.0,-5.83,1630.0,,24218,394,1679.1,1679.1,1506.5
2026-04-28,-20.0,-1.14,1731.0,,40148,688,1663.5,1738.6,1565.2
2026-04-27,151.0,9.44,1751.0,,64704,756,1520.0,1800.0,1520.0
2026-04-24,-12.0,-0.74,1600.0,,23374,429,1610.0,1610.0,1510.0
2026-04-23,8.0,0.5,1612.0,,40339,799,1523.8,1692.0,1500.0
2026-04-22,198.0,14.08,1604.0,,37502,505,1363.9,1604.0,1363.9
2026-04-21,-34.0,-2.36,1406.0,,25060,563,1440.0,1490.0,1385.0
2026-04-20,152.9,11.88,1440.0,,37422,484,1225.0,1443.0,1225.0
2026-04-17,-11.9,-0.92,1287.1,64.97,5068,103,1280.0,1318.0,1275.0
2026-04-16,-19.0,-1.44,1299.0,82.22,6342,137,1310.0,1314.0,1285.0
2026-04-15,9.0,0.69,1318.0,,9062,174,1310.0,1323.7,1298.3
2026-04-13,-11.0,-0.83,1309.0,,10937,148,1305.0,1331.0,1300.1
2026-04-10,-30.0,-2.22,1320.0,,9837,176,1323.0,1376.0,1307.0
2026-04-09,5.0,0.37,1350.0,,9489,168,1349.0,1380.0,1313.0
2026-04-08,60.0,4.67,1345.0,,8394,158,1310.7,1350.0,1301.2
2026-04-07,-53.0,-3.96,1285.0,,13566,150,1315.0,1339.7,1285.0
2026-04-06,38.9,2.99,1338.0,,23236,276,1290.0,1410.0,1265.0
2026-04-05,-82.9,-6.0,1299.1,,9399,174,1360.0,1360.0,1260.0
2026-04-02,-33.0,-2.33,1382.0,,17621,197,1386.7,1414.0,1313.0
2026-04-01,27.1,1.95,1415.0,,19401,198,1415.6,1440.0,1315.0
2026-03-31,-11.1,-0.79,1387.9,57.77,4181,94,1390.0,1400.0,1371.0
2026-03-30,11.0,0.79,1399.0,,11404,167,1363.0,1460.0,1363.0
2026-03-29,-57.0,-3.94,1388.0,,10347,166,1425.0,1440.0,1388.0
2026-03-26,15.0,1.05,1445.0,,11029,188,1420.0,1473.7,1420.0
2026-03-25,-7.5,-0.52,1430.0,,16859,214,1466.2,1494.0,1405.1
2026-03-24,-1.5,-0.1,1437.5,,9919,129,1410.3,1439.0,1410.3
2026-03-23,22.0,1.55,1439.0,,15857,204,1417.0,1442.0,1397.0
2026-03-22,0.0,0.0,1417.0,,18953,290,1445.3,1500.0,1388.7
2026-03-19,-2.2,-0.16,1417.0,,8468,192,1447.0,1447.0,1400.1
2026-03-17,-30.8,-2.12,1419.2,,11531,156,1440.0,1525.0,1415.6
2026-03-16,-58.0,-3.85,1450.0,69.63,4853,118,1477.9,1477.9,1419.5
2026-03-15,44.0,3.01,1508.0,,17919,275,1450.0,1508.0,1411.3
2026-03-12,-34.0,-2.27,1464.0,,7086,133,1527.0,1527.0,1455.0
2026-03-11,-52.0,-3.35,1498.0,,7023,168,1519.0,1600.0,1470.1
2026-03-10,21.0,1.37,1550.0,,19718,268,1530.0,1550.0,1460.0
2026-03-09,59.0,4.01,1529.0,12.45,830,10,1499.4,1559.5,1499.4
2026-03-03,-10.0,-0.68,1470.0,,6862,140,1450.4,1500.0,1431.0
2026-03-01,25.0,1.72,1480.0,,13699,184,1445.0,1500.0,1398.1
2026-02-26,55.0,3.93,1455.0,,10767,210,1372.0,1455.0,1372.0
2026-02-25,32.0,2.34,1400.0,92.27,6660,135,1393.9,1402.0,1366.1
2026-02-24,63.0,4.83,1368.0,80.64,6006,147,1315.0,1389.0,1304.1
2026-02-23,-19.0,-1.44,1305.0,67.09,5144,145,1325.0,1325.0,1300.0
2026-02-22,-21.0,-1.56,1324.0,57.82,4374,135,1371.9,1372.0,1300.0
2026-02-17,-15.0,-1.1,1345.0,43.65,3246,124,1336.0,1360.0,1335.0
2026-02-16,60.0,4.62,1360.0,,11124,264,1300.1,1417.6,1300.1
2026-02-12,-20.0,-1.52,1300.0,,9500,235,1305.3,1316.0,1285.0
2026-02-11,-55.0,-4.0,1320.0,,9763,217,1402.0,1415.0,1320.0
2026-02-10,-21.0,-1.5,1375.0,,7751,208,1396.0,1423.0,1358.0
2026-02-09,-49.0,-3.39,1396.0,,9593,221,1422.0,1440.0,1395.0
2026-02-08,9.0,0.63,1445.0,,7452,264,1408.0,1487.0,1408.0
2026-02-05,-4.0,-0.28,1436.0,,9240,275,1440.0,1458.0,1416.1
2026-02-04,-25.0,-1.71,1440.0,,9170,204,1445.0,1490.0,1417.1
2026-02-03,-49.0,-3.24,1465.0,,9305,267,1520.0,1544.2,1450.4
2026-02-02,94.0,6.62,1514.0,,13808,389,1420.0,1560.0,1420.0
2026-02-01,-53.0,-3.6,1420.0,,11431,405,1460.0,1469.9,1404.4
2026-01-29,-81.0,-5.21,1473.0,,17499,430,1570.0,1581.0,1450.0
2026-01-28,9.0,0.58,1554.0,,12947,438,1538.0,1580.0,1490.1
2026-01-27,-103.0,-6.25,1545.0,,32137,653,1648.0,1665.0,1535.0
2026-01-26,-32.0,-1.9,1648.0,,35321,623,1700.0,1705.0,1600.0
2026-01-25,80.1,5.01,1680.0,,26056,587,1630.0,1749.0,1590.0
2026-01-22,124.9,8.47,1599.9,,48436,616,1490.0,1622.0,1464.0
2026-01-21,-24.9,-1.66,1475.0,,17270,293,1470.0,1518.0,1455.0
2026-01-20,55.9,3.87,1499.9,,36403,506,1415.2,1510.0,1415.2
2026-01-18,22.0,1.55,1444.0,,24476,485,1407.0,1486.0,1407.0
2026-01-14,-3.0,-0.21,1422.0,,15101,385,1409.0,1450.0,1404.0
2026-01-13,-45.0,-3.06,1425.0,,41790,694,1490.0,1495.0,1397.0
2026-01-12,70.0,5.0,1470.0,,31391,729,1400.0,1507.0,1386.1
2026-01-08,20.0,1.45,1400.0,,14467,407,1353.0,1401.0,1353.0
2026-01-07,12.0,0.88,1380.0,,21373,462,1345.0,1389.0,1340.7
2026-01-06,-16.0,-1.16,1368.0,,30695,556,1397.0,1475.0,1363.0
2026-01-05,25.0,1.84,1384.0,,34752,552,1331.9,1396.0,1331.9
2026-01-04,39.0,2.95,1359.0,,33460,704,1300.0,1366.0,1300.0
2026-01-01,35.0,2.72,1320.0,,27353,583,1275.0,1369.0,1275.0
2025-12-31,21.1,1.67,1285.0,,19484,458,1263.1,1295.0,1250.0
2025-12-29,16.1,1.29,1263.9,,18557,460,1248.0,1271.9,1228.8
2025-12-28,17.8,1.45,1247.8,,12649,489,1230.0,1251.6,1221.5
2025-12-24,-6.0,-0.49,1230.0,56.46,4601,333,1215.0,1243.0,1215.0
2025-12-23,-4.0,-0.32,1236.0,,12240,488,1220.0,1240.9,1216.1
2025-12-22,-5.0,-0.4,1240.0,,9574,525,1231.0,1240.0,1220.2
2025-12-21,-10.0,-0.8,1245.0,,17532,614,1230.0,1259.0,1221.0
2025-12-18,-15.0,-1.18,1255.0,,13737,526,1252.2,1277.0,1245.0
2025-12-17,10.0,0.79,1270.0,,17332,579,1250.0,1295.0,1247.2
2025-12-16,0.0,0.0,1260.0,,10103,433,1260.0,1279.0,1244.0
2025-12-15,0.2,0.02,1260.0,,21461,789,1234.7,1289.0,1234.7
2025-12-14,39.1,3.2,1259.8,,27348,1130,1201.3,1315.5,1201.3
2025-12-11,-29.3,-2.34,1220.7,,41861,2826,1225.0,1240.0,1180.6
2025-12-10,-128.1,-9.3,1250.0,,40684,3568,1400.0,1400.0,1240.3
2025-12-09,79.2,6.1,1378.1,,21580,2157,1324.0,1417.0,1225.1
2025-12-08,118.0,9.99,1298.9,,70662,6429,1204.5,1298.9,1113.0
2025-12-07,107.3,9.99,1180.9,49.56,4200,420,1095.0,1180.9,1095.0
2025-12-03,97.6,10.0,1073.6,14.24,1330,133,976.0,1073.6,976.0
2025-12-02,88.7,10.0,976.0,12.27,1260,120,905.0,976.0,905.0
2025-12-01,80.6,9.99,887.3,7.7,870,87,822.8,887.3,822.8
2025-11-30,73.3,9.99,806.7,10.31,1280,128,748.0,806.7,748.0
2025-11-27,66.6,9.99,733.4,6.87,940,94,680.1,733.4,680.1
2025-11-26,60.6,10.0,666.8,4.52,680,68,618.3,666.8,618.3
2025-11-25,55.1,10.0,606.2,3.32,550,55,562.1,606.2,562.1
2025-11-24,50.1,10.0,551.1,2.19,400,40,511.0,551.1,511.0
2025-11-23,45.5,9.99,501.0,1.24,250,25,464.6,501.0,464.6
2025-11-20,41.4,10.0,455.5,,200,20,422.3,455.5,422.3
2025-11-19,37.6,9.99,414.1,,120,12,384.0,414.1,384.0
2025-11-18,34.2,9.99,376.5,,110,11,349.1,376.5,349.1
2025-11-17,31.1,9.99,342.3,,130,13,305.3,342.3,305.3
2025-11-16,17.8,6.07,311.2,,60,6,293.4,311.2,293.4
