DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.2,0.43,281.0,27.65,9898,85,285.0,285.0,277.0
2026-05-07,0.3,0.11,279.8,24.82,8895,73,282.0,284.0,275.1
2026-05-06,1.5,0.54,279.5,32.26,11575,72,286.2,286.2,275.0
2026-05-05,3.0,1.09,278.0,44.87,16151,117,275.0,281.0,271.0
2026-05-04,-2.0,-0.72,275.0,29.32,10590,117,278.0,282.0,275.0
2026-04-30,-4.0,-1.42,277.0,66.34,23785,149,277.0,284.0,277.0
2026-04-29,-6.8,-2.36,281.0,84.61,30013,157,280.1,286.0,280.0
2026-04-28,-0.2,-0.07,287.8,40.27,14173,112,288.0,292.0,282.3
2026-04-27,1.1,0.38,288.0,51.85,18105,103,286.9,295.0,284.0
2026-04-24,1.9,0.67,286.9,77.75,27293,121,285.0,288.0,282.1
2026-04-23,-8.2,-2.8,285.0,52.22,18164,130,307.8,307.8,285.0
2026-04-22,3.2,1.1,293.2,96.07,33447,189,291.0,294.0,284.0
2026-04-21,0.0,0.0,290.0,59.07,20456,154,295.0,295.5,285.1
2026-04-20,-5.0,-1.69,290.0,,40950,213,295.0,300.0,289.0
2026-04-17,2.0,0.68,295.0,,35938,148,297.0,297.0,289.0
2026-04-16,-5.0,-1.68,293.0,61.25,20884,138,298.0,300.0,291.1
2026-04-15,3.6,1.22,298.0,,40326,196,295.0,302.0,295.0
2026-04-13,2.4,0.82,294.4,,34192,158,290.0,298.0,289.0
2026-04-10,-3.5,-1.18,292.0,94.62,32312,178,295.0,296.0,289.0
2026-04-09,2.5,0.85,295.5,,46910,193,297.0,297.0,292.0
2026-04-08,9.0,3.17,293.0,78.91,27168,163,288.9,294.0,285.0
2026-04-07,-4.0,-1.39,284.0,94.95,32938,210,292.0,293.0,284.0
2026-04-06,15.8,5.8,288.0,,51044,312,273.0,289.0,273.0
2026-04-05,-16.0,-5.55,272.2,,94092,463,284.1,288.0,272.0
2026-04-02,-4.8,-1.64,288.2,,63948,336,293.0,297.0,282.0
2026-04-01,-11.0,-3.62,293.0,,69239,363,304.0,310.0,289.0
2026-03-31,8.0,2.7,304.0,,61196,364,296.0,306.9,292.2
2026-03-30,-9.3,-3.05,296.0,,47911,340,308.9,308.9,295.1
2026-03-29,-9.7,-3.08,305.3,,94586,473,310.0,320.0,304.0
2026-03-26,0.1,0.03,315.0,,51422,257,315.0,319.0,310.1
2026-03-25,-5.1,-1.59,314.9,,82312,307,325.0,325.0,314.0
2026-03-24,0.0,0.0,320.0,,68144,329,315.3,323.0,315.3
2026-03-23,-0.9,-0.28,320.0,,107335,387,322.0,324.0,312.1
2026-03-22,-4.1,-1.26,320.9,,115825,599,330.0,330.0,315.0
2026-03-19,9.0,2.85,325.0,,249220,1018,320.0,332.5,316.1
2026-03-17,5.0,1.61,316.0,,62061,280,310.0,316.1,305.2
2026-03-16,-5.8,-1.83,311.0,,77568,311,311.5,322.3,310.0
2026-03-15,1.7,0.54,316.8,,60047,309,316.0,321.0,312.0
2026-03-12,5.1,1.65,315.1,,87084,412,310.0,319.9,310.0
2026-03-11,-1.9,-0.61,310.0,,91991,381,312.0,318.0,308.1
2026-03-10,-10.1,-3.14,311.9,,177996,744,328.0,328.0,309.0
