DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,49.9,4.66,1119.9,4.23,385,11,1080.0,1130.0,1080.0
2026-05-07,9.9,0.93,1070.0,,63,3,1065.0,1070.0,1065.0
2026-05-06,-1.0,-0.09,1060.1,,90,6,1061.0,1065.0,1060.1
2026-05-05,-1.2,-0.11,1061.1,1.7,160,3,1070.0,1070.0,1061.1
2026-05-04,-30.7,-2.81,1062.3,1.17,110,6,1080.0,1080.0,1062.3
2026-04-30,-1.0,-0.09,1093.0,2.97,279,14,1080.0,1093.0,1062.4
2026-04-29,-7.0,-0.64,1094.0,22.48,2097,37,1101.0,1101.0,1068.3
2026-04-28,-27.0,-2.39,1101.0,6.95,631,15,1128.0,1105.0,1097.0
2026-04-27,11.0,0.98,1128.0,,21,3,1117.0,1128.0,1100.0
2026-04-24,9.9,0.89,1117.0,5.61,508,12,1138.9,1138.9,1085.0
2026-04-23,2.1,0.19,1107.1,1.37,124,6,1106.1,1107.1,1106.0
2026-04-22,-38.2,-3.34,1105.0,11.31,1021,31,1110.0,1135.0,1105.0
2026-04-21,3.2,0.28,1143.2,2.38,213,13,1110.1,1143.2,1110.0
2026-04-20,0.0,0.0,1140.0,,50,2,1140.0,1140.0,1140.0
2026-04-17,-15.0,-1.3,1140.0,4.64,407,15,1155.0,1155.0,1133.0
2026-04-16,1.0,0.09,1155.0,4.46,392,14,1135.1,1155.0,1134.5
2026-04-15,9.0,0.79,1154.0,,66,5,1167.0,1167.0,1152.6
2026-04-13,8.6,0.76,1145.0,6.6,578,12,1126.3,1167.0,1126.3
2026-04-10,-4.6,-0.4,1136.4,1.55,137,7,1130.0,1153.7,1130.0
2026-04-09,-5.0,-0.44,1141.0,4.14,361,12,1146.0,1162.8,1137.0
2026-04-08,21.0,1.87,1146.0,3.59,311,14,1147.0,1169.9,1146.0
2026-04-07,-15.0,-1.32,1125.0,17.0,1509,26,1162.8,1162.8,1108.6
2026-04-06,32.5,2.93,1140.0,5.09,448,14,1124.9,1150.0,1124.9
2026-04-05,-44.5,-3.86,1107.5,15.86,1422,32,1135.0,1135.0,1107.0
2026-04-02,-18.0,-1.54,1152.0,5.5,475,21,1168.8,1170.0,1150.0
2026-04-01,-20.0,-1.68,1170.0,5.95,508,14,1166.9,1189.0,1160.0
2026-03-31,12.8,1.09,1190.0,9.63,822,16,1193.0,1193.0,1169.0
2026-03-30,-28.2,-2.34,1177.2,8.87,746,20,1205.4,1225.0,1177.2
2026-03-29,-28.6,-2.32,1205.4,26.35,2147,50,1258.6,1280.0,1205.4
2026-03-26,4.0,0.33,1234.0,9.28,759,24,1220.0,1234.0,1202.0
2026-03-25,-15.0,-1.2,1230.0,23.39,1898,25,1245.0,1245.0,1230.0
2026-03-24,-7.0,-0.56,1245.0,3.14,253,19,1230.0,1250.0,1230.0
2026-03-23,-28.0,-2.19,1252.0,28.86,2300,54,1280.0,1303.0,1229.2
2026-03-22,83.0,6.93,1280.0,45.26,3633,91,1205.0,1285.0,1200.0
2026-03-19,32.0,2.75,1197.0,11.55,979,31,1164.0,1200.0,1156.2
2026-03-17,-6.0,-0.51,1165.0,9.04,780,21,1170.0,1171.0,1150.1
2026-03-16,-22.5,-1.89,1171.0,9.01,758,16,1213.0,1214.9,1170.0
2026-03-15,16.5,1.4,1193.5,18.99,1601,22,1185.0,1194.0,1168.1
2026-03-12,7.0,0.6,1177.0,26.74,2262,17,1162.0,1184.9,1162.0
2026-03-11,-4.9,-0.42,1170.0,24.23,2063,18,1170.0,1184.0,1167.0
2026-03-10,41.9,3.7,1174.9,36.31,3080,62,1155.6,1200.0,1155.0
