DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,45.0,3.0,1545.0,2.6,170,6,1480.1,1545.0,1480.1
2026-05-07,-13.0,-0.86,1500.0,3.43,229,11,1520.0,1520.0,1492.0
2026-05-06,-26.0,-1.69,1513.0,,40,3,1512.0,1513.0,1511.6
2026-05-04,-41.0,-2.59,1539.0,4.42,288,13,1535.5,1540.0,1520.0
2026-04-30,-10.0,-0.63,1580.0,1.96,123,8,1555.1,1615.0,1555.1
2026-04-29,-30.0,-1.85,1590.0,8.82,555,15,1601.0,1601.0,1572.0
2026-04-28,19.8,1.24,1620.0,2.4,150,11,1600.2,1620.0,1600.2
2026-04-27,-29.8,-1.83,1600.2,1.31,81,6,1630.0,1630.0,1600.2
2026-04-24,-20.0,-1.21,1630.0,1.51,92,7,1650.0,1665.8,1625.0
2026-04-23,-10.0,-0.6,1650.0,1.21,72,5,1742.9,1742.9,1650.0
2026-04-22,-15.0,-0.9,1660.0,7.46,451,19,1681.0,1681.0,1630.0
2026-04-21,74.0,4.62,1675.0,11.17,669,35,1557.1,1698.9,1557.1
2026-04-20,-39.0,-2.38,1601.0,2.61,163,7,1640.0,1640.0,1601.0
2026-04-17,4.0,0.24,1640.0,3.86,237,11,1615.0,1640.0,1615.0
2026-04-16,-54.0,-3.2,1636.0,5.0,301,10,1656.2,1667.7,1635.0
2026-04-15,9.0,0.54,1690.0,7.12,431,12,1648.1,1690.0,1648.0
2026-04-13,31.0,1.88,1681.0,4.64,286,13,1620.0,1681.0,1617.0
2026-04-10,8.0,0.49,1650.0,11.66,718,23,1626.0,1660.0,1593.5
2026-04-09,-4.0,-0.24,1642.0,3.39,206,7,1669.0,1669.0,1642.0
2026-04-08,-16.0,-0.96,1646.0,3.47,211,9,1656.6,1656.6,1646.0
2026-04-07,18.0,1.09,1662.0,1.17,71,6,1660.0,1662.0,1658.0
2026-04-06,6.0,0.37,1644.0,5.36,331,12,1606.0,1670.7,1606.0
2026-04-05,-25.6,-1.54,1638.0,10.35,636,21,1630.4,1638.0,1602.4
2026-04-02,13.4,0.81,1663.6,2.23,136,8,1660.0,1663.6,1628.0
2026-04-01,-62.8,-3.67,1650.2,8.18,496,15,1678.8,1678.8,1650.2
2026-03-31,33.0,1.96,1713.0,5.52,332,16,1652.1,1713.0,1627.0
2026-03-30,-20.0,-1.18,1680.0,5.82,345,14,1725.0,1725.0,1680.0
2026-03-29,-5.0,-0.29,1700.0,10.58,623,25,1680.0,1712.0,1680.0
2026-03-26,-16.0,-0.93,1705.0,10.54,617,17,1695.4,1728.0,1694.0
2026-03-25,-23.9,-1.37,1721.0,6.13,354,15,1743.0,1743.0,1721.0
2026-03-24,15.9,0.92,1744.9,1.8,104,7,1763.0,1763.0,1715.2
2026-03-23,17.7,1.03,1729.0,5.91,345,13,1725.0,1730.0,1700.1
2026-03-22,11.2,0.66,1711.3,20.81,1204,42,1733.6,1767.0,1701.0
2026-03-19,0.1,0.01,1700.1,8.29,485,17,1734.0,1768.0,1700.1
2026-03-17,0.0,0.0,1700.0,5.08,301,10,1670.1,1708.5,1670.0
2026-03-16,-9.0,-0.53,1700.0,5.32,313,16,1700.0,1725.0,1676.0
2026-03-15,9.0,0.53,1709.0,11.67,689,18,1710.0,1710.0,1680.0
2026-03-12,-10.0,-0.58,1700.0,6.2,365,12,1710.0,1710.0,1679.0
2026-03-11,-15.0,-0.87,1710.0,8.63,503,10,1730.0,1740.0,1710.0
2026-03-10,7.4,0.43,1725.0,15.09,877,38,1751.9,1753.0,1683.0
2026-03-09,33.6,2.0,1717.6,,10,1,1717.6,1717.6,1717.6
2026-03-03,28.0,1.69,1684.0,3.71,226,14,1642.0,1684.0,1625.0
2026-03-01,-1.1,-0.07,1656.0,1.45,88,6,1657.0,1657.0,1656.0
2026-02-26,-12.9,-0.77,1657.1,1.16,70,2,1658.0,1658.0,1657.1
2026-02-25,0.0,0.0,1670.0,,10,1,1670.0,1670.0,1670.0
2026-02-24,-20.0,-1.18,1670.0,1.16,70,3,1656.7,1670.0,1656.7
2026-02-23,-5.0,-0.29,1690.0,,20,2,1700.0,1700.0,1690.0
2026-02-22,33.0,1.99,1695.0,7.54,460,14,1640.0,1695.0,1633.0
2026-02-17,11.0,0.67,1662.0,11.06,665,18,1684.0,1684.0,1660.0
2026-02-16,-5.4,-0.33,1651.0,8.6,516,14,1660.0,1698.0,1651.0
2026-02-12,11.4,0.69,1656.4,4.34,262,9,1655.0,1660.0,1655.0
2026-02-11,-10.0,-0.6,1645.0,4.61,279,11,1665.0,1665.0,1633.0
2026-02-10,4.9,0.3,1655.0,3.02,182,13,1618.0,1682.0,1618.0
2026-02-09,-16.0,-0.96,1650.1,2.0,121,8,1635.2,1680.0,1635.2
2026-02-08,-33.9,-1.99,1666.1,5.24,314,16,1670.0,1680.0,1666.1
2026-02-05,29.0,1.74,1700.0,16.15,955,19,1699.9,1700.0,1670.0
2026-02-04,-27.0,-1.59,1671.0,3.67,220,7,1666.1,1671.0,1666.1
2026-02-03,30.0,1.8,1698.0,9.7,576,18,1655.0,1701.3,1655.0
2026-02-02,7.9,0.48,1668.0,1.53,91,6,1693.3,1693.3,1660.0
2026-02-01,-19.9,-1.18,1660.1,14.54,867,21,1710.0,1710.0,1660.1
2026-01-29,-10.0,-0.59,1680.0,5.59,332,16,1661.0,1705.4,1661.0
2026-01-28,-10.0,-0.59,1690.0,3.42,203,6,1671.6,1690.0,1671.6
2026-01-27,-20.0,-1.16,1700.0,20.58,1207,35,1720.0,1722.0,1695.0
2026-01-26,0.0,0.0,1720.0,16.06,943,31,1705.6,1720.0,1686.1
2026-01-25,6.4,0.37,1720.0,3.66,212,12,1715.0,1743.0,1700.0
2026-01-22,42.6,2.55,1713.6,5.32,315,16,1671.0,1713.6,1671.0
2026-01-21,-14.0,-0.83,1671.0,5.04,300,10,1687.0,1700.0,1671.0
2026-01-20,34.0,2.06,1685.0,6.06,359,19,1684.0,1700.0,1665.2
2026-01-18,1.0,0.06,1651.0,9.04,546,13,1683.0,1683.0,1650.5
2026-01-14,-8.2,-0.49,1650.0,6.98,422,15,1658.2,1662.0,1650.0
2026-01-13,-33.8,-2.0,1658.2,4.73,281,21,1718.0,1720.0,1658.2
2026-01-12,1.0,0.06,1692.0,2.41,142,8,1715.0,1723.0,1691.0
2026-01-08,-17.0,-1.0,1691.0,,20,2,1692.0,1692.0,1691.0
2026-01-07,8.0,0.47,1708.0,1.32,78,5,1734.0,1734.0,1675.0
2026-01-06,-26.0,-1.51,1700.0,7.87,455,22,1726.0,1759.9,1700.0
2026-01-05,64.0,3.85,1726.0,11.84,689,14,1685.0,1726.0,1680.0
2026-01-04,-28.0,-1.66,1662.0,6.34,381,15,1658.0,1670.5,1657.0
2026-01-01,-30.0,-1.74,1690.0,2.64,156,6,1686.1,1700.0,1686.1
2025-12-31,16.0,0.94,1720.0,7.19,415,13,1729.0,1737.0,1701.3
2025-12-29,54.0,3.27,1704.0,18.56,1119,41,1661.0,1704.0,1622.0
2025-12-28,30.1,1.69,1815.0,28.13,1549,47,1762.4,1830.0,1762.4
2025-12-24,-5.0,-0.28,1784.9,4.29,243,14,1761.2,1784.9,1761.2
2025-12-23,24.9,1.41,1789.9,2.6,148,11,1765.0,1790.0,1758.0
2025-12-22,-34.0,-1.89,1765.0,7.81,442,16,1800.0,1800.0,1750.0
2025-12-21,49.0,2.8,1799.0,4.91,277,11,1780.0,1805.0,1766.1
2025-12-18,-12.0,-0.68,1750.0,13.13,741,20,1797.2,1832.9,1727.0
2025-12-17,4.0,0.23,1762.0,5.74,325,15,1793.0,1793.0,1762.0
2025-12-16,-0.2,-0.01,1758.0,7.33,415,10,1790.0,1793.0,1758.0
2025-12-15,-35.8,-2.0,1758.2,11.75,666,22,1765.1,1772.0,1758.2
2025-12-14,14.0,0.79,1794.0,4.44,250,12,1762.0,1795.0,1760.0
2025-12-11,14.9,0.84,1780.0,3.78,214,11,1761.0,1780.0,1752.2
2025-12-10,-49.9,-2.75,1765.1,1.65,93,7,1833.0,1833.0,1765.1
2025-12-09,21.0,1.17,1815.0,6.85,385,24,1820.0,1820.0,1700.0
2025-12-08,34.0,1.93,1794.0,1.27,72,7,1795.0,1795.0,1760.0
2025-12-07,-30.0,-1.68,1760.0,3.43,192,15,1799.0,1807.0,1760.0
2025-12-03,-10.0,-0.56,1790.0,1.72,97,6,1770.0,1800.0,1770.0
2025-12-02,30.0,1.69,1800.0,2.89,161,10,1750.0,1805.4,1750.0
2025-12-01,-30.0,-1.67,1770.0,6.69,377,16,1775.0,1795.0,1755.0
2025-11-30,5.0,0.28,1800.0,,53,6,1799.5,1805.0,1799.5
2025-11-27,15.0,0.84,1795.0,10.28,581,24,1770.0,1798.9,1753.0
2025-11-26,-20.0,-1.11,1780.0,1.31,74,4,1799.0,1799.0,1780.0
2025-11-25,-0.1,-0.01,1800.0,8.44,477,15,1800.1,1800.1,1767.4
2025-11-24,-19.9,-1.09,1800.1,4.6,255,7,1820.0,1820.0,1800.1
2025-11-23,48.4,2.73,1820.0,12.15,670,16,1800.0,1829.0,1775.0
