DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,15.9,1.95,829.9,13.25,1625,57,810.0,829.9,808.0
2026-05-07,11.0,1.37,814.0,15.77,1948,64,826.5,826.5,801.0
2026-05-06,-5.0,-0.62,803.0,9.9,1230,37,785.0,816.5,785.0
2026-05-05,2.9,0.36,808.0,18.33,2266,57,806.0,818.0,800.0
2026-05-04,-14.9,-1.82,805.1,18.46,2259,67,812.0,830.0,800.0
2026-04-30,4.0,0.49,820.0,29.92,3733,82,795.0,820.0,795.0
2026-04-29,-25.1,-2.98,816.0,40.19,4907,92,819.0,839.9,815.0
2026-04-28,-4.0,-0.47,841.1,15.02,1784,57,845.1,846.0,841.1
2026-04-27,-3.9,-0.46,845.1,10.06,1188,56,849.0,870.0,844.0
2026-04-24,9.0,1.07,849.0,10.7,1278,41,840.0,850.0,820.5
2026-04-23,-10.0,-1.18,840.0,20.12,2385,68,843.0,850.0,840.0
2026-04-22,-13.0,-1.51,850.0,39.45,4648,81,851.0,856.5,840.0
2026-04-21,1.0,0.12,863.0,15.9,1841,63,860.0,881.0,859.1
2026-04-20,-10.0,-1.15,862.0,6.46,750,41,870.0,872.0,860.0
2026-04-17,1.0,0.11,872.0,12.07,1395,52,888.0,888.0,858.6
2026-04-16,-16.3,-1.84,871.0,15.37,1760,50,871.1,880.0,870.0
2026-04-15,15.2,1.74,887.3,23.77,2696,98,870.0,887.4,870.0
2026-04-13,0.1,0.01,872.1,18.74,2158,74,859.0,872.1,859.0
2026-04-10,-4.0,-0.46,872.0,21.11,2429,57,860.1,892.5,860.1
2026-04-09,5.0,0.57,876.0,25.01,2854,88,887.9,888.0,865.0
2026-04-08,12.0,1.4,871.0,27.06,3113,87,843.5,872.4,843.5
2026-04-07,22.0,2.63,859.0,25.91,3030,77,843.0,870.0,843.0
2026-04-06,7.0,0.84,837.0,37.9,4511,117,829.9,862.9,829.9
2026-04-05,-22.0,-2.58,830.0,35.54,4253,114,867.0,867.0,825.2
2026-04-02,-9.0,-1.05,852.0,42.33,4990,91,855.0,869.9,840.0
2026-04-01,-24.1,-2.72,861.0,45.38,5224,113,872.1,891.2,856.6
2026-03-31,0.1,0.01,885.1,27.59,3146,83,885.0,890.0,871.5
2026-03-30,-10.0,-1.12,885.0,28.03,3150,75,895.0,911.9,883.9
2026-03-29,-19.0,-2.08,895.0,52.49,5838,129,914.0,914.0,889.0
2026-03-26,12.0,1.33,914.0,29.65,3277,119,890.2,915.0,890.2
2026-03-25,1.8,0.2,902.0,30.48,3373,97,900.0,914.0,895.0
2026-03-24,-11.8,-1.29,900.2,77.96,8602,160,897.0,915.0,897.0
2026-03-23,-3.0,-0.33,912.0,35.8,3905,93,920.0,933.3,910.0
2026-03-22,17.0,1.89,915.0,69.35,7595,152,914.5,925.0,882.2
2026-03-19,8.0,0.9,898.0,,12969,170,907.8,907.8,880.2
2026-03-17,0.0,0.0,890.0,,13160,160,907.2,907.2,867.8
2026-03-16,-27.0,-2.94,890.0,49.79,5518,95,935.0,935.0,890.0
2026-03-15,-1.0,-0.11,917.0,27.99,3052,83,936.0,936.0,910.0
2026-03-12,-20.9,-2.23,918.0,66.61,7186,127,957.6,957.6,918.0
2026-03-11,-6.1,-0.65,938.9,24.35,2589,78,963.9,963.9,930.0
2026-03-10,26.0,2.83,945.0,,28323,332,937.3,969.0,925.0
2026-03-09,18.0,2.0,919.0,,10,1,919.0,919.0,919.0
2026-03-03,13.4,1.51,901.0,28.13,3125,73,904.9,918.0,873.0
2026-03-01,-4.4,-0.49,887.6,32.52,3641,58,880.0,905.0,863.0
2026-02-26,-12.9,-1.43,892.0,15.38,1723,47,920.0,920.0,886.1
2026-02-25,-2.1,-0.23,904.9,21.24,2357,66,923.9,923.9,893.0
2026-02-24,34.0,3.89,907.0,38.21,4263,107,873.0,936.0,860.0
2026-02-23,8.9,1.03,873.0,13.52,1562,71,854.0,875.0,854.0
2026-02-22,-30.9,-3.45,864.1,32.56,3744,114,910.0,910.0,864.1
2026-02-17,-15.0,-1.65,895.0,77.08,8570,125,891.8,920.0,891.8
2026-02-16,9.0,1.0,910.0,47.08,5138,142,900.0,941.0,900.0
2026-02-12,-74.0,-7.59,901.0,,13296,252,960.5,960.5,898.0
2026-02-11,-20.5,-2.06,975.0,71.4,7280,169,1009.0,1010.0,959.0
2026-02-10,59.5,6.36,995.5,,10425,356,919.0,1025.0,919.0
2026-02-09,-46.0,-4.68,936.0,,17967,407,995.0,1000.0,922.3
2026-02-08,-96.1,-8.91,982.0,,60968,1159,1099.6,1185.0,970.3
2026-02-05,98.0,10.0,1078.1,,22551,280,989.0,1078.1,989.0
2026-02-04,89.1,10.0,980.1,,17288,199,908.8,980.1,908.8
2026-02-03,81.0,10.0,891.0,,25025,445,810.0,891.0,807.0
2026-02-02,20.0,2.53,810.0,62.14,7698,150,790.0,818.0,790.0
2026-02-01,-12.4,-1.55,790.0,46.39,5836,214,788.0,810.0,780.0
2026-01-29,-9.6,-1.18,802.4,76.57,9518,121,814.0,822.9,800.0
2026-01-28,-5.0,-0.61,812.0,51.19,6336,109,810.0,817.0,802.1
2026-01-27,0.0,0.0,817.0,68.06,8265,164,810.0,831.0,810.0
2026-01-26,-3.0,-0.37,817.0,86.3,10505,163,820.0,830.0,805.6
2026-01-25,21.0,2.63,820.0,87.05,10710,197,791.2,824.0,790.2
2026-01-22,-0.9,-0.11,799.0,36.74,4627,96,798.9,800.0,790.0
2026-01-21,-8.1,-1.0,799.9,19.11,2402,69,800.0,805.0,790.0
2026-01-20,10.0,1.25,808.0,39.55,4891,107,812.5,819.9,796.3
2026-01-18,12.0,1.53,798.0,32.59,4132,86,775.0,800.0,775.0
2026-01-14,-0.6,-0.08,786.0,18.87,2405,71,786.0,795.6,780.0
2026-01-13,-3.4,-0.43,786.6,19.75,2502,38,775.6,794.0,775.6
2026-01-12,-7.9,-0.99,790.0,18.95,2397,48,783.0,798.0,783.0
2026-01-08,6.9,0.87,797.9,19.12,2425,42,799.0,799.0,784.0
2026-01-07,-23.0,-2.83,791.0,21.28,2669,69,800.0,813.9,790.0
2026-01-06,2.0,0.25,814.0,45.66,5572,95,826.3,829.9,811.1
2026-01-05,36.0,4.64,812.0,73.73,9276,150,775.0,826.6,775.0
2026-01-04,-14.0,-1.77,776.0,38.12,4910,109,775.0,785.0,770.0
2026-01-01,-20.0,-2.47,790.0,61.51,7795,126,798.2,799.5,781.0
2025-12-31,-13.0,-1.58,810.0,80.77,10049,167,811.0,825.0,797.0
2025-12-29,-12.0,-1.44,823.0,62.96,7655,149,835.0,835.0,813.0
2025-12-28,-5.0,-0.6,835.0,23.55,2830,74,840.0,840.0,827.2
2025-12-24,-1.0,-0.12,840.0,11.71,1400,31,857.8,857.8,833.0
2025-12-23,-4.1,-0.49,841.0,10.25,1226,36,859.9,859.9,831.1
2025-12-22,-10.4,-1.22,845.1,28.0,3284,52,850.1,860.0,845.1
2025-12-21,-14.1,-1.62,855.5,16.63,1943,47,855.2,860.0,854.0
2025-12-18,3.6,0.42,869.6,9.19,1065,41,853.2,874.0,853.2
2025-12-17,-1.0,-0.12,866.0,24.3,2817,45,873.0,878.0,850.0
