DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.1,0.92,885.8,18.21,2072,32,886.0,886.0,872.0
2026-05-07,7.7,0.89,877.7,4.3,492,26,882.0,882.0,870.1
2026-05-06,-18.0,-2.03,870.0,4.08,470,16,888.0,888.0,865.6
2026-05-05,18.0,2.07,888.0,22.61,2611,40,870.0,896.0,860.0
2026-05-04,-9.0,-1.02,870.0,25.36,2918,41,865.3,880.0,865.3
2026-04-30,10.0,1.15,879.0,27.34,3124,56,889.9,889.9,865.0
2026-04-29,-16.1,-1.82,869.0,24.91,2857,85,875.1,894.9,865.1
2026-04-28,-14.4,-1.6,885.1,21.71,2442,52,899.5,900.0,885.1
2026-04-27,-15.5,-1.69,899.5,63.17,7092,58,915.0,910.0,890.0
2026-04-24,21.9,2.45,915.0,35.32,3907,62,893.1,1004.2,873.1
2026-04-23,-1.9,-0.21,893.1,31.61,3520,48,890.1,910.0,890.0
2026-04-22,-13.0,-1.43,895.0,,13300,115,890.1,917.0,885.0
2026-04-21,-7.0,-0.77,908.0,,13365,88,905.1,918.0,905.0
2026-04-20,5.0,0.55,915.0,39.29,4281,28,890.0,926.4,890.0
2026-04-17,-15.0,-1.62,910.0,47.42,5226,59,937.0,937.0,900.0
2026-04-16,4.0,0.43,925.0,59.58,6534,112,936.5,957.0,900.5
2026-04-15,6.0,0.66,921.0,75.09,8168,105,915.0,933.0,902.0
2026-04-13,-13.0,-1.4,915.0,59.37,6480,52,929.0,930.0,911.0
2026-04-10,-22.0,-2.32,928.0,85.33,9136,92,950.0,963.0,926.2
2026-04-09,12.5,1.33,950.0,52.22,5553,77,931.0,958.0,926.2
2026-04-08,33.5,3.71,937.5,57.77,6303,57,890.0,937.5,890.0
2026-04-07,4.0,0.44,904.0,39.98,4434,57,913.0,918.0,893.1
2026-04-06,25.0,2.86,900.0,70.89,7988,71,892.5,901.0,874.7
2026-04-05,-26.5,-2.94,875.0,94.56,10769,102,919.5,919.5,861.0
2026-04-02,-18.5,-2.01,901.5,76.95,8464,100,907.2,928.0,895.0
2026-04-01,-22.1,-2.35,920.0,31.98,3454,43,931.0,942.0,920.0
2026-03-31,3.1,0.33,942.1,61.54,6585,87,926.0,951.0,920.0
2026-03-30,-14.0,-1.47,939.0,,13207,90,951.0,963.5,911.4
2026-03-29,-32.0,-3.25,953.0,82.25,8570,89,968.5,968.5,950.1
2026-03-26,9.0,0.92,985.0,32.4,3333,57,976.0,985.0,965.0
2026-03-25,-19.0,-1.91,976.0,91.93,9397,105,977.1,996.0,970.0
2026-03-24,2.0,0.2,995.0,,10241,107,974.0,1014.0,974.0
2026-03-23,-8.9,-0.89,993.0,71.44,7148,132,1021.9,1021.9,990.0
2026-03-22,36.9,3.82,1001.9,,21930,219,975.0,1012.0,965.1
2026-03-19,19.0,2.01,965.0,77.54,8053,87,936.1,970.0,936.1
2026-03-17,-3.7,-0.39,946.0,21.52,2273,33,955.0,955.0,935.9
2026-03-16,-0.3,-0.03,949.7,18.63,1970,32,940.0,950.0,934.0
2026-03-15,-8.5,-0.89,950.0,60.13,6359,86,960.0,970.0,938.0
2026-03-12,8.3,0.87,958.5,18.27,1914,47,938.0,969.0,938.0
2026-03-11,-26.8,-2.74,950.2,51.68,5399,68,958.0,980.0,947.8
2026-03-10,34.1,3.62,977.0,,12942,167,961.7,998.5,945.1
2026-03-09,18.4,1.99,942.9,2.92,310,5,942.9,942.9,942.9
2026-03-03,7.5,0.82,924.5,23.57,2558,37,917.0,930.9,907.0
2026-03-01,0.0,0.0,917.0,16.22,1776,24,900.0,924.0,899.1
2026-02-26,-8.0,-0.86,917.0,5.19,565,16,930.0,930.0,911.5
2026-02-25,-4.9,-0.53,925.0,32.26,3536,33,915.1,925.0,910.0
2026-02-24,9.9,1.08,929.9,12.97,1408,35,933.0,933.0,909.0
2026-02-23,-38.1,-3.98,920.0,31.19,3386,58,939.0,939.0,915.2
2026-02-22,47.1,5.17,958.1,42.26,4633,50,911.0,958.1,893.0
2026-02-17,1.0,0.11,911.0,33.75,3660,47,897.3,987.2,897.3
2026-02-16,-7.0,-0.76,910.0,77.06,8550,96,928.0,928.0,898.0
2026-02-12,-7.8,-0.84,917.0,56.08,6085,55,935.0,935.0,915.0
2026-02-11,1.8,0.2,924.8,23.53,2545,35,936.0,938.0,920.0
2026-02-10,-2.0,-0.22,923.0,16.98,1842,47,921.8,930.0,915.0
2026-02-09,-6.0,-0.64,925.0,28.86,3104,39,925.0,941.0,923.0
2026-02-08,-4.0,-0.43,931.0,29.37,3138,51,922.3,953.0,922.3
2026-02-05,8.8,0.95,935.0,29.13,3091,57,922.3,957.0,922.3
2026-02-04,-18.8,-1.99,926.2,32.45,3460,62,956.0,957.0,926.2
2026-02-03,4.0,0.43,945.0,38.63,4150,54,953.7,953.9,925.0
2026-02-02,-12.1,-1.27,941.0,24.08,2557,54,955.0,955.0,940.2
2026-02-01,2.1,0.22,953.1,29.03,3035,36,947.0,963.9,947.0
2026-01-29,-10.8,-1.12,951.0,58.65,6144,64,960.0,961.8,943.4
2026-01-28,18.8,1.99,961.8,,11456,109,943.0,961.8,935.0
2026-01-27,-17.0,-1.77,943.0,51.05,5391,96,970.0,970.0,942.0
2026-01-26,-0.1,-0.01,960.0,77.14,8047,87,960.2,971.9,948.0
2026-01-25,-0.1,-0.01,960.1,74.88,7785,102,960.2,970.0,950.0
2026-01-22,8.2,0.86,960.2,87.97,9323,126,964.0,964.0,933.1
2026-01-21,-2.0,-0.21,952.0,60.98,6382,59,968.0,968.0,952.0
2026-01-20,-11.0,-1.14,954.0,49.16,5114,71,979.9,979.9,951.6
2026-01-18,12.0,1.26,965.0,50.38,5219,73,955.0,984.8,937.1
2026-01-14,8.0,0.85,953.0,56.06,5995,91,955.0,955.0,924.0
2026-01-13,-5.0,-0.53,945.0,97.63,10428,148,964.0,964.0,921.3
