DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.9,2.29,487.9,35.54,7342,59,480.0,487.9,477.0
2026-05-07,-5.9,-1.22,477.0,90.26,18948,137,480.3,483.0,470.3
2026-05-06,0.9,0.19,482.9,19.28,4018,42,481.9,484.0,477.5
2026-05-05,2.0,0.42,482.0,67.7,14033,104,480.0,489.9,478.0
2026-05-04,-5.9,-1.21,480.0,63.87,13359,101,486.0,486.0,475.1
2026-04-30,-3.2,-0.65,485.9,39.23,8094,79,489.0,489.0,481.0
2026-04-29,-4.9,-0.99,489.1,59.19,12070,104,494.0,495.0,489.1
2026-04-28,-1.0,-0.2,494.0,77.41,15661,100,495.0,497.9,493.1
2026-04-27,-0.9,-0.18,495.0,42.85,8666,84,495.9,499.9,491.5
2026-04-24,-0.1,-0.02,495.9,88.97,18047,92,496.0,496.0,490.1
2026-04-23,-8.0,-1.59,496.0,51.15,10261,92,502.0,504.0,496.0
2026-04-22,-5.0,-0.98,504.0,,37519,172,502.0,507.0,498.0
2026-04-21,-3.0,-0.59,509.0,39.94,7851,76,505.3,515.9,505.3
2026-04-20,1.7,0.33,512.0,57.93,11281,54,535.8,535.8,508.7
2026-04-17,-0.5,-0.1,510.3,,21422,119,517.0,517.0,506.5
2026-04-16,-9.2,-1.77,510.8,,22520,142,510.1,515.0,508.2
2026-04-15,9.0,1.76,520.0,79.05,15304,143,515.0,520.0,511.5
2026-04-13,-1.1,-0.21,511.0,91.0,17791,129,512.1,515.1,505.1
2026-04-10,-3.5,-0.68,512.1,,22764,130,513.0,515.0,508.0
2026-04-09,10.1,2.0,515.6,,38516,255,506.1,516.0,505.0
2026-04-08,9.4,1.89,505.5,,22756,151,506.0,509.7,500.2
2026-04-07,-2.9,-0.58,496.1,,24304,162,508.0,510.0,495.0
2026-04-06,14.0,2.89,499.0,,37687,285,478.1,505.0,478.1
2026-04-05,-27.0,-5.27,485.0,,59983,421,503.0,506.1,485.0
2026-04-02,-2.0,-0.39,512.0,,39810,269,510.0,517.0,505.1
2026-04-01,-11.0,-2.1,514.0,,39384,276,525.0,525.0,511.5
