DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.0,0.42,480.0,91.9,19183,97,472.0,481.0,471.2
2026-05-07,-0.5,-0.1,478.0,,43870,127,475.0,480.0,462.0
2026-05-06,6.5,1.38,478.5,,34405,87,481.9,481.9,472.0
2026-05-05,2.0,0.43,472.0,93.79,20003,97,468.1,475.9,461.0
2026-05-04,-7.9,-1.65,470.0,69.17,14706,98,470.1,477.9,468.0
2026-04-30,2.9,0.61,477.9,,29763,106,483.9,483.9,460.0
2026-04-29,-5.0,-1.04,475.0,,26122,123,481.0,482.0,471.7
2026-04-28,0.0,0.0,480.0,80.0,16655,73,480.0,488.9,476.0
2026-04-27,2.0,0.42,480.0,,20989,89,478.0,485.0,478.0
2026-04-24,-1.5,-0.31,478.0,,28261,78,479.5,480.0,473.1
2026-04-23,-4.5,-0.93,479.5,,26605,91,486.0,486.0,476.2
2026-04-22,5.1,1.06,484.0,,94160,184,465.0,489.0,465.0
2026-04-21,-1.1,-0.23,478.9,,40125,141,494.3,494.3,470.5
2026-04-20,-5.0,-1.03,480.0,,24101,150,485.0,489.8,478.0
2026-04-17,-1.0,-0.21,485.0,,45087,113,484.0,490.0,481.6
2026-04-16,-7.9,-1.6,486.0,,40342,121,494.0,497.9,485.0
2026-04-15,8.7,1.79,493.9,,121226,181,486.1,494.0,486.1
2026-04-13,-4.8,-0.98,485.2,,44855,92,492.9,492.9,483.1
2026-04-10,-4.1,-0.83,490.0,,57844,195,490.1,494.0,481.0
2026-04-09,-0.5,-0.1,494.1,,143102,255,485.2,499.0,485.0
2026-04-08,12.6,2.61,494.6,,54752,168,483.9,494.6,478.1
2026-04-07,-10.0,-2.03,482.0,,105054,286,498.0,498.8,477.0
2026-04-06,32.0,6.96,492.0,,151427,338,455.0,500.0,455.0
2026-04-05,-15.0,-3.16,460.0,,104661,323,475.1,475.1,455.0
2026-04-02,4.9,1.04,475.0,,48468,175,470.0,480.0,463.6
2026-04-01,-14.9,-3.07,470.1,,123354,335,480.0,485.0,462.7
2026-03-31,11.5,2.43,485.0,,73513,308,482.0,490.0,472.0
2026-03-30,-18.5,-3.76,473.5,,95370,377,485.3,495.5,473.2
2026-03-29,-14.0,-2.77,492.0,,93446,320,497.2,505.0,486.0
2026-03-26,0.0,0.0,506.0,,58050,237,500.0,507.3,497.4
2026-03-25,-11.0,-2.13,506.0,,134747,408,511.0,518.0,504.2
2026-03-24,10.0,1.97,517.0,,303323,528,510.9,520.0,502.0
2026-03-23,-2.9,-0.57,507.0,,101213,329,520.0,520.0,499.1
2026-03-22,6.9,1.37,509.9,,215996,545,504.0,511.0,496.0
2026-03-19,20.7,4.29,503.0,,171152,492,491.0,505.0,487.1
2026-03-17,-2.7,-0.56,482.3,,37097,121,480.0,492.0,476.1
2026-03-16,-4.0,-0.82,485.0,,49335,162,489.0,490.9,481.3
2026-03-15,1.0,0.2,489.0,,39497,139,497.7,497.7,488.2
2026-03-12,4.0,0.83,488.0,,37996,204,480.0,491.0,480.0
2026-03-11,-7.9,-1.61,484.0,,93239,235,500.0,500.0,480.5
2026-03-10,-4.1,-0.83,491.9,,118686,412,505.9,505.9,481.0
2026-03-09,28.0,5.98,496.0,24.07,4971,21,477.3,506.4,477.3
2026-03-03,6.0,1.3,468.0,,27792,157,462.0,475.9,461.1
2026-03-01,4.0,0.87,462.0,73.55,15816,105,467.1,471.2,452.3
2026-02-26,-2.0,-0.43,458.0,65.43,14232,100,469.2,469.2,457.0
2026-02-25,2.0,0.44,460.0,,23165,139,461.0,466.0,456.0
2026-02-24,6.0,1.33,458.0,83.93,18427,106,452.0,458.0,452.0
2026-02-23,2.8,0.62,452.0,79.58,17700,94,451.0,452.0,447.0
2026-02-22,-6.4,-1.4,449.2,63.67,14140,104,455.0,456.0,446.7
2026-02-17,-2.4,-0.52,455.6,,58147,134,458.0,460.0,455.0
2026-02-16,1.1,0.24,458.0,71.15,15531,84,460.0,460.0,457.6
2026-02-12,5.9,1.31,456.9,94.87,20797,106,452.1,459.7,452.1
2026-02-11,3.0,0.67,451.0,,30566,105,456.9,465.0,447.0
2026-02-10,-7.1,-1.56,448.0,,52551,156,455.1,456.0,446.7
2026-02-09,-4.9,-1.07,455.1,,31587,113,460.0,462.9,455.1
2026-02-08,-2.0,-0.43,460.0,,27668,102,465.0,469.0,458.0
2026-02-05,5.1,1.12,462.0,,26959,114,451.2,465.0,451.2
2026-02-04,0.4,0.09,456.9,,30428,128,464.0,464.0,454.9
2026-02-03,-2.5,-0.54,456.5,,36798,136,462.0,464.0,455.0
2026-02-02,2.0,0.44,459.0,,27424,122,460.0,462.0,455.0
2026-02-01,-1.0,-0.22,457.0,,46780,207,454.0,459.9,449.0
2026-01-29,-0.9,-0.2,458.0,,28253,217,455.3,468.9,455.3
2026-01-28,-4.1,-0.89,458.9,,38639,228,463.0,466.0,455.5
2026-01-27,-16.0,-3.34,463.0,,69439,319,475.6,479.0,456.7
2026-01-26,-2.9,-0.6,479.0,,60656,278,487.0,487.8,475.3
2026-01-25,9.0,1.9,481.9,,77913,350,480.0,484.5,475.0
2026-01-22,-3.1,-0.65,472.9,,40338,178,475.0,480.0,469.0
2026-01-21,-8.5,-1.75,476.0,,79601,213,484.0,488.0,475.2
2026-01-20,12.5,2.65,484.5,,152071,404,473.5,487.0,472.0
2026-01-18,19.0,4.19,472.0,,56819,289,450.7,472.0,450.0
2026-01-14,1.0,0.22,453.0,,32716,165,455.0,457.0,450.3
2026-01-13,-1.8,-0.4,452.0,,43856,146,455.0,457.0,450.0
2026-01-12,-1.2,-0.26,453.8,88.88,19598,130,464.1,464.1,451.1
2026-01-08,6.0,1.34,455.0,90.63,20212,104,448.0,455.0,445.1
2026-01-07,-2.0,-0.44,449.0,,40806,162,456.0,456.0,446.9
2026-01-06,7.0,1.58,451.0,,55306,290,447.0,464.0,446.0
2026-01-05,12.2,2.83,444.0,,76908,203,431.0,445.0,430.2
2026-01-04,-3.2,-0.74,431.8,93.14,21479,93,435.0,439.5,431.0
