DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.1,1.05,490.0,,32046,141,488.0,491.5,477.2
2026-05-07,0.9,0.19,484.9,,22282,93,481.0,484.9,477.0
2026-05-06,-7.0,-1.43,484.0,,130387,290,496.9,496.9,477.1
2026-05-05,5.7,1.17,491.0,,37177,122,497.6,497.6,482.7
2026-05-04,-6.7,-1.36,485.3,,45100,173,504.0,504.0,485.1
2026-04-30,1.0,0.2,492.0,,33166,159,490.0,494.0,480.1
2026-04-29,4.0,0.82,491.0,,42662,164,482.0,491.0,480.0
2026-04-28,1.0,0.21,487.0,,36855,161,486.0,491.9,485.0
2026-04-27,-1.0,-0.21,486.0,,29199,109,487.0,492.0,478.0
2026-04-24,-3.0,-0.61,487.0,,31837,106,480.0,490.0,480.0
2026-04-23,-4.0,-0.81,490.0,62.38,12842,98,495.0,495.0,481.2
2026-04-22,8.0,1.65,494.0,,54767,254,485.0,495.4,476.1
2026-04-21,-7.0,-1.42,486.0,,35525,151,498.0,498.0,485.1
2026-04-20,-9.7,-1.93,493.0,,32925,110,502.0,503.9,493.0
2026-04-17,-2.2,-0.44,502.7,,87082,233,504.9,507.0,495.0
2026-04-16,5.1,1.02,504.9,,178052,464,500.0,508.0,495.0
2026-04-15,3.8,0.77,499.8,,127286,238,495.0,505.0,492.1
2026-04-13,-2.0,-0.4,496.0,,38948,159,498.9,500.0,492.0
2026-04-10,-4.9,-0.97,498.0,,67640,176,512.0,512.0,495.0
2026-04-09,6.9,1.39,502.9,,155473,292,490.1,507.0,490.0
2026-04-08,11.2,2.31,496.0,,60881,207,490.0,496.0,485.0
2026-04-07,-2.2,-0.45,484.8,,64440,227,494.9,494.9,479.0
2026-04-06,20.0,4.28,487.0,,79281,274,470.0,490.0,470.0
2026-04-05,-21.0,-4.3,467.0,,120753,444,479.0,479.0,465.0
2026-04-02,2.0,0.41,488.0,,108526,284,480.0,494.6,477.0
2026-04-01,-15.5,-3.09,486.0,,73383,324,500.0,500.0,482.0
2026-03-31,3.5,0.7,501.5,,93798,315,488.3,507.7,488.3
2026-03-30,-9.0,-1.78,498.0,,147711,401,506.9,511.0,496.0
