DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.6,2.52,227.4,,84443,254,211.0,230.0,211.0
2026-05-07,2.8,1.28,221.8,,62139,223,216.0,222.0,216.0
2026-05-06,-1.0,-0.45,219.0,,68021,251,218.0,223.0,218.0
2026-05-05,2.0,0.92,220.0,,96915,379,218.0,224.5,216.3
2026-05-04,-4.0,-1.8,218.0,,128418,379,223.0,225.0,216.6
2026-04-30,-1.8,-0.8,222.0,,160616,450,220.2,225.0,219.0
2026-04-29,-1.7,-0.75,223.8,,108043,361,236.7,236.7,222.0
2026-04-28,-4.7,-2.04,225.5,,124466,417,233.0,234.8,225.0
2026-04-27,-1.8,-0.78,230.2,,68183,245,232.0,237.0,230.0
2026-04-24,1.0,0.43,232.0,,144741,395,226.0,235.0,226.0
2026-04-23,-4.0,-1.7,231.0,,90395,338,237.0,240.0,230.1
2026-04-22,2.5,1.08,235.0,,217584,669,244.0,244.0,226.0
2026-04-21,-6.5,-2.72,232.5,,116606,395,245.0,245.0,232.2
2026-04-20,-6.0,-2.45,239.0,,126508,375,240.1,244.0,237.0
2026-04-17,4.0,1.66,245.0,,255939,655,241.0,245.5,235.2
2026-04-16,-9.4,-3.75,241.0,,291629,800,253.0,253.0,240.0
2026-04-15,0.4,0.16,250.4,,406610,971,250.0,258.4,250.0
2026-04-13,6.0,2.46,250.0,,425157,1109,248.0,254.3,239.2
2026-04-10,2.0,0.83,244.0,,354767,784,238.1,246.1,237.1
2026-04-09,8.5,3.64,242.0,,325019,860,235.8,242.3,231.0
2026-04-08,1.5,0.65,233.5,,306321,704,234.6,237.0,230.0
2026-04-07,-3.0,-1.28,232.0,,275062,780,237.7,240.0,228.7
2026-04-06,19.0,8.8,235.0,,406826,1226,219.0,236.0,216.0
2026-04-05,-18.9,-8.05,216.0,,324054,1014,230.4,231.0,215.1
2026-04-02,4.9,2.13,234.9,,344665,903,227.0,237.0,226.0
2026-04-01,-14.1,-5.78,230.0,,458268,1236,239.3,244.9,227.0
2026-03-31,2.9,1.2,244.1,,377170,1195,242.0,248.1,235.0
2026-03-30,-8.8,-3.52,241.2,,507775,1124,250.0,254.9,241.0
2026-03-29,-10.5,-4.03,250.0,,526029,1365,260.0,263.0,248.3
2026-03-26,2.9,1.13,260.5,,417015,1153,262.0,262.7,252.8
2026-03-25,-11.2,-4.17,257.6,,432207,1191,267.0,268.3,257.0
2026-03-24,0.8,0.3,268.8,,488724,1374,271.0,276.0,267.0
2026-03-23,7.0,2.68,268.0,,666595,1750,261.0,271.0,256.1
2026-03-22,-4.3,-1.62,261.0,,1182568,2919,265.4,269.0,255.0
2026-03-19,2.4,0.91,265.3,,1173131,2965,267.0,275.0,262.9
2026-03-17,18.4,7.53,262.9,,1470969,3614,249.3,265.9,240.0
2026-03-16,-6.5,-2.59,244.5,,532320,1239,256.0,256.0,242.4
2026-03-15,-0.5,-0.2,251.0,,785608,1830,255.0,255.0,245.2
2026-03-12,14.8,6.25,251.5,,1542945,3542,241.0,254.0,238.0
2026-03-11,-0.3,-0.13,236.7,,727073,1408,239.0,244.8,232.9
2026-03-10,-6.0,-2.47,237.0,,669648,1700,247.0,247.0,229.0
2026-03-09,21.4,9.66,243.0,16.97,7171,30,226.0,243.7,226.0
2026-03-03,3.8,1.74,221.6,,286497,605,216.0,224.9,215.0
2026-03-01,-0.1,-0.05,217.8,,176836,423,215.0,218.0,212.0
2026-02-26,-1.1,-0.5,217.9,,87111,295,214.7,223.2,214.7
2026-02-25,3.0,1.39,219.0,,139204,491,216.0,221.6,212.1
2026-02-24,3.0,1.41,216.0,,117265,354,216.0,216.9,212.0
2026-02-23,-1.0,-0.47,213.0,,192169,536,218.2,219.3,210.3
2026-02-22,-1.0,-0.47,214.0,,231771,663,215.0,216.0,210.0
2026-02-17,-8.0,-3.59,215.0,,357770,1056,227.4,227.4,214.1
2026-02-16,-7.5,-3.25,223.0,,315274,888,233.0,235.0,221.6
2026-02-12,-6.5,-2.74,230.5,,520628,1336,241.7,241.7,230.0
2026-02-11,8.0,3.49,237.0,,694700,1678,233.5,241.1,225.5
2026-02-10,-8.9,-3.74,229.0,,815589,2205,242.6,259.0,227.0
2026-02-09,17.3,7.84,237.9,,1586484,3727,220.6,238.2,220.6
2026-02-08,2.6,1.19,220.6,,430592,1116,222.3,226.0,220.1
2026-02-05,8.0,3.81,218.0,,420305,1031,214.2,222.0,210.0
2026-02-04,1.4,0.67,210.0,,141667,447,211.0,214.0,207.0
2026-02-03,-4.0,-1.88,208.6,,228750,596,216.8,216.8,207.0
2026-02-02,-3.3,-1.53,212.6,,209565,516,219.7,219.7,211.7
2026-02-01,-6.1,-2.75,215.9,,222941,554,224.0,226.0,215.6
2026-01-29,4.2,1.93,222.0,,653857,1747,220.0,233.0,218.3
2026-01-28,5.6,2.64,217.8,,244817,706,216.0,218.0,210.0
2026-01-27,-9.8,-4.41,212.2,,356404,963,221.0,223.0,210.0
2026-01-26,-4.5,-1.99,222.0,,365931,984,231.0,231.0,217.0
2026-01-25,6.6,3.0,226.5,,438489,1215,224.2,227.6,220.0
2026-01-22,13.0,6.28,219.9,,798119,1750,210.0,220.3,206.8
2026-01-21,-0.1,-0.05,206.9,,211279,632,209.9,210.0,205.4
