DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,14.0,1.47,964.0,3.87,408,10,921.0,970.0,921.0
2026-05-07,24.9,2.69,950.0,2.59,275,9,920.0,952.8,920.0
2026-05-06,-35.9,-3.74,925.1,4.04,437,15,932.3,948.9,921.0
2026-05-05,20.8,2.21,961.0,5.09,545,18,940.0,961.0,928.0
2026-05-04,-34.8,-3.57,940.2,1.08,115,6,946.0,958.0,940.1
2026-04-30,10.0,1.04,975.0,9.56,1019,26,965.0,975.0,915.2
2026-04-29,25.0,2.66,965.0,22.72,2430,19,923.1,967.0,923.0
2026-04-28,-5.0,-0.53,940.0,11.88,1262,25,945.0,969.0,925.2
2026-04-27,-19.0,-1.97,945.0,11.13,1192,42,964.0,964.9,819.4
2026-04-24,-4.0,-0.41,964.0,,61,5,968.0,965.0,944.1
2026-04-23,17.1,1.8,968.0,2.98,312,16,978.0,978.0,941.0
2026-04-22,-4.1,-0.43,950.9,11.67,1265,34,930.1,1010.0,898.7
2026-04-21,-5.3,-0.55,955.0,6.56,689,32,987.0,987.0,932.0
2026-04-20,-8.7,-0.9,960.3,3.33,346,12,998.0,998.0,960.3
2026-04-17,-17.8,-1.8,969.0,20.14,2083,23,968.0,969.0,950.0
2026-04-16,-2.2,-0.22,986.8,3.14,324,13,970.0,986.8,964.0
2026-04-15,14.0,1.44,989.0,4.51,461,17,965.1,1010.0,965.1
2026-04-13,-18.9,-1.9,975.0,3.96,410,13,975.0,994.5,960.2
2026-04-10,-1.1,-0.11,993.9,1.85,190,7,995.0,995.0,976.0
2026-04-09,11.0,1.12,995.0,6.01,608,12,966.0,1000.0,966.0
2026-04-08,13.0,1.34,984.0,11.73,1207,18,975.0,985.0,960.0
2026-04-07,-7.0,-0.72,971.0,5.31,549,14,978.0,978.0,960.0
2026-04-06,29.0,3.06,978.0,13.7,1432,22,967.9,980.0,949.7
2026-04-05,-31.0,-3.16,949.0,9.14,945,27,990.0,996.0,941.2
2026-04-02,-9.0,-0.91,980.0,8.49,870,17,989.0,989.0,971.0
2026-04-01,-31.0,-3.04,989.0,6.84,697,18,1000.0,1000.0,980.0
2026-03-31,29.0,2.93,1020.0,24.69,2479,18,1000.0,1020.0,973.0
2026-03-30,-27.5,-2.7,991.0,10.36,1038,24,998.2,1035.0,978.6
2026-03-29,-21.5,-2.07,1018.5,33.94,3365,33,1023.3,1023.3,999.6
2026-03-26,-12.5,-1.19,1040.0,20.81,2035,24,1040.0,1040.0,1000.1
2026-03-25,8.2,0.79,1052.5,22.07,2121,31,1050.0,1055.0,1028.0
2026-03-24,-4.6,-0.44,1044.3,18.15,1757,26,1032.0,1044.3,1028.1
2026-03-23,-10.1,-0.95,1048.9,37.31,3585,43,1065.0,1065.0,1020.0
2026-03-22,38.0,3.72,1059.0,80.82,7677,114,1023.0,1081.9,1022.9
2026-03-19,11.0,1.09,1021.0,71.94,7167,71,1012.0,1023.0,990.0
2026-03-17,5.0,0.5,1010.0,31.24,3156,35,991.0,1010.0,965.3
2026-03-16,-12.0,-1.18,1005.0,25.06,2536,23,996.7,1005.0,976.8
2026-03-15,12.0,1.19,1017.0,47.8,4784,61,1000.0,1019.0,980.0
2026-03-12,12.0,1.21,1005.0,8.74,891,16,973.5,1005.0,973.0
2026-03-11,-17.0,-1.68,993.0,20.42,2093,29,989.9,1020.0,965.0
2026-03-10,-45.0,-4.27,1010.0,25.12,2500,38,1072.0,1072.0,970.2
2026-03-09,58.1,5.83,1055.0,8.74,846,8,1016.8,1057.0,1016.8
2026-03-03,57.2,6.09,996.9,22.25,2304,38,939.7,996.9,925.0
2026-03-01,8.7,0.93,939.7,7.6,817,13,949.0,963.9,925.0
2026-02-26,-17.0,-1.79,931.0,3.4,361,6,954.9,954.9,931.0
2026-02-25,18.1,1.95,948.0,7.83,840,11,921.0,948.0,921.0
2026-02-24,10.9,1.19,929.9,7.51,814,15,910.0,929.9,903.0
2026-02-23,-1.0,-0.11,919.0,2.76,302,14,913.0,920.0,912.0
2026-02-22,-5.0,-0.54,920.0,13.63,1479,20,922.0,934.5,920.0
2026-02-17,-13.0,-1.39,925.0,16.1,1738,38,920.0,956.7,915.0
2026-02-16,-28.9,-2.99,938.0,4.63,491,16,948.0,955.0,930.0
2026-02-12,7.9,0.82,966.9,2.6,274,9,974.9,974.9,925.0
2026-02-11,10.3,1.09,959.0,1.91,201,14,967.0,985.0,946.0
2026-02-10,-19.3,-1.99,948.7,11.85,1262,28,949.0,949.0,930.2
2026-02-09,-20.0,-2.02,968.0,59.64,6332,77,968.3,968.3,924.0
2026-02-08,-11.0,-1.1,988.0,19.28,1974,24,990.0,990.0,966.0
2026-02-05,10.9,1.1,999.0,37.02,3841,41,985.0,999.0,949.5
2026-02-04,-19.9,-1.97,988.1,7.97,818,16,988.0,990.0,968.3
2026-02-02,23.0,2.34,1008.0,19.11,1952,41,1004.0,1008.0,946.1
2026-02-01,-6.0,-0.61,985.0,1.64,166,11,991.0,1010.0,985.0
2026-01-29,-39.0,-3.79,991.0,7.48,752,24,1015.0,1015.0,990.0
2026-01-28,10.0,0.98,1030.0,4.73,474,17,1000.2,1030.0,982.0
2026-01-27,-10.0,-0.97,1020.0,14.01,1396,28,1010.0,1020.0,990.3
2026-01-26,-18.0,-1.72,1030.0,20.68,2037,29,1027.1,1068.0,1005.3
2026-01-25,40.0,3.97,1048.0,15.35,1490,46,988.0,1048.0,988.0
2026-01-22,15.1,1.52,1008.0,16.72,1675,29,992.7,1012.7,965.4
2026-01-21,0.9,0.09,992.9,7.59,772,21,972.2,993.5,955.0
2026-01-20,51.4,5.46,992.0,30.84,3193,35,942.3,992.0,941.0
2026-01-18,7.6,0.81,940.6,30.42,3210,38,948.0,968.9,940.1
2026-01-14,6.0,0.65,933.0,5.11,547,26,908.5,948.6,908.5
2026-01-13,-24.3,-2.55,927.0,53.28,5733,59,935.0,951.6,921.0
2026-01-12,-18.7,-1.93,951.3,1.85,195,6,951.0,951.4,951.0
2026-01-08,18.9,1.99,970.0,32.39,3421,19,932.1,970.0,932.1
2026-01-07,-18.9,-1.95,951.1,1.56,164,6,955.0,955.0,951.1
2026-01-06,24.8,2.62,970.0,12.7,1327,14,964.0,983.0,953.0
2026-01-05,5.2,0.55,945.2,4.17,438,11,930.0,966.9,930.0
2026-01-04,-20.0,-2.08,940.0,3.95,420,15,951.0,951.6,932.1
2026-01-01,-29.0,-2.93,960.0,,84,4,970.0,970.0,952.0
2025-12-31,-15.7,-1.56,989.0,1.97,200,5,996.0,996.0,961.0
2025-12-29,19.7,2.0,1004.7,7.45,765,18,965.3,1004.7,946.0
2025-12-28,23.2,2.41,985.0,7.71,793,23,943.2,985.0,943.0
2025-12-24,33.8,3.64,961.8,12.64,1345,21,912.2,961.8,912.2
2025-12-23,-9.0,-0.96,928.0,8.67,922,5,921.0,945.0,921.0
2025-12-22,-55.4,-5.58,937.0,1.43,148,8,972.6,972.6,937.0
2025-12-21,52.4,5.57,992.4,4.6,495,24,926.0,992.4,925.0
2025-12-18,-15.0,-1.57,940.0,12.83,1362,35,945.0,973.5,935.9
2025-12-17,-5.0,-0.52,955.0,1.62,169,4,965.0,965.0,955.0
2025-12-16,-10.5,-1.08,960.0,1.67,175,10,953.2,978.0,953.2
2025-12-15,-16.4,-1.66,970.5,2.72,280,9,970.2,979.0,967.2
2025-12-14,-47.0,-4.55,986.9,10.57,1087,23,1014.0,1014.0,965.0
2025-12-11,-21.1,-2.0,1033.9,,50,3,1033.9,1033.9,1033.9
2025-12-10,85.0,8.76,1055.0,39.44,4048,51,960.5,1055.0,960.0
2025-12-09,-12.2,-1.24,970.0,10.58,1088,24,980.0,982.0,963.0
2025-12-08,-18.8,-1.88,982.2,4.65,472,11,1000.0,1000.0,981.0
2025-12-07,-4.0,-0.4,1001.0,6.68,677,17,995.0,1001.0,985.0
2025-12-03,-20.9,-2.04,1005.0,4.68,470,8,1006.0,1006.0,986.0
2025-12-02,-24.1,-2.3,1025.9,2.33,227,12,1050.0,1050.0,1014.3
2025-12-01,40.0,3.96,1050.0,29.47,2933,30,1010.0,1050.0,986.2
2025-11-30,12.0,1.2,1010.0,32.57,3216,42,980.0,1036.0,980.0
2025-11-27,-16.9,-1.67,998.0,3.62,363,11,1024.0,1024.0,976.0
2025-11-26,21.9,2.21,1014.9,17.61,1771,38,995.0,1014.9,971.0
2025-11-25,-3.0,-0.3,993.0,5.25,532,18,996.0,1015.0,974.9
