DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,216.7,49.14,22708,146,214.5,217.4,214.1
2026-05-07,0.8,0.37,216.7,52.44,24370,129,214.1,216.9,213.9
2026-05-06,1.9,0.89,215.9,78.89,36649,136,211.4,217.0,211.3
2026-05-05,0.3,0.14,214.0,,79165,155,211.2,217.5,211.2
2026-05-04,-2.8,-1.29,213.7,,58310,178,212.2,217.0,211.0
2026-04-30,-0.5,-0.23,216.5,,106398,228,212.5,216.5,210.0
2026-04-29,-1.0,-0.46,217.0,,62117,188,215.0,221.0,215.0
2026-04-28,-1.4,-0.64,218.0,,108982,265,219.4,220.0,216.4
2026-04-27,4.4,2.05,219.4,,85020,266,215.0,220.0,214.0
2026-04-24,-0.6,-0.28,215.0,,94523,219,216.0,217.8,211.2
2026-04-23,-0.4,-0.19,215.6,,59734,153,219.9,219.9,210.3
2026-04-22,2.0,0.93,216.0,,101764,266,212.0,216.0,211.2
2026-04-21,-1.3,-0.6,214.0,,55962,210,221.0,221.0,213.7
2026-04-20,-1.9,-0.87,215.3,96.43,44776,160,208.0,220.0,208.0
2026-04-17,-0.2,-0.09,217.2,,59441,164,219.9,219.9,215.0
2026-04-16,-3.6,-1.63,217.4,,110529,251,218.1,219.5,216.4
2026-04-15,5.5,2.55,221.0,,142248,455,219.0,223.0,215.6
2026-04-13,-2.6,-1.19,215.5,,90743,278,214.0,220.0,214.0
2026-04-10,-1.9,-0.86,218.1,,94357,221,224.0,224.0,216.4
2026-04-09,2.8,1.29,220.0,,200362,438,219.4,223.7,215.1
2026-04-08,1.8,0.84,217.2,,81962,323,216.0,217.7,213.0
2026-04-07,-1.6,-0.74,215.4,,98347,324,219.9,220.8,213.0
2026-04-06,9.3,4.48,217.0,,170128,483,206.0,219.6,206.0
2026-04-05,-6.4,-2.99,207.7,,344546,649,210.0,212.9,203.1
2026-04-02,-0.4,-0.19,214.1,,82853,348,210.5,217.5,208.0
2026-04-01,-7.4,-3.33,214.5,,205121,429,220.0,222.8,212.3
2026-03-31,1.9,0.86,221.9,,116979,383,219.2,223.0,215.7
2026-03-30,-4.7,-2.09,220.0,,221171,522,227.0,228.0,219.6
2026-03-29,-10.3,-4.38,224.7,,379070,603,235.0,235.0,224.7
2026-03-26,1.1,0.47,235.0,,301843,501,236.5,236.5,229.5
2026-03-25,-6.1,-2.54,233.9,,352849,628,235.2,240.0,232.3
2026-03-24,3.0,1.27,240.0,,486356,942,239.0,241.2,232.5
2026-03-23,0.0,0.0,237.0,,384398,957,239.5,239.5,229.5
2026-03-22,6.0,2.6,237.0,,507275,943,235.0,239.5,231.0
2026-03-19,9.0,4.05,231.0,,462620,885,226.4,231.0,223.1
2026-03-17,1.3,0.59,222.0,,107885,237,219.8,223.0,218.0
2026-03-16,-3.3,-1.47,220.7,,98869,273,228.4,228.4,219.0
2026-03-15,-0.7,-0.31,224.0,,230724,460,225.0,228.0,221.2
2026-03-12,6.6,3.03,224.7,,239401,532,217.0,227.0,216.0
2026-03-11,-4.8,-2.15,218.1,,103742,301,220.0,224.0,216.8
2026-03-10,-3.1,-1.37,222.9,,318545,763,230.5,230.5,212.0
2026-03-09,12.0,5.61,226.0,7.9,3550,10,218.2,227.0,218.2
2026-03-03,4.0,1.9,214.0,,91404,207,214.2,214.2,210.0
2026-03-01,0.1,0.05,210.0,,90432,241,214.0,214.0,206.0
2026-02-26,3.5,1.7,209.9,54.31,26165,111,210.5,210.5,205.1
2026-02-25,1.4,0.68,206.4,53.48,25955,95,207.0,207.0,204.0
2026-02-24,1.0,0.49,205.0,52.4,25509,90,203.0,208.0,203.0
2026-02-23,-0.5,-0.24,204.0,38.59,18925,120,204.5,206.8,203.1
2026-02-22,-1.9,-0.92,204.5,,65136,192,209.0,209.0,203.5
2026-02-17,-1.1,-0.53,206.4,,58722,184,211.5,211.5,205.2
2026-02-16,0.5,0.24,207.5,,68971,171,209.0,209.0,205.6
2026-02-12,1.4,0.68,207.0,,53728,171,209.7,209.7,205.1
2026-02-11,-1.9,-0.92,205.6,,68870,174,210.0,210.0,205.0
