DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,21.0,3.29,660.0,57.88,8848,220,631.0,660.0,631.0
2026-05-07,-4.0,-0.62,639.0,41.09,6460,138,675.0,675.0,630.4
2026-05-06,-4.0,-0.62,643.0,31.87,4965,115,614.7,651.0,614.7
2026-05-05,-1.3,-0.2,647.0,48.82,7565,149,641.1,657.0,635.5
2026-05-04,-15.7,-2.36,648.3,34.18,5248,139,664.0,664.0,647.0
2026-04-30,-5.8,-0.87,664.0,62.64,9466,143,653.2,678.7,649.8
2026-04-29,-2.5,-0.37,669.8,64.24,9641,242,638.7,683.9,638.7
2026-04-28,-0.7,-0.1,672.3,40.57,6024,212,639.4,698.0,639.4
2026-04-27,-3.0,-0.44,673.0,70.33,10475,214,676.0,690.0,661.0
2026-04-24,-4.9,-0.72,676.0,33.78,5026,141,663.0,680.0,662.0
2026-04-23,-4.1,-0.6,680.9,81.3,12065,215,700.0,700.0,663.0
2026-04-22,-15.0,-2.14,685.0,,17720,251,688.0,699.0,680.0
2026-04-21,-13.0,-1.82,700.0,,18783,306,734.3,734.3,695.0
2026-04-20,23.7,3.44,713.0,90.08,12909,277,681.0,715.0,681.0
2026-04-17,-7.5,-1.08,689.3,49.2,7152,157,683.0,695.0,683.0
2026-04-16,-18.2,-2.55,696.8,,22033,306,701.0,710.0,680.1
2026-04-15,15.0,2.14,715.0,84.69,11866,309,701.0,723.0,701.0
2026-04-13,-17.0,-2.37,700.0,98.55,13925,312,705.1,729.0,697.0
2026-04-10,-22.0,-2.98,717.0,,18915,309,752.0,752.0,708.1
2026-04-09,19.0,2.64,739.0,,26373,334,734.4,744.0,708.0
2026-04-08,51.2,7.66,720.0,,21974,344,682.1,722.0,669.0
2026-04-07,-11.2,-1.65,668.8,77.54,11520,192,680.2,692.0,666.5
2026-04-06,26.0,3.98,680.0,75.43,11293,250,642.0,680.0,642.0
2026-04-05,-46.0,-6.57,654.0,,18594,289,690.0,708.8,654.0
2026-04-02,-12.0,-1.69,700.0,,23319,211,698.1,712.9,693.0
2026-04-01,-32.0,-4.3,712.0,,14447,290,745.0,745.0,705.1
2026-03-31,4.0,0.54,744.0,,16163,261,740.0,749.0,722.0
2026-03-30,-13.0,-1.73,740.0,,19983,291,746.0,759.8,735.0
2026-03-29,-20.0,-2.59,753.0,,28972,374,757.6,786.0,751.0
2026-03-26,4.0,0.52,773.0,,34594,418,760.1,783.7,756.2
2026-03-25,20.0,2.67,769.0,,35225,491,749.0,784.0,735.0
2026-03-24,-4.0,-0.53,749.0,,15583,251,750.0,759.9,744.1
2026-03-23,5.9,0.79,753.0,,19682,377,740.0,755.8,737.0
2026-03-22,-5.9,-0.78,747.1,,15905,297,756.0,763.0,747.0
2026-03-19,8.0,1.07,753.0,,25650,432,745.0,764.0,740.0
2026-03-17,-8.4,-1.11,745.0,,19844,240,753.0,755.0,736.0
2026-03-16,-14.6,-1.9,753.4,47.83,6325,179,755.1,770.0,752.7
2026-03-15,-12.0,-1.54,768.0,,14306,242,780.0,780.0,760.0
2026-03-12,0.0,0.0,780.0,,21246,307,764.4,787.0,764.4
2026-03-11,-18.6,-2.33,780.0,,23572,295,782.7,800.0,770.1
2026-03-10,-17.4,-2.13,798.6,,38159,505,820.0,821.0,764.0
2026-03-09,46.0,5.97,816.0,15.01,1842,13,785.4,832.3,785.4
2026-03-03,29.8,4.03,770.0,,20005,266,725.4,770.0,725.4
2026-03-01,-9.8,-1.31,740.2,87.72,11832,199,735.0,750.0,726.3
2026-02-26,-6.1,-0.81,750.0,56.56,7594,150,770.0,770.0,737.1
2026-02-25,1.1,0.15,756.1,69.56,9164,215,755.0,767.0,742.1
2026-02-24,15.0,2.03,755.0,,14703,285,731.1,765.0,729.0
2026-02-23,10.0,1.37,740.0,,15519,311,716.0,740.0,716.0
2026-02-22,-37.0,-4.82,730.0,,22696,364,760.0,760.0,722.0
2026-02-17,-10.0,-1.29,767.0,,15961,296,777.0,785.0,756.1
2026-02-16,22.0,2.91,777.0,68.82,8998,284,760.0,777.2,750.3
2026-02-12,-4.0,-0.53,755.0,,24759,404,762.0,783.7,750.0
2026-02-11,-21.0,-2.69,759.0,,16135,308,795.0,809.9,759.0
2026-02-10,13.7,1.79,780.0,,32393,589,751.0,819.0,751.0
2026-02-09,-39.7,-4.93,766.3,,19184,445,791.0,806.0,765.1
2026-02-08,-5.0,-0.62,806.0,,24015,500,800.0,825.9,796.0
2026-02-05,12.0,1.5,811.0,,32973,534,799.0,814.0,790.0
2026-02-04,-20.0,-2.44,799.0,,30041,492,820.1,845.0,785.6
2026-02-03,-26.0,-3.08,819.0,,27151,495,859.1,860.0,815.0
2026-02-02,31.0,3.81,845.0,,38649,708,810.0,865.0,810.0
