DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.1,0.85,488.1,26.32,5410,53,483.2,490.0,483.2
2026-05-07,-1.6,-0.33,484.0,57.43,11905,82,482.5,487.0,481.7
2026-05-06,-2.6,-0.53,485.6,31.55,6485,65,501.9,501.9,485.0
2026-05-05,1.2,0.25,488.2,62.81,12926,92,485.2,494.9,480.2
2026-05-04,-5.0,-1.02,487.0,52.59,10778,105,489.0,491.0,487.0
2026-04-30,-3.0,-0.61,492.0,41.46,8423,61,485.0,495.0,485.0
2026-04-29,-8.0,-1.59,495.0,52.03,10530,96,495.0,500.0,490.0
2026-04-28,-8.0,-1.57,503.0,57.68,11429,111,511.0,514.1,500.0
2026-04-27,6.1,1.21,511.0,,29168,128,504.9,517.0,505.0
2026-04-24,9.9,2.0,504.9,57.81,11643,124,488.0,505.3,482.1
2026-04-23,-7.1,-1.41,495.0,42.07,8507,87,489.4,502.0,489.3
2026-04-22,2.1,0.42,502.1,,38540,217,493.0,514.0,481.7
2026-04-21,-10.0,-1.96,500.0,,27042,144,508.0,509.0,498.0
2026-04-20,-10.0,-1.92,510.0,80.04,15707,119,505.0,519.0,505.0
2026-04-17,-4.0,-0.76,520.0,,21939,130,525.0,530.0,515.0
2026-04-16,-6.0,-1.13,524.0,,24519,215,523.0,526.0,515.0
2026-04-15,-2.1,-0.39,530.0,,31577,235,542.0,542.0,525.3
2026-04-13,24.1,4.74,532.1,,97936,646,497.9,544.9,497.9
2026-04-10,21.6,4.44,508.0,,34261,312,490.0,525.0,486.7
2026-04-09,-3.6,-0.73,486.4,72.22,14738,127,485.0,504.0,480.5
2026-04-08,-5.3,-1.07,490.0,,26921,153,488.0,509.9,466.0
2026-04-07,-13.7,-2.69,495.3,23.0,4567,37,510.0,515.0,495.3
2026-04-06,36.0,7.61,509.0,54.49,11105,113,464.2,520.0,455.0
2026-04-05,-30.1,-5.98,473.0,65.89,13633,146,503.0,503.0,470.0
2026-04-02,-6.9,-1.35,503.1,48.88,9607,95,501.0,520.2,500.0
2026-04-01,-17.1,-3.24,510.0,37.39,7239,77,520.0,529.0,510.0
