DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-1.6,-0.2,808.2,6.03,740,30,801.3,820.0,801.3
2026-05-07,4.8,0.6,809.8,18.58,2310,18,804.0,819.9,802.0
2026-05-06,-2.0,-0.25,805.0,9.16,1138,21,801.0,810.0,801.0
2026-05-05,4.0,0.5,807.0,19.01,2315,58,799.0,839.5,799.0
2026-05-04,-0.5,-0.06,803.0,16.02,2000,52,803.5,816.0,799.4
2026-04-30,-2.5,-0.31,803.5,1.78,222,20,809.0,823.0,799.0
2026-04-29,-17.0,-2.07,806.0,5.25,653,25,823.0,823.0,800.4
2026-04-28,0.0,0.0,823.0,19.24,2377,61,823.0,823.9,805.0
2026-04-27,12.8,1.58,823.0,7.94,973,58,810.2,823.5,800.5
2026-04-24,-19.8,-2.39,810.2,13.01,1599,42,830.0,825.0,806.0
2026-04-23,-3.0,-0.36,830.0,22.73,2775,48,815.7,830.0,815.6
2026-04-22,-5.0,-0.6,833.0,12.73,1546,50,840.0,840.0,810.0
2026-04-21,12.7,1.54,838.0,22.66,2731,67,825.2,849.5,816.2
2026-04-20,-14.4,-1.71,825.3,8.72,1053,36,840.0,840.0,821.3
2026-04-17,23.6,2.89,839.7,19.15,2299,65,832.0,848.6,820.0
2026-04-16,-25.9,-3.08,816.1,21.09,2542,55,835.0,835.0,816.1
2026-04-15,-7.9,-0.93,842.0,17.79,2120,57,845.0,845.0,835.1
2026-04-13,-1.1,-0.13,849.9,14.88,1765,49,858.0,858.0,836.5
2026-04-10,11.0,1.31,851.0,63.55,7573,104,824.0,851.0,824.0
2026-04-09,12.0,1.45,840.0,35.98,4312,71,833.0,840.0,823.1
2026-04-08,6.0,0.73,828.0,10.68,1302,31,815.0,828.0,815.0
2026-04-07,4.4,0.54,822.0,11.99,1468,41,808.0,833.9,808.0
2026-04-06,26.6,3.36,817.6,37.27,4589,80,791.0,822.0,791.0
2026-04-05,-34.0,-4.12,791.0,70.07,8787,94,810.0,810.0,790.0
2026-04-02,0.0,0.0,825.0,29.58,3629,82,825.0,829.8,806.3
2026-04-01,-10.1,-1.21,825.0,29.51,3592,89,821.0,837.2,805.0
2026-03-31,-12.9,-1.52,835.1,19.02,2270,66,831.3,848.0,825.0
2026-03-30,-1.9,-0.22,848.0,43.14,5126,86,836.0,853.5,820.0
2026-03-29,-9.6,-1.12,849.9,79.18,9410,106,844.2,859.5,815.0
2026-03-26,9.5,1.12,859.5,43.29,5120,65,838.0,859.8,838.0
2026-03-25,-12.0,-1.39,850.0,26.66,3127,77,851.0,865.0,848.0
2026-03-24,2.0,0.23,862.0,36.98,4324,98,870.0,870.0,845.2
2026-03-23,25.0,2.99,860.0,80.08,9435,167,844.0,860.0,835.2
2026-03-22,3.1,0.37,835.0,50.41,6077,135,832.1,843.0,822.2
2026-03-19,10.3,1.25,831.9,23.33,2819,88,820.0,840.0,818.0
2026-03-17,-6.4,-0.77,821.6,9.83,1192,35,844.5,844.5,819.1
2026-03-16,-0.6,-0.07,828.0,11.43,1383,40,821.3,833.1,821.2
2026-03-15,-20.4,-2.4,828.6,28.75,3448,87,833.3,845.0,828.6
2026-03-12,4.0,0.47,849.0,15.96,1890,44,845.0,859.0,838.0
2026-03-11,-5.0,-0.59,845.0,29.59,3507,60,836.0,866.0,835.0
2026-03-10,1.4,0.16,850.0,68.04,8008,115,865.5,882.0,833.0
2026-03-09,32.6,4.0,848.6,1.33,160,2,832.0,848.6,832.0
2026-03-03,6.0,0.74,816.0,8.58,1049,35,805.1,829.9,801.1
2026-03-01,8.0,1.0,810.0,13.44,1676,43,805.0,810.0,791.0
2026-02-26,-8.0,-0.99,802.0,6.95,867,27,800.0,807.0,796.0
2026-02-25,-1.0,-0.12,810.0,8.08,1001,29,800.0,813.0,800.0
2026-02-24,11.0,1.38,811.0,9.26,1149,49,800.0,812.0,797.1
2026-02-23,1.9,0.24,800.0,17.51,2193,60,798.0,804.9,791.0
2026-02-22,-5.6,-0.7,798.1,8.74,1092,62,804.0,810.0,798.0
2026-02-17,-10.3,-1.27,803.7,21.28,2642,65,803.1,820.0,803.1
2026-02-16,-16.0,-1.93,814.0,6.85,840,42,818.0,819.0,814.0
2026-02-12,18.0,2.22,830.0,29.93,3644,72,805.0,830.0,805.0
2026-02-11,5.0,0.62,812.0,19.5,2395,39,823.0,835.0,806.1
2026-02-10,-6.0,-0.74,807.0,26.19,3211,60,815.0,829.2,805.7
2026-02-09,-14.9,-1.8,813.0,10.36,1270,41,813.1,829.1,813.0
2026-02-08,-7.1,-0.85,827.9,54.7,6576,73,821.0,846.0,821.0
2026-02-05,18.9,2.32,835.0,27.36,3322,79,815.0,835.0,815.0
2026-02-04,-1.8,-0.22,816.1,9.1,1115,43,806.0,826.2,806.0
2026-02-03,7.8,0.96,817.9,28.64,3515,55,810.1,840.0,810.1
2026-02-02,0.0,0.0,810.1,8.52,1046,48,815.0,846.0,800.0
2026-02-01,-9.9,-1.21,810.1,19.27,2379,75,810.0,836.0,803.6
2026-01-29,0.0,0.0,820.0,23.81,2913,78,821.0,835.0,811.1
2026-01-28,-10.0,-1.2,820.0,45.68,5543,70,844.9,844.9,815.0
2026-01-27,-6.0,-0.72,830.0,64.61,7725,119,832.2,852.0,824.0
2026-01-26,-22.0,-2.56,836.0,42.85,5083,96,850.0,860.0,835.0
2026-01-25,5.9,0.69,858.0,26.4,3105,79,860.0,862.0,843.0
2026-01-22,-15.9,-1.83,852.1,46.35,5425,81,850.7,880.0,834.0
2026-01-21,38.0,4.58,868.0,,13035,251,813.4,909.0,813.4
2026-01-20,12.1,1.48,830.0,40.98,5014,96,801.6,830.0,801.6
2026-01-18,10.9,1.35,817.9,38.84,4737,91,800.0,832.3,793.0
2026-01-14,7.0,0.88,807.0,48.53,5994,67,795.0,812.0,795.0
2026-01-13,0.0,0.0,800.0,17.21,2154,31,800.0,804.5,795.1
2026-01-12,0.0,0.0,800.0,21.09,2632,66,793.0,811.8,792.5
2026-01-08,0.0,0.0,800.0,23.84,2973,63,800.0,805.0,795.1
2026-01-07,-5.0,-0.62,800.0,32.26,4045,37,800.0,800.0,795.0
2026-01-06,9.0,1.13,805.0,33.84,4236,73,796.0,812.0,795.7
2026-01-05,2.5,0.32,796.0,29.1,3650,66,793.0,805.9,793.0
2026-01-04,0.5,0.06,793.5,9.67,1217,46,785.2,800.0,785.2
2026-01-01,-4.1,-0.51,793.0,17.03,2154,46,783.1,800.0,783.1
2025-12-31,-7.9,-0.98,797.1,12.18,1524,49,800.0,805.0,796.1
2025-12-29,0.0,0.0,805.0,11.11,1384,34,792.1,811.0,792.1
2025-12-28,11.5,1.45,805.0,10.72,1341,49,800.0,805.0,793.0
2025-12-24,2.5,0.32,793.5,8.56,1067,43,791.0,807.0,791.0
2025-12-23,1.0,0.13,791.0,13.91,1743,52,805.8,810.0,790.2
2025-12-22,-2.9,-0.37,790.0,31.33,3955,44,799.0,800.0,784.1
2025-12-21,-7.1,-0.89,792.9,5.23,660,38,790.0,800.0,790.0
2025-12-18,-8.3,-1.03,800.0,14.63,1822,78,810.0,810.1,800.0
2025-12-17,-1.8,-0.22,808.3,11.52,1423,67,800.3,815.0,800.3
2025-12-16,2.1,0.26,810.1,11.33,1398,57,810.0,819.7,807.1
2025-12-15,2.0,0.25,808.0,18.25,2261,55,806.0,819.8,805.0
2025-12-14,1.0,0.12,806.0,27.54,3417,75,805.0,817.9,802.0
2025-12-11,3.0,0.37,805.0,13.62,1691,55,814.0,818.0,801.1
2025-12-10,-5.5,-0.68,802.0,4.19,523,28,800.1,807.0,800.1
2025-12-09,12.0,1.51,807.5,14.61,1810,54,790.0,812.9,790.0
2025-12-08,-9.5,-1.18,795.5,12.17,1530,54,790.0,805.0,790.0
2025-12-07,-11.0,-1.35,805.0,46.7,5712,45,827.0,832.3,805.0
2025-12-03,2.0,0.25,816.0,20.39,2516,37,814.0,829.0,810.0
2025-12-02,11.9,1.48,814.0,54.57,6664,78,813.9,828.0,810.0
2025-12-01,0.6,0.07,802.1,6.04,757,32,800.0,808.0,791.5
2025-11-30,-8.5,-1.05,801.5,37.99,4705,77,800.0,822.5,800.0
