DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-11.8,-1.29,900.0,4.65,518,16,887.0,900.0,887.0
2026-05-07,16.7,1.87,911.8,5.48,608,22,875.0,916.0,875.0
2026-05-06,-2.9,-0.32,895.1,5.21,577,16,898.0,914.9,895.0
2026-05-05,-19.5,-2.13,898.0,8.9,986,27,915.0,915.0,898.0
2026-05-04,-2.0,-0.22,917.5,6.73,747,28,918.0,918.0,895.1
2026-04-30,5.5,0.6,919.5,3.45,379,25,901.0,928.0,900.0
2026-04-29,-10.0,-1.08,914.0,16.72,1838,53,910.0,915.0,905.5
2026-04-28,-11.0,-1.18,924.0,6.22,673,26,935.0,935.0,917.0
2026-04-27,5.0,0.54,935.0,9.75,1054,27,930.0,935.0,925.0
2026-04-24,-10.0,-1.06,930.0,9.87,1057,27,940.0,944.0,930.0
2026-04-23,-14.0,-1.47,940.0,2.99,318,18,931.1,955.0,931.1
2026-04-22,-7.0,-0.73,954.0,5.19,547,17,935.4,958.0,935.4
2026-04-21,-9.9,-1.02,961.0,14.11,1489,49,970.0,979.0,930.0
2026-04-20,7.9,0.82,970.9,3.7,388,28,989.0,989.0,945.0
2026-04-17,-1.9,-0.2,963.0,1.36,143,7,946.1,964.0,946.1
2026-04-16,-0.1,-0.01,964.9,6.46,679,28,946.0,964.9,946.0
2026-04-15,13.0,1.37,965.0,13.06,1351,52,970.7,970.9,942.1
2026-04-13,7.0,0.74,952.0,10.48,1105,25,937.0,952.5,937.0
2026-04-10,-11.0,-1.15,945.0,7.28,766,19,942.0,959.0,941.0
2026-04-09,-3.9,-0.41,956.0,17.97,1879,27,973.8,973.8,954.8
2026-04-08,1.0,0.1,959.9,11.32,1194,36,966.0,966.0,941.1
2026-04-07,8.9,0.94,958.9,8.36,886,21,968.0,968.0,940.0
2026-04-06,25.0,2.7,950.0,24.17,2574,50,939.0,957.7,926.0
2026-04-05,-26.1,-2.74,925.0,41.41,4456,61,960.0,960.0,917.1
2026-04-02,-3.9,-0.41,951.1,14.44,1523,38,936.0,962.0,936.0
2026-04-01,-13.8,-1.42,955.0,17.74,1849,38,970.0,970.0,955.0
2026-03-31,-1.2,-0.12,968.8,5.99,621,26,970.0,972.0,955.0
2026-03-30,-5.0,-0.51,970.0,14.22,1462,36,969.0,988.0,969.0
2026-03-29,-32.0,-3.18,975.0,35.91,3648,66,1000.0,1025.0,971.5
2026-03-26,-5.9,-0.58,1007.0,17.79,1773,43,1000.0,1019.5,1000.0
2026-03-25,-2.3,-0.23,1012.9,20.74,2063,42,1005.0,1014.9,1001.1
2026-03-24,-4.8,-0.47,1015.2,16.68,1647,46,1010.0,1020.0,1010.0
2026-03-23,-9.9,-0.96,1020.0,16.5,1623,49,1020.0,1028.9,1010.0
2026-03-22,40.9,4.14,1029.9,88.85,8713,136,1008.0,1048.5,990.1
2026-03-19,20.9,2.16,989.0,20.6,2102,78,980.0,989.0,965.0
2026-03-17,-7.9,-0.81,968.1,8.68,896,26,960.1,984.0,960.1
2026-03-16,-2.1,-0.21,976.0,18.14,1859,32,977.0,990.0,975.0
2026-03-15,0.2,0.02,978.1,12.78,1303,33,995.0,995.0,977.0
2026-03-12,-12.1,-1.22,977.9,53.01,5435,46,980.0,985.0,971.3
2026-03-11,5.0,0.51,990.0,28.98,2967,58,975.6,1004.7,965.0
2026-03-10,-2.2,-0.22,985.0,33.68,3419,69,1006.9,1006.9,966.0
2026-03-09,38.2,4.03,987.2,,20,2,967.9,987.2,967.9
2026-03-03,9.0,0.96,949.0,39.67,4226,50,939.0,957.5,935.0
2026-03-01,-1.0,-0.11,940.0,16.67,1782,47,930.0,940.0,904.0
2026-02-26,-9.0,-0.95,941.0,29.03,3077,47,947.0,947.0,935.3
2026-02-25,-9.0,-0.94,950.0,3.08,326,15,945.0,950.0,945.0
2026-02-24,11.8,1.25,959.0,17.95,1891,35,949.0,965.0,939.9
2026-02-23,-2.8,-0.29,947.2,2.7,286,18,940.0,955.5,940.0
2026-02-22,-15.0,-1.55,950.0,6.11,643,18,955.0,955.0,950.0
2026-02-17,6.0,0.63,965.0,17.04,1785,40,959.0,970.0,941.0
2026-02-16,-11.0,-1.13,959.0,16.32,1698,42,953.1,970.0,953.1
2026-02-12,9.0,0.94,970.0,16.02,1653,40,961.0,980.0,961.0
