DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.2,0.43,282.2,87.2,31106,222,284.0,284.0,279.0
2026-05-07,-1.0,-0.35,281.0,88.18,31484,180,282.0,282.0,279.0
2026-05-06,2.9,1.04,282.0,76.08,26893,193,276.4,285.0,276.4
2026-05-05,1.6,0.58,279.1,69.77,24924,252,275.2,283.9,275.0
2026-05-04,-3.5,-1.25,277.5,87.78,31541,292,279.0,281.0,276.6
2026-04-30,-2.9,-1.02,281.0,,66145,310,286.1,286.1,276.6
2026-04-29,-1.3,-0.46,283.9,,54950,340,285.0,289.0,280.0
2026-04-28,-4.3,-1.49,285.2,93.36,32508,275,289.5,291.0,285.1
2026-04-27,-2.0,-0.69,289.5,52.75,18164,281,291.5,295.0,288.8
2026-04-24,-0.1,-0.03,291.5,,36317,244,291.6,292.0,287.0
2026-04-23,-0.7,-0.24,291.6,27.39,9368,201,287.1,294.5,287.1
2026-04-22,-5.5,-1.85,292.3,,55237,307,290.6,296.9,290.6
2026-04-21,-0.2,-0.07,297.8,,34809,297,294.2,302.0,294.2
2026-04-20,-4.0,-1.32,298.0,,41281,279,295.0,305.0,295.0
2026-04-17,3.8,1.27,302.0,92.27,30980,290,298.0,302.0,295.0
2026-04-16,-7.3,-2.39,298.2,,45380,407,310.0,310.0,298.1
2026-04-15,2.4,0.79,305.5,,62789,469,302.1,309.0,302.1
2026-04-13,-2.8,-0.92,303.1,,37235,349,300.0,307.1,300.0
2026-04-10,4.9,1.63,305.9,,40787,365,298.0,307.0,296.0
2026-04-09,7.0,2.38,301.0,,36894,421,291.1,302.0,291.0
2026-04-08,3.0,1.03,294.0,83.98,28503,321,285.2,300.0,285.2
2026-04-07,2.0,0.69,291.0,,40708,325,289.0,299.9,285.0
2026-04-06,8.8,3.14,289.0,,55643,459,279.0,295.0,277.1
2026-04-05,-11.8,-4.04,280.2,,88605,497,288.0,288.9,280.1
2026-04-02,-1.0,-0.34,292.0,,52660,375,296.0,297.0,287.4
2026-04-01,-11.0,-3.62,293.0,,43968,377,303.0,303.0,292.3
2026-03-31,4.0,1.33,304.0,,57801,515,300.0,305.9,296.1
2026-03-30,-6.2,-2.02,300.0,,98966,597,307.0,310.0,299.0
2026-03-29,-10.8,-3.41,306.2,,99965,647,319.5,319.5,306.0
2026-03-26,-1.0,-0.31,317.0,,86331,502,314.0,318.0,311.3
2026-03-25,-9.0,-2.75,318.0,,87125,502,321.5,325.9,315.0
2026-03-24,-3.3,-1.0,327.0,,85386,577,326.0,331.0,321.0
2026-03-23,10.3,3.22,330.3,,285076,967,321.0,330.5,313.3
2026-03-22,0.0,0.0,320.0,,164848,920,322.9,325.0,312.0
2026-03-19,10.2,3.29,320.0,,233722,1358,315.0,332.1,311.0
2026-03-17,1.0,0.32,309.8,,55245,437,308.0,311.9,306.1
2026-03-16,-2.3,-0.74,308.8,,58391,395,307.1,311.0,307.1
2026-03-15,0.1,0.03,311.1,,84911,524,311.0,315.0,310.0
2026-03-12,5.0,1.63,311.0,,113871,708,306.0,315.1,302.5
2026-03-11,-1.3,-0.42,306.0,,70878,535,313.4,313.5,302.3
2026-03-10,-14.6,-4.54,307.3,,198476,961,321.9,321.9,301.1
2026-03-09,27.5,9.34,321.9,12.37,3964,24,300.2,323.0,300.2
2026-03-03,5.2,1.8,294.4,93.06,31855,247,284.5,294.9,284.1
2026-03-01,0.2,0.07,289.2,51.03,17807,214,284.0,289.2,283.3
2026-02-26,-1.0,-0.34,289.0,76.79,26631,186,290.0,292.8,286.5
2026-02-25,4.1,1.43,290.0,,43098,287,286.0,291.0,286.0
2026-02-24,3.4,1.2,285.9,,49337,328,280.1,286.0,280.1
2026-02-23,-0.6,-0.21,282.5,,41478,322,280.0,286.5,280.0
2026-02-22,-8.9,-3.05,283.1,,88915,522,292.0,295.0,283.0
2026-02-17,-15.2,-4.95,292.0,,182944,731,308.0,309.0,291.8
2026-02-16,-6.5,-2.07,307.2,,218246,1383,319.9,333.0,307.0
2026-02-12,28.5,9.99,313.7,,454178,1948,288.0,313.7,281.4
2026-02-11,-1.9,-0.66,285.2,,41569,242,287.1,291.8,284.0
2026-02-10,-1.9,-0.66,287.1,,41634,300,284.2,290.0,284.2
2026-02-09,1.0,0.35,289.0,,50980,336,290.0,290.0,284.2
2026-02-08,-2.8,-0.96,288.0,,38694,390,290.0,294.9,285.9
2026-02-05,5.9,2.07,290.8,,41729,412,279.3,291.0,279.3
2026-02-04,0.2,0.07,284.9,70.74,24969,258,281.4,287.0,281.4
2026-02-03,-3.3,-1.15,284.7,,46568,374,288.0,289.0,282.1
2026-02-02,-3.5,-1.2,288.0,87.84,30377,344,288.0,291.0,288.0
2026-02-01,-3.8,-1.29,291.5,68.62,23561,306,290.1,294.9,290.0
2026-01-29,5.3,1.83,295.3,,108034,667,290.0,299.1,288.1
2026-01-28,3.0,1.05,290.0,,50865,472,287.0,294.0,283.4
