DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.6,0.64,250.6,,94572,178,249.0,250.7,246.1
2026-05-07,4.0,1.63,249.0,,57939,195,250.0,250.0,242.6
2026-05-06,1.0,0.41,245.0,76.89,31322,126,246.8,247.0,243.0
2026-05-05,2.0,0.83,244.0,,61765,159,242.0,246.0,240.5
2026-05-04,-0.1,-0.04,242.0,,133483,230,242.0,247.0,240.0
2026-04-30,-1.9,-0.78,242.1,,109730,268,243.7,247.0,240.0
2026-04-29,-3.0,-1.21,244.0,,88981,193,250.0,250.0,244.0
2026-04-28,-3.0,-1.2,247.0,,165964,321,250.0,256.0,245.9
2026-04-27,5.4,2.21,250.0,,83238,181,244.6,252.1,244.7
2026-04-24,-0.4,-0.16,244.6,,60787,171,238.4,247.9,238.4
2026-04-23,-5.0,-2.0,245.0,,72150,236,252.9,252.9,244.0
2026-04-22,0.0,0.0,250.0,,103207,221,249.2,252.1,244.2
2026-04-21,-1.1,-0.44,250.0,,65179,160,254.0,254.0,250.0
2026-04-20,-0.9,-0.36,251.1,99.33,39578,126,240.0,257.0,240.0
2026-04-17,0.9,0.36,252.0,,102091,217,250.1,253.0,249.1
2026-04-16,-2.9,-1.14,251.1,,81945,208,254.0,255.9,250.0
2026-04-15,2.0,0.79,254.0,,170275,432,257.0,262.0,253.0
2026-04-13,-0.5,-0.2,252.0,,136710,256,252.0,253.0,248.8
2026-04-10,-5.5,-2.13,252.5,,243065,259,254.1,258.0,250.9
2026-04-09,2.0,0.78,258.0,,214437,377,250.9,259.0,250.9
2026-04-08,7.1,2.85,256.0,,212290,475,253.8,257.0,247.0
2026-04-07,-1.1,-0.44,248.9,,161739,413,245.0,254.0,244.7
2026-04-06,9.5,3.95,250.0,,143441,362,238.1,250.0,238.0
2026-04-05,-7.5,-3.02,240.5,,336129,568,243.1,247.9,237.1
2026-04-02,0.0,0.0,248.0,,182198,450,243.1,256.0,243.0
2026-04-01,-6.5,-2.55,248.0,,203926,394,259.5,259.5,245.0
2026-03-31,3.5,1.39,254.5,,174109,525,248.0,256.0,248.0
2026-03-30,-6.1,-2.37,251.0,,292295,555,254.3,263.1,247.0
2026-03-29,-9.8,-3.67,257.1,,278807,661,272.2,272.2,257.0
2026-03-26,-0.1,-0.04,266.9,,289333,515,266.0,269.0,252.9
2026-03-25,-7.5,-2.73,267.0,,301037,716,269.2,284.0,265.4
2026-03-24,1.5,0.55,274.5,,382116,915,274.0,275.0,265.0
2026-03-23,-3.0,-1.09,273.0,,406144,912,272.0,282.9,265.1
2026-03-22,9.4,3.53,276.0,,957510,1664,271.9,280.0,264.0
2026-03-19,14.1,5.58,266.6,,641203,1180,247.5,268.0,247.5
2026-03-17,2.5,1.0,252.5,,177907,305,245.0,255.3,245.0
2026-03-16,-5.5,-2.15,250.0,,128703,294,260.6,260.6,249.0
2026-03-15,5.0,2.0,255.5,,303559,488,254.5,256.0,249.9
2026-03-12,6.5,2.66,250.5,,201453,439,244.0,252.9,237.2
2026-03-11,-2.1,-0.85,244.0,,293106,451,251.0,252.0,242.0
2026-03-10,-9.5,-3.72,246.1,,271247,749,257.0,258.0,242.0
2026-03-09,19.4,8.21,255.6,5.98,2460,14,240.9,255.6,240.9
2026-03-03,3.6,1.55,236.2,,154788,232,237.2,237.2,230.0
2026-03-01,3.0,1.31,232.6,,104085,207,226.0,233.0,218.0
2026-02-26,1.6,0.7,229.6,48.84,21359,98,232.5,232.5,227.3
2026-02-25,-0.3,-0.13,228.0,46.4,20540,85,229.2,229.2,224.0
2026-02-24,1.4,0.62,228.3,73.35,32234,84,229.5,229.5,224.0
2026-02-23,2.0,0.89,226.9,,86388,125,222.4,227.0,222.4
2026-02-22,-1.1,-0.49,224.9,,70361,143,227.0,227.9,223.7
2026-02-17,-2.0,-0.88,226.0,,48531,142,230.0,230.0,224.0
2026-02-16,-1.0,-0.44,228.0,78.6,34496,105,230.0,230.0,227.0
2026-02-12,1.9,0.84,229.0,,50319,155,228.0,230.2,227.0
2026-02-11,1.2,0.53,227.1,,73303,149,229.8,230.4,225.0
2026-02-10,0.9,0.4,225.9,73.05,32512,112,225.0,227.0,223.5
2026-02-09,-5.0,-2.17,225.0,,47111,138,228.0,230.0,225.0
2026-02-08,3.0,1.32,230.0,,77346,216,230.9,233.7,228.0
2026-02-05,2.8,1.25,227.0,,63584,153,224.5,227.5,223.0
2026-02-04,-2.7,-1.19,224.2,,55759,155,222.4,228.5,222.4
2026-02-03,-2.1,-0.92,226.9,,65718,151,230.0,230.0,224.5
2026-02-02,1.0,0.44,229.0,56.47,24657,81,230.0,231.0,228.0
2026-02-01,-3.9,-1.68,228.0,,62831,162,230.0,233.0,227.0
2026-01-29,1.4,0.61,231.9,,75300,221,230.5,234.5,229.0
2026-01-28,-1.0,-0.43,230.5,,48357,168,230.0,233.6,228.0
2026-01-27,-5.5,-2.32,231.5,,69963,221,235.2,239.9,230.5
2026-01-26,-5.0,-2.07,237.0,,105883,285,246.8,246.8,236.1
2026-01-25,12.0,5.22,242.0,,348710,482,231.9,242.3,230.5
2026-01-22,0.0,0.0,230.0,87.49,38213,126,234.6,234.6,226.4
2026-01-21,-1.0,-0.43,230.0,,80526,140,235.0,235.0,227.0
2026-01-20,2.0,0.87,231.0,,65083,176,232.9,235.0,229.0
2026-01-18,1.2,0.53,229.0,,88932,185,228.8,229.0,224.5
2026-01-14,-0.2,-0.09,227.8,84.25,37204,92,232.0,232.0,225.0
2026-01-13,0.3,0.13,228.0,54.75,24103,96,227.0,229.0,225.0
2026-01-12,2.8,1.24,227.7,,74470,184,229.3,229.3,223.2
2026-01-08,1.3,0.58,224.9,82.4,36812,101,227.9,227.9,221.0
2026-01-07,-0.1,-0.04,223.6,,53545,143,222.5,226.0,222.5
2026-01-06,-1.8,-0.8,223.7,,63719,146,223.0,226.4,223.0
2026-01-05,3.5,1.58,225.5,,52889,156,220.1,229.5,218.0
2026-01-04,0.0,0.0,222.0,67.82,30653,109,222.0,224.9,218.3
2026-01-01,-2.8,-1.25,222.0,56.63,25537,96,229.2,229.2,215.7
2025-12-31,2.9,1.31,224.8,,69659,144,224.0,226.0,222.0
2025-12-29,-2.0,-0.89,221.9,,48247,143,221.1,224.0,220.2
2025-12-28,3.9,1.77,223.9,,62702,196,220.0,224.0,218.3
2025-12-24,5.5,2.56,220.0,,51164,135,216.0,220.0,214.8
2025-12-23,-0.5,-0.23,214.5,65.01,30314,82,214.3,215.9,214.0
2025-12-22,-1.2,-0.56,215.0,61.5,28614,96,216.0,217.0,214.0
2025-12-21,-2.4,-1.1,216.2,69.76,32206,104,216.0,217.7,215.2
2025-12-18,1.6,0.74,218.6,86.61,39801,108,219.9,219.9,215.6
2025-12-17,1.9,0.88,217.0,89.03,41001,132,215.0,218.0,215.0
2025-12-16,-2.9,-1.33,215.1,68.86,31703,119,218.8,219.8,215.1
2025-12-15,2.1,0.97,218.0,,58720,131,211.6,218.0,211.6
2025-12-14,0.9,0.42,215.9,,64087,121,217.0,217.0,212.7
2025-12-11,0.0,0.0,215.0,59.96,27848,75,213.7,217.0,213.7
2025-12-10,0.4,0.19,215.0,47.18,21989,61,215.0,217.0,214.0
2025-12-09,-1.1,-0.51,214.6,57.9,26879,92,218.0,218.0,214.2
2025-12-08,-2.3,-1.06,215.7,,60375,111,215.0,219.0,215.0
2025-12-07,-1.0,-0.46,218.0,46.69,21567,110,217.0,218.0,215.1
2025-12-03,-1.8,-0.82,219.0,,62950,93,216.4,222.9,216.4
2025-12-02,0.4,0.18,220.8,61.97,28172,79,218.1,220.9,218.1
2025-12-01,2.4,1.1,220.4,89.31,40773,125,213.7,222.2,213.7
2025-11-30,-7.0,-3.11,218.0,,87998,183,221.1,225.0,218.0
2025-11-27,4.6,2.09,225.0,,94398,202,224.8,226.0,216.0
2025-11-26,1.4,0.64,220.4,,51219,139,215.0,221.0,215.0
2025-11-25,-0.8,-0.36,219.0,82.6,37960,86,220.0,220.0,215.5
2025-11-24,3.8,1.76,219.8,86.63,39851,111,217.9,219.9,214.0
2025-11-23,7.0,3.35,216.0,93.82,44255,132,210.0,216.0,209.0
2025-11-20,-2.5,-1.18,209.0,54.55,26114,92,209.0,210.5,208.5
2025-11-19,2.5,1.2,211.5,48.77,23280,92,212.0,212.0,208.3
2025-11-18,-0.3,-0.14,209.0,25.59,12200,72,209.0,211.6,208.6
2025-11-17,-2.1,-0.99,209.3,36.72,17522,58,211.4,211.4,208.7
2025-11-16,2.3,1.1,211.4,50.61,24218,83,210.0,211.4,207.2
2025-11-13,-1.1,-0.52,209.1,19.37,9261,66,210.0,211.3,208.0
2025-11-12,1.2,0.57,210.2,46.42,22187,75,209.0,211.0,207.5
2025-11-11,-1.8,-0.85,209.0,,73583,114,210.0,210.0,208.4
2025-11-10,0.7,0.33,210.8,56.1,26768,96,208.4,212.4,208.4
2025-11-09,-4.9,-2.28,210.1,87.33,41341,138,215.0,215.0,210.1
2025-11-06,-1.0,-0.46,215.0,,110546,67,214.7,218.0,214.7
2025-11-05,0.0,0.0,216.0,88.81,41370,71,213.7,216.0,213.7
2025-11-04,-3.5,-1.59,216.0,,93461,129,220.0,221.8,213.0
2025-11-03,2.5,1.15,219.5,,46374,122,213.2,220.0,213.2
2025-11-02,4.0,1.88,217.0,49.93,22977,114,217.2,219.9,213.0
2025-10-30,2.0,0.95,213.0,,51282,118,211.2,215.0,211.0
2025-10-29,-2.9,-1.36,211.0,,54234,155,214.0,218.0,210.7
2025-10-28,4.4,2.1,213.9,74.68,35182,120,211.5,214.0,211.0
2025-10-26,2.4,1.16,209.5,20.42,9781,84,205.4,210.9,205.0
2025-10-19,-2.3,-1.1,207.1,,57148,176,208.0,212.0,207.0
2025-10-16,-0.5,-0.24,209.4,72.99,34843,144,213.0,213.0,208.0
2025-10-15,-2.1,-0.99,209.9,96.11,45832,123,215.9,215.9,208.2
2025-10-14,0.6,0.28,212.0,34.64,16344,81,215.6,215.6,211.0
2025-10-13,-0.1,-0.05,211.4,80.64,38000,157,215.7,215.7,208.8
2025-10-12,-8.5,-3.86,211.5,,93428,232,215.6,216.0,209.0
2025-10-09,2.0,0.92,220.0,,70317,190,222.3,230.0,217.0
2025-10-08,-1.2,-0.55,218.0,,55779,204,216.0,219.9,214.0
2025-10-07,-2.8,-1.26,219.2,96.7,44077,130,221.0,221.0,219.0
2025-09-28,-2.0,-0.89,222.0,,45197,182,225.0,225.0,219.6
2025-09-25,1.0,0.45,224.0,59.15,26621,108,223.0,224.7,221.1
2025-09-24,-5.0,-2.19,223.0,,53296,191,230.0,230.0,222.0
2025-09-23,-1.92,-0.84,228.0,,64552,266,233.0,233.0,226.0
2025-09-21,4.92,2.19,229.92,,147003,438,225.0,231.7,221.0
2025-09-18,-13.82,-5.79,225.0,,405,6,234.1,234.1,225.0
2025-09-08,-2.86,-1.14,248.37,,133141,219,251.9,251.9,247.0
2025-09-07,-0.11,-0.04,251.23,,68588,214,253.8,253.8,250.5
2025-09-04,0.3,0.12,251.34,,112976,203,250.0,252.5,248.5
2025-09-03,0.03,0.01,251.04,,77042,177,252.1,253.0,250.0
2025-09-02,0.28,0.11,251.01,,142772,185,255.7,255.7,249.8
2025-09-01,2.09,0.84,250.73,,84851,212,253.6,253.6,247.0
2025-08-31,-1.86,-0.74,248.64,,124581,302,250.0,251.3,247.4
2025-08-28,-1.68,-0.67,250.5,,49903,173,250.3,252.0,248.2
2025-08-27,5.54,2.25,252.18,,72345,196,251.5,253.9,247.0
2025-08-26,-0.38,-0.15,246.64,,87273,104,248.9,249.0,246.0
2025-08-25,1.03,0.42,247.02,,140596,128,247.5,247.5,245.0
2025-08-24,-1.3,-0.53,245.99,,59388,146,249.8,249.8,245.2
2025-08-21,-2.46,-0.98,247.29,,85594,207,249.75,250.9,244.8
2025-08-20,1.68,0.68,249.75,,83233,166,249.9,252.0,247.1
2025-08-19,-2.6,-1.04,248.07,,71549,213,248.0,252.5,245.9
2025-08-18,1.8,0.72,250.67,,84241,203,251.0,256.0,244.2
2025-08-17,-2.9,-1.15,248.87,,99806,272,254.0,254.0,245.3
2025-08-14,0.82,0.33,251.77,,93276,201,247.1,254.0,247.1
2025-08-13,-2.26,-0.89,250.95,,56992,220,256.8,256.8,250.0
2025-08-12,-2.65,-1.04,253.21,,74236,253,260.9,260.9,253.0
2025-08-11,-1.76,-0.68,255.86,,136733,383,261.0,263.9,255.3
2025-08-07,-0.48,-0.19,257.62,,131185,366,256.7,260.0,256.1
2025-08-06,-2.17,-0.83,258.1,,172099,441,262.7,262.7,257.3
2025-08-05,3.01,1.17,260.27,,591770,1178,262.3,272.0,259.8
2025-08-04,10.4,4.21,257.26,,367800,795,248.0,260.0,248.0
