DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,1.01,301.0,35.68,11856,104,306.0,306.0,298.0
2026-05-07,-14.0,-4.49,298.0,85.1,28332,208,312.0,312.0,297.2
2026-05-06,-8.0,-2.5,312.0,67.57,21780,171,317.0,318.6,305.0
2026-05-05,7.0,2.24,320.0,20.91,6463,103,320.0,344.9,316.3
2026-05-04,-9.0,-2.8,313.0,10.03,3148,61,322.0,327.0,313.0
2026-04-30,-6.8,-2.07,322.0,65.7,20167,132,337.0,337.0,320.0
2026-04-29,-7.3,-2.17,328.8,66.28,20288,185,346.0,346.0,320.0
2026-04-28,-8.9,-2.58,336.1,62.98,18911,137,345.0,345.0,325.0
2026-04-27,-5.3,-1.51,345.0,,69180,414,350.3,350.0,325.0
2026-04-24,-12.7,-3.5,350.3,31.73,8872,117,363.0,366.0,350.0
2026-04-23,-7.0,-1.89,363.0,18.25,4997,77,370.0,380.0,360.1
2026-04-22,-10.0,-2.63,370.0,32.67,8848,122,373.0,373.0,362.0
2026-04-21,-6.0,-1.55,380.0,21.27,5555,65,386.0,396.9,375.4
2026-04-20,-2.0,-0.52,386.0,43.54,11152,161,407.4,417.0,381.4
2026-04-17,-6.0,-1.52,388.0,24.85,6361,67,394.0,398.0,388.0
2026-04-16,-13.0,-3.19,394.0,13.56,3422,51,400.1,405.0,393.6
2026-04-15,-3.0,-0.73,407.0,43.57,10558,131,418.2,426.4,403.3
2026-04-13,33.9,9.01,410.0,63.11,15833,177,383.0,413.0,383.0
2026-04-10,-8.9,-2.31,376.1,19.07,4984,37,387.0,389.8,375.0
2026-04-09,5.0,1.32,385.0,29.02,7583,70,375.1,391.0,374.2
2026-04-08,0.0,0.0,380.0,17.99,4718,49,385.0,385.8,376.0
2026-04-07,0.0,0.0,380.0,9.67,2535,46,387.0,388.5,373.1
2026-04-06,10.1,2.73,380.0,14.19,3744,53,375.0,384.7,370.0
2026-04-05,-19.1,-4.91,369.9,16.1,4298,84,389.0,390.0,355.5
2026-04-02,-7.0,-1.77,389.0,30.96,7920,76,396.0,400.0,388.1
2026-04-01,-15.0,-3.65,396.0,39.67,9869,69,403.0,407.0,396.0
2026-03-31,5.0,1.23,411.0,15.66,3850,56,402.1,411.0,402.1
2026-03-30,-4.0,-0.98,406.0,21.81,5355,62,407.0,413.0,406.0
2026-03-29,-12.0,-2.84,410.0,34.45,8299,99,421.0,423.5,410.0
2026-03-26,2.0,0.48,422.0,34.66,8266,89,420.0,424.0,416.0
2026-03-25,-5.0,-1.18,420.0,26.47,6294,81,428.0,428.0,416.6
2026-03-24,5.0,1.19,425.0,65.19,15534,129,420.0,425.0,416.0
2026-03-23,-7.0,-1.64,420.0,58.14,13781,103,424.0,430.0,417.4
2026-03-22,1.0,0.23,427.0,46.06,10822,120,434.4,434.4,421.5
2026-03-19,4.0,0.95,426.0,80.37,18719,174,414.0,432.0,414.0
2026-03-17,0.0,0.0,422.0,42.75,10134,77,420.5,425.9,418.1
2026-03-16,-5.0,-1.17,422.0,21.04,4943,59,435.0,435.0,422.0
2026-03-15,6.0,1.43,427.0,33.09,7775,108,420.0,432.0,418.0
2026-03-12,-9.1,-2.12,421.0,36.53,8599,101,430.0,437.0,420.1
2026-03-11,-7.9,-1.8,430.1,33.99,7894,57,429.3,435.0,429.3
2026-03-10,-9.1,-2.04,438.0,69.96,16206,139,454.9,454.9,420.0
2026-03-09,25.6,6.07,447.1,,210,4,429.9,447.1,429.9
2026-03-03,5.7,1.37,421.5,20.39,4878,58,415.0,424.0,410.0
2026-03-01,8.1,1.99,415.8,24.96,6125,65,401.0,415.8,400.2
2026-02-26,-4.1,-1.0,407.7,22.67,5518,47,405.0,413.1,405.0
2026-02-25,-1.2,-0.29,411.8,30.3,7429,63,419.9,421.2,405.0
2026-02-24,5.0,1.23,413.0,10.35,2529,40,415.0,415.0,407.1
2026-02-23,4.0,0.99,408.0,46.58,11602,100,404.0,418.0,392.0
2026-02-22,-16.0,-3.81,404.0,40.97,10159,134,417.1,418.0,395.2
2026-02-17,-7.0,-1.64,420.0,18.81,4479,49,421.0,425.0,418.0
2026-02-16,-1.3,-0.3,427.0,22.65,5347,60,423.6,435.0,422.0
2026-02-12,-8.7,-1.99,428.3,44.93,10436,94,429.5,437.0,428.3
2026-02-11,-4.0,-0.91,437.0,16.75,3883,46,434.2,440.0,430.0
2026-02-10,2.0,0.46,441.0,26.13,6029,59,447.0,447.0,429.4
2026-02-09,-5.9,-1.33,439.0,24.03,5525,56,436.1,442.0,434.0
2026-02-08,-8.1,-1.79,444.9,55.77,12522,108,462.0,462.0,431.2
2026-02-05,1.9,0.42,453.0,44.27,9819,90,450.0,455.0,446.0
2026-02-04,19.1,4.42,451.1,85.79,19283,174,432.0,454.9,428.1
2026-02-03,0.9,0.21,432.0,27.58,6369,85,431.0,439.0,426.9
2026-02-02,-8.4,-1.91,431.1,20.06,4618,72,448.0,448.0,431.1
2026-02-01,-9.5,-2.12,439.5,27.91,6336,84,455.0,455.0,438.2
2026-01-29,7.5,1.7,449.0,95.24,21123,172,448.0,465.0,440.0
2026-01-28,10.5,2.44,441.5,,25270,172,431.0,448.0,423.2
2026-01-27,-11.0,-2.49,431.0,56.7,13046,111,449.0,449.9,429.1
2026-01-26,-7.8,-1.73,442.0,47.07,10668,125,443.0,449.0,437.0
2026-01-25,27.8,6.59,449.8,,30530,275,426.0,450.0,420.7
2026-01-22,-5.8,-1.36,422.0,43.7,10322,94,420.1,428.4,420.1
2026-01-21,2.2,0.52,427.8,37.41,8780,91,430.0,431.0,419.4
2026-01-20,-1.4,-0.33,425.6,57.18,13399,101,431.0,431.0,416.5
2026-01-18,3.0,0.71,427.0,36.92,8720,123,428.0,431.0,419.0
2026-01-14,-2.0,-0.47,424.0,56.45,13365,95,434.0,434.0,416.0
2026-01-13,9.0,2.16,426.0,39.22,9347,111,422.0,426.0,413.0
2026-01-12,-6.9,-1.63,417.0,19.26,4610,82,417.1,426.0,415.0
2026-01-08,1.8,0.43,423.9,7.65,1814,45,423.0,429.8,418.1
2026-01-07,-7.9,-1.84,422.1,17.9,4187,75,430.0,437.9,421.0
2026-01-06,11.0,2.63,430.0,63.2,14713,149,427.3,436.0,412.5
2026-01-05,-6.0,-1.41,419.0,34.32,8148,91,425.0,433.0,416.1
2026-01-04,-6.5,-1.51,425.0,24.75,5855,75,440.1,440.1,416.7
2026-01-01,0.4,0.09,431.5,36.72,8513,88,428.0,439.0,424.0
2025-12-31,-15.9,-3.56,431.1,,25570,212,440.0,442.0,426.0
2025-12-29,-11.9,-2.59,447.0,21.22,4722,69,449.8,455.0,447.0
2025-12-28,2.8,0.61,458.9,21.94,4830,87,450.0,463.0,450.0
2025-12-24,2.1,0.46,456.1,20.98,4585,74,450.0,472.0,450.0
2025-12-23,-2.1,-0.46,454.0,21.66,4887,91,456.1,456.1,428.6
2025-12-22,-14.9,-3.16,456.1,26.35,5743,70,462.0,464.0,456.0
2025-12-21,-7.0,-1.46,471.0,18.75,3998,74,475.0,475.0,463.0
2025-12-18,-6.9,-1.42,478.0,13.5,2828,52,475.3,487.0,475.3
2025-12-17,4.9,1.02,484.9,6.97,1458,52,470.4,494.0,470.4
2025-12-16,3.9,0.82,480.0,11.81,2478,49,475.5,480.0,475.0
2025-12-15,-3.9,-0.81,476.1,7.92,1664,40,475.0,481.9,475.0
2025-12-14,-10.0,-2.04,480.0,15.02,3095,41,481.0,497.6,480.0
2025-12-11,-2.0,-0.41,490.0,8.89,1831,53,501.8,501.8,482.2
2025-12-10,-1.0,-0.2,492.0,28.01,5721,77,483.2,497.6,483.2
2025-12-09,2.0,0.41,493.0,28.76,5846,87,481.2,497.0,472.5
2025-12-08,-19.0,-3.73,491.0,41.85,8506,144,520.2,520.2,481.0
2025-12-07,26.0,5.37,510.0,22.85,4791,74,474.4,512.0,470.0
2025-12-03,-3.0,-0.62,484.0,6.48,1349,37,477.3,486.8,477.3
2025-12-02,1.0,0.21,487.0,15.09,3101,45,480.0,509.0,472.2
2025-12-01,2.0,0.41,486.0,28.37,5870,66,474.4,491.9,465.0
2025-11-30,-6.0,-1.22,484.0,18.93,3917,69,480.2,490.0,476.4
2025-11-27,0.2,0.04,490.0,24.2,4960,64,485.0,494.0,483.0
2025-11-26,4.8,0.99,489.8,11.88,2444,52,475.4,489.9,475.4
2025-11-25,-4.0,-0.82,485.0,8.06,1668,19,497.9,497.9,480.1
2025-11-24,4.0,0.82,489.0,15.59,3189,44,490.0,491.5,485.5
2025-11-23,9.9,2.08,485.0,17.34,3584,58,470.0,491.0,470.0
2025-11-20,2.1,0.44,475.1,8.81,1847,38,471.0,482.0,470.0
2025-11-19,-1.2,-0.25,473.0,13.33,2830,29,479.0,479.0,470.0
2025-11-18,2.8,0.59,474.2,6.87,1436,36,471.4,499.0,470.2
2025-11-17,-3.6,-0.76,471.4,3.34,710,24,470.0,480.0,470.0
2025-11-16,0.0,0.0,475.0,14.43,3037,30,475.0,480.0,475.0
2025-11-13,-4.1,-0.86,475.0,10.12,2110,36,470.0,483.9,470.0
2025-11-12,-5.9,-1.22,479.1,3.51,733,25,480.0,489.0,476.1
2025-11-11,0.0,0.0,485.0,9.02,1876,34,480.0,486.0,478.6
2025-11-10,2.0,0.41,485.0,8.43,1749,23,480.2,485.0,480.2
2025-11-09,-12.0,-2.42,483.0,3.62,750,19,485.1,486.0,480.1
2025-11-06,-1.0,-0.2,495.0,7.71,1561,21,504.0,504.0,486.1
2025-11-05,6.0,1.22,496.0,10.58,2185,38,485.0,496.0,480.2
2025-11-04,-12.0,-2.39,490.0,16.33,3284,33,502.0,511.0,486.0
2025-11-03,13.5,2.76,502.0,25.81,5210,61,498.0,528.0,490.0
2025-11-02,1.2,0.25,488.5,21.33,4243,60,496.9,511.0,488.2
2025-10-30,-2.5,-0.51,487.3,8.0,1640,31,481.0,493.2,481.0
2025-10-29,5.8,1.2,489.8,5.91,1211,31,474.4,512.0,465.2
2025-10-28,25.3,5.52,484.0,21.52,4600,58,467.8,484.0,460.0
2025-10-26,-16.4,-3.45,458.7,3.94,852,13,470.0,470.0,458.7
2025-10-19,-9.9,-2.04,475.1,3.11,648,17,494.0,494.0,474.1
2025-10-16,3.0,0.62,485.0,16.25,3360,54,491.6,491.8,475.0
2025-10-15,-18.0,-3.6,482.0,9.16,1880,28,510.0,510.0,481.4
2025-10-14,-8.0,-1.57,500.0,26.59,5319,63,502.0,515.0,485.0
2025-10-13,2.0,0.4,508.0,16.57,3316,53,495.9,509.8,486.0
2025-10-12,-9.1,-1.77,506.0,24.79,5012,60,505.0,506.0,490.0
2025-10-09,10.2,2.02,515.1,21.85,4330,61,514.9,526.0,495.0
2025-10-08,-9.1,-1.77,504.9,20.9,4239,53,503.8,505.0,485.6
2025-10-07,-25.0,-4.64,514.0,6.14,1223,35,531.0,538.9,499.8
2025-09-28,9.0,1.7,539.0,8.78,1655,26,522.1,539.0,522.1
2025-09-25,-0.9,-0.17,530.0,12.25,2316,37,521.0,531.4,521.0
2025-09-24,-1.1,-0.21,530.9,9.62,1835,35,523.0,535.0,513.0
2025-09-23,29.1,5.79,532.0,18.16,3466,72,511.9,532.0,511.0
2025-09-21,43.4,9.45,502.9,48.89,10060,125,450.4,504.0,450.4
2025-09-18,-9.35,-1.99,459.5,,20,1,459.5,459.5,459.5
2025-09-08,-11.15,-2.32,468.85,21.13,4500,50,472.5,479.0,455.7
2025-09-07,-2.22,-0.46,480.0,21.99,4579,44,476.0,485.0,476.0
2025-09-04,-10.05,-2.04,482.22,17.61,3634,56,486.0,490.0,481.0
2025-09-03,-13.84,-2.73,492.27,31.29,6269,81,506.0,509.0,492.0
2025-09-02,-8.09,-1.57,506.11,20.42,4011,74,509.0,519.0,505.0
2025-09-01,-1.88,-0.36,514.2,6.44,1251,38,517.0,521.0,513.0
2025-08-31,-7.35,-1.4,516.08,21.11,4058,53,514.0,528.9,514.0
2025-08-28,-8.68,-1.63,523.43,20.81,3960,54,524.1,530.5,521.5
2025-08-27,10.79,2.07,532.11,17.23,3254,76,518.0,534.0,518.0
2025-08-26,0.35,0.07,521.32,6.97,1330,46,520.0,551.0,516.0
2025-08-25,-2.09,-0.4,520.97,17.37,3340,47,520.0,525.0,515.1
2025-08-24,-8.19,-1.54,523.06,21.63,4142,66,541.8,541.8,520.5
2025-08-21,-0.99,-0.19,531.25,12.49,2370,49,535.0,535.0,525.0
2025-08-20,-11.28,-2.08,532.24,22.83,4263,66,540.0,553.0,530.0
