DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.0,1.7,598.0,39.9,6713,48,589.0,598.8,589.0
2026-05-07,5.0,0.86,588.0,4.87,837,14,580.0,588.0,580.0
2026-05-06,3.0,0.52,583.0,16.18,2769,28,588.0,590.0,581.1
2026-05-05,1.9,0.33,580.0,27.98,4833,37,578.0,585.0,575.2
2026-05-04,-6.9,-1.18,578.1,36.56,6306,68,588.0,588.0,577.0
2026-04-30,-6.5,-1.1,585.0,35.64,6103,68,586.0,589.9,581.2
2026-04-29,-3.5,-0.59,591.5,47.89,8141,57,590.0,595.0,586.1
2026-04-28,-2.0,-0.34,595.0,46.72,7821,58,597.0,607.0,595.0
2026-04-27,4.0,0.67,597.0,21.46,3584,43,593.0,600.0,593.0
2026-04-24,-5.0,-0.84,593.0,36.79,6200,44,598.0,600.0,590.2
2026-04-23,-12.0,-1.97,598.0,52.27,8734,74,600.0,605.0,595.0
2026-04-22,5.0,0.83,610.0,90.76,15182,97,592.3,610.0,592.2
2026-04-21,-4.8,-0.79,605.0,50.84,8438,72,609.8,609.8,601.1
2026-04-20,-1.4,-0.23,609.8,67.02,11148,79,611.2,613.0,600.0
2026-04-17,-8.7,-1.4,611.2,67.54,11040,71,620.0,620.0,608.0
2026-04-16,-6.1,-0.97,619.9,53.36,8647,53,623.0,626.0,613.4
2026-04-15,4.1,0.66,626.0,80.23,12832,76,622.0,630.0,616.0
2026-04-13,3.0,0.48,621.9,30.35,4915,46,619.0,623.0,616.0
2026-04-10,-9.1,-1.45,618.9,67.67,10996,77,622.0,625.0,605.3
2026-04-09,12.0,1.95,628.0,,21321,94,616.0,629.0,612.1
2026-04-08,13.0,2.16,616.0,50.07,8123,44,615.0,620.0,605.2
2026-04-07,-14.0,-2.27,603.0,,24406,133,606.0,620.0,600.0
2026-04-06,19.1,3.19,617.0,71.5,11740,92,595.0,618.0,595.0
2026-04-05,-19.1,-3.1,597.9,,19818,137,615.0,615.0,591.2
2026-04-02,3.0,0.49,617.0,,25915,120,607.0,633.0,603.1
2026-04-01,-14.0,-2.23,614.0,,19405,123,634.8,634.8,610.0
2026-03-31,7.0,1.13,628.0,75.24,12039,83,633.0,633.0,616.0
2026-03-30,-12.0,-1.9,621.0,,27659,174,633.0,639.0,616.0
2026-03-29,-17.0,-2.62,633.0,,39987,184,647.2,647.2,628.0
2026-03-26,-5.9,-0.9,650.0,,18497,96,646.0,659.5,645.0
2026-03-25,-9.1,-1.37,655.9,,18072,114,670.0,670.0,651.0
2026-03-24,6.0,0.91,665.0,50.28,7600,60,666.6,666.6,657.0
2026-03-23,-7.0,-1.05,659.0,,22114,141,663.4,669.0,655.0
2026-03-22,0.0,0.0,666.0,,49542,189,675.0,675.0,663.0
2026-03-19,16.0,2.46,666.0,,60647,245,662.9,682.0,650.5
2026-03-17,-4.0,-0.61,650.0,79.22,12168,66,646.0,658.0,646.0
2026-03-16,-11.0,-1.65,654.0,87.47,13335,85,665.0,667.0,651.7
2026-03-15,3.1,0.47,665.0,,37257,122,660.0,673.0,657.0
2026-03-12,10.7,1.64,661.9,,28926,126,650.0,662.0,642.0
2026-03-11,-7.7,-1.17,651.2,,35145,179,672.0,672.0,650.1
2026-03-10,-41.1,-5.87,658.9,,118665,493,700.0,700.0,655.1
2026-03-09,34.0,5.11,700.0,38.47,5500,22,679.3,705.8,679.3
2026-03-03,33.2,5.25,666.0,,55988,195,632.8,666.0,629.0
2026-03-01,-4.7,-0.74,632.8,51.94,8245,64,624.8,633.5,624.0
2026-02-26,8.5,1.35,637.5,,20159,93,631.5,640.0,620.0
