DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.8,1.28,381.0,19.0,4979,68,372.1,387.0,372.1
2026-05-07,2.5,0.67,376.2,7.45,1959,52,380.0,386.0,375.0
2026-05-06,-6.3,-1.66,373.7,28.06,7472,71,391.4,391.4,370.1
2026-05-05,-5.0,-1.3,380.0,19.61,5152,76,396.0,396.0,363.1
2026-05-04,-10.9,-2.75,385.0,28.54,7455,106,400.5,400.5,380.0
2026-04-30,-7.1,-1.76,395.9,56.64,14386,131,394.1,404.0,390.0
2026-04-29,-4.5,-1.1,403.0,12.32,3070,65,408.0,408.0,400.0
2026-04-28,-0.5,-0.12,407.5,20.77,5151,104,427.0,427.0,400.0
2026-04-27,2.9,0.72,408.0,42.62,10466,124,405.1,415.0,401.0
2026-04-24,-4.1,-1.0,405.1,23.38,5808,68,400.0,406.0,399.0
2026-04-23,-10.8,-2.57,409.2,34.33,8346,87,408.1,419.7,408.1
2026-04-22,6.0,1.45,420.0,40.06,9755,113,394.5,420.0,394.5
2026-04-21,-7.0,-1.66,414.0,16.51,3966,102,412.1,420.0,412.1
2026-04-20,-7.9,-1.84,421.0,19.98,4761,80,450.0,450.0,414.1
2026-04-17,0.9,0.21,428.9,,32072,154,436.0,436.0,410.8
2026-04-16,-5.3,-1.22,428.0,54.94,12898,113,441.0,441.0,420.3
2026-04-15,1.3,0.3,433.3,71.4,16489,163,440.0,440.0,426.1
2026-04-13,0.0,0.0,432.0,60.96,14235,120,424.0,435.0,424.0
2026-04-10,-2.9,-0.67,432.0,65.17,15186,112,443.0,443.0,425.0
2026-04-09,5.4,1.26,434.9,43.7,10178,121,437.7,437.7,425.0
2026-04-08,6.5,1.54,429.5,53.92,12650,109,416.0,431.4,416.0
2026-04-07,-5.0,-1.17,423.0,72.98,17358,133,436.5,436.5,416.0
2026-04-06,23.0,5.68,428.0,61.7,14766,149,411.0,428.0,410.2
2026-04-05,-29.0,-6.68,405.0,94.82,22711,185,428.0,428.0,402.0
2026-04-02,-6.0,-1.36,434.0,63.91,14621,139,432.0,445.0,431.4
2026-04-01,-18.0,-3.93,440.0,77.3,17459,140,449.0,455.0,435.1
2026-03-31,11.0,2.46,458.0,91.16,20128,163,450.0,462.0,442.0
2026-03-30,-6.1,-1.35,447.0,70.66,15770,172,445.2,459.9,445.1
2026-03-29,-19.9,-4.21,453.1,,23849,198,473.0,473.0,453.1
2026-03-26,3.0,0.64,473.0,89.73,19052,176,465.1,475.0,465.1
2026-03-25,-22.5,-4.57,470.0,,62249,396,492.5,492.5,469.0
2026-03-24,-26.5,-5.11,492.5,,144176,652,508.7,508.7,479.0
2026-03-23,47.0,9.96,519.0,,41634,226,472.0,519.0,466.1
2026-03-22,-8.0,-1.67,472.0,,42956,312,488.0,488.0,464.0
2026-03-19,-2.0,-0.41,480.0,,37372,336,490.0,491.6,477.2
2026-03-17,7.0,1.47,482.0,,55280,275,475.0,487.5,470.5
2026-03-16,-3.8,-0.79,475.0,,31057,194,472.0,485.0,465.2
2026-03-15,-0.2,-0.04,478.8,,33843,242,479.0,486.0,475.0
2026-03-12,17.0,3.68,479.0,,33702,273,452.9,479.0,452.9
2026-03-11,-6.0,-1.28,462.0,,32860,160,460.0,474.0,460.0
2026-03-10,-13.0,-2.7,468.0,,46877,270,480.0,488.5,451.0
2026-03-09,36.0,8.09,481.0,11.6,2470,14,453.9,481.0,453.9
2026-03-03,7.0,1.6,445.0,25.86,5857,86,435.0,446.7,435.0
2026-03-01,0.0,0.0,438.0,,23561,128,430.0,438.0,428.0
2026-02-26,3.0,0.69,438.0,17.59,4007,86,433.0,445.0,433.0
2026-02-25,-1.4,-0.32,435.0,25.91,5937,71,444.9,448.5,432.1
2026-02-24,-1.5,-0.34,436.4,26.92,6185,81,446.6,446.6,430.1
2026-02-23,-6.8,-1.53,437.9,60.11,13788,107,450.9,450.9,431.0
2026-02-22,-6.3,-1.4,444.7,77.33,17282,149,449.0,455.0,442.1
2026-02-17,-3.0,-0.66,451.0,,27145,227,463.0,463.0,450.0
2026-02-16,0.9,0.2,454.0,,35422,173,452.0,460.0,450.0
2026-02-12,0.1,0.02,453.1,87.16,19184,188,445.0,459.0,445.0
2026-02-11,-1.8,-0.4,453.0,47.16,10408,126,461.0,461.0,448.0
2026-02-10,2.8,0.62,454.8,88.05,19490,169,458.9,458.9,442.0
2026-02-09,1.2,0.27,452.0,,22560,174,458.9,459.0,442.0
2026-02-08,0.8,0.18,450.8,98.42,21642,235,458.0,460.0,450.0
2026-02-05,4.0,0.9,450.0,,22016,214,443.0,462.0,440.2
2026-02-04,1.2,0.27,446.0,86.42,19374,177,438.2,451.4,438.2
2026-02-03,-1.2,-0.27,444.8,74.72,16834,189,440.2,451.8,440.1
2026-02-02,-3.9,-0.87,446.0,77.49,17282,182,445.0,456.8,445.0
2026-02-01,-4.1,-0.9,449.9,,30411,230,461.9,464.5,445.0
2026-01-29,-17.3,-3.67,454.0,,47239,391,475.0,479.9,449.0
2026-01-28,31.8,7.24,471.3,,91698,604,431.0,478.0,431.0
2026-01-27,-14.5,-3.19,439.5,,51847,299,445.1,458.0,436.2
2026-01-26,-1.0,-0.22,454.0,,50209,320,455.0,457.0,442.0
2026-01-25,6.0,1.34,455.0,,41698,325,441.0,460.0,441.0
2026-01-22,9.0,2.05,449.0,,25395,235,440.1,449.0,436.2
2026-01-21,-1.0,-0.23,440.0,,35630,252,443.0,448.8,435.0
2026-01-20,12.1,2.82,441.0,,69504,420,430.1,446.2,430.0
2026-01-18,2.9,0.68,428.9,99.29,23194,238,423.0,434.8,423.0
2026-01-14,-5.9,-1.37,426.0,,58105,277,425.0,432.9,416.5
2026-01-13,8.7,2.06,431.9,73.94,17131,143,420.0,434.8,420.0
2026-01-12,-4.8,-1.12,423.2,80.57,18960,150,421.2,432.0,421.2
2026-01-08,-2.0,-0.47,428.0,75.04,17523,118,422.0,431.0,422.0
2026-01-07,-4.0,-0.92,430.0,51.82,12016,113,430.0,435.0,427.2
2026-01-06,-7.9,-1.79,434.0,62.3,14140,150,445.0,447.7,433.0
2026-01-05,18.9,4.47,441.9,,30027,223,430.9,443.8,422.6
2026-01-04,-4.0,-0.94,423.0,84.12,19732,231,427.8,431.9,419.3
2026-01-01,-4.0,-0.93,427.0,75.89,17738,159,426.2,437.8,424.0
2025-12-31,2.9,0.68,431.0,,36017,219,435.0,450.0,428.0
2025-12-29,-4.2,-0.97,428.1,75.79,17542,145,434.0,440.0,428.0
2025-12-28,7.3,1.72,432.3,80.79,18640,184,420.0,440.0,420.0
2025-12-24,-5.0,-1.16,425.0,84.5,19844,138,438.0,438.0,424.1
2025-12-23,0.0,0.0,430.0,,23716,196,422.1,436.0,422.1
2025-12-22,-9.0,-2.05,430.0,,34160,199,440.0,440.0,425.2
2025-12-21,-20.0,-4.36,439.0,,45801,253,449.9,451.1,426.5
2025-12-18,-5.9,-1.27,459.0,,36588,227,460.1,464.0,450.1
2025-12-17,3.9,0.85,464.9,,104882,381,451.8,479.0,443.0
2025-12-16,7.0,1.54,461.0,67.27,14598,163,445.0,466.0,445.0
2025-12-15,-12.0,-2.58,454.0,48.97,10603,156,474.8,474.8,452.2
2025-12-14,-8.0,-1.69,466.0,51.99,11036,130,470.1,481.9,465.0
2025-12-11,7.5,1.61,474.0,,31947,224,465.0,476.0,460.0
2025-12-10,-17.5,-3.62,466.5,83.31,17663,175,476.0,482.0,466.5
2025-12-09,-5.8,-1.18,484.0,,26077,185,485.1,493.0,480.0
2025-12-08,0.8,0.16,489.8,,57948,305,480.0,494.9,480.0
2025-12-07,5.5,1.14,489.0,,83573,429,473.9,492.0,472.0
2025-12-03,8.7,1.83,483.5,,62265,371,484.2,484.2,457.0
2025-12-02,9.8,2.11,474.8,,34182,269,474.3,476.0,456.0
2025-12-01,24.0,5.44,465.0,,37803,275,433.0,465.0,432.2
2025-11-30,-1.0,-0.23,441.0,,38643,231,436.0,450.9,431.0
2025-11-27,2.1,0.48,442.0,,25022,175,436.0,445.0,427.0
2025-11-26,-0.1,-0.02,439.9,50.79,11654,134,433.0,441.0,428.0
2025-11-25,4.5,1.03,440.0,,26717,186,442.0,449.8,434.2
2025-11-24,15.5,3.69,435.5,,31023,231,421.1,435.5,421.1
2025-11-23,8.6,2.09,420.0,35.1,8372,143,411.0,424.0,411.0
2025-11-20,3.7,0.91,411.4,76.38,18456,138,407.0,425.0,403.1
2025-11-19,-5.3,-1.28,407.7,42.51,10424,114,408.1,412.0,404.8
