DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,6.4,2.78,236.3,44.32,19001,201,227.5,237.0,227.5
2026-05-07,0.9,0.39,229.9,31.38,13729,174,227.0,230.0,226.0
2026-05-06,-10.0,-4.18,229.0,,48116,349,236.0,239.0,228.0
2026-05-05,-3.8,-1.57,239.0,37.67,15816,199,242.0,242.0,236.1
2026-05-04,-7.2,-2.88,242.8,51.03,21059,222,245.0,250.0,239.0
2026-04-30,-2.0,-0.79,250.0,36.49,14629,169,239.4,253.0,239.4
2026-04-29,-2.0,-0.79,252.0,49.25,19670,237,255.0,256.0,246.4
2026-04-28,-4.0,-1.55,254.0,51.81,20283,253,258.0,262.0,253.0
2026-04-27,-0.2,-0.08,258.0,24.02,9297,194,250.0,265.2,250.0
2026-04-24,-5.7,-2.16,258.2,48.16,18624,230,260.0,263.0,255.0
2026-04-23,-3.9,-1.46,263.9,29.78,11309,173,268.0,268.0,262.0
2026-04-22,-1.1,-0.41,267.8,62.14,23566,240,270.0,271.0,261.0
2026-04-21,-3.1,-1.14,268.9,42.23,15768,215,280.1,280.1,265.7
2026-04-20,-4.0,-1.45,272.0,37.62,13946,249,276.0,276.0,265.1
2026-04-17,-1.0,-0.36,276.0,52.35,19104,203,273.6,277.9,272.0
2026-04-16,-1.4,-0.5,277.0,43.42,15693,189,275.5,280.0,273.0
2026-04-15,0.4,0.14,278.4,88.36,31626,318,278.0,283.0,274.0
2026-04-13,-2.0,-0.71,278.0,46.27,16731,233,274.5,280.0,274.5
2026-04-10,-1.0,-0.36,280.0,70.61,25396,262,286.6,286.6,275.0
2026-04-09,2.0,0.72,281.0,,37355,343,275.1,282.5,274.0
2026-04-08,2.0,0.72,279.0,32.77,11816,183,282.5,282.5,273.0
2026-04-07,0.5,0.18,277.0,44.79,16244,192,282.0,287.0,269.1
2026-04-06,13.6,5.17,276.5,79.65,29539,279,262.9,280.5,261.6
2026-04-05,-12.1,-4.4,262.9,,44617,374,272.0,272.0,260.8
2026-04-02,-5.0,-1.79,275.0,72.16,26017,244,277.0,282.0,273.0
2026-04-01,-9.0,-3.11,280.0,74.4,26430,226,287.0,289.0,278.0
2026-03-31,1.9,0.66,289.0,52.28,18309,272,286.1,291.8,281.2
2026-03-30,-5.9,-2.01,287.1,84.05,29097,287,293.0,296.0,285.0
2026-03-29,-6.0,-2.01,293.0,,43059,333,299.0,301.9,290.3
2026-03-26,0.4,0.13,299.0,76.18,25533,260,298.0,300.0,295.1
2026-03-25,-5.9,-1.94,298.6,,35732,279,310.5,310.5,298.1
2026-03-24,0.5,0.16,304.5,98.89,32734,335,310.0,310.0,299.0
2026-03-23,1.9,0.63,304.0,,39974,379,305.0,305.0,299.0
2026-03-22,-4.9,-1.6,302.1,,82554,599,311.0,311.0,300.0
2026-03-19,7.0,2.33,307.0,,110550,795,306.0,312.0,303.0
2026-03-17,7.1,2.42,300.0,,45875,356,291.0,301.7,290.0
2026-03-16,-3.1,-1.05,292.9,,41138,290,300.0,300.0,291.0
2026-03-15,-4.5,-1.5,296.0,,45737,325,294.5,306.0,294.5
2026-03-12,3.0,1.01,300.5,,53963,383,295.0,306.0,293.0
2026-03-11,-4.5,-1.49,297.5,,51166,341,307.0,307.0,295.0
2026-03-10,-12.0,-3.82,302.0,,82418,585,320.0,320.0,296.0
2026-03-09,24.1,8.31,314.0,7.02,2290,19,295.6,314.0,295.6
2026-03-03,6.9,2.44,289.9,88.21,30887,220,285.0,290.0,279.3
2026-03-01,3.9,1.4,283.0,41.54,14922,135,274.0,284.0,274.0
2026-02-26,-0.9,-0.32,279.1,30.67,10951,146,281.0,290.0,278.3
2026-02-25,-2.0,-0.71,280.0,39.18,13999,155,277.2,284.0,277.2
2026-02-24,0.1,0.04,282.0,42.2,15019,144,283.9,283.9,278.0
