DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.0,0.17,590.0,,18171,141,598.0,598.9,585.0
2026-05-07,6.0,1.03,589.0,,35558,212,580.0,590.0,576.9
2026-05-06,4.0,0.69,583.0,,32249,170,581.0,587.0,579.3
2026-05-05,1.1,0.19,579.0,,40179,273,577.9,584.8,571.0
2026-05-04,-5.6,-0.96,577.9,,53954,310,570.0,622.0,570.0
2026-04-30,0.5,0.09,583.5,,30475,200,575.0,583.9,575.0
2026-04-29,-1.0,-0.17,583.0,,40294,239,590.0,590.0,580.0
2026-04-28,-2.0,-0.34,584.0,,67755,307,586.0,589.9,583.5
2026-04-27,-1.0,-0.17,586.0,,24377,202,604.6,604.6,584.0
2026-04-24,-0.9,-0.15,587.0,,17754,150,587.9,587.9,580.3
2026-04-23,-0.1,-0.02,587.9,,38556,206,591.0,591.0,580.3
2026-04-22,-7.0,-1.18,588.0,,44367,331,595.0,595.0,581.1
2026-04-21,-4.0,-0.67,595.0,,68918,223,599.0,610.0,593.2
2026-04-20,-2.0,-0.33,599.0,,26438,202,600.0,600.0,595.0
2026-04-17,1.0,0.17,601.0,,35965,209,597.0,601.0,595.0
2026-04-16,-0.5,-0.08,600.0,,59148,283,599.9,600.9,596.0
2026-04-15,1.5,0.25,600.5,,81027,379,602.0,606.0,591.2
2026-04-13,1.0,0.17,599.0,,77712,296,591.0,601.0,591.0
2026-04-10,-2.8,-0.47,598.0,,105563,343,600.0,607.0,595.0
2026-04-09,7.8,1.32,600.8,,111314,451,601.0,607.0,590.2
2026-04-08,9.0,1.54,593.0,,67081,297,590.0,597.0,587.0
2026-04-07,-1.1,-0.19,584.0,,82452,354,593.9,595.9,583.2
2026-04-06,17.1,3.01,585.1,,128318,630,565.0,589.9,565.0
2026-04-05,-21.9,-3.71,568.0,,160183,872,592.0,592.0,565.0
2026-04-02,-10.0,-1.67,589.9,,148605,690,590.0,599.0,572.4
2026-04-01,-4.3,-0.71,599.9,,135322,695,604.2,605.0,587.0
2026-03-31,1.2,0.2,604.2,,109568,736,600.2,605.9,590.3
2026-03-30,-8.0,-1.31,603.0,,142927,727,612.0,616.0,600.1
2026-03-29,-10.5,-1.69,611.0,,224645,829,633.9,635.0,611.0
2026-03-26,-2.5,-0.4,621.5,,104901,494,624.0,629.9,615.0
2026-03-25,0.0,0.0,624.0,,193506,629,630.0,630.6,616.0
2026-03-24,-1.2,-0.19,624.0,,155634,854,618.0,629.6,618.0
2026-03-23,-4.8,-0.76,625.2,,54430,277,642.6,642.6,622.1
2026-03-22,1.0,0.16,630.0,,82732,419,639.5,647.6,623.1
2026-03-19,13.0,2.11,629.0,,92106,442,616.0,629.0,615.0
2026-03-17,0.1,0.02,616.0,,38215,190,615.5,619.0,611.2
2026-03-16,-6.0,-0.96,615.9,,47092,215,621.0,623.5,613.3
2026-03-15,-2.8,-0.45,621.9,,69621,317,626.0,631.0,618.0
2026-03-12,3.8,0.61,624.7,,98750,457,611.0,625.7,609.0
2026-03-11,-12.1,-1.91,620.9,,68072,379,635.0,640.0,615.0
2026-03-10,-15.1,-2.33,633.0,,225802,867,655.0,655.0,621.0
2026-03-09,49.1,8.2,648.1,19.7,3182,14,610.9,648.1,610.9
2026-03-03,2.0,0.34,599.0,,47420,249,599.9,603.8,588.1
2026-03-01,14.0,2.4,597.0,,55667,268,577.0,597.0,575.0
2026-02-26,2.9,0.5,583.0,,28984,156,585.0,591.7,580.5
2026-02-25,0.3,0.05,580.1,,23546,131,580.0,587.0,579.2
2026-02-24,5.3,0.92,579.8,,23004,136,574.0,582.9,574.0
2026-02-23,4.3,0.75,574.5,,31816,171,573.0,575.5,570.2
2026-02-22,-4.1,-0.71,570.2,,52333,228,579.0,579.0,569.7
2026-02-17,-4.7,-0.81,574.3,,40091,235,577.1,579.0,573.1
2026-02-16,0.7,0.12,579.0,,44682,223,580.1,584.0,575.0
2026-02-12,0.7,0.12,578.3,,56127,241,577.0,585.0,575.0
2026-02-11,-4.4,-0.76,577.6,,41691,222,587.0,595.0,577.6
2026-02-10,0.6,0.1,582.0,,45854,246,581.4,585.8,575.0
2026-02-09,-3.7,-0.63,581.4,,77991,292,586.1,593.0,575.1
2026-02-08,-9.9,-1.66,585.1,,68756,301,605.0,605.0,583.0
2026-02-05,5.8,0.98,595.0,,28937,239,585.0,595.0,585.0
2026-02-04,7.2,1.24,589.2,,34618,205,590.0,593.6,581.9
2026-02-03,-3.0,-0.51,582.0,,28332,172,585.0,589.9,581.5
2026-02-02,-1.0,-0.17,585.0,,28158,211,585.9,596.0,583.0
2026-02-01,-4.5,-0.76,586.0,,52985,292,591.0,599.1,585.0
2026-01-29,-9.5,-1.58,590.5,,99680,337,600.0,608.0,589.0
2026-01-28,5.0,0.84,600.0,,91787,332,598.0,601.8,588.6
2026-01-27,-4.5,-0.75,595.0,,129836,645,600.0,606.0,588.0
2026-01-26,-12.5,-2.04,599.5,,104112,492,606.0,610.0,599.1
2026-01-25,7.0,1.16,612.0,,127680,443,608.0,613.8,598.1
2026-01-22,3.7,0.62,605.0,,89865,462,605.5,608.0,596.0
2026-01-21,2.3,0.38,601.3,,91025,365,610.9,610.9,590.1
2026-01-20,11.0,1.87,599.0,,129919,546,599.7,606.0,590.0
2026-01-18,12.0,2.08,588.0,,53400,271,585.0,590.0,578.1
2026-01-14,-6.0,-1.03,576.0,,41217,257,588.0,590.0,571.0
2026-01-13,10.0,1.75,582.0,,51476,330,562.0,584.0,562.0
2026-01-12,5.0,0.88,572.0,,36315,216,565.0,573.0,564.0
2026-01-08,-0.6,-0.11,567.0,,45164,229,567.6,571.0,561.1
2026-01-07,4.1,0.73,567.6,,31566,186,557.0,571.0,557.0
2026-01-06,1.6,0.28,563.5,,28813,241,562.0,569.0,560.2
2026-01-05,4.3,0.77,561.9,,36591,205,557.1,564.0,557.1
2026-01-04,-7.4,-1.31,557.6,,27887,233,561.0,565.0,555.0
2026-01-01,-4.1,-0.72,565.0,,42336,244,568.2,570.0,560.1
2025-12-31,-2.4,-0.42,569.1,,72709,287,582.9,582.9,569.1
2025-12-29,5.5,0.97,571.5,,60941,319,577.3,577.3,563.0
2025-12-28,6.0,1.07,566.0,,31638,249,568.0,568.8,561.0
2025-12-24,-5.0,-0.88,560.0,,40504,175,565.0,569.0,558.0
2025-12-23,4.9,0.87,565.0,,22894,187,559.0,565.0,554.0
2025-12-22,-2.6,-0.46,560.1,,49725,257,560.1,570.09,558.0
2025-12-21,2.7,0.48,562.7,,63115,340,558.0,569.9,546.0
2025-12-18,0.5,0.09,560.0,,37279,217,570.6,570.6,555.0
2025-12-17,-2.0,-0.36,559.5,,32833,230,561.5,562.0,556.2
2025-12-16,14.6,2.67,561.5,,72104,362,545.1,565.0,545.1
2025-12-15,1.9,0.35,546.9,,20734,191,555.9,555.9,542.2
2025-12-14,3.0,0.55,545.0,,69901,297,545.0,547.9,542.0
2025-12-11,1.9,0.35,542.0,,32822,255,540.0,544.0,539.0
2025-12-10,-1.9,-0.35,540.1,,33233,238,536.1,545.0,536.1
2025-12-09,4.0,0.74,542.0,,25187,234,542.0,544.7,535.0
2025-12-08,-4.6,-0.85,538.0,,62895,414,543.0,545.6,536.0
2025-12-07,-11.9,-2.15,542.6,,76604,544,555.0,555.0,542.5
2025-12-03,-3.0,-0.54,554.5,,157458,1137,568.0,568.0,553.0
2025-12-02,3.0,0.45,669.0,,342612,1656,679.3,679.3,667.0
2025-12-01,4.0,0.6,666.0,,113812,670,666.0,672.0,658.0
2025-11-30,-8.1,-1.21,662.0,,198975,1028,672.5,678.5,660.1
2025-11-27,-6.3,-0.93,670.1,,102903,593,680.0,680.0,670.1
2025-11-26,-3.6,-0.53,676.4,,91515,548,683.4,683.4,673.2
2025-11-25,9.7,1.45,680.0,,233063,793,675.0,680.0,669.0
2025-11-24,4.3,0.65,670.3,,172372,701,672.0,673.0,665.4
2025-11-23,7.9,1.2,666.0,,157110,738,662.0,674.9,662.0
2025-11-20,-1.7,-0.26,658.1,,94582,491,662.9,664.9,652.5
2025-11-19,6.8,1.04,659.8,,136091,627,666.0,666.0,651.0
2025-11-18,10.0,1.56,653.0,,204148,809,652.0,656.0,645.0
2025-11-17,9.0,1.42,643.0,,139488,579,640.0,648.0,637.0
2025-11-16,7.0,1.12,634.0,,329541,738,639.5,644.0,624.0
2025-11-13,2.0,0.32,627.0,,130306,540,629.8,631.0,624.0
2025-11-12,-11.0,-1.73,625.0,,104021,618,648.7,648.7,624.0
2025-11-11,0.0,0.0,636.0,,108042,567,642.0,642.0,630.0
2025-11-10,-4.0,-0.62,636.0,,99948,670,645.0,645.0,634.3
2025-11-09,18.0,2.89,640.0,,232021,1611,634.4,659.9,634.4
2025-11-06,-2.5,-0.4,622.0,,44830,235,622.0,629.0,622.0
2025-11-05,-0.4,-0.06,624.5,,31391,143,630.0,630.0,620.5
