DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.1,1.41,725.0,12.32,1727,31,709.0,725.0,709.0
2026-05-07,5.9,0.83,714.9,16.58,2336,41,730.0,730.0,708.1
2026-05-06,-4.0,-0.56,709.0,11.1,1564,23,713.0,713.0,709.0
2026-05-05,6.0,0.85,713.0,17.49,2462,49,700.1,714.0,700.1
2026-05-04,-11.8,-1.64,707.0,25.23,3560,59,707.1,715.0,705.1
2026-04-30,3.8,0.53,718.8,39.96,5626,66,711.2,723.0,705.0
2026-04-29,-9.9,-1.37,715.0,39.84,5554,91,761.1,761.1,710.0
2026-04-28,-3.1,-0.43,724.9,43.3,6001,68,728.0,740.0,719.0
2026-04-27,2.0,0.28,728.0,24.21,3323,52,726.0,740.0,722.1
2026-04-24,-5.1,-0.7,726.0,12.12,1671,34,731.1,730.0,720.0
2026-04-23,-3.9,-0.53,731.1,17.77,2456,48,740.0,740.0,720.5
2026-04-22,9.0,1.24,735.0,30.58,4208,58,720.0,740.0,718.5
2026-04-21,-5.0,-0.68,726.0,28.49,3914,64,731.0,745.0,725.5
2026-04-20,-8.0,-1.08,731.0,12.47,1692,38,702.1,766.9,702.1
2026-04-17,4.0,0.54,739.0,12.88,1758,41,728.0,742.0,728.0
2026-04-16,-7.0,-0.94,735.0,47.62,6476,87,731.0,743.0,730.3
2026-04-15,-5.0,-0.67,742.0,72.17,9620,114,761.9,761.9,741.4
2026-04-13,-3.0,-0.4,747.0,31.05,4167,63,750.0,755.8,741.0
2026-04-10,-6.0,-0.79,750.0,36.72,4921,65,769.8,769.8,740.1
2026-04-09,9.0,1.2,756.0,82.42,10926,148,761.4,761.4,740.0
2026-04-08,7.2,0.97,747.0,46.17,6219,74,750.0,754.0,736.2
2026-04-07,-3.2,-0.43,739.8,28.61,3868,79,757.8,757.8,732.1
2026-04-06,26.1,3.64,743.0,,21815,157,731.2,774.1,700.0
2026-04-05,-18.1,-2.46,716.9,,19657,208,730.0,735.0,706.1
2026-04-02,-14.0,-1.87,735.0,72.32,9741,142,763.0,763.0,733.0
2026-04-01,-16.0,-2.09,749.0,,31223,203,752.7,754.1,725.0
2026-03-31,6.8,0.9,765.0,98.8,13088,163,755.0,767.9,745.4
2026-03-30,-11.8,-1.53,758.2,,19700,204,785.0,785.0,745.0
2026-03-29,-28.0,-3.51,770.0,,17241,177,813.0,813.0,770.0
2026-03-26,7.9,1.0,798.0,71.73,9135,123,786.0,799.0,775.0
2026-03-25,-30.9,-3.76,790.1,,22893,229,815.0,815.0,785.0
2026-03-24,-39.0,-4.53,821.0,,30135,299,843.0,843.0,801.0
2026-03-23,65.0,8.18,860.0,,57292,429,810.9,860.0,785.0
2026-03-22,50.0,6.71,795.0,,62352,616,759.9,802.0,756.0
2026-03-19,14.9,2.04,745.0,,42165,222,733.0,769.0,727.0
2026-03-17,-4.9,-0.67,730.1,99.53,13606,94,736.0,736.9,729.1
2026-03-16,-4.0,-0.54,735.0,77.56,10534,97,753.0,753.0,731.0
2026-03-15,-2.0,-0.27,739.0,,27206,125,755.0,755.0,739.0
2026-03-12,-5.0,-0.67,741.0,,15507,113,748.0,752.0,740.0
2026-03-11,-16.0,-2.1,746.0,,15316,101,765.0,765.0,745.0
2026-03-10,-2.6,-0.34,762.0,,27012,200,779.8,779.8,744.4
2026-03-09,29.6,4.03,764.6,,70,3,749.7,764.6,749.7
2026-03-03,18.9,2.64,735.0,26.95,3685,39,730.0,740.0,728.1
2026-03-01,0.1,0.01,716.1,61.4,8540,70,716.1,724.5,716.0
2026-02-26,-3.0,-0.42,716.0,50.17,7019,52,711.1,720.0,711.0
2026-02-25,4.0,0.56,719.0,11.87,1659,24,725.0,725.0,713.0
2026-02-24,1.0,0.14,715.0,14.76,2054,35,727.0,727.0,713.0
2026-02-23,3.0,0.42,714.0,25.74,3596,33,724.0,724.0,709.6
2026-02-22,-5.0,-0.7,711.0,29.45,4129,54,730.0,730.0,707.0
2026-02-17,-9.0,-1.24,716.0,,19245,129,721.0,728.0,700.7
2026-02-16,-2.0,-0.28,725.0,69.93,9648,89,720.0,745.0,714.5
2026-02-12,-11.0,-1.49,727.0,64.83,8894,93,752.7,752.7,724.0
2026-02-11,0.6,0.08,738.0,47.07,6438,81,740.0,740.0,728.0
2026-02-10,0.4,0.05,737.4,55.4,7538,76,751.0,751.0,730.0
2026-02-09,-1.0,-0.14,737.0,61.75,8335,58,738.0,748.0,735.0
2026-02-08,-11.9,-1.59,738.0,,15341,127,741.4,764.8,738.0
2026-02-05,12.2,1.65,749.9,62.34,8382,74,752.0,752.0,740.0
2026-02-04,-3.3,-0.45,737.7,34.77,4679,74,726.2,768.9,726.2
2026-02-03,-2.0,-0.27,741.0,61.38,8282,62,757.0,757.0,740.0
2026-02-02,1.9,0.26,743.0,43.7,5861,64,750.0,755.8,741.5
2026-02-01,-9.2,-1.23,741.1,76.09,10250,67,760.0,760.0,740.0
2026-01-29,-16.7,-2.18,750.3,,16878,133,781.9,781.9,745.0
2026-01-28,-7.8,-1.01,767.0,63.78,8391,81,759.4,768.0,745.0
2026-01-27,-20.2,-2.54,774.8,,15099,152,781.0,795.0,759.7
2026-01-26,-10.0,-1.24,795.0,93.14,11820,111,821.1,821.1,780.0
2026-01-25,30.0,3.87,805.0,,24669,156,786.0,805.0,764.0
2026-01-22,14.0,1.84,775.0,,14711,107,752.0,804.0,752.0
2026-01-21,-9.0,-1.17,761.0,36.32,4787,52,756.0,764.8,755.2
2026-01-20,20.0,2.67,770.0,,21676,169,761.0,775.0,753.7
2026-01-18,19.0,2.6,750.0,89.79,12034,101,742.0,756.0,733.0
2026-01-14,-11.0,-1.48,731.0,42.2,5759,50,750.0,750.0,728.0
2026-01-13,14.0,1.92,742.0,56.64,7790,82,736.0,742.0,721.0
2026-01-12,-12.0,-1.62,728.0,61.47,8370,83,735.1,748.7,726.0
2026-01-08,9.9,1.36,740.0,40.03,5440,72,727.0,740.0,727.0
2026-01-07,18.0,2.53,730.1,93.25,12908,120,701.2,734.5,701.2
2026-01-06,-2.7,-0.38,712.1,92.36,12982,87,707.1,720.0,706.0
2026-01-05,3.8,0.53,714.8,23.02,3224,31,718.8,718.8,707.0
