DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,27.3,3.54,798.0,,96314,313,778.0,800.0,770.0
2026-05-07,6.2,0.81,770.7,,47948,119,751.1,773.9,751.1
2026-05-06,5.5,0.72,764.5,,13161,94,728.0,770.0,728.0
2026-05-05,-1.0,-0.13,759.0,,31490,122,751.1,775.0,751.1
2026-05-04,-8.1,-1.05,760.0,70.78,9276,81,755.3,784.0,755.3
2026-04-30,2.8,0.37,768.1,,34319,152,727.1,777.0,727.1
2026-04-29,-6.7,-0.87,765.3,,47100,142,740.4,785.4,740.4
2026-04-28,-8.6,-1.1,772.0,,36356,157,741.6,790.0,741.6
2026-04-27,6.6,0.85,780.6,,42491,124,774.0,790.0,772.3
2026-04-24,-3.0,-0.39,774.0,,29134,120,777.0,785.0,759.0
2026-04-23,-17.0,-2.14,777.0,,32339,187,833.7,833.7,775.3
2026-04-22,5.1,0.65,794.0,,38246,259,811.7,811.7,778.2
2026-04-21,-21.1,-2.6,788.9,,157935,362,850.5,850.5,780.0
2026-04-20,-12.8,-1.56,810.0,,38592,165,800.0,865.0,787.0
2026-04-17,-7.2,-0.87,822.8,,44619,277,820.0,880.0,810.0
2026-04-16,-22.0,-2.58,830.0,,78993,264,835.0,850.0,818.3
2026-04-15,13.0,1.55,852.0,,101917,472,822.3,853.0,822.3
2026-04-13,9.0,1.08,839.0,,75417,286,813.4,897.7,813.4
2026-04-10,5.0,0.61,830.0,,66919,217,808.5,830.0,808.5
2026-04-09,6.0,0.73,825.0,,68229,305,805.0,850.0,805.0
2026-04-08,-1.0,-0.12,819.0,,109776,300,804.0,833.0,804.0
2026-04-07,2.0,0.24,820.0,,80207,318,802.0,821.0,802.0
2026-04-06,48.0,6.23,818.0,,113642,480,755.0,818.0,755.0
2026-04-05,-15.1,-1.92,770.0,,129771,359,769.4,782.0,750.2
2026-04-02,-14.9,-1.86,785.1,,89701,313,800.0,805.0,784.1
2026-04-01,-20.0,-2.44,800.0,,73022,302,804.0,824.1,797.0
2026-03-31,6.3,0.77,820.0,,83512,374,813.7,829.9,797.5
2026-03-30,-17.3,-2.08,813.7,,43226,285,814.4,835.0,813.4
2026-03-29,-38.9,-4.47,831.0,,89452,509,853.0,867.0,827.0
2026-03-26,4.9,0.57,869.9,,68901,360,880.7,880.7,852.6
2026-03-25,-25.0,-2.81,865.0,,186554,700,887.0,938.0,857.0
2026-03-24,11.0,1.25,890.0,,309677,730,861.5,895.4,828.0
2026-03-23,27.1,3.18,879.0,,183648,527,851.9,900.0,838.0
2026-03-22,-2.1,-0.25,851.9,,332480,788,838.0,861.2,838.0
2026-03-19,-1.0,-0.12,854.0,,120563,474,838.0,870.0,838.0
2026-03-17,-5.0,-0.58,855.0,,90195,500,842.8,888.0,840.0
2026-03-16,4.1,0.48,860.0,,324528,933,839.0,916.0,839.0
2026-03-15,1.9,0.22,855.9,,194273,428,837.0,860.8,837.0
2026-03-12,27.0,3.26,854.0,,242964,623,810.5,857.0,810.5
2026-03-11,-22.0,-2.59,827.0,,123359,602,832.1,858.0,827.0
2026-03-10,-51.0,-5.67,849.0,,254865,932,917.8,917.8,836.0
2026-03-09,55.0,6.51,900.0,64.73,7203,33,845.0,918.0,845.0
2026-03-03,14.0,1.68,845.0,,267126,824,815.0,858.0,815.0
2026-03-01,25.0,3.1,831.0,,344783,812,790.0,838.9,790.0
2026-02-26,18.1,2.3,806.0,,160288,471,773.0,806.0,773.0
2026-02-25,-7.0,-0.88,787.9,,92109,229,780.0,794.9,780.0
2026-02-24,0.9,0.11,794.9,,93510,337,779.0,797.0,779.0
2026-02-23,14.0,1.79,794.0,,158083,512,764.4,795.0,764.4
2026-02-22,33.0,4.42,780.0,,163227,516,750.0,795.0,740.3
2026-02-17,-30.0,-3.86,747.0,,49324,214,761.5,787.5,746.2
2026-02-16,-1.9,-0.24,777.0,,126316,234,764.0,785.0,764.0
2026-02-12,-12.1,-1.53,778.9,,49070,239,790.0,794.0,771.1
2026-02-11,11.0,1.41,791.0,,107550,274,764.4,826.0,764.4
2026-02-10,-6.5,-0.83,780.0,,60775,260,770.8,800.0,770.8
2026-02-09,-13.5,-1.69,786.5,,96396,381,784.0,799.6,777.0
