DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.8,0.82,345.0,12.43,3633,68,340.0,345.0,340.0
2026-05-07,-2.9,-0.84,342.2,19.28,5571,64,340.0,350.0,340.0
2026-05-06,1.1,0.32,345.1,7.1,2074,41,335.4,345.1,335.4
2026-05-05,-1.1,-0.32,344.0,12.0,3495,64,345.1,350.0,335.1
2026-05-04,-5.5,-1.57,345.1,18.32,5312,88,341.2,350.0,341.2
2026-04-30,0.6,0.17,350.6,25.98,7607,72,345.0,350.6,335.0
2026-04-29,-8.0,-2.23,350.0,28.06,8020,73,358.0,358.0,348.0
2026-04-28,5.0,1.42,358.0,17.54,4948,89,353.0,358.0,350.0
2026-04-27,2.0,0.57,353.0,12.19,3454,82,351.0,355.9,351.0
2026-04-24,-2.0,-0.57,351.0,32.56,9332,83,350.0,351.1,343.2
2026-04-23,-5.0,-1.4,353.0,21.79,6181,79,350.1,358.9,344.2
2026-04-22,-2.1,-0.58,358.0,27.78,7845,81,358.0,358.0,350.5
2026-04-21,-5.9,-1.61,360.1,24.43,6729,89,370.0,370.0,360.0
2026-04-20,2.0,0.55,366.0,24.21,6644,106,357.2,380.0,357.2
2026-04-17,-3.2,-0.87,364.0,35.03,9580,87,366.0,369.8,363.0
2026-04-16,-9.8,-2.6,367.2,43.95,11886,97,375.0,375.0,367.2
2026-04-15,6.0,1.62,377.0,57.03,15133,155,372.0,380.0,366.0
2026-04-13,6.0,1.64,371.0,49.64,13462,141,358.0,374.0,358.0
2026-04-10,-10.0,-2.67,365.0,29.09,7907,89,368.1,371.0,365.0
2026-04-09,3.0,0.81,375.0,33.15,8896,146,370.0,379.3,366.0
2026-04-08,11.8,3.28,372.0,62.29,16881,117,367.0,373.3,362.0
2026-04-07,0.2,0.06,360.2,48.65,13432,115,367.2,369.0,357.0
2026-04-06,21.0,6.19,360.0,,33272,188,340.0,363.9,339.3
2026-04-05,-19.0,-5.31,339.0,69.25,20201,223,352.0,354.0,338.1
2026-04-02,-4.0,-1.1,358.0,49.28,13717,157,360.0,365.0,348.0
2026-04-01,2.0,0.56,362.0,80.84,22103,207,360.0,373.1,359.0
2026-03-31,-8.0,-2.17,360.0,,28396,251,362.0,370.0,354.0
2026-03-30,-13.0,-3.41,368.0,81.24,21707,196,377.1,381.0,366.6
2026-03-29,-9.0,-2.31,381.0,54.51,14205,152,385.0,390.0,380.0
2026-03-26,7.0,1.83,390.0,,28331,197,385.0,392.7,380.1
2026-03-25,-5.0,-1.29,383.0,86.86,22546,196,388.0,390.0,380.0
2026-03-24,-0.6,-0.15,388.0,,27732,216,387.0,394.5,385.5
2026-03-23,-5.4,-1.37,388.6,86.1,22206,197,394.0,394.0,384.1
2026-03-22,0.8,0.2,394.0,,30515,279,393.2,398.0,390.0
2026-03-19,10.2,2.66,393.2,,63786,389,380.0,397.0,380.0
2026-03-17,0.0,0.0,383.0,,28954,192,383.0,388.0,377.0
2026-03-16,-3.0,-0.78,383.0,99.09,25898,156,386.0,389.0,380.0
2026-03-15,3.0,0.78,386.0,97.79,25471,212,390.6,390.6,380.0
2026-03-12,2.4,0.63,383.0,,27187,228,378.0,397.7,376.0
2026-03-11,-11.4,-2.91,380.6,,36622,245,395.0,395.0,380.3
2026-03-10,10.0,2.62,392.0,,79017,536,389.0,398.0,368.5
2026-03-09,21.0,5.82,382.0,20.49,5366,20,368.0,382.9,368.0
2026-03-03,21.0,6.18,361.0,,39396,327,345.0,367.1,345.0
2026-03-01,-10.0,-2.86,340.0,98.57,28801,241,350.0,353.9,335.0
2026-02-26,12.6,3.73,350.0,,37604,222,337.0,351.8,335.1
2026-02-25,-5.6,-1.63,337.4,76.96,22654,131,343.0,345.4,336.2
2026-02-24,-4.9,-1.41,343.0,,44637,300,347.9,351.9,325.0
2026-02-23,-16.1,-4.42,347.9,,33323,207,364.0,365.0,345.0
2026-02-22,-18.1,-4.74,364.0,61.88,16715,147,382.0,382.1,364.0
2026-02-17,0.0,0.0,382.1,72.99,19260,123,376.1,384.0,375.1
2026-02-16,-8.2,-2.1,382.1,46.7,12107,105,392.0,395.0,381.1
2026-02-12,-1.7,-0.43,390.3,54.86,13919,114,399.7,407.7,390.2
2026-02-11,-5.0,-1.26,392.0,52.11,13277,96,395.0,400.0,390.0
2026-02-10,-5.0,-1.24,397.0,66.81,16748,124,402.0,403.9,392.1
2026-02-09,4.5,1.13,402.0,80.81,20282,136,400.0,402.0,392.0
2026-02-08,-0.5,-0.13,397.5,,37143,245,395.5,406.0,395.5
2026-02-05,7.8,2.0,398.0,38.13,9691,127,398.0,398.0,390.1
2026-02-04,1.2,0.31,390.2,49.85,12716,141,387.0,397.0,387.0
2026-02-03,-3.8,-0.97,389.0,48.89,12513,112,390.0,395.9,388.7
2026-02-02,0.3,0.08,392.8,60.62,15414,139,392.0,400.0,390.0
2026-02-01,-7.5,-1.88,392.5,22.94,5782,95,398.0,404.0,392.2
2026-01-29,0.5,0.13,400.0,,42010,267,400.0,412.0,399.9
2026-01-28,4.6,1.16,399.5,63.73,16135,161,388.0,402.5,387.5
2026-01-27,-4.0,-1.0,394.9,66.7,16833,147,392.0,404.9,389.0
2026-01-26,-3.1,-0.77,398.9,,33189,183,406.0,406.0,394.1
2026-01-25,12.0,3.08,402.0,,33908,261,390.0,404.0,390.0
2026-01-22,5.3,1.38,390.0,42.73,11097,133,377.6,390.0,377.6
2026-01-21,2.7,0.71,384.7,86.34,22644,157,375.5,389.0,375.5
2026-01-20,2.2,0.58,382.0,82.07,21454,178,385.0,394.9,379.8
2026-01-18,-0.1,-0.03,379.8,32.76,8693,127,378.5,382.0,375.0
2026-01-14,1.9,0.5,379.9,29.04,7706,116,375.0,382.9,375.0
2026-01-13,-4.9,-1.28,378.0,39.49,10507,106,389.0,389.0,373.0
2026-01-12,-1.5,-0.39,382.9,34.1,8964,99,384.4,384.9,378.0
2026-01-08,-5.5,-1.41,384.4,17.23,4470,77,384.0,388.9,384.0
2026-01-07,-1.1,-0.28,389.9,14.63,3754,60,384.1,397.5,384.1
2026-01-06,5.8,1.51,391.0,27.16,7014,106,391.9,400.7,380.0
2026-01-05,-0.8,-0.21,385.2,44.11,11546,124,385.0,393.0,378.5
2026-01-04,-3.0,-0.77,386.0,49.66,13014,154,382.0,399.0,377.0
2026-01-01,-1.0,-0.26,389.0,37.24,9675,88,384.0,396.9,383.8
2025-12-31,2.0,0.52,390.0,47.61,12269,117,382.1,395.7,382.1
2025-12-29,-4.9,-1.25,388.0,19.87,5104,73,388.2,395.0,388.0
2025-12-28,10.9,2.85,392.9,25.99,6687,109,382.0,392.9,382.0
