DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.2,1.58,269.2,31.68,11669,52,260.1,290.0,260.1
2026-05-07,6.0,2.32,265.0,46.26,17497,61,259.2,282.0,256.6
2026-05-06,0.4,0.15,259.0,25.54,9810,75,263.0,264.9,258.0
2026-05-05,2.1,0.82,258.6,17.26,6629,75,264.0,288.4,256.1
2026-05-04,-4.5,-1.72,256.5,22.71,8799,86,261.0,261.0,255.5
2026-04-30,-3.3,-1.25,261.0,59.61,22857,105,251.1,264.0,251.1
2026-04-29,-3.5,-1.31,264.3,53.33,20363,104,263.0,265.9,260.0
2026-04-28,-0.2,-0.07,267.8,30.53,11463,80,255.0,286.6,255.0
2026-04-27,-2.0,-0.74,268.0,32.38,12010,55,270.0,275.0,266.8
2026-04-24,-1.9,-0.7,270.0,24.77,9282,61,271.9,272.8,265.0
2026-04-23,-2.1,-0.77,271.9,9.97,3680,53,278.0,278.0,265.8
2026-04-22,3.9,1.44,274.0,62.03,23143,109,256.6,280.2,256.6
2026-04-21,-7.9,-2.84,270.1,34.11,12481,77,283.7,283.7,270.1
2026-04-20,-1.2,-0.43,278.0,30.27,11016,68,265.3,298.3,265.3
2026-04-17,-0.8,-0.29,279.2,80.13,28921,86,276.1,280.0,274.5
2026-04-16,-7.0,-2.44,280.0,75.15,26950,108,285.0,287.0,275.0
2026-04-15,8.0,2.87,287.0,,62055,376,274.2,299.0,274.2
2026-04-13,5.4,1.97,279.0,90.89,32429,236,279.0,283.0,269.1
2026-04-10,-8.4,-2.98,273.6,,44497,213,277.0,287.5,273.0
2026-04-09,3.0,1.08,282.0,,57271,232,284.0,286.7,275.1
2026-04-08,4.1,1.49,279.0,93.07,33671,91,270.1,279.0,270.1
2026-04-07,1.4,0.51,274.9,81.05,29668,138,275.0,280.0,268.3
2026-04-06,14.7,5.68,273.5,,42308,192,255.4,277.0,255.4
2026-04-05,-10.7,-3.97,258.8,,42856,217,270.5,270.5,255.0
2026-04-02,-6.5,-2.36,269.5,75.95,27961,148,272.0,279.0,261.7
2026-04-01,-10.0,-3.5,276.0,,42366,167,287.0,287.0,270.0
2026-03-31,-3.0,-1.04,286.0,,35639,179,289.0,293.8,279.0
2026-03-30,-8.8,-2.96,289.0,,52347,230,297.8,304.0,284.3
2026-03-29,-16.9,-5.37,297.8,,87154,350,315.0,316.0,295.0
2026-03-26,2.8,0.9,314.7,,37784,175,305.7,315.0,305.7
2026-03-25,-2.2,-0.7,311.9,,63426,328,315.0,316.0,305.3
2026-03-24,2.1,0.67,314.1,,80585,296,312.0,321.1,310.0
2026-03-23,-5.9,-1.86,312.0,,93465,337,313.0,314.0,306.0
2026-03-22,-5.6,-1.73,317.9,,147712,610,322.0,324.0,304.6
2026-03-19,15.8,5.13,323.5,,216889,773,313.8,324.0,302.2
2026-03-17,14.0,4.77,307.7,,85623,323,290.0,307.7,288.0
2026-03-16,-3.3,-1.11,293.7,,64373,267,299.8,300.0,288.1
2026-03-15,9.9,3.45,297.0,,173370,554,292.0,301.1,287.0
2026-03-12,6.6,2.35,287.1,,65417,282,280.5,290.7,277.0
2026-03-11,1.6,0.57,280.5,,53949,232,283.9,289.6,274.2
2026-03-10,1.4,0.5,278.9,,113457,360,283.0,294.0,271.3
2026-03-09,10.7,4.01,277.5,,40,4,272.1,277.5,272.1
2026-03-03,10.1,3.93,266.8,64.94,24587,86,259.7,272.0,259.7
2026-03-01,-2.2,-0.85,256.7,35.48,13790,77,254.0,259.9,254.0
2026-02-26,-3.7,-1.41,258.9,36.19,13994,64,266.9,266.9,257.7
2026-02-25,2.6,1.0,262.6,16.73,6424,51,264.0,264.0,258.0
2026-02-24,4.1,1.6,260.0,45.91,17849,73,252.1,260.0,252.1
2026-02-23,-0.1,-0.04,255.9,56.92,22323,119,261.0,261.0,252.1
2026-02-22,-9.7,-3.65,256.0,75.28,29101,119,265.0,265.0,255.0
2026-02-17,-11.3,-4.08,265.7,92.7,34562,185,277.0,277.0,265.0
2026-02-16,-10.0,-3.48,277.0,,66002,238,287.0,287.0,271.0
2026-02-12,-3.0,-1.03,287.0,,77823,334,291.0,295.0,284.3
2026-02-11,10.0,3.57,290.0,,99584,449,281.1,291.0,278.3
2026-02-10,8.0,2.94,280.0,,78221,322,277.4,289.9,269.0
2026-02-09,-5.0,-1.81,272.0,65.44,24024,126,272.0,279.0,268.0
2026-02-08,0.0,0.0,277.0,75.86,27315,143,279.8,285.0,274.4
2026-02-05,8.3,3.09,277.0,,54806,261,270.0,286.8,266.6
2026-02-04,0.7,0.26,268.7,,41517,123,273.3,278.0,263.2
2026-02-03,-4.6,-1.69,268.0,97.34,36163,174,277.9,278.0,263.2
2026-02-02,-3.4,-1.23,272.6,62.72,22766,118,271.0,281.5,265.1
2026-02-01,3.0,1.1,276.0,,59646,233,277.0,283.0,269.4
2026-01-29,-13.0,-4.55,273.0,,119793,429,286.0,295.7,265.1
2026-01-28,6.0,2.14,286.0,,83587,358,274.4,288.7,274.3
2026-01-27,-15.9,-5.37,280.0,,141038,723,301.8,307.0,272.0
2026-01-26,26.9,10.0,295.9,,198740,553,267.1,295.9,260.1
2026-01-25,0.1,0.04,269.0,94.83,35548,181,266.1,269.0,264.0
2026-01-22,16.4,6.5,268.9,,70480,300,253.0,269.9,250.0
2026-01-21,1.5,0.6,252.5,79.87,31787,101,252.6,254.9,248.0
2026-01-20,5.0,2.03,251.0,55.01,22062,138,242.0,251.0,242.0
2026-01-18,7.0,2.93,246.0,36.95,15237,67,242.9,246.0,240.1
