DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.1,0.99,316.0,27.25,8642,74,310.2,317.6,310.2
2026-05-07,0.3,0.1,312.9,29.19,9355,89,312.6,315.0,310.5
2026-05-06,-2.4,-0.76,312.6,48.12,15328,110,313.0,318.0,312.1
2026-05-05,0.0,0.0,315.0,71.23,22616,139,313.0,319.0,311.8
2026-05-04,-4.0,-1.25,315.0,60.11,18995,139,325.0,325.0,315.0
2026-04-30,0.6,0.19,319.0,38.98,12257,93,316.1,322.0,315.3
2026-04-29,-3.3,-1.03,318.4,60.17,18892,136,318.0,324.4,316.1
2026-04-28,-0.9,-0.28,321.7,63.98,19881,173,322.6,326.0,319.4
2026-04-27,0.6,0.19,322.6,44.86,13767,113,338.1,338.1,322.6
2026-04-24,-4.0,-1.23,322.0,71.64,22105,117,322.1,330.0,322.0
2026-04-23,-4.0,-1.21,326.0,26.64,8126,105,346.5,346.5,325.0
2026-04-22,-2.0,-0.6,330.0,,43534,176,336.0,336.0,323.1
2026-04-21,-2.0,-0.6,332.0,72.06,21696,163,330.0,337.9,329.0
2026-04-20,-4.1,-1.21,334.0,51.73,15501,116,335.1,341.0,330.2
2026-04-17,0.1,0.03,338.1,65.5,19443,122,344.7,344.7,333.6
2026-04-16,-10.8,-3.1,338.0,94.27,27673,182,344.0,348.7,336.0
2026-04-15,4.1,1.19,348.8,,39140,273,344.0,355.0,344.0
2026-04-13,6.7,1.98,344.7,,38501,235,342.0,351.5,340.0
2026-04-10,-4.0,-1.17,338.0,75.08,22173,167,341.5,345.0,335.0
2026-04-09,5.6,1.66,342.0,,40762,233,332.0,346.5,330.0
2026-04-08,11.0,3.38,336.4,,41572,230,331.0,339.8,325.0
2026-04-07,-7.1,-2.14,325.4,70.58,21496,160,336.0,336.0,325.2
2026-04-06,18.5,5.89,332.5,,31195,228,314.0,333.4,314.0
2026-04-05,-17.9,-5.39,314.0,,35396,251,325.3,328.9,313.0
2026-04-02,2.9,0.88,331.9,,35531,224,325.2,338.9,322.5
2026-04-01,-19.0,-5.46,329.0,,49649,285,348.0,351.0,328.0
2026-03-31,4.5,1.31,348.0,,29372,192,343.5,349.9,335.1
2026-03-30,-9.5,-2.69,343.5,,48448,241,350.3,357.3,343.1
2026-03-29,-13.0,-3.55,353.0,,44621,321,370.0,370.0,350.6
