DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,8.5,1.67,516.5,23.25,4505,96,500.5,529.4,500.5
2026-05-07,-3.0,-0.59,508.0,21.22,4142,58,521.0,521.0,505.5
2026-05-06,-3.0,-0.58,511.0,,24224,92,529.0,529.0,501.1
2026-05-05,3.0,0.59,514.0,43.67,8609,202,511.0,540.9,501.0
2026-05-04,-48.0,-8.59,511.0,,29227,447,532.0,532.0,502.0
2026-04-30,-56.0,-9.11,559.0,60.56,10618,157,615.0,615.0,528.9
2026-04-29,-18.0,-2.84,615.0,14.89,2433,60,602.5,625.0,602.5
2026-04-28,-19.0,-2.91,633.0,14.93,2339,74,674.9,674.9,617.0
2026-04-27,-72.5,-10.01,652.0,,15642,248,689.0,689.0,640.0
2026-04-24,94.5,15.0,724.5,84.55,13466,141,611.1,724.5,600.0
2026-04-23,-31.1,-4.7,630.0,,16463,163,680.9,680.9,604.4
2026-04-22,-28.9,-4.19,661.1,63.26,9565,128,680.5,690.0,650.0
2026-04-21,-10.0,-1.43,690.0,22.87,3319,72,700.0,700.3,680.0
2026-04-20,-23.9,-3.3,700.0,28.29,3986,70,703.0,740.0,699.0
2026-04-17,6.9,0.96,723.9,23.66,3312,78,731.0,731.0,710.1
2026-04-16,-5.0,-0.69,717.0,40.5,5680,108,708.0,729.3,703.7
2026-04-15,-16.4,-2.22,722.0,97.55,13391,152,725.0,780.0,711.0
2026-04-13,-21.6,-2.84,738.4,,19145,181,745.2,774.0,702.5
2026-04-10,-32.0,-4.04,760.0,,17772,209,777.0,777.0,719.9
2026-04-09,44.0,5.88,792.0,,14628,121,734.0,792.0,706.0
2026-04-08,-25.0,-3.23,748.0,94.01,12898,140,758.2,758.2,720.0
2026-04-07,14.0,1.84,773.0,84.82,11654,155,744.0,773.0,705.0
2026-04-06,56.0,7.97,759.0,,90152,133,690.0,759.0,677.0
2026-04-05,-53.3,-7.05,703.0,28.98,4039,74,742.0,742.3,701.5
2026-04-02,-4.8,-0.63,756.3,,25237,132,746.5,775.0,730.0
2026-04-01,-14.9,-1.92,761.1,44.26,5896,68,761.2,776.0,745.0
2026-03-31,6.0,0.78,776.0,,19115,115,755.2,800.0,750.0
2026-03-30,-24.5,-3.08,770.0,43.41,5627,98,794.5,795.0,756.1
2026-03-29,-6.5,-0.81,794.5,,21595,127,786.8,845.0,766.0
2026-03-26,3.0,0.38,801.0,60.91,7778,118,783.5,814.0,770.0
2026-03-25,1.0,0.13,798.0,93.84,11819,120,785.0,817.0,780.0
2026-03-24,-12.0,-1.48,797.0,24.82,3104,59,793.8,827.0,793.0
2026-03-23,-9.0,-1.1,809.0,19.29,2414,81,802.8,834.0,781.0
2026-03-22,-7.0,-0.85,818.0,78.19,9680,144,809.8,842.0,795.0
2026-03-19,12.0,1.48,825.0,48.05,5894,116,797.5,826.0,797.5
2026-03-17,-4.0,-0.49,813.0,27.75,3425,81,800.7,825.0,792.0
2026-03-16,-33.0,-3.88,817.0,65.63,8127,82,834.5,834.5,802.0
2026-03-15,-10.0,-1.16,850.0,32.85,4046,94,843.5,850.0,799.7
2026-03-12,-2.0,-0.23,860.0,62.94,7584,92,845.8,860.0,805.0
2026-03-11,32.0,3.86,862.0,84.14,10280,94,814.8,862.0,799.0
2026-03-10,-2.3,-0.28,830.0,37.42,4570,94,848.0,848.0,802.0
2026-03-09,32.3,4.04,832.3,1.16,140,6,816.0,832.3,816.0
2026-03-03,9.5,1.2,800.0,13.2,1683,50,775.2,800.0,759.7
2026-03-01,0.5,0.06,790.5,4.97,640,34,775.0,790.5,760.0
2026-02-26,0.0,0.0,790.0,72.41,9431,65,774.5,790.0,760.0
2026-02-25,25.4,3.32,790.0,18.25,2383,59,750.0,790.0,750.0
2026-02-24,-5.4,-0.7,764.6,27.21,3510,56,760.0,792.0,760.0
2026-02-23,-28.0,-3.51,770.0,,26227,60,782.6,790.0,767.0
2026-02-22,-2.0,-0.25,798.0,3.03,385,35,785.0,798.0,770.0
2026-02-17,-11.0,-1.36,800.0,29.67,3765,63,795.4,812.0,776.0
2026-02-16,2.0,0.25,811.0,97.61,12230,134,793.5,825.0,778.1
2026-02-12,-7.0,-0.86,809.0,,21391,83,800.0,826.0,800.0
2026-02-11,-7.0,-0.85,816.0,60.51,7400,69,807.2,829.0,800.0
2026-02-10,-40.0,-4.63,823.0,,22730,86,847.0,863.0,820.0
2026-02-09,-7.0,-0.8,863.0,,24973,102,853.2,887.0,836.5
2026-02-08,5.0,0.58,870.0,,15590,137,848.5,915.0,832.0
2026-02-05,14.0,1.65,865.0,50.22,5937,116,835.5,880.0,818.8
2026-02-04,8.5,1.01,851.0,,13457,115,827.0,893.0,810.5
2026-02-03,2.6,0.31,842.5,75.24,9075,106,823.9,873.1,808.0
2026-02-02,20.9,2.55,839.9,,20431,140,803.5,868.0,803.5
2026-02-01,-19.0,-2.27,819.0,,23098,180,822.5,853.0,796.4
2026-01-29,12.0,1.45,838.0,81.96,9778,139,811.0,881.0,811.0
2026-01-28,-10.9,-1.3,826.0,,25560,216,820.6,864.0,807.1
2026-01-27,17.9,2.19,836.9,,31068,217,803.5,837.0,803.5
2026-01-26,-0.9,-0.11,819.0,,43955,216,804.6,836.0,788.6
2026-01-25,27.9,3.52,819.9,,25808,202,780.0,820.0,780.0
2026-01-22,-14.4,-1.79,792.0,,21515,157,791.6,807.4,767.0
2026-01-21,6.4,0.8,806.4,23.28,2932,81,784.5,816.0,784.5
2026-01-20,-0.1,-0.01,800.0,44.23,5527,103,785.6,821.1,784.1
2026-01-18,5.1,0.64,800.1,63.63,7961,122,780.5,808.0,771.3
2026-01-14,21.0,2.71,795.0,87.36,11016,130,759.2,834.3,759.2
2026-01-13,-22.0,-2.76,774.0,49.33,6350,55,780.9,795.0,773.1
2026-01-12,-4.0,-0.5,796.0,64.0,8112,94,785.6,810.5,771.0
2026-01-08,16.4,2.09,800.0,61.92,7895,65,768.8,800.0,754.1
2026-01-07,-16.4,-2.05,783.6,21.06,2656,68,785.0,816.0,770.0
2026-01-06,11.0,1.39,800.0,39.46,4967,100,775.0,821.1,762.1
2026-01-05,-4.0,-0.5,789.0,36.37,4620,55,778.5,799.8,778.5
2026-01-04,21.5,2.79,793.0,9.92,1275,63,756.6,794.0,756.6
