DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-4.0,-0.33,1200.0,32.85,2737,35,1196.0,1209.0,1196.0
2026-05-07,9.0,0.75,1204.0,22.0,1824,33,1150.0,1230.0,1143.0
2026-05-06,5.0,0.42,1195.0,4.51,379,22,1180.0,1195.1,1180.0
2026-05-05,0.0,0.0,1190.0,8.5,713,25,1190.0,1204.5,1186.0
2026-05-04,-15.0,-1.24,1190.0,23.64,1985,43,1201.0,1201.1,1176.1
2026-04-30,-18.0,-1.47,1205.0,16.53,1372,42,1190.1,1221.2,1190.1
2026-04-29,-2.0,-0.16,1223.0,20.14,1661,35,1225.0,1225.0,1210.7
2026-04-28,-7.2,-0.58,1225.0,23.61,1925,59,1232.2,1240.0,1220.0
2026-04-27,-12.8,-1.03,1232.2,12.45,1005,36,1245.0,1250.0,1232.2
2026-04-24,-5.0,-0.4,1245.0,20.83,1677,34,1232.0,1250.0,1231.0
2026-04-23,-22.9,-1.8,1250.0,33.53,2699,47,1273.0,1273.0,1240.0
2026-04-22,-2.3,-0.18,1272.9,52.1,4210,79,1294.0,1294.0,1212.5
2026-04-21,-18.8,-1.45,1275.2,10.16,792,20,1291.0,1291.0,1275.0
2026-04-20,-6.0,-0.46,1294.0,18.82,1463,31,1310.0,1310.0,1276.6
2026-04-17,5.0,0.39,1300.0,24.0,1877,39,1278.1,1300.0,1250.1
2026-04-16,-14.0,-1.07,1295.0,14.75,1143,17,1290.0,1295.0,1288.2
2026-04-15,22.0,1.71,1309.0,30.79,2347,39,1285.1,1317.0,1285.0
2026-04-13,-8.0,-0.62,1287.0,7.72,599,21,1291.0,1300.0,1287.0
2026-04-10,-26.0,-1.97,1295.0,39.82,3071,62,1320.0,1320.0,1288.1
2026-04-09,35.0,2.72,1321.0,30.32,2311,38,1286.0,1322.0,1285.0
2026-04-08,7.0,0.55,1286.0,18.33,1415,30,1276.0,1300.0,1276.0
2026-04-07,-11.0,-0.85,1279.0,24.49,1923,41,1280.0,1298.0,1265.0
2026-04-06,40.0,3.2,1290.0,35.74,2828,54,1265.0,1295.0,1250.0
2026-04-05,-41.0,-3.18,1250.0,82.51,6542,117,1285.0,1310.0,1240.5
2026-04-02,-15.0,-1.15,1291.0,40.2,3101,76,1288.4,1312.0,1288.2
2026-04-01,-37.0,-2.76,1306.0,51.43,3933,71,1322.0,1328.0,1293.7
2026-03-31,13.0,0.98,1343.0,34.07,2583,62,1330.0,1343.0,1304.1
2026-03-30,-18.0,-1.34,1330.0,49.04,3687,77,1328.1,1347.0,1312.0
2026-03-29,-27.0,-1.96,1348.0,86.85,6496,108,1390.0,1390.0,1321.1
2026-03-26,10.0,0.73,1375.0,22.78,1670,29,1380.0,1380.0,1356.0
2026-03-25,-24.8,-1.78,1365.0,,8676,115,1380.0,1389.7,1348.0
2026-03-24,-2.9,-0.21,1389.8,28.73,2071,61,1390.0,1397.0,1383.7
2026-03-23,-2.3,-0.16,1392.7,55.05,3958,81,1405.0,1418.0,1380.5
2026-03-22,38.0,2.8,1395.0,,14210,186,1383.9,1411.0,1360.0
2026-03-19,19.8,1.48,1357.0,51.55,3814,58,1335.0,1368.9,1335.0
2026-03-17,-16.8,-1.24,1337.2,59.06,4411,53,1370.0,1370.0,1337.0
2026-03-16,-16.0,-1.17,1354.0,46.09,3420,49,1346.0,1380.0,1341.0
2026-03-15,0.0,0.0,1370.0,31.18,2271,46,1370.0,1388.0,1360.4
2026-03-12,6.0,0.44,1370.0,30.79,2265,45,1360.0,1370.0,1341.0
2026-03-11,-25.0,-1.8,1364.0,59.22,4351,72,1386.0,1400.0,1340.0
2026-03-10,-21.0,-1.49,1389.0,95.77,6850,123,1438.0,1438.2,1379.0
2026-03-09,54.0,3.98,1410.0,,50,4,1383.1,1410.0,1383.1
2026-03-03,10.0,0.74,1356.0,28.0,2097,39,1319.5,1357.0,1319.1
2026-03-01,4.0,0.3,1346.0,32.82,2449,39,1330.0,1353.0,1308.0
2026-02-26,20.0,1.51,1342.0,46.27,3451,59,1322.0,1359.7,1306.0
2026-02-25,14.0,1.07,1322.0,8.9,678,22,1322.0,1331.0,1310.0
2026-02-24,8.0,0.62,1308.0,9.54,727,19,1320.0,1320.0,1302.8
