DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.9,0.79,367.9,63.73,17458,96,361.2,368.7,361.2
2026-05-07,2.5,0.69,365.0,41.41,11419,76,362.0,365.0,360.1
2026-05-06,-0.5,-0.14,362.5,22.12,6094,48,365.0,366.0,362.1
2026-05-05,-2.0,-0.55,363.0,70.29,19441,120,360.1,365.8,358.0
2026-05-04,-1.0,-0.27,365.0,88.55,24467,119,363.0,365.0,361.0
2026-04-30,0.0,0.0,366.0,62.0,17001,104,361.0,368.0,360.1
2026-04-29,-3.9,-1.05,366.0,,34783,103,365.2,369.0,364.0
2026-04-28,0.2,0.05,369.9,91.55,24866,99,369.7,373.0,366.1
2026-04-27,-0.1,-0.03,369.7,60.35,16322,98,369.8,373.0,368.8
2026-04-24,-0.2,-0.05,369.8,,42796,132,368.0,372.0,363.3
2026-04-23,-2.0,-0.54,370.0,94.51,25630,171,374.9,374.9,365.0
2026-04-22,-0.5,-0.13,372.0,,32422,176,370.0,377.0,366.1
2026-04-21,-2.6,-0.69,372.5,66.15,17653,127,374.0,383.5,372.5
2026-04-20,-4.9,-1.29,375.1,73.12,19345,108,391.0,391.0,375.1
2026-04-17,-2.5,-0.65,380.0,93.56,24666,138,386.9,386.9,376.0
2026-04-16,-3.2,-0.83,382.5,,90766,272,387.0,389.0,379.5
2026-04-15,10.3,2.74,385.7,,54787,224,376.1,386.9,375.0
2026-04-13,-1.8,-0.48,375.4,,111714,194,378.0,381.5,375.1
2026-04-10,-5.0,-1.31,377.2,,37764,178,380.0,384.9,376.0
2026-04-09,0.2,0.05,382.2,,56457,276,380.0,387.0,374.4
2026-04-08,5.0,1.33,382.0,,55633,227,370.6,382.0,370.6
2026-04-07,2.3,0.61,377.0,,56188,254,375.1,378.1,369.0
2026-04-06,14.7,4.08,374.7,,67509,268,360.0,375.8,360.0
2026-04-05,-18.0,-4.76,360.0,,118965,437,371.6,375.0,358.0
2026-04-02,0.0,0.0,378.0,,32943,273,373.4,381.0,371.0
2026-04-01,-10.0,-2.58,378.0,,63617,205,389.9,391.0,375.0
2026-03-31,5.1,1.33,388.0,,58973,245,378.6,392.4,376.2
2026-03-30,0.5,0.13,382.9,,82427,274,381.0,389.0,380.0
2026-03-29,-15.6,-3.92,382.4,,121970,444,398.0,401.0,382.4
2026-03-26,-2.0,-0.5,398.0,,40754,193,400.0,402.0,395.4
2026-03-25,-8.3,-2.03,400.0,,87148,279,408.0,410.0,399.0
2026-03-24,0.3,0.07,408.3,,86375,265,411.0,411.0,403.1
2026-03-23,-4.0,-0.97,408.0,,104521,342,415.0,415.0,401.7
2026-03-22,6.9,1.7,412.0,,195252,659,405.0,418.0,405.0
2026-03-19,19.1,4.95,405.1,,199086,795,393.0,408.0,389.3
2026-03-17,-0.1,-0.03,386.0,,40374,144,389.9,392.0,383.3
2026-03-16,-7.9,-2.01,386.1,,55863,131,399.0,399.0,386.0
2026-03-15,2.0,0.51,394.0,,50142,192,392.1,398.0,390.2
2026-03-12,4.0,1.03,392.0,,64108,238,384.0,395.0,383.0
2026-03-11,-9.8,-2.46,388.0,,70532,217,390.0,397.0,384.1
2026-03-10,-2.2,-0.55,397.8,,157782,476,400.0,400.0,385.1
2026-03-09,24.0,6.38,400.0,11.21,2911,8,383.5,400.0,383.5
2026-03-03,5.6,1.51,376.0,90.07,24124,110,365.0,376.0,365.0
2026-03-01,5.5,1.51,370.4,,27274,105,362.0,370.4,361.0
2026-02-26,-0.2,-0.05,364.9,46.4,12661,67,369.0,370.0,363.0
2026-02-25,-4.4,-1.19,365.1,52.38,14295,61,372.8,372.8,365.1
2026-02-24,5.5,1.51,369.5,45.13,12419,80,361.0,369.5,361.0
2026-02-23,3.1,0.86,364.0,79.29,21960,103,359.2,364.0,359.2
2026-02-22,-3.2,-0.88,360.9,,54783,134,364.0,364.0,359.2
2026-02-17,-2.9,-0.79,364.1,,34755,121,366.2,369.0,364.1
2026-02-16,-3.1,-0.84,367.0,46.35,12618,72,370.1,372.0,366.2
2026-02-12,1.3,0.35,370.1,,43766,142,365.3,374.5,365.3
2026-02-11,2.9,0.79,368.8,97.62,26670,141,369.0,369.0,364.0
2026-02-10,-1.9,-0.52,365.9,,33563,151,366.1,370.9,361.0
2026-02-09,-2.2,-0.59,367.8,,38860,127,366.2,373.0,366.0
2026-02-08,-2.0,-0.54,370.0,97.26,26127,129,376.0,376.0,369.0
2026-02-05,5.0,1.36,372.0,,49119,168,367.0,372.0,367.0
2026-02-04,-2.0,-0.54,367.0,99.74,27116,120,372.0,372.0,365.0
2026-02-03,0.5,0.14,369.0,91.16,24689,91,368.5,373.0,366.6
2026-02-02,-5.3,-1.42,368.5,,27444,121,373.0,373.0,368.1
2026-02-01,1.8,0.48,373.8,,27332,112,370.4,374.6,369.3
2026-01-29,-5.0,-1.33,372.0,,50864,194,372.0,383.4,371.0
2026-01-28,1.1,0.29,377.0,98.48,26284,150,372.0,380.0,371.2
2026-01-27,-6.1,-1.6,375.9,,85489,308,378.1,387.9,371.0
2026-01-26,-10.0,-2.55,382.0,,76227,280,395.0,396.9,382.0
2026-01-25,9.2,2.4,392.0,,77119,262,385.0,393.1,385.0
2026-01-22,0.9,0.24,382.8,,44090,149,380.0,382.8,377.0
2026-01-21,-2.8,-0.73,381.9,,37064,161,384.0,389.0,377.2
2026-01-20,6.7,1.77,384.7,,109086,311,380.1,390.0,380.0
2026-01-18,11.5,3.14,378.0,,64444,243,370.0,380.0,368.3
2026-01-14,-1.4,-0.38,366.5,,49560,130,371.0,371.0,363.4
2026-01-13,5.9,1.63,367.9,,27979,106,361.2,370.0,361.2
2026-01-12,-5.0,-1.36,362.0,83.24,22767,109,370.9,371.0,362.0
2026-01-08,0.0,0.0,367.0,95.55,26062,103,365.9,369.0,363.0
2026-01-07,-3.0,-0.81,367.0,,28675,112,369.4,372.0,366.0
2026-01-06,4.0,1.09,370.0,,43907,196,369.7,373.3,367.5
2026-01-05,8.0,2.23,366.0,,42765,173,355.3,367.0,355.0
2026-01-04,-1.0,-0.28,358.0,67.36,18850,106,359.0,361.0,355.7
2026-01-01,-6.5,-1.78,359.0,57.0,15786,78,368.9,368.9,359.0
2025-12-31,-1.5,-0.41,365.5,,28064,138,365.0,369.0,363.1
2025-12-29,3.6,0.99,367.0,,35050,123,364.9,367.0,358.0
2025-12-28,8.9,2.51,363.4,,30870,146,356.5,364.0,356.1
2025-12-24,-0.5,-0.14,354.5,,33102,107,359.0,359.0,351.8
2025-12-23,-4.0,-1.11,355.0,47.73,13487,87,359.0,359.0,352.1
