DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,17.0,0.95,1813.0,11.99,666,24,1792.0,1813.0,1792.0
2026-05-07,46.0,2.63,1796.0,8.59,483,28,1764.9,1798.0,1764.9
2026-05-06,-11.0,-0.62,1750.0,1.57,90,8,1755.0,1764.0,1750.0
2026-05-05,3.0,0.17,1761.0,25.37,1462,36,1731.0,1777.0,1725.0
2026-05-04,-31.0,-1.73,1758.0,5.48,311,13,1750.1,1779.0,1750.1
2026-04-30,-11.0,-0.61,1789.0,29.71,1684,41,1790.0,1799.0,1750.0
2026-04-29,-11.0,-0.61,1800.0,6.47,361,15,1811.0,1811.0,1777.0
2026-04-28,-3.0,-0.17,1811.0,14.26,798,39,1814.0,1814.0,1777.0
2026-04-27,14.0,0.78,1814.0,22.41,1243,23,1800.0,1825.0,1783.0
2026-04-24,-6.1,-0.34,1800.0,14.21,795,31,1806.1,1810.0,1780.2
2026-04-23,-33.9,-1.84,1806.1,8.66,481,20,1795.0,1806.1,1795.0
2026-04-22,-4.0,-0.22,1840.0,9.26,510,17,1865.0,1865.0,1810.0
2026-04-21,-3.9,-0.21,1844.0,4.6,253,22,1847.9,1847.9,1804.0
2026-04-20,-0.1,-0.01,1847.9,3.51,190,11,1870.0,1870.0,1820.0
2026-04-17,8.0,0.43,1848.0,32.65,1802,49,1807.0,1848.0,1803.2
2026-04-16,0.0,0.0,1840.0,22.57,1243,37,1840.0,1840.0,1795.0
2026-04-15,-21.0,-1.13,1840.0,11.7,636,25,1825.0,1860.0,1825.0
2026-04-13,16.0,0.87,1861.0,14.8,805,24,1820.0,1861.0,1820.0
2026-04-10,5.0,0.27,1845.0,12.99,702,30,1875.0,1875.0,1840.1
2026-04-09,1.0,0.05,1840.0,25.54,1393,48,1820.0,1856.0,1820.0
2026-04-08,-1.0,-0.05,1839.0,32.7,1805,34,1807.0,1839.2,1803.2
2026-04-07,-30.0,-1.6,1840.0,17.38,952,39,1855.0,1855.0,1815.0
2026-04-06,98.0,5.53,1870.0,37.4,2080,47,1800.0,1870.0,1770.0
2026-04-05,-87.5,-4.71,1772.0,47.32,2622,78,1842.0,1842.0,1765.0
2026-04-02,19.5,1.06,1859.5,29.04,1567,54,1840.0,1890.0,1826.0
2026-04-01,-79.0,-4.12,1840.0,25.58,1378,61,1885.0,1885.0,1840.0
2026-03-31,8.0,0.42,1919.0,21.58,1141,40,1882.0,1919.0,1882.0
2026-03-30,-37.9,-1.94,1911.0,15.02,784,40,1910.0,1945.0,1900.2
2026-03-29,-30.1,-1.52,1948.9,18.13,935,24,1950.0,1959.0,1920.0
2026-03-26,3.0,0.15,1979.0,15.25,771,25,1999.9,2000.2,1950.0
2026-03-25,-34.0,-1.69,1976.0,23.82,1208,35,1970.1,1985.0,1955.0
2026-03-24,54.0,2.76,2010.0,72.33,3643,91,1956.0,2019.0,1943.0
2026-03-23,-4.0,-0.2,1956.0,31.65,1623,47,1950.0,1960.0,1930.0
2026-03-22,40.1,2.09,1960.0,64.41,3312,90,1958.2,1960.0,1895.0
2026-03-19,12.9,0.68,1919.9,43.95,2336,82,1885.0,1920.0,1848.0
2026-03-17,17.0,0.9,1907.0,44.44,2391,58,1890.0,1910.0,1842.4
2026-03-16,-50.0,-2.58,1890.0,,6896,120,1965.0,1975.0,1862.5
2026-03-15,-34.0,-1.72,1940.0,26.6,1368,41,1941.0,1974.9,1925.1
2026-03-12,-4.0,-0.2,1974.0,15.4,786,21,1939.0,1974.0,1939.0
2026-03-11,-38.0,-1.88,1978.0,28.18,1430,30,1980.0,1980.0,1952.0
2026-03-10,70.7,3.63,2016.0,,11501,148,1984.2,2031.0,1945.3
2026-03-09,75.4,4.03,1945.3,,20,2,1907.2,1945.3,1907.2
2026-03-03,11.9,0.64,1869.9,14.05,762,32,1825.0,1870.0,1821.0
2026-03-01,-8.6,-0.46,1858.0,6.86,373,19,1830.1,1864.9,1830.0
2026-02-26,26.6,1.45,1866.6,3.83,207,10,1839.0,1866.6,1835.0
2026-02-25,7.9,0.43,1840.0,22.04,1206,22,1808.4,1844.0,1808.4
2026-02-24,-20.8,-1.12,1832.1,12.03,654,28,1852.9,1858.0,1825.1
2026-02-23,2.9,0.16,1852.9,13.37,726,22,1845.0,1860.0,1830.0
2026-02-22,-25.0,-1.33,1850.0,4.04,218,13,1875.0,1875.0,1841.2
2026-02-17,0.0,0.0,1875.0,22.85,1229,42,1855.0,1875.0,1851.0
2026-02-16,-5.0,-0.27,1875.0,13.77,740,32,1860.0,1890.0,1860.0
2026-02-12,-19.0,-1.0,1880.0,19.43,1037,34,1899.0,1900.0,1861.2
2026-02-11,9.0,0.48,1899.0,10.87,578,25,1890.0,1900.0,1875.5
2026-02-10,-8.0,-0.42,1890.0,24.81,1313,28,1900.0,1900.0,1889.0
2026-02-09,-31.0,-1.61,1898.0,28.92,1531,41,1929.0,1929.0,1880.0
2026-02-08,-1.0,-0.05,1929.0,11.03,577,21,1940.0,1940.0,1900.0
2026-02-05,-4.0,-0.21,1930.0,15.97,836,29,1898.0,1935.9,1898.0
2026-02-04,11.1,0.58,1934.0,9.82,515,22,1922.0,1939.0,1887.0
2026-02-03,32.9,1.74,1922.9,19.1,998,29,1896.0,1926.9,1885.5
2026-02-02,-9.0,-0.47,1890.0,20.49,1073,34,1885.0,1925.0,1880.0
2026-02-01,-17.0,-0.89,1899.0,40.0,2109,47,1916.0,1938.0,1890.0
2026-01-29,-42.0,-2.15,1916.0,55.5,2883,79,1934.0,1949.0,1916.0
2026-01-28,-13.0,-0.66,1958.0,11.57,596,31,1942.0,1970.0,1931.1
2026-01-27,-25.6,-1.28,1971.0,31.14,1584,44,1964.1,1995.0,1935.3
2026-01-26,18.5,0.94,1996.6,35.25,1780,55,1978.1,2016.9,1960.0
2026-01-25,19.1,0.97,1978.1,52.86,2652,75,1998.0,2020.0,1960.1
2026-01-22,4.1,0.21,1959.0,29.91,1540,41,1953.9,1960.0,1926.0
2026-01-21,33.9,1.76,1954.9,11.59,601,30,1921.0,1954.9,1901.0
2026-01-20,-10.9,-0.56,1921.0,13.41,694,35,1930.0,1967.5,1915.0
2026-01-18,31.9,1.68,1931.9,6.32,330,27,1900.0,1937.9,1900.0
2026-01-14,15.0,0.8,1900.0,21.68,1147,39,1900.0,1900.0,1876.0
2026-01-13,-15.0,-0.79,1885.0,15.91,843,40,1900.0,1900.0,1870.0
2026-01-12,-30.0,-1.55,1900.0,45.5,2390,56,1901.0,1920.0,1895.0
2026-01-08,-15.0,-0.77,1930.0,43.34,2262,50,1945.0,1947.1,1908.2
2026-01-07,22.0,1.14,1945.0,31.78,1638,37,1905.0,1960.0,1900.2
