DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.0,1.03,490.0,8.02,1653,41,485.0,490.0,475.6
2026-05-07,-0.1,-0.02,485.0,9.68,2024,33,475.0,485.0,473.0
2026-05-06,-7.9,-1.6,485.1,9.94,2048,24,490.0,495.0,482.0
2026-05-05,5.0,1.02,493.0,12.1,2525,51,484.9,499.0,473.5
2026-05-04,-10.0,-2.01,488.0,13.48,2769,46,491.3,491.3,485.7
2026-04-30,-10.2,-2.01,498.0,20.88,4166,62,507.0,510.0,491.2
2026-04-29,-6.8,-1.32,508.2,13.94,2737,62,525.0,529.7,508.0
2026-04-28,-6.9,-1.32,515.0,26.15,5121,73,521.9,524.0,508.3
2026-04-27,1.9,0.37,521.9,25.54,4963,81,520.0,522.0,510.1
2026-04-24,-5.0,-0.95,520.0,19.16,3700,56,525.0,525.0,515.0
2026-04-23,-4.0,-0.76,525.0,42.46,8095,86,527.5,533.0,520.0
2026-04-22,-5.0,-0.94,529.0,19.63,3697,61,531.7,538.0,527.1
2026-04-21,-3.1,-0.58,534.0,5.11,955,38,536.9,547.0,531.7
2026-04-20,2.1,0.39,537.1,33.26,6161,81,530.2,548.0,530.2
2026-04-17,-7.0,-1.29,535.0,19.45,3656,47,539.0,542.0,530.0
2026-04-16,-4.6,-0.84,542.0,5.43,1005,30,538.2,549.0,538.2
2026-04-15,8.5,1.58,546.6,14.51,2645,65,536.0,555.0,536.0
2026-04-13,3.1,0.58,538.1,28.27,5240,62,537.0,544.0,537.0
2026-04-10,-16.0,-2.9,535.0,14.51,2685,49,542.0,549.9,535.0
2026-04-09,8.6,1.59,551.0,34.56,6307,73,553.0,553.2,539.0
2026-04-08,14.4,2.73,542.4,31.76,5850,78,528.1,559.6,528.1
2026-04-07,-9.0,-1.68,528.0,27.72,5221,65,547.0,547.0,527.0
2026-04-06,12.0,2.29,537.0,22.79,4263,73,535.0,540.0,525.0
2026-04-05,-23.8,-4.34,525.0,45.49,8586,101,540.0,543.0,525.0
2026-04-02,-1.2,-0.22,548.8,14.11,2575,54,540.1,554.7,539.1
2026-04-01,-10.0,-1.79,550.0,54.56,9941,96,555.0,560.0,542.0
2026-03-31,4.5,0.81,560.0,50.38,9080,105,566.5,566.6,550.0
2026-03-30,-7.5,-1.33,555.5,51.77,9273,89,554.0,569.0,554.0
2026-03-29,-10.0,-1.75,563.0,45.31,8038,107,580.0,580.0,560.0
2026-03-26,4.5,0.79,573.0,72.74,12743,105,570.0,578.0,566.0
2026-03-25,-3.6,-0.63,568.5,53.62,9399,99,572.0,579.9,568.5
2026-03-24,-0.9,-0.16,572.1,,21364,163,583.0,586.0,569.0
2026-03-23,-9.5,-1.63,573.0,,22232,157,580.0,581.0,565.8
2026-03-22,-2.5,-0.43,582.5,,18260,140,581.0,604.4,573.3
2026-03-19,12.0,2.09,585.0,74.88,12887,144,584.4,595.0,564.0
2026-03-17,-2.0,-0.35,573.0,36.54,6405,85,563.5,575.0,563.5
2026-03-16,-3.0,-0.52,575.0,57.01,9956,91,571.5,580.0,571.0
2026-03-15,-1.0,-0.17,578.0,39.13,6777,78,570.0,585.0,570.0
2026-03-12,2.0,0.35,579.0,64.76,11229,114,577.0,587.9,572.0
2026-03-11,-10.0,-1.7,577.0,72.2,12406,135,589.0,590.0,571.0
2026-03-10,-26.0,-4.24,587.0,95.37,16150,157,613.0,615.0,585.0
2026-03-09,34.0,5.87,613.0,6.54,1106,7,590.5,613.0,590.5
2026-03-03,14.0,2.48,579.0,32.19,5617,80,576.0,579.0,568.0
2026-03-01,9.8,1.77,565.0,63.79,11387,91,544.1,565.0,544.1
2026-02-26,-0.8,-0.14,555.2,32.46,5844,68,562.0,562.0,552.8
2026-02-25,-2.3,-0.41,556.0,21.64,3869,59,558.3,563.9,556.0
2026-02-24,-1.7,-0.3,558.3,27.03,4845,69,552.1,564.8,552.1
2026-02-23,-8.0,-1.41,560.0,50.17,9000,101,569.0,569.0,552.1
2026-02-22,-12.0,-2.07,568.0,47.74,8354,84,580.0,591.6,568.0
2026-02-17,2.4,0.42,580.0,82.08,14275,128,577.0,580.0,572.0
2026-02-16,-5.4,-0.93,577.6,40.61,7005,75,577.0,584.0,577.0
2026-02-12,2.6,0.45,583.0,63.67,10910,89,589.0,591.8,581.0
2026-02-11,-4.1,-0.7,580.4,64.39,11064,112,585.0,594.7,578.5
2026-02-10,-1.5,-0.26,584.5,48.15,8262,111,596.9,596.9,580.4
2026-02-09,-5.0,-0.85,586.0,,19118,169,599.8,599.8,583.0
2026-02-08,-17.0,-2.8,591.0,93.33,15551,151,610.0,610.0,591.0
2026-02-05,17.0,2.88,608.0,,21936,204,600.0,609.9,590.0
2026-02-04,-7.0,-1.17,591.0,86.71,14602,197,599.0,604.5,588.0
2026-02-03,-2.0,-0.33,598.0,74.85,12654,134,600.1,600.1,588.2
2026-02-02,0.0,0.0,600.0,,17243,182,611.0,612.0,590.0
2026-02-01,-4.5,-0.74,600.0,,19293,230,614.9,614.9,590.0
2026-01-29,-4.4,-0.72,604.5,,41366,296,609.1,621.0,602.0
