DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.8,1.03,371.9,65.06,17577,156,366.0,371.9,366.0
2026-05-07,0.1,0.03,368.1,57.15,15551,150,372.0,372.0,365.0
2026-05-06,1.0,0.27,368.0,41.5,11261,123,372.0,372.0,368.0
2026-05-05,-2.0,-0.54,367.0,,28439,227,367.0,372.5,364.0
2026-05-04,-3.0,-0.81,369.0,79.93,21605,197,371.0,375.0,367.0
2026-04-30,3.4,0.92,372.0,,28768,213,371.0,372.0,366.0
2026-04-29,-2.4,-0.65,368.6,,33562,223,370.1,374.9,368.6
2026-04-28,-2.0,-0.54,371.0,,34221,232,373.0,376.0,370.0
2026-04-27,-2.0,-0.53,373.0,94.37,25198,185,375.0,380.0,370.3
2026-04-24,0.0,0.0,375.0,,34176,208,375.0,375.0,369.0
2026-04-23,-0.9,-0.24,375.0,81.84,21865,158,380.0,380.0,371.1
2026-04-22,0.3,0.08,375.9,,31794,242,376.0,377.9,370.2
2026-04-21,-4.3,-1.13,375.6,59.18,15677,158,379.0,383.0,375.1
2026-04-20,1.9,0.5,379.9,92.57,24467,183,378.0,381.9,375.0
2026-04-17,-1.0,-0.26,378.0,,30508,263,383.9,383.9,375.0
2026-04-16,-4.9,-1.28,379.0,,36358,258,386.0,386.0,378.0
2026-04-15,4.9,1.29,383.9,,38263,234,382.0,385.0,380.0
2026-04-13,-2.0,-0.52,379.0,,36545,227,386.0,386.0,378.0
2026-04-10,-4.5,-1.17,381.0,,65444,348,386.0,387.0,377.8
2026-04-09,3.7,0.97,385.5,,48228,301,382.0,386.0,380.2
2026-04-08,6.7,1.79,381.8,,34300,236,375.1,381.8,375.1
2026-04-07,-1.9,-0.5,375.1,,46124,330,379.9,381.5,374.5
2026-04-06,13.0,3.57,377.0,,59589,419,360.2,379.4,359.0
2026-04-05,-10.9,-2.91,364.0,,88150,564,375.0,375.0,363.0
2026-04-02,1.7,0.46,374.9,,66300,429,369.0,377.1,362.2
2026-04-01,-11.3,-2.94,373.2,,78799,466,381.1,383.8,371.0
2026-03-31,4.7,1.24,384.5,,76188,522,375.2,385.5,373.0
2026-03-30,-7.4,-1.91,379.8,,107896,629,385.0,389.8,376.0
2026-03-29,-11.9,-2.98,387.2,,103349,627,397.0,401.1,387.2
2026-03-26,-1.9,-0.47,399.1,,66451,353,401.0,401.0,396.0
2026-03-25,-3.9,-0.96,401.0,,74481,374,404.0,409.0,401.0
2026-03-24,-0.6,-0.15,404.9,,66971,403,409.0,409.5,401.1
2026-03-23,-2.5,-0.61,405.5,,105361,610,412.4,412.4,401.1
2026-03-22,7.9,1.97,408.0,,239204,1048,408.0,411.0,405.0
2026-03-19,14.2,3.68,400.1,,206199,946,387.0,402.0,387.0
2026-03-17,0.9,0.23,385.9,,37662,208,388.9,388.9,382.0
2026-03-16,-6.0,-1.53,385.0,,62110,377,391.0,392.0,385.0
2026-03-15,1.3,0.33,391.0,,104709,483,390.0,397.0,390.0
2026-03-12,1.7,0.44,389.7,,96884,490,382.2,394.0,381.3
2026-03-11,-5.0,-1.27,388.0,,91010,526,400.0,400.0,385.3
