DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,12.1,2.0,617.0,,16404,93,605.0,618.0,602.1
2026-05-07,1.0,0.17,604.9,,43784,79,608.0,609.9,603.5
2026-05-06,-0.1,-0.02,603.9,41.41,6873,55,605.0,610.0,600.0
2026-05-05,0.0,0.0,604.0,88.56,14600,74,603.9,610.0,595.7
2026-05-04,-5.9,-0.97,604.0,63.1,10523,80,620.0,620.0,593.0
2026-04-30,0.9,0.15,609.9,,16847,115,602.9,610.0,590.0
2026-04-29,-6.0,-0.98,609.0,56.54,9251,68,610.2,616.0,608.0
2026-04-28,-13.0,-2.07,615.0,79.58,12823,82,628.0,631.0,615.0
2026-04-27,4.0,0.64,628.0,,26663,100,624.0,628.0,614.0
2026-04-24,0.1,0.02,624.0,79.15,12829,82,606.0,624.0,606.0
2026-04-23,-1.3,-0.21,623.9,,20140,89,621.0,638.0,612.0
2026-04-22,-4.5,-0.71,625.2,,20975,151,639.0,639.0,610.9
2026-04-21,-16.9,-2.61,629.7,,23622,147,646.0,649.9,627.0
2026-04-20,-8.4,-1.28,646.6,41.43,6410,74,625.0,679.0,625.0
2026-04-17,3.8,0.58,655.0,,29472,153,639.0,660.0,631.2
2026-04-16,-23.8,-3.53,651.2,,20548,150,676.0,676.0,651.0
2026-04-15,4.0,0.6,675.0,,41951,210,668.0,693.0,668.0
2026-04-13,6.8,1.02,671.0,,85211,258,663.9,688.0,653.1
2026-04-10,0.3,0.05,664.2,,55085,281,651.2,675.0,651.2
2026-04-09,36.9,5.89,663.9,,47871,289,638.0,663.9,625.3
2026-04-08,7.0,1.13,627.0,,18031,100,624.9,632.0,614.2
2026-04-07,8.0,1.31,620.0,,18976,131,624.0,630.0,613.7
2026-04-06,24.0,4.08,612.0,,37061,238,599.0,621.9,587.1
2026-04-05,-39.0,-6.22,588.0,,33251,267,627.0,627.0,588.0
2026-04-02,0.1,0.02,627.0,,16920,157,637.9,638.0,625.0
2026-04-01,-23.5,-3.61,626.9,,28061,258,650.7,658.0,611.0
2026-03-31,-5.6,-0.85,650.4,,38196,234,645.0,670.0,643.0
2026-03-30,-34.0,-4.93,656.0,,28928,212,690.0,698.0,642.0
2026-03-29,-29.0,-4.03,690.0,,53723,372,725.0,725.0,667.0
2026-03-26,13.7,1.94,719.0,,31689,215,719.4,719.4,698.1
2026-03-25,-18.8,-2.6,705.3,,59551,199,715.0,729.0,705.3
2026-03-24,-5.9,-0.81,724.1,,30705,178,744.0,744.0,711.0
2026-03-23,5.0,0.69,730.0,,93027,362,725.0,738.0,705.0
2026-03-22,0.0,0.0,725.0,,99793,341,723.0,735.0,711.0
2026-03-19,-3.5,-0.48,725.0,,59952,280,728.5,728.5,700.0
2026-03-17,3.5,0.48,728.5,,116837,448,715.0,730.0,700.0
2026-03-16,0.0,0.0,725.0,,93748,531,715.0,730.0,711.0
2026-03-15,34.0,4.92,725.0,,151044,755,700.0,725.0,678.0
2026-03-12,19.0,2.83,691.0,,64719,346,661.1,692.0,661.1
2026-03-11,4.0,0.6,672.0,,56183,204,667.0,680.2,660.1
2026-03-10,-32.0,-4.57,668.0,,70931,488,713.0,713.0,652.7
2026-03-09,52.0,8.02,700.0,,60,6,648.0,700.0,648.0
2026-03-03,10.2,1.6,648.0,,32436,184,637.8,672.0,634.0
2026-03-01,19.3,3.12,637.8,,30649,187,610.0,639.0,610.0
2026-02-26,3.6,0.59,618.5,32.17,5215,48,603.0,620.9,603.0
2026-02-25,0.9,0.15,614.9,41.94,6845,49,603.0,622.2,603.0
2026-02-24,0.0,0.0,614.0,22.16,3645,48,602.5,615.0,602.5
2026-02-23,-9.0,-1.44,614.0,71.84,11720,72,615.0,620.0,602.7
2026-02-22,13.0,2.13,623.0,,20461,147,611.0,623.0,588.0
2026-02-17,-8.0,-1.29,610.0,,21452,154,610.0,624.0,603.6
2026-02-16,-12.0,-1.9,618.0,79.27,12732,107,625.0,639.0,615.1
2026-02-12,5.0,0.8,630.0,,22757,131,626.0,637.0,613.5
2026-02-11,-8.9,-1.4,625.0,,18360,103,645.0,645.0,625.0
2026-02-10,3.9,0.62,633.9,,16440,143,625.0,650.0,625.0
2026-02-09,-27.0,-4.11,630.0,,26416,112,660.0,660.0,630.0
2026-02-08,0.0,0.0,657.0,,69365,436,644.0,669.0,644.0
2026-02-05,14.1,2.19,657.0,,47607,227,632.0,676.0,632.0
2026-02-04,2.9,0.45,642.9,,29279,178,630.0,650.0,630.0
2026-02-03,3.0,0.47,640.0,,35117,133,625.0,648.0,625.0
2026-02-02,-5.0,-0.78,637.0,,20657,108,635.0,652.0,630.1
2026-02-01,2.1,0.33,642.0,,29265,196,630.0,649.0,625.0
2026-01-29,-25.1,-3.77,639.9,,47141,212,660.0,672.9,634.1
2026-01-28,21.0,3.26,665.0,,39605,289,640.0,673.2,640.0
2026-01-27,-31.8,-4.71,644.0,,76813,368,666.0,686.0,642.0
2026-01-26,-4.2,-0.62,675.8,,49791,255,669.0,680.0,667.0
