DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,5.8,0.47,1243.8,15.81,1288,22,1212.0,1243.8,1212.0
2026-05-07,-16.0,-1.28,1238.0,21.58,1766,43,1220.2,1250.0,1183.6
2026-05-06,14.0,1.13,1254.0,3.59,292,19,1235.0,1254.0,1230.0
2026-05-05,-13.0,-1.04,1240.0,17.89,1419,32,1221.0,1269.9,1221.0
2026-05-04,11.9,0.96,1253.0,42.37,3369,46,1265.0,1274.9,1228.0
2026-04-30,-18.9,-1.5,1241.1,7.76,613,23,1260.0,1289.9,1230.0
2026-04-29,-29.0,-2.25,1260.0,17.22,1374,47,1250.4,1319.0,1176.6
2026-04-28,-9.0,-0.69,1289.0,26.91,2172,56,1298.0,1336.0,1121.1
2026-04-27,29.0,2.29,1298.0,39.69,3145,83,1269.0,1411.1,1089.9
2026-04-24,9.0,0.71,1269.0,11.72,941,44,1237.0,1275.0,1237.0
2026-04-23,-32.0,-2.48,1260.0,38.1,3089,34,1254.0,1298.0,1220.0
2026-04-22,1.0,0.08,1292.0,27.92,2220,56,1226.5,1292.0,1226.5
2026-04-21,-4.0,-0.31,1291.0,11.83,929,37,1295.0,1295.0,1267.2
2026-04-20,-15.0,-1.15,1295.0,22.14,1714,48,1244.5,1400.5,1244.5
2026-04-17,0.1,0.01,1310.0,9.41,727,41,1285.0,1323.0,1284.0
2026-04-16,-14.1,-1.06,1309.9,6.03,464,26,1297.6,1309.9,1275.0
2026-04-15,18.8,1.44,1324.0,28.84,2203,70,1314.9,1327.0,1300.0
2026-04-13,-11.8,-0.9,1305.2,15.81,1212,45,1290.7,1320.8,1290.7
2026-04-10,-2.0,-0.15,1317.0,8.36,640,39,1293.0,1345.0,1241.9
2026-04-09,5.0,0.38,1319.0,10.27,787,39,1287.8,1326.0,1236.9
2026-04-08,25.0,1.94,1314.0,11.22,862,44,1314.7,1324.0,1288.7
2026-04-07,22.0,1.74,1289.0,21.19,1661,60,1292.3,1392.0,1251.1
2026-04-06,26.0,2.1,1267.0,35.73,2828,55,1240.0,1285.0,1238.3
2026-04-05,-44.0,-3.42,1241.0,18.31,1455,68,1260.1,1286.2,1240.0
2026-04-02,-0.1,-0.01,1285.0,37.5,2924,91,1299.0,1323.9,1250.0
2026-04-01,-64.8,-4.8,1285.1,32.45,2483,69,1323.0,1336.2,1280.0
