DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,10.0,0.95,1059.0,92.87,9054,151,1019.1,1060.0,1009.0
2026-05-07,29.0,2.84,1049.0,36.52,3528,79,1008.2,1139.0,1008.2
2026-05-06,-80.0,-7.27,1020.0,73.57,7039,113,1067.0,1096.0,1005.0
2026-05-05,6.0,0.55,1100.0,,26248,280,1063.0,1126.0,1000.0
2026-05-04,-98.0,-8.22,1094.0,,9424,158,1157.0,1184.0,1070.0
2026-04-30,22.1,1.89,1192.0,98.03,8661,153,1155.0,1195.0,1105.0
2026-04-29,-39.1,-3.23,1169.9,,9650,111,1172.0,1208.0,1156.0
2026-04-28,-2.0,-0.17,1209.0,,11060,164,1174.0,1260.0,1174.0
2026-04-27,-25.0,-2.02,1211.0,,12715,117,1198.0,1249.0,1198.0
2026-04-24,-24.0,-1.9,1236.0,,18199,227,1222.0,1293.0,1200.0
2026-04-23,60.0,5.0,1260.0,,55145,441,1164.0,1335.0,1164.0
2026-04-22,-21.0,-1.72,1200.0,,9964,122,1184.0,1229.9,1175.0
2026-04-21,24.0,2.01,1221.0,,15431,152,1160.0,1245.0,1150.0
2026-04-20,21.0,1.79,1197.0,68.71,5827,88,1200.0,1200.0,1156.1
2026-04-17,-41.0,-3.37,1176.0,,15567,116,1238.0,1238.0,1174.0
2026-04-16,-20.9,-1.69,1217.0,,21373,160,1216.0,1220.0,1195.0
2026-04-15,64.9,5.53,1237.9,,19389,282,1196.0,1248.0,1156.1
2026-04-13,-26.6,-2.22,1173.0,85.2,7229,93,1220.0,1220.0,1172.1
2026-04-10,-10.3,-0.85,1199.6,,37853,168,1190.5,1234.0,1178.0
2026-04-09,2.9,0.24,1209.9,,14136,203,1182.9,1209.9,1180.0
2026-04-08,7.0,0.58,1207.0,72.53,6065,93,1220.0,1222.0,1176.0
2026-04-07,31.0,2.65,1200.0,,9264,176,1192.0,1232.0,1174.1
2026-04-06,-14.5,-1.23,1169.0,,22591,229,1159.9,1238.0,1078.0
2026-04-05,-131.5,-10.0,1183.5,,33481,224,1288.7,1313.0,1183.5
2026-04-02,-31.4,-2.33,1315.0,,14255,159,1319.5,1340.0,1290.0
2026-04-01,-53.6,-3.83,1346.4,,15898,126,1428.0,1428.0,1320.0
2026-03-31,10.0,0.72,1400.0,,74917,185,1362.2,1447.0,1310.0
2026-03-30,-49.0,-3.41,1390.0,70.48,5041,118,1410.3,1439.0,1383.0
2026-03-29,-29.0,-1.98,1439.0,,23354,97,1438.7,1466.0,1412.1
2026-03-26,8.0,0.55,1468.0,,79042,156,1430.8,1520.0,1348.0
2026-03-25,-31.0,-2.08,1460.0,,38792,172,1489.0,1599.3,1431.0
2026-03-24,-59.0,-3.81,1491.0,,55993,181,1519.0,1519.0,1431.0
2026-03-23,72.0,4.87,1550.0,,75680,259,1448.5,1575.0,1375.0
2026-03-22,-22.0,-1.47,1478.0,,27219,305,1500.0,1588.0,1450.0
2026-03-19,34.0,2.32,1500.0,,77696,292,1436.7,1580.0,1385.0
2026-03-17,0.0,0.0,1466.0,,76164,156,1436.7,1527.0,1436.7
2026-03-16,-64.0,-4.18,1466.0,,19182,130,1499.4,1559.0,1466.0
2026-03-15,-45.0,-2.86,1530.0,,70744,238,1606.5,1606.5,1490.0
2026-03-12,35.1,2.28,1575.0,,75495,273,1509.2,1581.0,1449.7
2026-03-11,72.9,4.97,1539.9,,90584,355,1438.0,1587.1,1356.0
2026-03-10,-55.0,-3.61,1467.0,,12967,169,1522.0,1522.0,1414.0
2026-03-09,96.1,6.74,1522.0,,21024,16,1454.0,1523.7,1454.0
2026-03-03,26.9,1.92,1425.9,,12739,73,1372.7,1440.0,1372.7
2026-03-01,-23.9,-1.68,1399.0,69.2,4961,73,1394.5,1419.0,1368.1
2026-02-26,2.9,0.2,1422.9,,44611,156,1405.0,1457.0,1364.0
2026-02-25,-10.0,-0.7,1420.0,,42625,117,1450.4,1477.0,1420.0
2026-02-24,70.0,5.15,1430.0,,9232,199,1332.8,1477.0,1332.8
2026-02-23,40.0,3.03,1360.0,,85434,212,1293.6,1360.0,1270.4
2026-02-22,-98.0,-6.91,1320.0,,30096,237,1389.7,1413.9,1282.0
2026-02-17,-102.0,-6.71,1418.0,,43532,386,1489.6,1547.7,1368.0
