DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,523.0,,44672,504,525.0,528.0,520.1
2026-05-07,0.7,0.13,523.0,,32514,349,525.0,525.0,522.2
2026-05-06,0.7,0.13,522.3,,23570,329,525.0,527.0,522.0
2026-05-05,0.6,0.12,521.6,,38727,539,520.0,526.0,516.0
2026-05-04,-7.0,-1.33,521.0,,62346,818,528.0,535.0,516.0
2026-04-30,3.1,0.59,528.0,,47024,491,524.0,528.1,520.0
2026-04-29,-0.1,-0.02,524.9,,36190,491,527.0,527.0,522.0
2026-04-28,5.8,1.12,525.0,,66167,646,519.2,532.0,519.2
2026-04-27,1.2,0.23,519.2,,36199,506,518.0,522.0,517.5
2026-04-24,-2.0,-0.38,518.0,,38819,482,520.0,520.0,515.0
2026-04-23,-6.5,-1.23,520.0,,33344,457,530.0,530.0,518.0
2026-04-22,0.5,0.1,526.5,,66642,629,526.0,527.0,519.0
2026-04-21,-2.0,-0.38,526.0,,35671,457,550.0,550.0,525.0
2026-04-20,-2.0,-0.38,528.0,,39912,494,533.0,534.9,527.1
2026-04-17,-1.0,-0.19,530.0,,39114,426,541.6,541.6,528.0
2026-04-16,-0.9,-0.17,531.0,,59730,510,535.0,538.0,530.0
2026-04-15,1.9,0.36,531.9,,57069,572,530.5,534.0,530.0
2026-04-13,0.5,0.09,530.0,,51167,537,540.0,540.0,520.0
2026-04-10,1.5,0.28,529.5,,85950,598,532.0,538.0,526.2
2026-04-09,4.0,0.76,528.0,,38820,442,521.0,530.0,521.0
2026-04-08,4.0,0.77,524.0,,63582,472,520.0,525.0,520.0
2026-04-07,2.0,0.39,520.0,,48132,561,523.9,525.9,518.0
2026-04-06,12.7,2.51,518.0,,66226,744,506.0,522.0,505.0
2026-04-05,-12.2,-2.36,505.3,,103324,1093,510.0,518.0,499.8
2026-04-02,-5.5,-1.05,517.5,,83066,785,512.6,524.9,512.0
2026-04-01,-8.0,-1.51,523.0,,70913,628,531.0,531.0,520.0
2026-03-31,4.0,0.76,531.0,,86278,777,535.0,535.0,520.0
2026-03-30,-7.1,-1.33,527.0,,104673,797,533.0,539.0,525.1
2026-03-29,-8.9,-1.64,534.1,,174352,1060,550.0,550.0,534.0
2026-03-26,4.0,0.74,543.0,,58580,598,539.0,543.0,533.0
2026-03-25,-5.6,-1.03,539.0,,133329,830,544.0,548.0,538.0
2026-03-24,2.6,0.48,544.6,,99147,776,546.0,546.0,542.5
2026-03-23,-0.1,-0.02,542.0,,100511,926,542.1,546.0,536.7
2026-03-22,6.9,1.29,542.1,,178526,1249,545.0,545.9,537.0
2026-03-19,9.4,1.79,535.2,,151867,1007,528.0,536.0,527.0
2026-03-17,2.8,0.54,525.8,,47099,455,523.0,530.0,523.0
2026-03-16,-7.5,-1.41,523.0,,67561,684,530.0,532.0,523.0
2026-03-15,1.5,0.28,530.5,,92278,786,531.0,539.0,528.5
2026-03-12,2.0,0.38,529.0,,81850,706,522.1,531.7,522.0
2026-03-11,-7.8,-1.46,527.0,,78574,748,539.0,539.0,525.0
2026-03-10,-10.2,-1.87,534.8,,271844,2313,545.0,555.0,528.0
2026-03-09,41.0,8.13,545.0,25.69,4906,32,514.0,550.0,514.0
2026-03-03,5.0,1.0,504.0,,53465,480,508.9,508.9,497.0
2026-03-01,1.1,0.22,499.0,,58125,486,497.9,500.0,494.0
2026-02-26,1.9,0.38,497.9,,32698,315,498.0,499.0,496.5
2026-02-25,0.0,0.0,496.0,,30849,297,497.0,499.0,495.0
