DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,19.9,2.67,764.9,2.61,351,14,745.0,764.9,725.0
2026-05-07,7.0,0.95,745.0,6.24,856,24,725.0,745.0,718.0
2026-05-06,-12.0,-1.6,738.0,6.27,842,11,728.2,750.0,728.2
2026-05-05,3.5,0.47,750.0,3.35,453,21,725.3,750.0,725.3
2026-05-04,6.4,0.86,746.5,8.26,1132,24,745.0,746.5,724.0
2026-04-30,-9.9,-1.32,740.1,4.05,544,21,730.1,749.0,730.1
2026-04-29,-5.6,-0.74,750.0,7.34,985,18,755.6,755.6,740.0
2026-04-28,-13.4,-1.74,755.6,3.99,526,23,769.0,769.0,755.0
2026-04-27,3.0,0.39,769.0,2.31,307,16,766.0,774.8,750.0
2026-04-24,6.0,0.79,766.0,2.69,357,15,760.0,766.0,741.0
2026-04-23,-6.0,-0.78,760.0,8.93,1194,17,750.0,760.0,740.0
2026-04-22,-3.0,-0.39,766.0,6.52,866,28,751.0,766.0,750.0
2026-04-21,-18.9,-2.4,769.0,7.39,972,29,787.9,787.9,750.0
2026-04-20,6.9,0.88,787.9,7.4,946,25,820.0,820.0,770.0
2026-04-17,-6.0,-0.76,781.0,9.71,1266,26,773.0,781.0,756.7
2026-04-16,0.0,0.0,787.0,9.17,1183,25,774.0,787.0,772.0
2026-04-15,-4.7,-0.59,787.0,14.36,1808,40,804.0,806.0,787.0
2026-04-13,-0.3,-0.04,791.7,12.18,1550,31,792.0,796.0,781.0
2026-04-10,-4.0,-0.5,792.0,23.45,2989,35,790.0,800.0,781.4
2026-04-09,16.0,2.05,796.0,25.69,3263,42,780.0,799.0,776.1
2026-04-08,10.0,1.3,780.0,6.93,892,26,765.0,780.0,765.0
2026-04-07,-5.0,-0.65,770.0,15.25,2009,39,775.0,775.0,750.0
2026-04-06,32.0,4.31,775.0,20.16,2645,33,745.0,775.0,745.0
2026-04-05,-40.0,-5.11,743.0,37.23,4988,84,768.0,770.0,725.6
2026-04-02,1.1,0.14,783.0,14.83,1897,31,775.0,784.0,772.0
2026-04-01,-21.0,-2.62,781.9,15.36,1976,40,800.0,800.0,765.0
2026-03-31,16.9,2.15,802.9,39.01,4990,67,786.0,803.0,770.4
2026-03-30,-27.0,-3.32,786.0,46.04,5737,76,810.0,810.0,785.6
2026-03-29,-14.0,-1.69,813.0,39.21,4796,74,811.1,828.9,809.0
2026-03-26,-4.6,-0.55,827.0,46.84,5693,55,822.0,838.9,813.1
