DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.8,1.85,264.9,,65881,200,263.5,265.7,260.4
2026-05-07,-1.4,-0.54,260.1,,101701,208,262.0,263.8,259.0
2026-05-06,-2.1,-0.8,261.5,,69913,212,250.5,273.0,250.5
2026-05-05,2.6,1.0,263.6,,90291,281,262.7,264.0,258.2
2026-05-04,-7.0,-2.61,261.0,,99589,337,268.0,269.9,256.6
2026-04-30,0.3,0.11,268.0,,44316,222,268.0,268.9,265.0
2026-04-29,-4.3,-1.58,267.7,,57242,228,268.0,276.0,266.0
2026-04-28,-4.2,-1.52,272.0,,55252,238,276.2,278.8,269.6
2026-04-27,2.2,0.8,276.2,,121261,331,274.0,279.0,272.0
2026-04-24,4.0,1.48,274.0,,66386,212,270.0,274.0,266.6
2026-04-23,0.0,0.0,270.0,,40349,167,275.0,275.0,268.3
2026-04-22,-0.1,-0.04,270.0,,108926,344,273.0,274.1,265.0
2026-04-21,-3.9,-1.42,270.1,,75031,276,278.9,280.0,270.1
2026-04-20,-5.7,-2.04,274.0,,58512,227,271.4,279.0,271.4
2026-04-17,-0.7,-0.25,279.7,,62065,243,280.0,281.0,276.5
2026-04-16,-4.6,-1.61,280.4,,140362,367,285.0,285.0,278.7
2026-04-15,7.0,2.52,285.0,,330079,605,282.0,285.0,280.0
2026-04-13,-1.4,-0.5,278.0,,96704,348,279.4,282.4,277.5
2026-04-10,-4.6,-1.62,279.4,,287344,406,289.0,289.0,279.2
2026-04-09,4.0,1.43,284.0,,437211,611,280.0,285.0,277.1
2026-04-08,9.4,3.47,280.0,,540047,724,270.0,292.7,269.5
2026-04-07,-0.2,-0.07,270.6,,236601,540,270.0,276.4,266.4
2026-04-06,13.8,5.37,270.8,,279703,703,257.0,280.9,254.0
2026-04-05,-12.7,-4.71,257.0,,210212,752,275.0,275.0,254.0
2026-04-02,0.7,0.26,269.7,,189444,487,265.0,270.0,263.2
2026-04-01,-9.4,-3.38,269.0,,219719,589,280.0,280.0,267.7
2026-03-31,-0.6,-0.22,278.4,,234029,648,273.5,280.9,270.1
2026-03-30,-2.0,-0.71,279.0,,344021,776,277.9,282.5,270.0
2026-03-29,-7.0,-2.43,281.0,,331188,804,288.0,288.0,279.2
2026-03-26,9.1,3.26,288.0,,795104,994,278.0,302.9,273.4
2026-03-25,-5.0,-1.76,278.9,,215500,456,283.9,284.0,277.0
2026-03-24,1.9,0.67,283.9,,272588,566,284.9,285.0,278.0
2026-03-23,-0.6,-0.21,282.0,,165204,618,285.0,286.0,277.1
2026-03-22,7.9,2.88,282.6,,366175,1234,280.0,285.0,278.0
2026-03-19,10.8,4.09,274.7,,299889,886,259.0,275.2,259.0
2026-03-17,2.0,0.76,263.9,,70518,238,265.0,265.0,259.0
2026-03-16,-2.1,-0.8,261.9,,92428,315,264.0,266.0,260.0
2026-03-15,-2.0,-0.75,264.0,,141845,461,268.0,270.0,262.5
2026-03-12,5.5,2.11,266.0,,103064,455,261.0,267.9,259.0
2026-03-11,-10.5,-3.87,260.5,,157597,567,276.0,276.0,260.2
2026-03-10,-5.0,-1.81,271.0,,377088,1401,281.0,281.0,266.2
2026-03-09,25.0,9.96,276.0,30.17,11113,38,256.0,276.1,256.0
2026-03-03,7.0,2.87,251.0,,111846,314,248.8,251.9,244.0
2026-03-01,2.4,0.99,244.0,,85338,239,246.4,246.4,240.0
2026-02-26,0.9,0.37,241.6,,67197,164,245.5,245.5,240.6
2026-02-25,0.3,0.12,240.7,53.38,22150,134,243.1,243.1,240.5
2026-02-24,-1.4,-0.58,240.4,84.05,34772,127,242.0,245.0,239.2
2026-02-23,0.8,0.33,241.8,,44369,151,238.0,243.0,238.0
2026-02-22,0.3,0.12,241.0,,52722,223,237.0,243.8,237.0
2026-02-17,-2.8,-1.15,240.7,,83367,263,240.5,244.2,239.0
2026-02-16,-0.4,-0.16,243.5,,55546,172,247.0,247.0,241.0
2026-02-12,0.9,0.37,243.9,,60629,195,244.0,244.6,241.9
2026-02-11,-0.5,-0.21,243.0,71.11,29200,139,244.9,246.0,242.0
2026-02-10,1.5,0.62,243.5,,46718,180,242.0,243.5,240.3
2026-02-09,-2.8,-1.14,242.0,,56266,217,249.0,249.0,240.2
2026-02-08,1.8,0.74,244.8,,51241,205,243.0,247.0,243.0
2026-02-05,2.0,0.83,243.0,,54000,263,242.0,243.5,240.0
2026-02-04,-2.8,-1.15,241.0,,41587,214,239.0,246.8,239.0
2026-02-03,-2.2,-0.89,243.8,,70856,204,241.1,248.0,241.1
2026-02-02,0.0,0.0,246.0,65.16,26541,185,241.1,249.8,241.1
2026-02-01,0.5,0.2,246.0,,53349,260,240.6,247.5,240.6
