DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-1.0,-0.07,1537.0,4.53,297,17,1512.0,1538.0,1512.0
2026-05-07,-1.0,-0.06,1538.0,9.92,649,23,1515.0,1560.0,1514.0
2026-05-06,4.1,0.27,1539.0,2.19,143,11,1514.1,1543.0,1514.1
2026-05-05,4.9,0.32,1534.9,16.46,1076,20,1510.0,1545.0,1502.3
2026-05-04,-8.0,-0.52,1530.0,59.13,3893,27,1510.0,1538.0,1510.0
2026-04-30,-1.8,-0.12,1538.0,18.94,1253,18,1510.0,1540.0,1510.0
2026-04-29,-18.2,-1.17,1539.8,18.16,1185,24,1530.0,1540.0,1515.0
2026-04-28,-11.9,-0.76,1558.0,14.5,940,26,1569.9,1558.0,1530.0
2026-04-27,31.9,2.07,1569.9,8.36,545,21,1538.0,1569.9,1505.1
2026-04-24,-12.0,-0.77,1538.0,18.72,1226,32,1588.0,1588.0,1503.5
2026-04-23,2.0,0.13,1550.0,11.99,785,23,1561.0,1561.0,1521.0
2026-04-22,9.0,0.58,1548.0,17.47,1156,36,1520.0,1548.0,1494.0
2026-04-21,-9.9,-0.64,1539.0,22.28,1464,46,1530.0,1550.1,1515.9
2026-04-20,-5.1,-0.33,1548.9,23.9,1560,53,1530.0,1598.9,1520.0
2026-04-17,-25.0,-1.58,1554.0,17.93,1149,22,1555.0,1569.0,1552.0
2026-04-16,-20.0,-1.25,1579.0,21.96,1400,20,1570.1,1579.0,1567.0
2026-04-15,19.1,1.21,1599.0,11.76,740,31,1555.0,1600.0,1555.0
2026-04-13,7.9,0.5,1579.9,8.78,565,28,1550.1,1579.9,1550.1
2026-04-10,-22.0,-1.38,1572.0,7.72,493,22,1620.0,1620.0,1546.0
2026-04-09,19.0,1.21,1594.0,22.2,1404,37,1600.0,1600.0,1550.0
2026-04-08,5.0,0.32,1575.0,23.46,1502,28,1595.0,1595.0,1539.0
2026-04-07,21.6,1.39,1570.0,36.98,2372,17,1570.0,1570.0,1538.6
2026-04-06,11.4,0.74,1548.4,52.22,3358,49,1560.0,1580.0,1507.0
2026-04-05,-48.0,-3.03,1537.0,82.76,5377,59,1575.0,1580.0,1507.0
2026-04-02,8.0,0.51,1585.0,32.27,2049,35,1570.0,1590.0,1551.0
2026-04-01,-23.0,-1.44,1577.0,6.82,436,21,1568.2,1598.9,1553.2
2026-03-31,0.0,0.0,1600.0,47.98,3028,60,1570.2,1610.0,1560.2
2026-03-30,11.0,0.69,1600.0,24.92,1588,47,1619.0,1619.0,1552.4
2026-03-29,-16.0,-1.0,1589.0,38.54,2431,46,1637.0,1637.1,1572.4
2026-03-26,5.0,0.31,1605.0,40.45,2514,57,1623.0,1630.0,1591.2
2026-03-25,-37.9,-2.31,1600.0,39.75,2503,50,1665.0,1665.0,1569.0
2026-03-24,-12.0,-0.73,1637.9,23.77,1460,40,1682.0,1682.0,1617.0
2026-03-23,4.9,0.3,1649.9,51.29,3125,79,1677.9,1677.9,1620.0
2026-03-22,45.0,2.81,1645.0,85.53,5236,123,1631.9,1658.0,1586.0
2026-03-19,25.0,1.59,1600.0,52.81,3322,90,1599.0,1600.0,1556.5
2026-03-17,-14.4,-0.91,1575.0,5.79,370,21,1590.0,1590.0,1550.0
2026-03-16,-5.6,-0.35,1589.4,,8783,75,1619.8,1619.8,1547.0
2026-03-15,-2.0,-0.13,1595.0,38.54,2420,49,1625.0,1625.0,1578.0
2026-03-12,-1.0,-0.06,1597.0,26.14,1652,37,1625.0,1625.0,1570.0
2026-03-11,-2.0,-0.12,1598.0,10.84,677,34,1625.0,1625.0,1581.3
2026-03-10,-7.4,-0.46,1600.0,56.31,3505,91,1639.5,1671.0,1575.0
2026-03-09,62.4,4.04,1607.4,,20,2,1575.9,1607.4,1575.9
2026-03-03,4.0,0.26,1545.0,6.87,448,19,1560.0,1560.0,1530.0
2026-03-01,-4.3,-0.28,1541.0,21.68,1407,31,1514.4,1553.9,1514.4
2026-02-26,16.3,1.07,1545.3,26.65,1733,37,1503.0,1545.3,1503.0
2026-02-25,14.5,0.96,1529.0,30.08,1977,38,1510.0,1529.0,1505.0
2026-02-24,14.5,0.97,1514.5,10.68,710,23,1485.0,1515.0,1485.0
2026-02-23,0.0,0.0,1500.0,22.59,1507,31,1500.0,1505.0,1490.0
2026-02-22,-15.0,-0.99,1500.0,21.94,1459,33,1505.0,1529.0,1495.0
2026-02-17,-13.0,-0.85,1515.0,13.44,894,30,1500.0,1519.0,1500.0
2026-02-16,9.0,0.59,1528.0,11.46,754,29,1519.0,1535.0,1505.3
2026-02-12,-9.0,-0.59,1519.0,9.75,647,32,1500.0,1520.0,1500.0
2026-02-11,5.0,0.33,1528.0,40.85,2698,39,1550.0,1550.0,1500.4
