DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.0,0.32,636.0,14.45,2274,27,647.0,647.0,627.0
2026-05-07,10.0,1.6,634.0,4.78,767,14,642.5,642.5,623.5
2026-05-06,0.0,0.0,624.0,3.7,598,13,624.0,624.0,616.1
2026-05-05,8.8,1.43,624.0,24.91,4035,40,616.0,624.0,615.0
2026-05-04,-11.8,-1.88,615.2,23.59,3811,47,642.0,642.0,615.2
2026-04-30,-2.8,-0.44,627.0,6.09,972,21,619.0,635.0,619.0
2026-04-29,3.8,0.61,629.8,33.93,5450,58,625.0,629.8,618.0
2026-04-28,-10.2,-1.6,626.0,24.13,3814,53,636.2,640.0,626.0
2026-04-27,-8.8,-1.36,636.2,14.79,2319,32,645.0,650.0,634.0
2026-04-24,9.0,1.42,645.0,18.46,2900,35,636.0,649.0,630.0
2026-04-23,-5.5,-0.86,636.0,14.7,2317,27,655.0,655.0,629.0
2026-04-22,-8.5,-1.31,641.5,34.42,5413,61,650.0,650.0,628.0
2026-04-21,2.0,0.31,650.0,17.45,2693,32,629.0,655.0,629.0
2026-04-20,-8.0,-1.22,648.0,18.97,2923,32,665.0,665.0,648.0
2026-04-17,-7.0,-1.06,656.0,38.59,5881,34,656.1,660.0,655.2
2026-04-16,-1.0,-0.15,663.0,72.38,10861,58,664.0,677.2,656.1
2026-04-15,9.0,1.37,664.0,83.67,12530,80,664.9,670.0,655.4
2026-04-13,15.0,2.34,655.0,73.09,11203,59,641.0,655.0,641.0
2026-04-10,-5.0,-0.78,640.0,71.32,11020,85,657.8,657.8,635.0
2026-04-09,10.0,1.57,645.0,89.61,14013,84,636.0,646.0,631.0
2026-04-08,8.0,1.28,635.0,27.12,4285,56,627.0,643.0,627.0
2026-04-07,-7.3,-1.15,627.0,20.85,3308,51,639.5,639.5,625.0
2026-04-06,14.3,2.31,634.3,83.57,13268,71,632.4,638.9,622.0
2026-04-05,-20.0,-3.12,620.0,56.86,9076,108,633.0,644.5,620.0
2026-04-02,-7.0,-1.08,640.0,73.79,11473,66,657.0,658.0,638.0
2026-04-01,-11.0,-1.67,647.0,27.81,4302,56,658.0,658.0,644.9
2026-03-31,7.0,1.08,658.0,41.95,6440,71,651.0,660.0,643.0
2026-03-30,-12.5,-1.88,651.0,44.83,6837,69,660.0,669.0,651.0
2026-03-29,-12.5,-1.85,663.5,54.07,8123,87,682.0,682.0,660.0
2026-03-26,-4.0,-0.59,676.0,38.2,5640,55,672.0,684.0,670.0
2026-03-25,0.0,0.0,680.0,63.52,9371,72,688.0,688.0,671.0
2026-03-24,0.0,0.0,680.0,33.34,4934,70,690.0,690.4,668.0
2026-03-23,0.0,0.0,680.0,65.1,9683,78,680.0,680.0,669.0
2026-03-22,2.5,0.37,680.0,65.76,9662,99,689.0,690.0,677.0
2026-03-19,6.5,0.97,677.5,,16961,105,684.0,684.0,671.1
2026-03-17,-7.0,-1.03,671.0,28.96,4323,60,670.0,677.6,665.1
2026-03-16,-3.0,-0.44,678.0,46.62,6968,69,681.0,681.9,660.0
2026-03-15,-13.0,-1.87,681.0,72.11,10581,85,690.0,692.0,678.1
2026-03-12,4.1,0.59,694.0,,14629,72,689.9,694.0,683.0
2026-03-11,-0.1,-0.01,689.9,,25893,117,677.2,690.0,670.2
2026-03-10,20.0,2.99,690.0,,44376,287,683.3,696.9,675.0
2026-03-09,13.1,1.99,670.0,,110,3,670.0,670.0,670.0
2026-03-03,13.9,2.16,656.9,73.16,11216,86,654.9,667.0,640.0
2026-03-01,-0.1,-0.02,643.0,23.92,3698,43,633.1,652.0,633.1
2026-02-26,-2.9,-0.45,643.1,13.32,2057,23,645.0,650.0,638.0
2026-02-25,9.0,1.41,646.0,36.41,5661,35,636.4,647.0,636.1
2026-02-24,5.0,0.79,637.0,22.79,3593,52,635.2,638.0,633.0
2026-02-23,-3.0,-0.47,632.0,21.97,3473,33,633.0,639.0,630.2
2026-02-22,-12.0,-1.85,635.0,56.49,8882,84,636.0,644.0,635.0
2026-02-17,-7.0,-1.07,647.0,99.89,15524,87,645.1,649.0,641.0
2026-02-16,4.0,0.62,654.0,47.3,7278,63,650.0,655.0,647.0
2026-02-12,4.7,0.73,650.0,,23323,204,645.0,655.0,639.0
2026-02-11,-9.7,-1.48,645.3,85.07,13090,81,665.0,665.0,645.3
2026-02-10,-4.0,-0.61,655.0,,26743,141,656.0,668.9,648.0
2026-02-09,-10.0,-1.49,659.0,57.84,8752,79,664.0,664.0,659.0
2026-02-08,-2.0,-0.3,669.0,,24215,129,664.0,683.6,657.6
2026-02-05,11.0,1.67,671.0,81.73,12397,100,660.2,671.0,651.0
2026-02-04,-0.1,-0.02,660.0,61.62,9369,99,673.0,673.0,650.1
2026-02-03,-1.9,-0.29,660.1,34.54,5215,49,662.2,669.0,660.0
2026-02-02,-7.0,-1.05,662.0,,17849,159,682.0,682.0,655.0
2026-02-01,-2.1,-0.31,669.0,57.22,8566,60,661.0,679.0,661.0
2026-01-29,-0.1,-0.01,671.1,,21273,149,671.2,689.0,670.0
2026-01-28,5.2,0.78,671.2,78.04,11623,94,679.3,679.3,668.0
2026-01-27,-12.0,-1.77,666.0,,22556,154,681.0,689.0,665.0
2026-01-26,-15.0,-2.16,678.0,,20807,158,698.0,705.9,678.0
2026-01-25,-2.0,-0.29,693.0,,19932,134,694.0,704.9,687.0
2026-01-22,6.0,0.87,695.0,66.48,9663,77,681.0,695.0,678.1
2026-01-21,4.0,0.58,689.0,,33402,159,698.0,700.0,685.0
2026-01-20,21.0,3.16,685.0,,16236,122,675.0,688.0,667.2
2026-01-18,4.0,0.61,664.0,,15192,136,660.2,672.0,658.6
2026-01-14,-2.9,-0.44,660.0,,23012,145,673.0,673.9,660.0
2026-01-13,-0.1,-0.02,662.9,,16607,110,661.0,663.0,650.2
2026-01-12,-3.0,-0.45,663.0,,29098,178,676.0,679.0,658.0
2026-01-08,-16.0,-2.35,666.0,,21018,181,694.0,694.0,666.0
2026-01-07,-18.0,-2.57,682.0,,90636,280,710.0,712.0,668.0
2026-01-06,-5.0,-0.71,700.0,,38196,202,692.0,733.0,692.0
2026-01-05,-5.0,-0.7,705.0,,65309,335,695.8,766.0,695.8
2026-01-04,-32.0,-4.31,710.0,,44051,300,727.2,727.2,695.0
2026-01-01,4.0,0.54,742.0,,31787,136,723.7,780.0,710.0
2025-12-31,6.1,0.83,738.0,,166252,625,717.3,796.0,681.1
2025-12-29,34.9,5.01,731.9,,98469,286,695.0,739.8,695.0
2025-12-28,17.0,2.5,697.0,85.21,12391,95,690.0,730.0,671.5
2025-12-24,10.0,1.49,680.0,61.94,9153,92,669.5,708.0,662.4
2025-12-23,-4.0,-0.59,670.0,41.37,6145,45,660.6,684.0,623.0
2025-12-22,4.37,0.65,674.0,79.49,11833,88,683.0,688.0,662.0
2025-12-21,-13.6,-1.83,729.9,,35697,165,730.0,773.0,727.0
2025-12-18,13.7,1.88,743.5,,26157,164,715.3,749.0,715.3
2025-12-17,9.8,1.36,729.8,,22975,115,705.6,732.0,705.6
2025-12-16,15.1,2.14,720.0,,17582,101,704.9,734.9,704.9
2025-12-15,13.9,2.01,704.9,69.05,9834,88,680.0,706.8,680.0
2025-12-14,0.0,0.0,691.0,,15262,19,686.5,700.7,686.5
2025-12-11,-8.0,-1.14,691.0,52.05,7477,14,686.0,699.0,686.0
2025-12-10,8.0,1.16,699.0,7.48,1071,12,691.0,700.0,691.0
2025-12-09,4.0,0.58,691.0,16.76,2403,16,690.1,700.7,690.1
2025-12-08,-3.3,-0.48,687.0,19.77,2884,22,690.3,696.7,683.1
2025-12-07,-8.1,-1.16,690.3,18.52,2669,23,700.0,712.0,690.0
2025-12-03,2.4,0.34,698.4,29.02,4154,38,695.5,702.0,695.0
2025-12-02,-0.1,-0.01,696.0,9.3,1328,31,696.1,705.0,688.3
2025-12-01,-13.9,-1.96,696.1,8.44,1211,18,709.8,709.9,695.0
2025-11-30,-5.0,-0.7,710.0,21.74,3086,41,701.0,718.0,700.7
2025-11-27,15.0,2.14,715.0,68.31,9675,67,686.0,715.0,686.0
2025-11-26,10.0,1.45,700.0,33.48,4793,33,689.5,705.0,689.5
2025-11-25,-8.0,-1.15,690.0,22.05,3214,44,695.0,697.0,675.1
2025-11-24,2.9,0.42,698.0,39.72,5724,34,695.0,698.0,687.0
2025-11-23,9.0,1.31,695.1,28.66,4111,35,697.0,700.0,690.0
2025-11-20,2.0,0.29,686.1,4.19,610,37,695.0,695.0,684.0
2025-11-19,-12.9,-1.85,684.1,87.06,12560,31,697.0,709.9,683.3
2025-11-18,22.0,3.26,697.0,32.26,4690,32,677.0,700.0,676.6
2025-11-17,0.0,0.0,675.0,8.42,1245,24,674.8,685.0,674.8
2025-11-16,15.0,2.27,675.0,24.6,3660,36,673.0,675.0,661.0
2025-11-13,-8.0,-1.2,660.0,31.26,4694,36,679.0,679.0,655.5
2025-11-12,-10.0,-1.47,668.0,14.04,2083,40,685.0,685.0,668.0
2025-11-11,4.0,0.59,678.0,12.8,1898,25,674.0,686.0,673.0
2025-11-10,-3.0,-0.44,674.0,8.54,1272,22,666.0,690.0,665.0
2025-11-09,-10.0,-1.46,677.0,17.1,2524,23,687.0,689.6,676.1
2025-11-06,9.7,1.43,687.0,22.08,3259,45,663.9,687.0,663.9
2025-11-05,-9.8,-1.43,677.3,23.39,3446,20,680.0,692.0,677.3
2025-11-04,-12.9,-1.84,687.1,29.7,4307,26,690.0,691.0,687.1
2025-11-03,-5.0,-0.71,700.0,62.85,8981,51,700.0,710.0,679.0
2025-11-02,20.0,2.92,705.0,24.24,3445,50,698.7,712.0,685.1
2025-10-30,5.0,0.74,685.0,38.27,5556,45,689.9,700.0,670.0
2025-10-29,1.9,0.28,680.0,61.83,9060,79,691.0,718.0,675.0
2025-10-28,18.1,2.74,678.1,34.67,5143,35,672.8,684.0,659.4
2025-10-26,23.5,3.69,660.0,1.51,235,9,637.0,660.0,637.0
2025-10-19,0.2,0.03,636.5,19.73,3035,20,630.0,652.8,630.0
2025-10-16,-3.7,-0.58,636.3,13.73,2147,29,652.8,652.8,636.3
2025-10-15,-5.1,-0.79,640.0,28.12,4409,38,657.9,657.9,635.2
2025-10-14,-17.9,-2.7,645.1,21.68,3333,35,676.0,676.0,645.0
2025-10-13,12.0,1.84,663.0,21.11,3180,32,642.0,671.9,642.0
2025-10-12,-41.0,-5.92,651.0,38.74,5992,74,678.2,678.2,633.0
2025-10-09,16.0,2.37,692.0,26.46,3859,46,689.5,703.0,666.5
2025-10-08,-5.0,-0.73,676.0,23.54,3534,43,671.0,676.0,660.1
2025-10-07,-14.1,-2.03,681.0,29.14,4266,32,681.3,705.0,681.0
2025-09-28,1.1,0.16,695.1,10.83,1546,30,700.0,710.0,695.0
2025-09-25,1.4,0.2,694.0,63.7,9074,37,696.0,708.8,694.0
2025-09-24,-19.3,-2.71,692.6,42.2,6032,61,712.0,713.9,692.0
2025-09-23,41.14,6.13,711.9,44.71,6390,67,680.0,711.9,670.0
2025-09-21,17.76,2.72,670.76,54.51,8196,80,640.0,681.0,640.0
2025-09-18,-12.57,-1.89,653.0,1.3,200,3,653.0,653.0,653.0
2025-09-08,-14.6,-2.15,665.57,52.59,7889,51,680.0,680.0,664.2
2025-09-07,-5.0,-0.73,680.17,21.41,3144,58,680.0,689.0,677.6
2025-09-04,-8.73,-1.26,685.17,50.48,7379,59,682.0,690.0,682.0
2025-09-03,-5.58,-0.8,693.9,,41745,59,709.9,709.9,690.2
2025-09-02,-2.91,-0.41,699.48,50.64,7240,89,700.0,705.0,697.4
2025-09-01,-4.61,-0.65,702.39,43.82,6239,52,714.0,714.0,700.0
2025-08-31,-7.29,-1.02,707.0,54.76,7769,62,701.0,710.0,701.0
2025-08-28,-2.35,-0.33,714.29,82.83,11590,84,729.0,729.0,705.0
2025-08-27,6.04,0.85,716.64,98.04,13715,102,711.0,720.0,711.0
2025-08-26,2.61,0.37,710.6,33.45,4707,47,693.9,714.0,693.9
2025-08-25,-10.01,-1.39,707.99,43.21,6110,72,710.0,717.0,701.1
2025-08-24,-9.62,-1.32,718.0,51.86,7250,67,727.62,734.0,686.0
2025-08-21,-5.69,-0.78,727.62,,19798,145,744.0,744.9,720.0
