DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.7,0.2,356.7,,65272,324,364.0,364.0,353.6
2026-05-07,-5.0,-1.39,356.0,,139029,337,360.1,365.0,356.0
2026-05-06,-4.0,-1.1,361.0,,61864,317,373.0,373.0,359.0
2026-05-05,5.6,1.56,365.0,,127364,586,365.0,371.5,360.0
2026-05-04,1.4,0.39,359.4,,327440,1170,375.0,375.0,359.2
2026-04-30,-1.0,-0.28,358.0,,62652,280,355.0,359.0,350.1
2026-04-29,0.0,0.0,359.0,,86667,335,350.0,359.0,349.0
2026-04-28,-16.0,-4.27,359.0,,125197,482,370.0,370.0,355.0
2026-04-27,13.8,3.82,375.0,,121835,353,361.2,383.0,360.0
2026-04-24,0.2,0.06,361.2,,73243,273,361.0,365.0,351.2
2026-04-23,-3.5,-0.96,361.0,83.54,23161,151,364.0,368.0,357.0
2026-04-22,4.5,1.25,364.5,,120256,278,360.0,368.0,352.1
2026-04-21,-2.0,-0.55,360.0,,51180,240,362.0,365.0,358.3
2026-04-20,-4.3,-1.17,362.0,,67632,269,360.0,370.0,360.0
2026-04-17,-5.3,-1.43,366.3,,115093,279,365.1,374.0,365.1
2026-04-16,-4.9,-1.3,371.6,,32826,192,379.0,379.0,371.2
2026-04-15,6.5,1.76,376.5,,168998,427,370.0,382.0,370.0
2026-04-13,0.9,0.24,370.0,,70305,271,363.0,372.0,363.0
2026-04-10,-5.9,-1.57,369.1,,135801,399,382.5,382.5,367.6
2026-04-09,-4.0,-1.06,375.0,,154661,456,378.0,382.9,375.0
2026-04-08,4.0,1.07,379.0,,282931,395,370.0,379.8,368.0
2026-04-07,1.5,0.4,375.0,,120597,423,374.8,377.0,364.0
2026-04-06,20.5,5.81,373.5,,157316,536,357.0,375.0,355.0
2026-04-05,-23.9,-6.34,353.0,,302502,846,371.0,371.0,352.1
2026-04-02,2.9,0.78,376.9,,195379,557,374.0,381.4,367.3
2026-04-01,-6.2,-1.63,374.0,,220782,582,387.8,387.8,372.5
2026-03-31,9.6,2.59,380.2,,294429,913,371.0,387.6,365.0
2026-03-30,-13.1,-3.41,370.6,,309907,835,383.6,388.0,370.0
2026-03-29,-17.3,-4.31,383.7,,444715,950,401.0,401.0,383.7
2026-03-26,3.0,0.75,401.0,,321458,804,398.0,402.0,390.0
2026-03-25,4.0,1.02,398.0,,498555,1364,387.0,404.9,387.0
2026-03-24,5.0,1.29,394.0,,585324,1147,389.0,411.0,377.4
2026-03-23,0.0,0.0,389.0,,314867,1032,396.7,396.7,376.0
2026-03-22,23.0,6.28,389.0,,515134,1637,370.0,390.0,367.1
2026-03-19,21.0,6.09,366.0,,326932,1117,346.0,367.0,346.0
2026-03-17,2.4,0.7,345.0,,64570,242,339.7,347.0,338.0
2026-03-16,-5.9,-1.69,342.6,,70422,275,345.5,347.0,341.6
2026-03-15,-1.2,-0.34,348.5,,100898,419,354.7,354.7,345.0
2026-03-12,5.7,1.66,349.7,,179017,529,339.0,356.4,338.2
2026-03-11,-5.7,-1.63,344.0,,110266,370,352.0,352.0,341.0
2026-03-10,-5.5,-1.55,349.7,,338163,1106,360.0,360.0,339.0
2026-03-09,20.3,6.06,355.2,2.39,690,9,341.5,355.2,341.5
2026-03-03,5.4,1.64,334.9,,55876,301,336.0,338.0,327.5
