DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,0.0,0.0,578.0,45.62,7934,77,580.0,583.0,570.0
2026-05-07,3.0,0.52,578.0,9.5,1661,38,564.0,580.0,564.0
2026-05-06,-2.0,-0.35,575.0,17.52,3070,62,564.0,580.0,564.0
2026-05-05,7.6,1.33,577.0,40.6,7116,116,565.0,580.0,565.0
2026-05-04,-7.1,-1.23,569.4,26.79,4708,105,574.0,584.0,565.0
2026-04-30,-1.5,-0.26,576.5,33.65,5885,96,578.0,578.0,566.1
2026-04-29,-2.0,-0.34,578.0,27.28,4770,87,581.0,581.0,566.0
2026-04-28,-0.2,-0.03,580.0,27.29,4717,115,551.2,585.0,551.2
2026-04-27,-4.8,-0.82,580.2,23.78,4089,94,585.0,590.0,574.0
2026-04-24,1.0,0.17,585.0,59.08,10228,122,574.0,590.0,573.0
2026-04-23,1.0,0.17,584.0,40.26,6977,88,585.0,600.4,566.0
2026-04-22,-4.0,-0.68,583.0,99.84,17259,200,580.0,590.0,563.0
2026-04-21,-0.2,-0.03,587.0,44.21,7547,115,580.0,597.0,580.0
2026-04-20,-2.8,-0.47,587.2,42.9,7274,118,587.4,601.6,580.0
2026-04-17,-7.0,-1.17,590.0,73.41,12406,161,591.0,600.0,586.0
2026-04-16,-12.0,-1.97,597.0,,21247,194,604.1,608.9,592.0
2026-04-15,1.0,0.16,609.0,73.06,11958,173,595.9,618.0,595.9
2026-04-13,-7.0,-1.14,608.0,61.84,10217,136,610.0,615.0,600.1
2026-04-10,6.3,1.03,615.0,,20125,255,601.0,618.9,591.1
2026-04-09,13.7,2.3,608.7,,17766,229,595.0,609.9,585.0
2026-04-08,13.0,2.23,595.0,76.57,12969,156,582.5,598.0,582.5
2026-04-07,0.0,0.0,582.0,62.12,10679,169,583.0,590.0,575.0
2026-04-06,19.0,3.37,582.0,,20081,247,564.0,591.5,556.1
2026-04-05,-32.0,-5.38,563.0,,29634,285,597.0,597.0,563.0
2026-04-02,3.9,0.66,595.0,97.27,16329,190,595.0,608.0,585.0
2026-04-01,-27.9,-4.51,591.1,,35157,300,619.0,619.0,590.0
2026-03-31,10.0,1.64,619.0,,21447,296,606.0,625.0,598.1
2026-03-30,-11.1,-1.79,609.0,,41791,395,616.0,644.1,601.0
2026-03-29,-28.9,-4.45,620.1,,31537,360,649.0,649.0,620.0
2026-03-26,3.0,0.46,649.0,,23640,272,641.0,649.0,631.0
2026-03-25,-14.0,-2.12,646.0,,37207,362,661.0,669.0,646.0
2026-03-24,5.0,0.76,660.0,,28702,355,662.0,672.0,650.1
2026-03-23,-11.0,-1.65,655.0,,62253,635,679.0,679.0,646.0
2026-03-22,56.0,9.18,666.0,,134401,1339,619.0,671.0,616.0
2026-03-19,25.0,4.27,610.0,,50717,525,595.0,610.0,588.2
2026-03-17,0.2,0.03,585.0,62.08,10701,139,584.0,585.0,575.5
2026-03-16,-9.1,-1.53,584.8,98.44,16887,145,595.0,595.0,580.0
2026-03-15,1.9,0.32,593.9,83.45,14135,175,590.0,599.8,585.0
2026-03-12,8.5,1.46,592.0,,24960,204,578.0,596.7,578.0
2026-03-11,-9.5,-1.6,583.5,,18413,156,585.2,594.0,579.0
2026-03-10,3.5,0.59,593.0,,43121,417,600.0,603.0,577.8
2026-03-09,22.8,4.02,589.5,1.21,210,2,578.0,589.5,578.0
2026-03-03,5.9,1.05,566.7,43.68,7724,99,555.1,569.0,555.1
2026-03-01,4.8,0.86,560.8,32.73,5850,70,555.0,561.9,548.1
