DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,2.3,0.88,264.2,,41736,356,262.0,264.3,260.8
2026-05-07,1.5,0.58,261.9,,60330,445,268.1,268.1,260.0
2026-05-06,-0.4,-0.15,260.4,,44666,375,260.0,261.9,260.0
2026-05-05,2.3,0.89,260.8,,59155,487,260.0,262.0,258.0
2026-05-04,-2.7,-1.03,258.5,,95296,580,260.1,263.0,258.1
2026-04-30,-0.8,-0.31,261.2,,143622,773,261.0,264.8,259.0
2026-04-29,-2.3,-0.87,262.0,,102694,570,268.0,270.0,261.9
2026-04-28,-2.1,-0.79,264.3,,51363,491,266.4,268.0,264.1
2026-04-27,-3.5,-1.3,266.4,,55650,501,269.9,270.0,266.0
2026-04-24,3.9,1.47,269.9,,107220,528,264.0,270.0,260.0
2026-04-23,0.8,0.3,266.0,,58571,494,267.0,267.0,263.0
2026-04-22,-1.8,-0.67,265.2,,116327,682,267.0,270.0,261.2
2026-04-21,-2.0,-0.74,267.0,,110054,659,270.0,270.0,266.0
2026-04-20,-3.5,-1.28,269.0,,102307,601,275.0,275.0,266.0
2026-04-17,2.2,0.81,272.5,,150871,686,275.6,275.6,268.1
2026-04-16,-2.7,-0.99,270.3,,132840,634,278.0,278.0,268.2
2026-04-15,5.2,1.94,273.0,,242684,1169,262.5,277.0,262.5
2026-04-13,-1.2,-0.45,267.8,,156458,765,269.9,271.0,266.0
2026-04-10,-3.9,-1.43,269.0,,113310,715,273.0,273.3,267.1
2026-04-09,5.0,1.87,272.9,,166400,873,268.0,274.0,266.1
2026-04-08,1.1,0.41,267.9,,175982,759,272.1,272.1,265.0
2026-04-07,-2.0,-0.74,266.8,,124067,788,270.9,270.9,264.0
2026-04-06,10.8,4.19,268.8,,279610,1275,258.0,271.6,254.0
2026-04-05,-8.0,-3.01,258.0,,318047,1466,265.0,265.0,257.0
2026-04-02,-1.0,-0.37,266.0,,168920,915,266.0,271.3,263.0
2026-04-01,-8.0,-2.91,267.0,,265167,1126,275.0,275.0,266.0
2026-03-31,3.0,1.1,275.0,,255390,1217,266.7,277.0,266.7
2026-03-30,-3.1,-1.13,272.0,,327233,1349,277.7,280.2,271.5
2026-03-29,-14.8,-5.11,275.1,,487844,1753,292.0,292.1,275.1
2026-03-26,0.9,0.31,289.9,,245075,1106,294.7,294.7,284.2
2026-03-25,-5.0,-1.7,289.0,,520333,1580,294.0,297.0,289.0
2026-03-24,0.1,0.03,294.0,,366002,1335,295.0,296.0,290.4
2026-03-23,-1.1,-0.37,293.9,,415316,1709,298.4,299.0,290.2
2026-03-22,3.0,1.03,295.0,,662537,2240,295.0,297.8,292.0
2026-03-19,10.1,3.58,292.0,,778529,2926,281.0,292.4,281.0
2026-03-17,4.1,1.48,281.9,,287913,1073,283.3,283.3,274.0
2026-03-16,-7.3,-2.56,277.8,,230041,1070,285.1,285.1,277.5
2026-03-15,0.0,0.0,285.1,,336315,1322,287.0,288.7,283.0
2026-03-12,5.6,2.0,285.1,,416511,1616,278.0,287.9,276.1
2026-03-11,-5.7,-2.0,279.5,,368281,1391,279.5,288.0,279.5
2026-03-10,-9.3,-3.16,285.2,,1019341,3393,299.0,299.0,276.0
2026-03-09,26.7,9.97,294.5,38.82,13492,39,273.1,294.5,273.1
2026-03-03,5.0,1.9,267.8,,151034,612,257.6,268.2,257.6
2026-03-01,1.3,0.5,262.8,,105143,483,262.0,262.8,256.8
2026-02-26,1.5,0.58,261.5,,56185,411,265.2,265.2,258.0
2026-02-25,2.2,0.85,260.0,,44827,430,252.7,262.0,252.7
2026-02-24,-0.1,-0.04,257.8,,63962,410,252.8,262.0,252.8
2026-02-23,1.6,0.62,257.9,,60854,499,251.2,260.0,251.2
2026-02-22,-2.5,-0.97,256.3,,107462,578,258.8,260.8,256.0
2026-02-17,-0.8,-0.31,258.8,,142288,638,259.1,262.0,258.5
