DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,1.7,0.86,199.7,84.34,42397,283,201.0,201.0,197.5
2026-05-07,1.0,0.51,198.0,,66306,262,196.0,199.9,195.0
2026-05-06,0.3,0.15,197.0,,58096,313,206.5,206.5,195.0
2026-05-05,0.7,0.36,196.7,,65244,348,193.9,198.8,193.9
2026-05-04,-2.0,-1.01,196.0,,96978,478,196.0,202.0,195.0
2026-04-30,-1.1,-0.55,198.0,,89697,447,198.0,200.0,197.0
2026-04-29,-2.7,-1.34,199.1,,86139,379,200.0,206.0,198.1
2026-04-28,-3.0,-1.46,201.8,,99881,417,204.8,205.9,200.1
2026-04-27,1.3,0.64,204.8,,180104,388,212.0,212.0,202.0
2026-04-24,1.6,0.79,203.5,,70685,316,210.0,210.0,200.0
2026-04-23,-3.7,-1.8,201.9,,51304,300,207.7,207.7,201.1
2026-04-22,0.4,0.19,205.6,,392128,896,201.1,207.0,199.1
2026-04-21,-1.1,-0.53,205.2,,94876,370,212.4,212.4,204.7
2026-04-20,-3.7,-1.76,206.3,,57763,335,199.5,216.0,199.5
2026-04-17,-0.1,-0.05,210.0,,200531,468,208.0,213.8,205.0
2026-04-16,-4.3,-2.01,210.1,,148361,453,218.6,218.6,209.5
2026-04-15,3.7,1.76,214.4,,234585,798,210.0,217.5,210.0
2026-04-13,-3.0,-1.4,210.7,,102396,411,217.9,217.9,209.0
2026-04-10,-2.4,-1.11,213.7,,173460,631,220.0,220.0,210.7
2026-04-09,9.1,4.4,216.1,,346398,947,207.0,223.8,205.0
2026-04-08,1.0,0.49,207.0,,112380,411,210.1,210.1,203.9
2026-04-07,-1.0,-0.48,206.0,,133819,568,209.9,209.9,203.4
2026-04-06,8.0,4.02,207.0,,192220,735,202.9,208.0,198.0
2026-04-05,-7.9,-3.82,199.0,,279967,886,202.8,205.0,198.9
2026-04-02,1.9,0.93,206.9,,243068,719,201.0,209.0,200.0
2026-04-01,-7.0,-3.3,205.0,,231352,806,215.0,215.0,204.0
2026-03-31,2.0,0.95,212.0,,221587,784,210.0,214.0,205.1
2026-03-30,-5.2,-2.42,210.0,,292278,972,219.5,219.5,208.3
2026-03-29,-9.3,-4.14,215.2,,354384,1068,225.0,226.9,215.0
2026-03-26,0.7,0.31,224.5,,266808,821,224.0,225.4,219.5
2026-03-25,-4.2,-1.84,223.8,,474499,972,232.5,232.5,221.4
2026-03-24,1.1,0.48,228.0,,386370,995,231.4,231.4,223.9
2026-03-23,-0.1,-0.04,226.9,,479709,1348,231.5,231.5,223.2
2026-03-22,4.0,1.79,227.0,,714388,2127,227.4,231.0,223.1
2026-03-19,9.9,4.65,223.0,,812852,2009,213.1,226.7,213.1
2026-03-17,2.8,1.33,213.1,,169046,535,211.9,213.8,206.2
2026-03-16,-5.7,-2.64,210.3,,172702,572,220.0,220.0,210.1
2026-03-15,0.9,0.42,216.0,,341669,888,219.4,219.4,212.6
2026-03-12,8.2,3.96,215.1,,560750,1265,206.9,218.2,204.1
2026-03-11,-2.1,-1.0,206.9,,276854,789,209.0,211.0,205.0
2026-03-10,-5.3,-2.47,209.0,,675786,1904,218.5,218.5,205.0
2026-03-09,19.4,9.95,214.3,34.11,16013,29,198.7,214.3,198.7
2026-03-03,3.9,2.04,194.9,,169998,465,194.8,195.0,189.3
2026-03-01,3.5,1.87,191.0,,98897,340,191.2,191.5,184.2
2026-02-26,-0.4,-0.21,187.5,,72485,257,191.0,191.0,186.0
2026-02-25,3.3,1.79,187.9,,174944,315,186.0,188.0,185.0
2026-02-24,-0.4,-0.22,184.6,,110756,325,185.0,187.0,184.5
2026-02-23,-1.0,-0.54,185.0,,212186,399,186.0,187.0,184.5
2026-02-22,-1.0,-0.53,186.0,,231146,434,187.0,188.0,185.5
2026-02-17,-2.9,-1.53,187.0,,152076,472,189.1,190.7,186.7
2026-02-16,-0.1,-0.05,189.9,,87262,267,193.0,193.0,188.3
2026-02-12,-1.0,-0.52,190.0,,118627,360,192.0,192.0,188.7
2026-02-11,0.6,0.32,191.0,,111534,310,191.0,194.1,190.0
2026-02-10,0.4,0.21,190.4,,98284,334,190.0,191.9,189.0
2026-02-09,-0.3,-0.16,190.0,,111173,368,193.0,193.0,189.8
2026-02-08,-2.0,-1.04,190.3,,172367,483,194.0,194.0,190.1
2026-02-05,0.8,0.42,192.3,,92817,299,192.0,192.9,191.6
2026-02-04,-1.5,-0.78,191.5,,186001,458,190.0,200.0,190.0
2026-02-03,0.5,0.26,193.0,,93989,271,191.4,193.8,191.1
2026-02-02,0.5,0.26,192.5,,121725,283,189.5,194.0,189.5
2026-02-01,-3.0,-1.54,192.0,,111437,396,198.8,198.8,191.5
2026-01-29,2.0,1.04,195.0,,249119,630,195.8,195.9,190.5
2026-01-28,-2.5,-1.28,193.0,,138773,464,191.6,195.4,191.4
2026-01-27,-3.5,-1.76,195.5,,133110,395,202.0,202.0,195.0
2026-01-26,-1.9,-0.95,199.0,,163831,484,204.0,204.8,198.0
2026-01-25,4.9,2.5,200.9,,213039,628,196.7,201.0,195.1
2026-01-22,1.0,0.51,196.0,,65476,255,198.0,198.0,192.2
2026-01-21,-0.8,-0.41,195.0,,87940,323,196.0,197.0,193.0
2026-01-20,1.3,0.67,195.8,,134396,425,198.0,198.0,194.1
2026-01-18,3.6,1.89,194.5,,92372,323,193.0,194.5,191.0
2026-01-14,-1.1,-0.57,190.9,,52883,198,190.8,193.5,190.8
2026-01-13,0.0,0.0,192.0,,82637,255,188.2,211.0,188.2
2026-01-12,0.0,0.0,192.0,,52278,226,192.0,193.0,190.6
2026-01-08,0.0,0.0,192.0,,63496,244,191.0,193.8,190.0
2026-01-07,-1.0,-0.52,192.0,,62613,231,193.5,195.0,191.4
2026-01-06,0.6,0.31,193.0,,108737,269,193.6,197.4,192.3
2026-01-05,0.6,0.31,192.4,,72599,255,192.0,193.9,191.5
2026-01-04,0.3,0.16,191.8,,68376,255,193.0,193.5,190.3
2026-01-01,-1.5,-0.78,191.5,,191570,203,193.0,194.9,191.1
2025-12-31,1.0,0.52,193.0,,90433,231,192.0,195.5,191.0
2025-12-29,-1.0,-0.52,192.0,,75621,250,196.0,196.0,192.0
2025-12-28,5.1,2.71,193.0,,133425,408,189.0,193.0,188.6
2025-12-24,-0.1,-0.05,187.9,,79471,255,187.9,189.0,187.0
2025-12-23,-1.7,-0.9,188.0,,80175,297,192.9,192.9,188.0
2025-12-22,-0.5,-0.26,189.7,,90967,326,194.0,194.0,188.0
2025-12-21,-1.6,-0.83,190.2,,57982,223,191.1,193.9,190.0
2025-12-18,-1.2,-0.62,191.8,78.95,41181,203,194.9,194.9,191.2
2025-12-17,0.0,0.0,193.0,91.55,47578,222,194.9,194.9,191.6
