DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,15.9,2.83,577.9,22.61,3928,38,562.0,577.9,562.0
2026-05-07,-12.9,-2.24,562.0,,24010,111,547.6,580.9,547.6
2026-05-06,-6.1,-1.05,574.9,11.72,2043,33,578.0,581.0,570.3
2026-05-05,-3.9,-0.67,581.0,,20399,75,584.9,585.9,575.0
2026-05-04,-15.1,-2.52,584.9,78.92,13445,126,595.0,598.9,571.1
2026-04-30,-3.0,-0.5,600.0,39.77,6673,64,595.0,601.0,590.5
2026-04-29,-11.7,-1.9,603.0,44.38,7410,80,584.0,614.0,584.0
2026-04-28,5.7,0.94,614.7,,26179,132,609.0,614.7,590.9
2026-04-27,1.0,0.16,609.0,46.94,7776,83,608.0,611.0,590.0
2026-04-24,-11.0,-1.78,608.0,77.28,12756,140,619.0,612.0,601.2
2026-04-23,-1.0,-0.16,619.0,49.4,8070,96,651.0,651.0,603.0
2026-04-22,-6.9,-1.1,620.0,75.12,12208,144,615.0,633.0,610.0
2026-04-21,-6.1,-0.96,626.9,46.68,7412,55,620.0,635.0,620.0
2026-04-20,5.0,0.8,633.0,40.73,6484,82,620.1,638.0,620.1
2026-04-17,0.0,0.0,628.0,,19005,96,625.0,633.9,620.0
2026-04-16,-4.0,-0.63,628.0,45.36,7228,81,630.0,639.4,626.1
2026-04-15,3.9,0.62,632.0,88.11,13982,136,635.0,640.0,622.0
2026-04-13,-11.9,-1.86,628.1,42.96,6811,94,640.1,642.0,628.0
2026-04-10,0.0,0.0,640.0,70.29,11102,125,644.7,644.9,629.3
2026-04-09,10.0,1.59,640.0,,23438,157,624.0,642.0,624.0
2026-04-08,6.0,0.96,630.0,72.69,11613,109,624.0,633.8,620.0
2026-04-07,-6.0,-0.95,624.0,93.96,15017,143,632.0,635.0,617.5
2026-04-06,15.0,2.44,630.0,,24036,160,614.0,632.0,610.0
2026-04-05,-39.6,-6.05,615.0,,35987,333,642.0,648.8,612.0
2026-04-02,-0.7,-0.11,654.6,,32086,232,650.0,660.0,646.0
2026-04-01,-19.6,-2.9,655.3,,25703,260,674.9,674.9,652.1
