DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-04-07,0.0,0.0,269.4,265.5,1,1,269.4,269.4,269.4
2026-02-02,10.3,3.98,269.4,,30,2,264.2,269.4,264.2
2026-01-14,5.0,1.97,259.1,,10,1,259.1,259.1,259.1
2025-12-14,9.77,4.0,254.1,,52,3,244.33,254.1,244.33
2025-11-16,0.0,0.0,244.33,,8,2,244.33,244.33,244.33
2025-07-06,5.2,1.81,293.2,,10,1,293.2,293.2,293.2
2025-06-24,5.6,1.98,288.0,,10,1,288.0,288.0,288.0
2025-05-25,0.0,0.0,282.4,277.9,1,1,282.4,282.4,282.4
2025-04-22,5.5,1.99,282.4,,32,1,282.4,282.4,282.4
2025-03-20,0.0,0.0,276.9,277.3,1,1,276.9,276.9,276.9
2025-03-16,0.0,0.0,276.9,545.4,2,1,276.9,276.9,276.9
2025-02-25,25.1,9.97,276.9,,60,5,256.8,276.9,256.8
2025-02-06,0.0,0.0,251.8,,10,3,251.8,251.8,251.8
2025-01-02,0.0,0.0,251.8,769.5,3,3,251.8,251.8,251.8
2024-12-31,4.9,1.98,251.8,,10,1,251.8,251.8,251.8
2024-12-22,4.8,1.98,246.9,,10,1,246.9,246.9,246.9
2024-12-17,0.0,0.0,242.1,732.6,3,3,242.1,242.1,242.1
2024-11-25,0.0,0.0,242.1,,10,1,242.1,242.1,242.1
2024-11-19,0.0,0.0,242.1,,36,3,242.1,242.1,242.1
2024-10-23,0.0,0.0,242.1,719.0,3,3,242.1,242.1,242.1
2024-10-20,4.68,1.97,242.1,,19,2,242.1,242.1,242.1
2024-10-01,0.0,0.0,237.42,242.0,1,1,237.42,237.42,237.42
2024-09-10,5.5,1.97,284.9,,117,2,284.9,284.9,284.9
2024-09-08,5.4,1.97,279.4,,10,1,279.4,279.4,279.4
2024-09-04,5.3,1.97,274.0,,10,1,274.0,274.0,274.0
2024-07-28,5.2,1.97,268.7,,10,1,268.7,268.7,268.7
2024-07-18,10.1,3.99,263.5,,172,3,258.4,263.5,258.4
2024-03-26,0.0,0.0,253.4,,45,6,253.4,253.4,253.4
2024-02-20,4.9,1.97,253.4,,79,10,248.5,253.4,248.5
2024-02-15,0.0,0.0,248.5,,115,13,248.5,248.5,248.5
2024-01-23,22.58,9.99,248.5,,57,5,230.4,248.5,230.4
2023-10-12,10.9,4.01,282.4,,20,2,276.9,282.4,276.9
2023-09-19,5.3,1.99,271.5,,10,1,271.5,271.5,271.5
2023-08-07,0.0,0.0,266.2,,23,6,266.2,266.2,266.2
2023-07-24,5.2,1.99,266.2,,15,1,266.2,266.2,266.2
2023-07-16,5.1,1.99,261.0,,15,1,261.0,261.0,261.0
2023-06-11,0.0,0.0,255.9,250.8,1,1,255.9,255.9,255.9
2023-05-23,0.0,0.0,255.9,254.0,1,1,255.9,255.9,255.9
2023-04-06,9.9,4.02,255.9,,46,2,250.9,255.9,250.9
2023-02-01,4.8,1.99,246.0,,10,1,246.0,246.0,246.0
2022-12-11,0.0,0.0,241.2,,9,0,241.2,241.2,241.2
2022-11-28,0.0,6.09,241.2,,188,0,231.9,241.2,231.9
2022-09-29,0.0,3.99,284.2,,91,0,278.7,284.2,278.7
2022-09-18,0.0,4.0,273.3,,20,0,268.0,273.3,268.0
2022-09-16,0.0,1.98,262.8,,10,0,262.8,262.8,262.8
2022-09-13,0.0,1.98,257.7,,36,0,257.7,257.7,257.7
2022-09-04,0.0,0.0,252.7,,8,0,252.7,252.7,252.7
2022-05-11,0.0,0.0,252.7,772.8,3,0,252.7,252.7,252.7
2022-05-10,0.0,0.0,252.7,,6,0,252.7,252.7,252.7
2022-03-06,0.0,3.99,252.7,,255,0,247.8,252.7,247.8
2021-07-05,0.0,4.98,316.0,,10,0,316.0,316.0,316.0
2021-02-09,0.0,0.05,274.0,,10,0,274.0,274.0,274.0
2020-12-28,0.0,0.05,261.0,,10,0,261.0,261.0,261.0
2020-12-09,0.0,0.05,249.0,,24,0,249.0,249.0,249.0
2020-12-02,0.0,0.04,238.0,,10,0,238.0,238.0,238.0
2020-11-23,0.0,0.05,228.0,,10,0,228.0,228.0,228.0
2020-11-05,0.0,4.81,218.0,,10,0,218.0,218.0,218.0
2020-11-04,0.0,4.52,208.0,,10,0,208.0,208.0,208.0
2020-10-18,0.0,4.74,199.0,,10,0,199.0,199.0,199.0
2020-09-22,0.0,1.6,190.0,,80,0,190.0,190.0,190.0
2020-02-23,0.0,1.63,187.0,6.54,3500,0,187.0,187.0,187.0
2019-07-29,0.0,0.0,214.0,,8,0,217.0,214.0,214.0
2019-07-28,0.0,1.9,214.0,,19,0,214.0,214.0,214.0
2019-07-25,0.0,8.81,210.0,,73,0,202.0,210.0,202.0
2015-04-13,0.0,0.0,213.0,1.45,681,0,213.0,213.0,213.0
2015-01-05,0.0,1.91,213.0,,17,0,209.0,213.0,213.0
2014-03-25,0.0,-15.04,209.0,,178,0,246.0,209.0,209.0
2014-01-29,0.0,1.65,246.0,,36,0,242.0,246.0,246.0
2012-09-13,0.0,-1.63,242.0,,12,0,246.0,242.0,242.0
2012-01-08,0.0,-1.99,246.0,,14,0,251.0,246.0,246.0
