DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,4.5,0.7,644.0,15.29,2399,31,635.0,644.0,635.0
2026-05-07,6.5,1.03,639.5,16.45,2593,10,633.0,639.5,633.0
2026-05-06,-6.0,-0.94,633.0,5.37,845,14,637.0,642.0,633.0
2026-05-05,3.0,0.47,639.0,18.53,2923,18,641.0,641.0,630.0
2026-05-04,-0.2,-0.03,636.0,8.0,1256,19,627.5,645.0,627.5
2026-04-30,-9.8,-1.52,636.2,13.49,2132,31,613.7,638.0,613.7
2026-04-29,-9.0,-1.37,646.0,1.8,280,5,646.2,646.2,646.0
2026-04-28,4.9,0.75,655.0,8.96,1381,12,650.1,655.0,647.1
2026-04-27,-1.9,-0.29,650.1,2.75,422,7,652.0,659.0,650.1
2026-04-24,-7.9,-1.2,652.0,3.65,559,12,692.8,692.8,652.0
2026-04-23,0.9,0.14,659.9,13.39,2045,13,648.1,660.0,648.0
2026-04-22,1.1,0.17,659.0,18.3,2795,24,645.8,660.0,645.8
2026-04-21,2.9,0.44,657.9,25.87,3968,33,658.0,658.0,650.0
2026-04-20,-3.0,-0.46,655.0,12.96,1989,25,660.0,666.0,650.0
2026-04-17,-5.0,-0.75,658.0,9.94,1508,21,657.0,668.9,657.0
2026-04-16,-9.0,-1.34,663.0,16.42,2469,21,665.0,672.0,663.0
2026-04-15,7.8,1.17,672.0,6.23,928,28,660.1,675.0,660.0
2026-04-13,-4.3,-0.64,664.2,6.94,1046,13,668.0,668.0,663.2
2026-04-10,-8.5,-1.26,668.5,18.88,2824,21,685.0,685.0,666.5
2026-04-09,9.0,1.35,677.0,42.78,6353,40,675.0,678.9,672.0
2026-04-08,8.0,1.21,668.0,8.99,1348,24,664.0,672.0,663.0
2026-04-07,-9.0,-1.35,660.0,10.27,1560,29,669.0,669.0,652.2
2026-04-06,31.7,4.97,669.0,,16302,66,650.0,669.0,640.0
2026-04-05,-36.7,-5.45,637.3,51.26,7973,84,669.0,669.0,634.5
2026-04-02,-3.0,-0.44,674.0,38.22,5756,72,664.0,677.0,650.0
2026-04-01,-13.0,-1.88,677.0,18.43,2741,36,680.0,680.0,665.0
2026-03-31,12.0,1.77,690.0,16.57,2452,39,677.0,690.0,669.1
2026-03-30,-9.1,-1.32,678.0,41.09,6010,72,687.0,698.0,674.5
2026-03-29,-18.9,-2.68,687.1,55.97,8103,85,710.0,710.0,687.1
2026-03-26,-0.3,-0.04,706.0,56.85,8067,72,700.0,711.0,698.1
2026-03-25,-16.7,-2.31,706.3,45.89,6457,64,712.0,719.9,700.0
2026-03-24,-4.0,-0.55,723.0,43.21,6014,64,725.0,725.0,713.0
2026-03-23,-11.8,-1.6,727.0,34.48,4730,59,740.0,741.0,718.0
2026-03-22,42.7,6.13,738.8,,32163,263,708.9,748.9,700.0
2026-03-19,9.1,1.32,696.1,42.05,6021,64,690.0,704.0,684.1
2026-03-17,-3.0,-0.43,687.0,10.88,1590,19,683.0,687.0,682.1
2026-03-16,-10.0,-1.43,690.0,43.62,6283,39,693.4,699.0,682.3
2026-03-15,4.0,0.57,700.0,68.63,9835,63,700.0,704.0,691.4
2026-03-12,6.0,0.87,696.0,63.83,9181,62,677.1,700.0,677.1
2026-03-11,2.0,0.29,690.0,64.52,9268,67,685.0,700.0,685.0
2026-03-10,-13.0,-1.85,688.0,96.93,13961,132,715.0,715.0,688.0
2026-03-09,26.0,3.85,701.0,1.79,260,4,688.0,701.0,688.0
2026-03-03,15.0,2.27,675.0,20.35,3041,33,657.0,680.0,657.0
2026-03-01,3.1,0.47,660.0,18.61,2855,29,645.0,660.0,645.0
2026-02-26,6.9,1.06,656.9,9.91,1513,16,650.0,656.9,650.0
2026-02-25,-1.9,-0.29,650.0,16.22,2502,21,652.0,652.0,645.5
2026-02-24,5.9,0.91,651.9,9.96,1540,21,640.3,651.9,640.3
2026-02-23,-2.0,-0.31,646.0,13.11,2017,24,650.0,655.0,646.0
2026-02-22,-12.0,-1.82,648.0,34.02,5243,37,651.2,651.8,647.1
2026-02-17,3.0,0.46,660.0,17.94,2723,24,652.0,665.1,652.0
2026-02-16,-1.9,-0.29,657.0,4.14,629,17,650.1,663.1,650.1
2026-02-12,-4.1,-0.62,658.9,45.63,6897,54,670.9,670.9,656.0
2026-02-11,-2.0,-0.3,663.0,26.97,4060,28,677.0,677.0,663.0
2026-02-10,0.0,0.0,665.0,14.47,2175,22,665.0,674.8,663.0
2026-02-09,-4.3,-0.64,665.0,38.22,5717,49,670.3,675.0,665.0
2026-02-08,-7.7,-1.14,669.3,56.02,8331,58,677.1,682.0,668.1
2026-02-05,-0.1,-0.01,677.0,50.75,7471,60,685.0,690.0,677.0
2026-02-04,1.9,0.28,677.1,12.03,1770,20,683.0,685.0,675.6
2026-02-03,-6.2,-0.91,675.2,27.8,4091,37,681.4,683.8,675.2
2026-02-02,-2.6,-0.38,681.4,15.59,2281,30,684.0,689.8,681.0
2026-02-01,2.4,0.35,684.0,36.18,5280,53,695.0,695.0,680.0
2026-01-29,-5.5,-0.8,681.6,35.15,5095,50,695.0,697.0,681.6
2026-01-28,1.5,0.22,687.1,11.61,1689,34,699.0,699.0,683.1
2026-01-27,-6.5,-0.94,685.6,82.39,11879,81,705.0,705.9,684.1
2026-01-26,-11.9,-1.69,692.1,49.28,7023,91,718.0,718.0,691.0
2026-01-25,19.9,2.91,704.0,60.71,8696,74,697.0,714.0,688.0
2026-01-22,-11.9,-1.71,684.1,48.62,7053,72,690.0,699.9,680.0
2026-01-21,-10.2,-1.44,696.0,14.62,2095,35,719.7,719.7,696.0
2026-01-20,-2.8,-0.39,706.2,42.07,5952,54,710.0,714.5,701.0
2026-01-18,-22.0,-3.01,709.0,,21075,147,745.6,745.6,690.6
2026-01-14,50.0,7.34,731.0,30.02,4384,49,688.0,731.0,675.5
2026-01-13,-2.9,-0.42,681.0,10.33,1510,21,673.7,687.0,673.7
2026-01-12,-1.1,-0.16,683.9,23.13,3394,30,698.7,698.7,680.0
2026-01-08,1.0,0.15,685.0,20.67,3035,48,680.0,691.9,680.0
2026-01-07,-5.0,-0.73,684.0,17.87,2608,29,700.0,702.7,684.0
2026-01-06,-3.0,-0.43,689.0,7.81,1132,23,705.8,715.0,686.7
2026-01-05,2.1,0.3,692.0,88.66,12640,94,676.2,730.0,671.0
2026-01-04,-4.1,-0.59,689.9,9.01,1317,20,680.3,690.0,680.3
2026-01-01,-3.6,-0.52,694.0,21.04,3074,46,711.0,711.0,680.0
2025-12-31,-10.0,-1.41,697.6,27.97,4031,38,707.6,707.6,685.0
2025-12-29,0.6,0.08,707.6,75.08,10678,53,715.0,721.1,693.0
2025-12-28,19.0,2.76,707.0,55.52,7916,75,685.1,741.5,675.1
2025-12-24,-3.8,-0.55,688.0,8.47,1235,30,704.0,719.1,678.0
2025-12-23,6.8,0.99,691.8,6.49,945,14,686.0,693.0,678.3
2025-12-22,-3.0,-0.44,685.0,9.41,1387,22,676.5,685.0,676.4
2025-12-21,-1.0,-0.15,688.0,18.05,2654,33,676.2,692.0,675.3
2025-12-18,-6.0,-0.86,689.0,17.74,2582,29,690.5,690.5,685.3
2025-12-17,-9.0,-1.28,695.0,44.19,6287,28,695.0,714.0,693.1
2025-12-16,-3.0,-0.42,704.0,29.76,4246,38,696.0,709.8,696.0
2025-12-15,-43.0,-5.73,707.0,69.48,9821,77,735.0,735.0,678.0
2025-12-14,37.0,5.19,750.0,57.07,8142,71,698.8,750.0,692.0
2025-12-11,3.0,0.42,713.0,78.96,11228,104,695.8,737.0,695.8
2025-12-10,0.1,0.01,710.0,61.65,8722,82,695.8,723.0,695.8
2025-12-09,11.9,1.7,709.9,43.59,6187,66,690.3,712.0,690.3
2025-12-08,7.0,1.01,698.0,40.0,5711,56,678.6,747.0,678.6
2025-12-07,-13.0,-1.85,691.0,51.86,7435,39,690.1,704.1,686.0
2025-12-03,1.0,0.14,704.0,26.18,3713,44,710.0,717.0,695.0
2025-12-02,2.1,0.3,703.0,22.47,3220,28,710.0,720.0,686.9
2025-12-01,15.9,2.32,700.9,77.54,10989,135,698.0,724.0,674.2
2025-11-30,-3.9,-0.57,685.0,26.92,3917,35,691.0,702.0,679.1
2025-11-27,8.9,1.31,688.9,6.69,981,25,680.0,692.0,678.4
2025-11-26,-7.0,-1.02,680.0,20.38,2990,28,699.0,699.0,674.0
2025-11-25,-5.5,-0.79,687.0,7.83,1131,26,706.0,720.0,686.0
2025-11-24,7.5,1.09,692.5,30.28,4335,26,692.0,708.0,692.0
2025-11-23,12.0,1.78,685.0,31.96,4671,62,675.0,687.1,675.0
2025-11-20,20.0,3.06,673.0,22.2,3336,33,662.0,677.9,654.5
2025-11-19,-14.0,-2.1,653.0,3.51,540,16,654.0,656.8,644.0
2025-11-18,6.0,0.91,667.0,2.4,362,10,669.0,669.0,657.0
2025-11-17,6.1,0.93,661.0,6.13,922,17,663.0,669.0,655.7
2025-11-16,0.9,0.14,654.9,22.03,3394,17,648.2,660.0,643.1
2025-11-13,-1.5,-0.23,654.0,15.14,2333,25,662.0,662.0,642.0
2025-11-12,-7.5,-1.13,655.5,6.82,1041,10,663.0,663.0,655.0
2025-11-11,-1.0,-0.15,663.0,3.49,530,8,651.0,663.0,646.0
2025-11-10,4.0,0.61,664.0,,73,3,651.0,664.0,651.0
2025-11-09,-5.0,-0.75,660.0,8.24,1259,19,655.2,667.0,653.7
2025-11-06,-5.0,-0.75,665.0,,82,4,658.0,665.0,658.0
2025-11-05,9.8,1.48,670.0,16.52,2525,20,656.1,670.0,650.0
2025-11-04,-10.2,-1.52,660.2,6.06,919,14,670.1,670.1,660.0
2025-11-03,-16.6,-2.42,670.4,11.26,1683,24,674.1,678.0,665.0
2025-11-02,-4.0,-0.58,687.0,38.62,5630,38,690.0,691.9,681.1
2025-10-30,43.0,6.64,691.0,13.64,2053,36,655.0,691.0,652.0
2025-10-29,-11.9,-1.8,648.0,16.85,2590,22,668.0,668.0,647.0
2025-10-28,33.0,5.26,659.9,30.45,4696,41,634.9,673.0,626.1
2025-10-26,6.9,1.11,626.9,15.06,2509,30,608.0,626.9,596.0
2025-10-19,2.9,0.47,620.0,13.16,2161,23,614.0,620.0,605.0
2025-10-16,-13.1,-2.08,617.1,37.76,6097,51,626.0,635.0,613.6
2025-10-15,-17.8,-2.75,630.2,14.47,2278,32,636.1,640.0,630.0
2025-10-14,-4.0,-0.61,648.0,13.0,2029,29,645.0,648.0,635.3
2025-10-13,2.0,0.31,652.0,12.82,1971,22,655.0,660.0,640.1
2025-10-12,-20.0,-2.99,650.0,81.21,12533,100,658.1,659.0,637.0
2025-10-09,0.0,0.0,670.0,11.55,1697,29,683.4,709.9,670.0
2025-10-08,-10.0,-1.47,670.0,21.53,3220,44,674.1,675.0,657.1
2025-10-07,-14.0,-2.02,680.0,8.49,1248,14,681.1,681.3,675.0
2025-09-28,6.7,0.97,694.0,14.65,2143,29,682.0,694.0,677.1
2025-09-25,-5.7,-0.82,687.3,5.47,794,18,690.0,694.0,686.0
2025-09-24,-8.0,-1.14,693.0,5.74,826,12,693.0,696.2,691.3
2025-09-23,7.55,1.09,701.0,17.96,2550,22,703.0,719.9,700.0
2025-09-21,29.65,4.47,693.45,24.14,3549,34,677.0,712.0,664.0
2025-09-18,-13.49,-1.99,663.8,,10,1,663.8,663.8,663.8
2025-09-08,-1.22,-0.18,677.29,5.58,826,12,678.51,685.0,675.1
2025-09-07,2.91,0.43,678.51,7.37,1088,23,685.0,685.0,671.3
