DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,-0.3,-0.12,242.0,62.96,26100,99,244.8,244.8,239.0
2026-05-07,1.4,0.58,242.3,56.55,23523,117,243.9,243.9,238.6
2026-05-06,-0.8,-0.33,240.9,48.89,20401,107,245.0,245.0,237.7
2026-05-05,3.7,1.55,241.7,73.95,30990,155,242.0,242.0,236.1
2026-05-04,-2.4,-1.0,238.0,98.93,41572,154,252.4,252.4,237.0
2026-04-30,-0.6,-0.25,240.4,61.72,25770,129,246.0,246.0,239.0
2026-04-29,-1.9,-0.78,241.0,55.9,23206,131,247.9,247.9,240.1
2026-04-28,-2.1,-0.86,242.9,90.7,37387,154,245.0,250.0,241.0
2026-04-27,0.1,0.04,245.0,32.44,13292,102,257.0,257.0,240.6
2026-04-24,2.0,0.82,244.9,66.43,27487,122,252.0,252.0,240.1
2026-04-23,-2.1,-0.86,242.9,38.64,15968,116,246.8,246.8,241.0
2026-04-22,2.0,0.82,245.0,82.42,34106,179,247.8,247.8,240.5
2026-04-21,-2.6,-1.06,243.0,77.7,31857,154,241.2,248.0,241.2
2026-04-20,-2.9,-1.17,245.6,39.02,15882,112,236.1,257.0,236.1
2026-04-17,-1.5,-0.6,248.5,87.07,35272,106,253.9,253.9,245.0
2026-04-16,-2.0,-0.79,250.0,78.78,31666,203,249.4,251.0,247.0
2026-04-15,3.6,1.45,252.0,,47809,204,253.0,253.0,249.0
2026-04-13,-2.6,-1.04,248.4,52.44,20999,122,252.0,254.0,248.4
2026-04-10,-1.0,-0.4,251.0,61.71,24529,154,257.0,257.0,250.0
2026-04-09,3.1,1.25,252.0,,58876,234,252.7,263.0,248.0
2026-04-08,6.7,2.77,248.9,,69279,148,245.0,249.9,244.0
2026-04-07,-2.0,-0.82,242.2,87.58,35655,178,246.0,249.0,242.1
2026-04-06,4.2,1.75,244.2,,54907,248,244.8,247.0,240.1
2026-04-05,-9.0,-3.61,240.0,,88847,288,249.0,249.0,239.5
2026-04-02,0.9,0.36,249.0,,40655,193,243.2,252.0,243.2
2026-04-01,-5.9,-2.32,248.1,,69545,216,257.9,257.9,247.1
2026-03-31,5.4,2.17,254.0,,92630,285,251.0,254.5,246.5
2026-03-30,-8.4,-3.27,248.6,,124263,363,260.0,260.0,247.0
2026-03-29,-8.0,-3.02,257.0,,155938,348,265.5,267.0,257.0
2026-03-26,-0.7,-0.26,265.0,,96756,284,268.8,268.8,261.2
2026-03-25,-3.3,-1.23,265.7,,142378,305,264.0,272.0,262.2
2026-03-24,0.0,0.0,269.0,,170744,411,270.8,270.8,263.8
2026-03-23,-0.8,-0.3,269.0,,101193,325,268.0,269.0,264.5
2026-03-22,8.9,3.41,269.8,,290873,827,264.9,271.4,261.0
2026-03-19,6.9,2.72,260.9,,221234,601,249.0,262.9,249.0
2026-03-17,1.0,0.4,254.0,91.14,36068,169,248.1,254.7,248.1
2026-03-16,-3.0,-1.17,253.0,,57351,197,254.0,255.0,251.2
2026-03-15,-1.0,-0.39,256.0,,53671,241,258.0,259.0,253.1
2026-03-12,4.3,1.7,257.0,,106910,415,257.7,259.9,249.0
2026-03-11,-0.4,-0.16,252.7,,88823,286,255.0,255.0,250.0
2026-03-10,6.4,2.59,253.1,,296164,1020,251.6,265.2,249.9
2026-03-09,4.8,1.98,246.7,12.56,5010,10,246.7,251.6,246.7
2026-03-03,3.1,1.3,241.9,75.92,31533,150,243.5,243.5,235.4
2026-03-01,0.3,0.13,238.8,94.06,39746,122,234.2,238.8,234.1
2026-02-26,4.0,1.71,238.5,95.09,40152,130,239.1,239.1,234.0
2026-02-25,-0.3,-0.13,234.5,52.27,22338,88,236.0,236.0,233.1
2026-02-24,1.8,0.77,234.8,25.99,11140,97,235.0,235.0,232.4
2026-02-23,-1.0,-0.43,233.0,,43924,125,233.1,235.0,232.4
2026-02-22,-1.0,-0.43,234.0,60.25,25804,124,232.3,235.0,232.1
2026-02-17,0.0,0.0,235.0,,43208,125,233.0,236.0,233.0
2026-02-16,1.0,0.43,235.0,76.39,32445,131,237.0,237.0,234.0
2026-02-12,0.7,0.3,234.0,51.77,22160,110,235.0,235.0,233.0
2026-02-11,-0.7,-0.3,233.3,37.51,16034,99,237.0,237.0,233.0
2026-02-10,1.3,0.56,234.0,77.26,33042,135,232.5,236.0,232.5
2026-02-09,-1.6,-0.68,232.7,92.16,39501,174,234.4,234.4,232.2
2026-02-08,0.2,0.09,234.3,65.02,27583,132,236.0,242.0,234.2
2026-02-05,1.1,0.47,234.1,,74262,175,233.1,235.8,233.0
2026-02-04,-2.9,-1.23,233.0,,69194,207,231.2,239.0,231.2
2026-02-03,-2.1,-0.88,235.9,94.34,39727,155,237.5,240.0,235.9
2026-02-02,0.8,0.34,238.0,65.8,27764,116,240.0,240.0,236.1
2026-02-01,-2.3,-0.96,237.2,77.15,32424,153,237.0,240.0,237.0
2026-01-29,-0.6,-0.25,239.5,,53461,178,240.0,241.9,239.2
2026-01-28,0.0,0.0,240.1,,46367,188,240.0,244.0,240.0
2026-01-27,-3.9,-1.6,240.1,,62320,217,242.2,245.0,240.0
2026-01-26,-2.4,-0.97,244.0,,45281,200,246.4,247.9,242.7
2026-01-25,4.9,2.03,246.4,,56349,257,242.0,246.7,240.0
