DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,16.9,1.55,1106.9,28.68,2613,44,1119.0,1119.0,1083.0
2026-05-07,-2.0,-0.18,1090.0,47.15,4323,50,1092.0,1104.0,1085.0
2026-05-06,0.0,0.0,1092.0,32.44,2973,38,1090.0,1117.6,1088.0
2026-05-05,-15.0,-1.36,1092.0,44.34,4065,61,1090.1,1095.0,1089.0
2026-05-04,9.9,0.9,1107.0,5.79,532,32,1051.9,1110.0,1051.9
2026-04-30,-12.9,-1.16,1097.1,22.98,2094,59,1095.0,1111.0,1090.0
2026-04-29,0.1,0.01,1110.0,52.37,4752,55,1109.0,1110.0,1097.0
2026-04-28,4.9,0.44,1109.9,17.44,1577,28,1105.0,1130.0,1105.0
2026-04-27,6.8,0.62,1105.0,53.18,4853,52,1098.2,1117.0,1090.2
2026-04-24,-2.0,-0.18,1098.2,78.99,7214,58,1100.2,1108.0,1090.0
2026-04-23,0.2,0.02,1100.2,71.82,6528,61,1100.0,1120.0,1096.5
2026-04-22,-20.0,-1.79,1100.0,,9295,148,1120.0,1120.0,1100.0
2026-04-21,-5.0,-0.44,1120.0,88.84,7980,122,1116.1,1125.0,1105.0
2026-04-20,-28.7,-2.49,1125.0,27.23,2408,50,1153.7,1153.7,1122.3
2026-04-17,6.7,0.58,1153.7,24.66,2154,38,1131.1,1153.7,1131.1
2026-04-16,2.0,0.17,1147.0,53.31,4689,59,1145.0,1154.0,1131.0
2026-04-15,-1.0,-0.09,1145.0,68.42,5978,106,1168.0,1170.0,1132.0
2026-04-13,-4.0,-0.35,1146.0,34.97,3037,46,1150.0,1168.7,1146.0
2026-04-10,-0.3,-0.03,1150.0,69.44,6038,48,1151.0,1164.0,1147.0
2026-04-09,0.3,0.03,1150.3,68.53,5947,66,1130.0,1164.0,1130.0
2026-04-08,13.0,1.14,1150.0,83.76,7382,102,1126.0,1155.0,1126.0
2026-04-07,2.0,0.18,1137.0,48.87,4308,78,1140.0,1150.0,1122.1
2026-04-06,21.0,1.89,1135.0,,11682,130,1115.2,1155.0,1114.0
2026-04-05,-46.0,-3.97,1114.0,92.54,8272,128,1137.0,1142.0,1114.0
2026-04-02,-5.0,-0.43,1160.0,35.48,3072,46,1162.19,1183.0,1137.0
2026-04-01,-17.9,-1.51,1165.0,94.14,8038,83,1182.9,1182.9,1163.0
2026-03-31,2.9,0.25,1182.9,,9702,97,1203.0,1225.0,1160.0
2026-03-30,-10.0,-0.84,1180.0,,10403,114,1182.0,1188.0,1172.0
2026-03-29,-15.0,-1.24,1190.0,,13587,76,1205.0,1206.0,1190.0
2026-03-26,6.0,0.5,1205.0,48.35,4013,51,1185.1,1220.0,1185.1
2026-03-25,-8.0,-0.66,1199.0,62.94,5247,57,1200.0,1208.8,1195.0
2026-03-24,-14.0,-1.15,1207.0,83.31,6859,75,1206.1,1242.0,1202.0
2026-03-23,6.0,0.49,1221.0,84.88,6974,72,1208.5,1230.0,1208.5
2026-03-22,25.0,2.1,1215.0,,22022,147,1167.0,1230.0,1167.0
2026-03-19,5.0,0.42,1190.0,76.79,6481,77,1190.0,1197.0,1169.1
2026-03-17,5.0,0.42,1185.0,40.61,3444,33,1181.0,1192.0,1175.1
2026-03-16,-5.0,-0.42,1180.0,55.62,4709,36,1177.5,1185.0,1177.0
2026-03-15,2.0,0.17,1185.0,36.43,3073,40,1185.0,1190.0,1183.0
2026-03-12,0.0,0.0,1183.0,15.96,1348,36,1180.0,1198.0,1178.0
2026-03-11,-4.0,-0.34,1183.0,,8599,63,1190.0,1200.0,1181.0
2026-03-10,19.1,1.64,1187.0,,14402,161,1191.2,1214.9,1180.0
2026-03-09,22.9,2.0,1167.9,,10,1,1167.9,1167.9,1167.9
2026-03-03,15.0,1.33,1145.0,26.25,2310,37,1128.0,1145.0,1126.0
2026-03-01,7.3,0.65,1130.0,17.26,1537,31,1122.69,1130.0,1115.0
2026-02-26,-2.3,-0.2,1122.7,12.45,1105,21,1120.4,1130.0,1120.3
2026-02-25,-5.0,-0.44,1125.0,18.36,1631,36,1130.0,1130.0,1120.5
2026-02-24,7.8,0.7,1130.0,8.53,760,32,1108.8,1135.0,1108.8
2026-02-23,-0.8,-0.07,1122.2,18.39,1639,34,1116.2,1126.0,1116.2
2026-02-22,4.0,0.36,1123.0,25.51,2286,41,1100.0,1125.0,1100.0
2026-02-17,-6.0,-0.53,1119.0,43.29,3853,39,1112.5,1128.0,1112.5
2026-02-16,11.0,0.99,1125.0,51.26,4565,44,1110.0,1130.0,1110.0
2026-02-12,-6.0,-0.54,1114.0,39.14,3495,46,1121.0,1134.5,1114.0
2026-02-11,10.0,0.9,1120.0,35.11,3140,36,1115.9,1126.8,1108.0
2026-02-10,-1.0,-0.09,1110.0,23.49,2121,42,1090.0,1114.0,1090.0
2026-02-09,0.0,0.0,1111.0,29.94,2691,41,1116.0,1124.9,1111.0
2026-02-08,4.4,0.4,1111.0,15.31,1375,35,1110.5,1124.9,1110.0
