DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,15.0,1.51,1006.0,54.64,5492,133,980.0,1006.0,980.0
2026-05-07,-2.7,-0.27,991.0,25.89,2623,105,999.0,1000.0,974.2
2026-05-06,-1.2,-0.12,993.7,49.22,4993,140,970.0,1011.0,970.0
2026-05-05,-0.1,-0.01,994.9,62.23,6280,211,970.0,1010.0,970.0
2026-05-04,-15.0,-1.49,995.0,,10606,225,1038.0,1038.0,975.0
2026-04-30,-16.0,-1.56,1010.0,,11171,293,1026.0,1026.0,998.2
2026-04-29,-58.0,-5.35,1026.0,,16055,429,1061.0,1061.0,1020.0
2026-04-28,-14.9,-1.36,1084.0,69.46,6422,219,1120.0,1120.0,1067.0
2026-04-27,20.9,1.94,1098.9,43.6,4000,186,1078.0,1110.0,1078.0
2026-04-24,-18.0,-1.64,1078.0,97.51,9058,276,1080.0,1090.0,1065.0
2026-04-23,-35.9,-3.17,1096.0,,12457,347,1132.0,1132.0,1090.0
2026-04-22,-15.8,-1.38,1131.9,,15081,350,1165.0,1165.0,1080.0
2026-04-21,-31.3,-2.65,1147.7,93.23,8087,228,1178.9,1182.0,1140.0
2026-04-20,13.9,1.19,1179.0,47.84,4125,143,1123.0,1193.9,1123.0
2026-04-17,-9.9,-0.84,1165.1,65.6,5640,159,1175.1,1180.0,1155.0
2026-04-16,-25.0,-2.08,1175.0,73.3,6211,170,1181.0,1199.9,1170.0
2026-04-15,5.1,0.43,1200.0,77.16,6398,188,1203.0,1215.0,1195.1
2026-04-13,-0.1,-0.01,1194.9,,8924,181,1218.0,1218.9,1185.0
2026-04-10,-31.0,-2.53,1195.0,75.17,6238,144,1226.0,1226.0,1192.0
2026-04-09,31.0,2.59,1226.0,99.3,8144,249,1199.0,1240.3,1190.0
2026-04-08,15.0,1.27,1195.0,95.81,8072,173,1190.0,1198.8,1167.0
2026-04-07,-7.0,-0.59,1180.0,90.51,7662,186,1187.0,1210.0,1153.5
2026-04-06,80.0,7.23,1187.0,,12641,335,1084.9,1187.0,1084.9
2026-04-05,-101.0,-8.36,1107.0,,18078,530,1208.0,1208.0,1100.0
2026-04-02,-7.0,-0.58,1208.0,,10975,278,1215.0,1235.0,1188.0
2026-04-01,-59.0,-4.63,1215.0,,16745,390,1260.0,1260.0,1212.0
2026-03-31,4.0,0.31,1274.0,,10493,259,1292.0,1292.0,1245.0
2026-03-30,-26.9,-2.07,1270.0,,12217,243,1276.1,1300.0,1265.0
2026-03-29,-53.1,-3.93,1296.9,,27028,470,1331.0,1357.0,1271.0
2026-03-26,2.0,0.15,1350.0,89.46,6643,219,1335.0,1355.0,1335.0
2026-03-25,-5.0,-0.37,1348.0,97.79,7275,213,1348.2,1364.0,1339.0
2026-03-24,-2.0,-0.15,1353.0,81.22,5991,171,1369.0,1369.0,1350.0
2026-03-23,-8.9,-0.65,1355.0,,11467,246,1366.0,1367.0,1340.0
2026-03-22,15.9,1.18,1363.9,,11611,322,1370.0,1372.0,1350.2
2026-03-19,28.0,2.12,1348.0,,10795,311,1325.0,1358.0,1308.0
2026-03-17,0.0,0.0,1320.0,66.02,5025,169,1320.0,1320.0,1300.0
2026-03-16,-25.0,-1.86,1320.0,95.04,7142,194,1370.0,1370.0,1316.0
2026-03-15,-20.0,-1.47,1345.0,,7536,227,1365.0,1389.0,1345.0
2026-03-12,-2.0,-0.15,1365.0,,10281,236,1341.2,1380.0,1341.2
2026-03-11,-20.0,-1.44,1367.0,,12117,280,1387.0,1410.0,1340.1
2026-03-10,7.0,0.51,1387.0,,26321,554,1407.6,1464.0,1362.0
2026-03-09,55.0,4.15,1380.0,1.14,84,7,1351.5,1380.0,1351.5
2026-03-03,30.0,2.32,1325.0,,13597,238,1295.0,1346.4,1286.1
2026-03-01,7.0,0.54,1295.0,79.99,6222,155,1270.1,1300.0,1250.0
2026-02-26,-9.0,-0.69,1288.0,,7855,156,1296.0,1304.0,1267.2
2026-02-25,-0.9,-0.07,1297.0,,8266,161,1305.0,1309.9,1282.0
2026-02-24,37.8,3.0,1297.9,91.51,7191,215,1260.0,1299.0,1257.3
2026-02-23,-26.9,-2.09,1260.1,,9986,253,1289.0,1299.9,1254.5
2026-02-22,-23.0,-1.76,1287.0,,10342,260,1310.0,1310.0,1270.1
2026-02-17,-4.0,-0.3,1310.0,,15164,293,1310.0,1341.3,1300.1
2026-02-16,-1.0,-0.08,1314.0,,12653,261,1305.0,1340.0,1305.0
2026-02-12,-20.0,-1.5,1315.0,,17119,336,1350.0,1350.0,1301.0
2026-02-11,-15.1,-1.12,1335.0,,10992,279,1368.0,1377.1,1330.0
2026-02-10,-29.9,-2.17,1350.1,,12994,294,1381.0,1390.1,1350.0
2026-02-09,-65.0,-4.5,1380.0,,25140,489,1431.1,1435.0,1375.1
2026-02-08,-11.0,-0.76,1445.0,,151242,1220,1450.0,1525.0,1432.0
2026-02-05,99.0,7.3,1456.0,,72170,903,1365.0,1468.0,1347.0
2026-02-04,22.0,1.65,1357.0,,20421,446,1336.0,1375.0,1336.0
2026-02-03,1.0,0.07,1335.0,,34465,433,1314.0,1368.0,1314.0
2026-02-02,45.0,3.49,1334.0,,22409,500,1291.0,1360.0,1283.0
2026-02-01,-33.1,-2.5,1289.0,,26758,504,1323.0,1344.0,1285.0
2026-01-29,-52.9,-3.85,1322.1,,30203,526,1395.0,1395.0,1321.0
2026-01-28,-20.0,-1.43,1375.0,,22320,526,1395.0,1410.0,1350.0
2026-01-27,-65.0,-4.45,1395.0,,52850,943,1455.0,1512.0,1364.3
2026-01-26,12.4,0.86,1460.0,,70981,1039,1447.6,1516.0,1441.0
2026-01-25,131.6,10.0,1447.6,,61004,1080,1340.0,1447.6,1340.0
2026-01-22,49.8,3.93,1316.0,,41471,663,1270.0,1317.0,1262.2
2026-01-21,13.2,1.05,1266.2,,19875,368,1250.1,1290.0,1250.0
2026-01-20,16.9,1.37,1253.0,,18875,330,1260.0,1285.2,1250.0
2026-01-18,16.1,1.32,1236.1,,14189,330,1230.0,1264.0,1230.0
2026-01-14,-20.0,-1.61,1220.0,,17724,298,1230.0,1264.0,1220.0
2026-01-13,-2.0,-0.16,1240.0,,8680,238,1245.0,1265.0,1222.0
2026-01-12,17.0,1.39,1242.0,,9314,339,1220.0,1253.0,1215.5
2026-01-08,-8.0,-0.65,1225.0,,8210,211,1233.0,1255.0,1211.0
2026-01-07,-17.0,-1.36,1233.0,,12144,278,1273.0,1273.0,1225.1
2026-01-06,-30.0,-2.34,1250.0,,13257,302,1298.0,1305.0,1250.0
2026-01-05,48.0,3.9,1280.0,,25980,552,1230.0,1294.0,1229.0
2026-01-04,25.1,2.08,1232.0,,9335,333,1210.0,1232.0,1190.0
2026-01-01,10.9,0.91,1206.9,86.58,7154,238,1182.0,1225.0,1182.0
2025-12-31,1.0,0.08,1196.0,65.8,5476,203,1171.1,1215.0,1171.1
2025-12-29,-12.9,-1.07,1195.0,63.33,5274,190,1200.0,1224.0,1190.2
2025-12-28,16.9,1.42,1207.9,55.15,4582,228,1191.0,1213.0,1191.0
2025-12-24,-9.0,-0.75,1191.0,45.83,3853,110,1200.0,1223.0,1180.0
2025-12-23,17.0,1.44,1200.0,67.76,5703,247,1165.1,1219.9,1165.1
2025-12-22,-13.0,-1.09,1183.0,57.3,4827,227,1185.0,1196.0,1182.1
2025-12-21,-34.0,-2.76,1196.0,,13602,385,1230.0,1230.0,1195.0
2025-12-18,-19.9,-1.59,1230.0,79.12,6380,301,1249.7,1256.0,1230.0
2025-12-17,-7.1,-0.56,1249.9,,9100,216,1250.0,1269.0,1244.0
2025-12-16,-10.0,-0.79,1257.0,74.34,5899,252,1245.0,1280.0,1245.0
2025-12-15,10.0,0.8,1267.0,56.23,4477,247,1255.0,1306.0,1241.1
2025-12-14,-31.0,-2.41,1257.0,91.59,7230,209,1270.0,1280.0,1256.1
2025-12-11,3.0,0.23,1288.0,97.84,7639,241,1290.0,1350.0,1262.0
2025-12-10,-30.5,-2.32,1285.0,55.75,4333,180,1290.2,1315.0,1280.1
2025-12-09,-10.5,-0.79,1315.5,,11049,395,1352.5,1352.5,1280.0
2025-12-08,51.0,4.0,1326.0,,15549,400,1300.0,1352.5,1251.2
2025-12-07,-21.0,-1.62,1275.0,,10850,330,1297.0,1304.0,1268.0
2025-12-03,7.0,0.54,1296.0,,15683,291,1285.0,1313.0,1284.0
2025-12-02,6.9,0.54,1289.0,34.74,2699,122,1307.7,1333.8,1281.1
2025-12-01,-17.9,-1.38,1282.1,33.77,2619,117,1299.0,1324.0,1282.1
2025-11-30,3.7,0.29,1300.0,80.63,6201,247,1320.0,1375.0,1287.3
2025-11-27,-17.7,-1.35,1296.3,61.65,4742,193,1301.0,1317.0,1292.0
2025-11-26,-11.0,-0.83,1314.0,98.81,7586,212,1306.1,1320.0,1300.0
2025-11-25,-2.9,-0.22,1325.0,,8068,230,1320.0,1380.0,1302.0
2025-11-24,-4.1,-0.31,1327.9,,10193,257,1333.0,1339.9,1306.0
2025-11-23,52.0,4.06,1332.0,,11517,419,1300.0,1377.0,1260.0
2025-11-20,19.9,1.58,1280.0,,10869,224,1285.0,1325.0,1241.0
2025-11-19,-38.9,-2.99,1260.1,67.32,5276,137,1280.1,1295.0,1260.1
2025-11-18,2.0,0.15,1299.0,77.65,6023,168,1280.0,1300.0,1280.0
2025-11-17,-43.0,-3.21,1297.0,62.84,4899,172,1315.0,1315.0,1265.0
