DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,3.0,0.49,612.0,8.99,1473,43,604.0,614.7,604.0
2026-05-07,6.6,1.1,609.0,20.76,3430,53,608.9,609.0,602.3
2026-05-06,-4.6,-0.76,602.4,13.24,2194,46,601.5,609.2,601.5
2026-05-05,2.0,0.33,607.0,32.46,5369,62,601.3,610.0,601.3
2026-05-04,-5.0,-0.82,605.0,26.55,4394,72,614.9,614.9,602.1
2026-04-30,2.5,0.41,610.0,56.35,9293,95,603.1,610.8,603.0
2026-04-29,-4.9,-0.8,607.5,42.18,6918,65,612.3,613.9,607.5
2026-04-28,-5.6,-0.91,612.4,41.68,6791,56,600.0,620.0,600.0
2026-04-27,4.1,0.67,618.0,42.99,6988,62,600.0,620.0,600.0
2026-04-24,-0.1,-0.02,613.9,27.57,4507,47,640.0,640.0,610.1
2026-04-23,-2.5,-0.41,614.0,53.76,8760,84,609.0,622.9,609.0
2026-04-22,-5.5,-0.88,616.5,35.35,5742,70,611.4,622.0,611.0
2026-04-21,-3.9,-0.62,622.0,38.51,6177,64,620.0,630.0,619.0
2026-04-20,0.9,0.14,625.9,58.26,9340,77,619.0,630.0,615.0
2026-04-17,-4.0,-0.64,625.0,49.65,7966,62,625.0,634.0,616.5
2026-04-16,-12.0,-1.87,629.0,64.47,10258,90,630.0,634.0,622.0
2026-04-15,6.0,0.94,641.0,61.55,9639,81,626.0,642.0,626.0
2026-04-13,3.0,0.47,635.0,28.87,4571,63,624.3,638.7,624.3
2026-04-10,-1.0,-0.16,632.0,46.0,7325,73,639.0,639.0,625.0
2026-04-09,9.3,1.49,633.0,84.44,13271,138,617.2,659.0,617.2
2026-04-08,6.7,1.09,623.7,47.65,7677,88,614.6,626.0,614.6
2026-04-07,-1.0,-0.16,617.0,,25722,132,618.0,624.0,612.0
2026-04-06,12.8,2.12,618.0,,16593,136,606.0,625.0,605.09
2026-04-05,-16.8,-2.7,605.2,,17818,177,614.1,618.8,605.0
2026-04-02,1.0,0.16,622.0,96.78,15552,123,612.2,630.0,611.3
2026-04-01,-13.0,-2.05,621.0,99.86,15976,149,632.0,640.9,618.3
2026-03-31,-3.0,-0.47,634.0,96.24,15205,136,638.0,646.0,620.0
2026-03-30,-12.0,-1.85,637.0,,16161,148,638.1,650.0,631.1
2026-03-29,-20.9,-3.12,649.0,,23027,185,670.0,670.0,635.3
2026-03-26,4.9,0.74,669.9,73.86,11143,86,660.3,670.0,658.0
2026-03-25,-20.0,-2.92,665.0,,18911,167,680.0,680.0,660.0
2026-03-24,6.0,0.88,685.0,97.36,14382,116,670.4,685.0,670.0
2026-03-23,-9.9,-1.44,679.0,,41202,270,690.0,693.8,668.0
2026-03-22,35.1,5.37,688.9,,140163,746,663.0,694.9,658.0
2026-03-19,10.8,1.68,653.8,,23157,148,652.0,654.9,645.0
2026-03-17,-3.0,-0.46,643.0,35.92,5590,61,654.0,654.0,641.0
2026-03-16,-4.0,-0.62,646.0,,16611,74,653.0,657.0,642.5
2026-03-15,-4.9,-0.75,650.0,46.35,7154,91,650.1,651.0,645.2
2026-03-12,0.3,0.05,654.9,95.43,14661,100,645.4,655.0,643.0
2026-03-11,-14.4,-2.15,654.6,,26630,141,682.3,682.3,648.4
2026-03-10,17.3,2.65,669.0,,68382,286,664.7,669.0,640.0
2026-03-09,26.0,4.16,651.7,2.49,390,7,638.2,651.7,638.2
2026-03-03,5.7,0.92,625.7,76.63,12295,91,620.0,625.7,618.0
2026-03-01,5.0,0.81,620.0,51.78,8420,91,603.0,620.0,603.0
2026-02-26,3.1,0.51,615.0,29.34,4787,51,616.0,616.0,611.0
2026-02-25,-2.1,-0.34,611.9,95.59,15727,116,620.0,620.0,602.0
2026-02-24,4.0,0.66,614.0,53.99,8823,78,609.0,615.6,609.0
2026-02-23,0.1,0.02,610.0,34.51,5665,68,613.8,614.5,605.0
2026-02-22,-5.1,-0.83,609.9,,20757,182,611.0,611.9,600.0
2026-02-17,-3.0,-0.49,615.0,37.0,6024,54,611.0,617.0,611.0
2026-02-16,-4.0,-0.64,618.0,43.31,7018,98,620.2,625.0,615.0
2026-02-12,3.0,0.48,622.0,72.37,11686,108,627.9,627.9,616.0
2026-02-11,4.0,0.65,619.0,49.89,8041,79,624.0,625.0,619.0
2026-02-10,-9.0,-1.44,615.0,83.67,13488,129,622.0,626.9,615.0
2026-02-09,-7.7,-1.22,624.0,79.06,12614,114,630.0,632.0,624.0
2026-02-08,1.7,0.27,631.7,,20181,143,630.1,643.0,627.5
2026-02-05,-2.0,-0.32,630.0,,17083,139,630.1,635.0,628.2
2026-02-04,-2.5,-0.39,632.0,24.39,3864,49,640.0,640.0,629.1
2026-02-03,-5.5,-0.86,634.5,34.82,5502,68,644.9,644.9,631.0
2026-02-02,3.0,0.47,640.0,40.37,6340,69,626.2,640.0,626.2
2026-02-01,-20.5,-3.12,637.0,87.36,13647,123,646.0,646.1,636.0
2026-01-29,3.5,0.54,657.5,,18386,89,645.0,665.0,645.0
2026-01-28,-4.9,-0.74,654.0,34.72,5322,54,646.0,669.9,646.0
2026-01-27,-6.1,-0.92,658.9,85.22,12929,113,653.0,674.0,653.0
2026-01-26,-10.0,-1.48,665.0,,18273,136,677.0,677.0,665.0
2026-01-25,5.1,0.76,675.0,,20071,133,683.0,683.0,660.0
2026-01-22,21.9,3.38,669.9,,65392,221,636.0,669.9,636.0
2026-01-21,4.0,0.62,648.0,71.05,10963,73,632.1,653.0,632.1
2026-01-20,4.0,0.62,644.0,94.03,14557,91,628.0,651.5,628.0
2026-01-18,10.5,1.67,640.0,30.61,4811,67,622.2,640.0,622.2
2026-01-14,3.5,0.56,629.5,54.11,8667,69,623.1,632.0,620.0
2026-01-13,-8.0,-1.26,626.0,47.85,7645,87,645.0,645.0,622.1
2026-01-12,-0.2,-0.03,634.0,58.3,9231,80,640.0,640.0,630.0
2026-01-08,-5.8,-0.91,634.2,27.83,4372,58,652.6,652.6,628.1
2026-01-07,0.1,0.02,640.0,36.16,5578,57,630.5,659.0,630.5
2026-01-06,6.8,1.07,639.9,43.94,6888,62,640.0,645.0,635.1
2026-01-05,-2.9,-0.46,633.1,21.76,3417,49,636.0,647.1,633.0
2026-01-04,-3.8,-0.59,636.0,8.59,1359,32,649.0,649.0,628.1
2026-01-01,-3.2,-0.5,639.8,32.81,5171,49,649.0,649.0,632.1
2025-12-31,5.1,0.8,643.0,45.09,7062,54,647.0,650.0,634.5
2025-12-29,-5.0,-0.78,637.9,34.63,5431,40,655.4,655.4,633.1
2025-12-28,11.9,1.89,642.9,50.26,7885,59,633.3,642.9,633.0
2025-12-24,-9.0,-1.41,631.0,42.4,6710,52,632.1,643.4,630.8
2025-12-23,-2.0,-0.31,640.0,33.96,5279,42,646.9,650.0,632.0
