DATE,CHANGE,CHANGE %,CLOSE,TURNOVER,VOLUME,TRADE,OPEN,HIGH,LOW
2026-05-08,12.0,1.35,898.0,,23454,227,900.0,900.0,877.0
2026-05-07,9.0,1.03,886.0,,26830,243,875.0,889.0,872.0
2026-05-06,-1.0,-0.11,877.0,,15069,244,878.0,887.0,875.1
2026-05-05,4.6,0.53,878.0,,24273,321,873.1,889.7,865.0
2026-05-04,-7.2,-0.82,873.4,,25767,280,881.0,889.5,873.0
2026-04-30,-17.4,-1.94,880.6,,39461,480,885.1,900.0,880.0
2026-04-29,-12.0,-1.32,898.0,,39031,382,913.0,915.0,890.0
2026-04-28,10.0,1.11,910.0,,45144,517,900.0,920.0,899.1
2026-04-27,-17.0,-1.85,900.0,,34152,508,917.0,919.0,892.0
2026-04-24,-24.1,-2.56,917.0,,140081,1084,988.1,988.1,887.0
2026-04-23,-17.9,-1.87,941.1,,26085,360,960.0,965.0,932.0
2026-04-22,0.1,0.01,959.0,,113177,1205,958.9,965.0,915.0
2026-04-21,-16.1,-1.65,958.9,,44217,614,975.1,984.0,955.0
2026-04-20,-12.9,-1.31,975.0,,39217,350,938.6,1007.0,938.6
2026-04-17,15.4,1.58,987.9,,35790,471,953.2,990.0,953.2
2026-04-16,-38.5,-3.81,972.5,,185865,1741,1001.0,1010.0,960.0
2026-04-15,-3.7,-0.36,1011.0,,61598,729,1024.0,1024.0,1000.0
2026-04-13,-25.3,-2.43,1014.7,,63825,677,1040.0,1040.0,1006.0
2026-04-10,-28.0,-2.62,1040.0,,88515,839,1079.0,1079.0,1020.0
2026-04-09,54.0,5.33,1068.0,,115751,1032,1020.0,1080.0,999.5
2026-04-08,4.1,0.41,1014.0,,83543,711,1020.0,1025.0,980.0
2026-04-07,19.9,2.01,1009.9,,94913,998,990.0,1031.0,990.0
2026-04-06,22.0,2.27,990.0,,140927,1633,950.0,1015.0,950.0
2026-04-05,-103.0,-9.62,968.0,,203378,2311,1050.0,1060.0,963.9
2026-04-02,8.0,0.75,1071.0,,151036,1799,1060.0,1124.0,1030.0
2026-04-01,-116.0,-9.84,1063.0,,393298,4175,1155.5,1155.5,1061.1
2026-03-31,-14.0,-1.17,1179.0,,137011,1426,1193.0,1200.0,1146.0
2026-03-30,-37.0,-3.01,1193.0,,142227,1275,1234.0,1240.1,1188.6
2026-03-29,-39.0,-3.07,1230.0,,84329,686,1275.0,1280.0,1225.0
2026-03-26,1.2,0.09,1269.0,,40652,376,1268.0,1278.0,1261.0
2026-03-25,-16.5,-1.28,1267.8,,55588,547,1300.0,1300.0,1265.0
2026-03-24,-10.7,-0.83,1284.3,,53374,503,1295.1,1295.1,1275.3
2026-03-23,7.0,0.54,1295.0,,80180,750,1300.0,1303.0,1275.0
2026-03-22,8.2,0.64,1288.0,,71116,687,1300.0,1300.0,1275.0
2026-03-19,35.9,2.89,1279.8,,83791,838,1268.7,1286.0,1243.9
2026-03-17,1.9,0.15,1243.9,,44740,417,1265.9,1266.0,1235.0
2026-03-16,-15.0,-1.19,1242.0,,76151,473,1258.0,1269.0,1238.1
2026-03-15,6.0,0.48,1257.0,,34883,374,1253.0,1272.0,1250.0
2026-03-12,-22.0,-1.73,1251.0,,104262,630,1261.0,1284.8,1240.0
2026-03-11,-26.0,-2.0,1273.0,,39529,420,1300.1,1310.0,1261.0
2026-03-10,-41.0,-3.06,1299.0,,101100,890,1340.0,1340.0,1280.0
2026-03-09,90.0,7.2,1340.0,,12865,59,1275.0,1352.0,1275.0
2026-03-03,23.0,1.87,1250.0,,23948,248,1251.5,1251.5,1227.0
2026-03-01,5.0,0.41,1227.0,,32541,326,1246.4,1246.4,1205.4
2026-02-26,-5.0,-0.41,1222.0,,22131,259,1251.5,1251.5,1220.5
2026-02-25,7.0,0.57,1227.0,,13935,188,1230.0,1244.0,1222.3
2026-02-24,2.5,0.21,1220.0,,69551,310,1215.0,1229.0,1215.0
2026-02-23,-7.5,-0.61,1217.5,,44202,337,1215.1,1230.0,1210.0
2026-02-22,-15.0,-1.21,1225.0,,66329,392,1242.0,1242.0,1215.0
2026-02-17,-9.0,-0.72,1240.0,,41129,360,1272.0,1272.0,1236.1
2026-02-16,-3.0,-0.24,1249.0,,49201,384,1277.0,1277.0,1240.0
2026-02-12,-11.0,-0.87,1252.0,,41236,398,1288.2,1288.2,1246.0
2026-02-11,-3.0,-0.24,1263.0,,46895,382,1291.3,1291.3,1251.0
2026-02-10,-9.0,-0.71,1266.0,,31673,380,1265.2,1296.8,1263.0
2026-02-09,-44.9,-3.4,1275.0,,74048,672,1323.0,1324.9,1262.0
2026-02-08,34.9,2.72,1319.9,,196139,1314,1310.0,1341.0,1291.0
2026-02-05,46.0,3.71,1285.0,,169369,856,1249.0,1310.0,1225.0
2026-02-04,-11.0,-0.88,1239.0,,80030,556,1225.0,1260.0,1200.6
2026-02-03,-11.0,-0.87,1250.0,,75855,546,1235.9,1280.0,1235.9
2026-02-02,-9.0,-0.71,1261.0,,71490,409,1245.0,1290.0,1245.0
2026-02-01,-7.0,-0.55,1270.0,,36248,387,1277.0,1290.0,1259.0
2026-01-29,-13.0,-1.01,1277.0,,50699,406,1309.9,1309.9,1275.0
2026-01-28,9.0,0.7,1290.0,,54427,573,1286.1,1308.0,1271.1
2026-01-27,-31.0,-2.36,1281.0,,87770,673,1313.2,1320.0,1280.1
2026-01-26,-17.0,-1.28,1312.0,,62396,543,1348.0,1348.0,1305.0
2026-01-25,15.0,1.14,1329.0,,76666,632,1314.0,1346.0,1303.0
2026-01-22,1.0,0.08,1314.0,,42882,457,1315.0,1322.0,1305.0
2026-01-21,-0.2,-0.02,1313.0,,70734,579,1325.0,1331.5,1305.0
2026-01-20,8.2,0.63,1313.2,,119056,741,1327.0,1345.0,1300.0
2026-01-18,-6.0,-0.46,1305.0,,64519,507,1320.0,1324.0,1295.0
2026-01-14,-1.0,-0.08,1311.0,,45213,465,1312.0,1336.0,1299.0
2026-01-13,33.0,2.58,1312.0,,97787,608,1290.0,1315.0,1272.0
2026-01-12,-7.0,-0.54,1279.0,,42004,306,1284.0,1304.8,1275.0
2026-01-08,-8.0,-0.62,1286.0,,31889,247,1300.0,1300.0,1281.0
2026-01-07,-3.1,-0.24,1294.0,,53005,405,1285.0,1310.0,1280.1
2026-01-06,23.2,1.82,1297.1,,98406,633,1280.0,1312.0,1277.0
2026-01-05,20.9,1.67,1273.9,,71747,428,1265.9,1288.0,1255.0
2026-01-04,-9.0,-0.71,1253.0,,53180,296,1269.9,1277.9,1247.0
2026-01-01,3.0,0.24,1262.0,,39349,288,1270.0,1270.0,1245.6
2025-12-31,-2.5,-0.2,1259.0,,49295,262,1275.0,1286.0,1256.0
2025-12-29,-18.0,-1.41,1261.5,,25923,262,1280.0,1290.0,1255.9
2025-12-28,48.5,3.94,1279.5,,64414,545,1255.0,1285.0,1237.0
2025-12-24,-3.4,-0.28,1231.0,,18419,191,1249.0,1249.0,1227.0
2025-12-23,9.4,0.77,1234.4,,19030,247,1220.0,1246.0,1219.0
2025-12-22,-14.4,-1.16,1225.0,,18545,250,1230.0,1244.9,1223.0
2025-12-21,-2.6,-0.21,1239.4,,34538,312,1242.1,1251.9,1230.2
2025-12-18,-17.9,-1.42,1242.0,,36314,304,1285.0,1285.0,1211.0
2025-12-17,-5.1,-0.4,1259.9,,32846,301,1280.0,1280.0,1250.0
2025-12-16,10.0,0.8,1265.0,,14845,256,1268.6,1268.6,1251.1
2025-12-15,-9.9,-0.78,1255.0,,40875,304,1240.0,1275.0,1240.0
2025-12-14,-13.1,-1.03,1264.9,,41326,361,1278.0,1287.0,1253.0
2025-12-11,-16.0,-1.24,1278.0,,36321,335,1283.1,1295.0,1275.0
2025-12-10,-13.0,-0.99,1294.0,,47338,416,1296.0,1307.0,1280.0
2025-12-09,11.0,0.85,1307.0,,35816,304,1296.0,1307.0,1291.1
